,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Voltage (V),Hazardous,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Number of Ports,Feature 13,Feature 14,Feature 15,Attachment 6,Weight
22,P307258,ESBE ARA600 ARA664 actuator  24vac 50hz 120 sec,ESBE,188.78,"Operating DN 15 - 50 rotary mixing valves, the ESBE ARA600 ARA664 24 VAC actuator with 6Nm torque rating is controlled by a three point signal. Suitable for mixing operations, this actuator has a 90° operating range with the simple pull-and-turn knob located on the front providing ease of operation.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> ESBE ARA600 ARA664 actuator  24vac 50hz 120 sec,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/58/NW-307258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_3-Point_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_3-Point_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_3-Point_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P308448,Belimo HT rotary actuator for NR230-S,Belimo,144.2,"Allowing for the motorisation of most commonly used HVAC system mixing valves, the Belimo HT 10Nm rotary actuator for NR230-S is activated via a three point signal. Easy to install, this actuator is supplied with a mounting kit and a connecting cable.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo HT rotary actuator for NR230-S,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/48/NW-308448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_HT230-3-S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_HT230-3-S_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_HT_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P303484,Siemens Acvatix - SSC 3 position actuator 24V,Siemens,88.6,"Intended for small 5.5mm stroke valves, the Siemens Acvatix SSC 300 N electromotoric actuator is suitable for valve type VP45 used for water-side control of hot and cooling water in heating, ventilation and air conditioning systems. Driven by a three position signal, the actuator produces a stroke transmitted to the valve stem.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SSC 3 position actuator 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/84/NW-303483_303484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SSC81_Supplier_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Siemens_SSC_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_SSC_EPD.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_Acvatix_SSC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SSC81_EU-Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P439228,Danfoss H 4 wire actuator (SPST),Danfoss,59.49,This Danfoss HSA3D three port diverter valve actuator with SPST auxiliary switch is designed for central heating and hot water circulation in wet domestic central heating systems. It allows for direct in-service replacement of actuators on other makes of motorised valves.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Danfoss H 4 wire actuator (SPST),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/28/NW-439228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H_Series_Valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P359423,Siemens Acvatix - SAS 3 position electronic motor spring return valve actuator 5.5mm 230vac 400N,Siemens,248.07,"Designed to operate two and three port valves, this Siemens Acvatix SAS 400 N electromotoric actuator is suitable for valve types VG44, VVG55 and VVG549 used as control or shut-off valves in heating or ventilation plants.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SAS 3 position electronic motor spring return valve actuator 5.5mm 230vac 400N,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/23/NW-359423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SAS_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SAS-31-61-81_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/po/rt/Siemens_Acvatix_SAS-SAT_Test_Report.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Acvatix_SAS-SAT_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_Acvatix_SAS_EPD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P311706,Belimo NM-A damper actuator SPDT IP54 10Nm 150s,Belimo,191.0,"Designed for adjusting 2M² dampers, this Belimo NM-A damper actuator with 10Nm actuating torque is ideal for technical building installations. Offering straightforward direct mounting on the damper shaft using a universal shaft clamp, this actuator is supplied with an anti-rotation device.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo NM-A damper actuator SPDT IP54 10Nm 150s,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/06/NW-311706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_NM24A-S_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_NM24A-S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_NM-A_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P303546,Siemens Acvatix - SAX acctuator 120sec 230V,Siemens,245.95,"Suitable for 20mm stroke two and three port valves, the Siemens Acvatix SAX 800 N low torque electromotoric actuator is compatible with valve types VF21, VF22, VF31, VF32, VF40, VF41, VF42, VF52 and VF53 used as control or shut-off valves in heating, ventilation or air conditioning systems.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SAX acctuator 120sec 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/46/NW-303546_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Acvatix_SA-X-Y-V-L_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SAX-31-61-81_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SAX_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_Acvatix_SAX_EPD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P324967,SWL MG600C SHORT YOKE FORTA ACT,Schneider Electric,486.84,"Controlling two- and three-way globe valves, the Schneider Electric SmartX Forta actuator is compatible with heating, cooling and air handling systems. With a compact short yoke, this electro-mechanical actuator will fit directly onto the U-brace of VG210 and VG310 threaded valves with no linkage kit required, speeding up installation.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> SWL MG600C SHORT YOKE FORTA ACT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/67/324967_wm.jpg,,,,,,SmartX Actuator,"(+25%/ -35%, 50–60 Hz) 24 VAC",N,600 N,,9 - 30 mm,Manual,"Modulating - 60 sec, Inc / dec - 300 / 60 sec",0,2…10 V (0…100%),IP54,MG600C,Globe Valve Actuator,N,Brushless motors and high resolution control board for fine fluid control,Working range and end point switches adjust automatically to valve stroke,Firmware calibrates consistent running time regardless of valve stroke,IP54 rated,,,,,,,,,2 x SPDT,,,,,
30,P311533,Belimo SMA 3-point open/close damper actuator 20nm 150s 95 ip54,Belimo,187.0,"With an actuating torque of 20Nm, this Belimo SMA-S damper actuator is suitable for adjusting dampers with a cross section of up to 4M² in technical building installations. Offering straightforward direct mounting on the damper shaft using a universal shaft clamp, this actuator is supplied with an anti-rotation device.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo SMA 3-point open/close damper actuator 20nm 150s 95 ip54,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/33/NW-311533_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_SM-A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_SM230A_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_SM230A_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P323909,Schneider Electric Tac - MD10A damper 10nm 24V 0-10DC,Schneider Electric,313.83,"With a torque rating of 10Nm, the Schneider Electric Tac MD10A modulating damper actuator is used in air control ventilation and air-conditioning systems for building services installations. Controlled via a standard 2 - 10 VDC control signal, the actuator opens to the position dictated while measuring voltage Y electronically indicates the damper position (0 - 100%) while also serving as a follow-up control signal for other actuators. Easy to install, MD10A offers direct mounting onto a damper spindle using a universal spindle clamp and is supplied with an anti-rotation strap. A self-resetting push button allows for manual operation with the gearing latch remaining disengaged as long as the button is pressed. Overload-proof, this highly reliable actuator needs no limit switches and will automatically stop when the end stop is reached.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Schneider Electric Tac - MD10A damper 10nm 24V 0-10DC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/09/NW-323909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/SE_Valv-Actor_Catalogue-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/SE_MD10A-24_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/SE_MD10_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P311649,Belimo LF spring-return actuator 230V 4Nm,Belimo,220.0,"Designed for use in ventilation and air conditioning systems, the Belimo LF 230V rotary actuator fail-safe with 4Nm actuating torque is also compatible with dampers performing protection protocols like the detection of smoke or freezing conditions. Able to control air dampers with cross sections of up to 0.8M², this actuator simply moves the damper to the operating position while tensioning the return spring. Spring force then returns the damper to a fail-safe position if the supply voltage is interrupted.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo LF spring-return actuator 230V 4Nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/49/NW-311649_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_LF230_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_LF230_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_LF_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P324444,Schneider Electric Erie - AH 2 POS NC actuator,Schneider Electric,96.44,"Designed for coupling to VT series valves, this Schneider Electric Erie AH high close off actuator is a spring return, two position actuator has a unique pop-top connection for fast, easy installation. With a high flow capacity paddle design, the VT valve provides low pressure drop fluid control.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Schneider Electric Erie - AH 2 POS NC actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/44/NW-324444_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/SE_Valv-Actor_Catalogue-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/SE_Erie-Poptop_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SE_Erie-AG-AH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P304038,Drayton actuator with end switch 230v,Drayton,83.63,"Used to control the opening and closing of a valve, this Drayton 230V six wire zone valve actuator with SPDT switch is designed for use with the ZA6/779-3 28mm three port zone valve.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton actuator with end switch 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/38/NW-304038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P310923,Honeywell stroke actuator 24v s/r 20mm,Honeywell,647.63,The Honeywell 24V S/R 20mm stroke actuator provides 3-P floating control of 20mm stroke control valves.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell stroke actuator 24v s/r 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/23/310923_wm.jpg,,,,,,,24,N,600 N,Visual,Ambient Temperature: -10…50 °C,Manual knob,108s,0,Accessory,IP54,ML6425A3006,Linear valve actuator,N,Spring return safety function,Offers DIN EN 14597 district heating certification used with V5016A/V5025A/V5049/V5328 control valves,Rated at 600N linear force,IP54 protection class,,,,,,,,,N/A,,,,,
36,P303150,Siemens Acvatix - SKD low torque spring return actuator 0-10vdc,Siemens,429.52,"Suitable for 20mm stroke two and three port valves, the Siemens Acvatix SKD 1000 N low torque electrohydraulic actuator is compatible with valve types VVF, VVG, VXF and VXG used as control or shut-off valves in heating, ventilation or air conditioning systems.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SKD low torque spring return actuator 0-10vdc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/50/NW-303150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SKD_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SKD_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_SKD_EPD.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/po/rt/Siemens_SKB-KC-KD_Test_Report.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Siemens_SKD_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P308510,Belimo SRA AC rotary valve actuator open/close 230V 20Nm,Belimo,144.9,"Designed for ball valves, this Belimo SRA rotary actuator with 20Nm actuating torque offers simple, direct mounting using just one central screw. The assembly tool is integrated into the plug-in position indication and mounting orientation is selectable in 90° steps.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo SRA AC rotary valve actuator open/close 230V 20Nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-308510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_TR-LR-NR-SR-A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_SR230A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_SR230A_EU-Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P303461,Siemens Acvatix - SKD low torque spring release actuator 240v,Siemens,477.71,"Suitable for 20mm stroke two and three port valves, the Siemens Acvatix SKD 1000 N low torque electrohydraulic actuator is compatible with valve types VVF, VVG, VXF and VXG used as control or shut-off valves in heating, ventilation or air conditioning systems.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SKD low torque spring release actuator 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/61/NW-303461_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SKD_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SKD_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_SKD_EPD.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/po/rt/Siemens_SKB-KC-KD_Test_Report.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Siemens_SKD_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P311654,Belimo LF modulating spring-return actuator 230V 4Nm,Belimo,272.0,"Controlling air dampers with cross sections of up to 0.8M², the Belimo LF modulating rotary actuator fail-safe with 4Nm actuating torque is suitable for ventilation and air conditioning systems and for dampers performing protection protocols, such as freezing and smoke detection. Connected with a standard modulating signal of 0 - 10V, this actuator moves the damper to the operating position while tensioning the return spring. The damper is turned back to the fail-safe position by spring force when supply voltage is interrupted.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo LF modulating spring-return actuator 230V 4Nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/54/NW-311654_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_LF24-SR_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_LF24-SR_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_LF_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P322138,Honeywell Home Smart-T - MT4-230 hw home mt4-230-nc 230vac 4mm stroke sd,Honeywell Home,30.38,"Designed for use in room and zone applications, this Honeywell Home Smart-T MT4-230 90 N compact linear thermoelectric actuator offers time-controlled two point and pulse-width modulated (PWM) regulation of heating and cooling systems, including fan coil units, radiators, floor heating systems, chilled ceilings and convectors.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell Home Smart-T - MT4-230 hw home mt4-230-nc 230vac 4mm stroke sd,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/38/322138_wm.jpg,,,,,,Smart-T - MT4-230,230,N,90 N,,50 °C,Electrical,2.5 min,1,Yes,IP44,MT4-230-NC,Linear Thermoelectric Actuator,N,Control type: 2-pont,Power consumption: 3VA,Stroke: 2.5mm,No mounting tools required,Water-protected housing design in all mounting positions,Pluggable cable for easy installation and servicing,Auxiliary switch models for driving pumps or fans,Low power consumption models,Normally-closed model,Compact design for installation in limited space,Visual indicator showing valve position and NO or NC,Noiseless operation,,Reliable long-term operation,1M connection cable,IP44 rated,,
41,P311539,Belimo SMA 3-point open/close damper actuator IP54 20Nm 150s,Belimo,183.0,"With an actuating torque of 20Nm, this Belimo SMA-S damper actuator is suitable for adjusting dampers with a cross section of up to 4M² in technical building installations. Offering straightforward direct mounting on the damper shaft using a universal shaft clamp, this actuator is supplied with an anti-rotation device.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo SMA 3-point open/close damper actuator IP54 20Nm 150s,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/39/NW-311539_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_SM-A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_SM24A_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_SM24A_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P311726,Belimo SFA-S spring-return actuator 24V 20Nm,Belimo,349.0,"With an actuating torque of 20Nm, this Belimo SFA-S rotary damper actuator fail-safe is suitable for adjusting dampers with a cross section of up to 4M² in technical building installations. Offering straightforward direct mounting on the damper shaft using a universal shaft clamp, this actuator is supplied with an anti-rotation device. This actuator is connected with a standard 0 - 10V modulating signal and moves the damper to its operating position while tensioning the return spring, which returns the damper to the fail-safe position using spring force when supply voltage is interrupted.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo SFA-S spring-return actuator 24V 20Nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/26/NW-311726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_SF24A-S2_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_SF24A-S2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_NFA-SFA-S2_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
