,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Depth (mm),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 7,Feature 8,Attachment 5,Pack Quantity,Capacity Litre,Refrigerant Suitability
28,P613565,Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,Diversitech,9.87,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EIN4W 105mm 90° outside elbow routes a lineset around a corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/65/613565_wm.jpg,SpeediChannel,,,,N,,,230-EIN4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
29,P613579,Diversitech SpeediChannel 230-FR3W flat rosette 70 mm White,Diversitech,2.43,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FR3W 70mm flat wall rosette or escutcheon covers an unsightly opening in a soffit, wall or ceiling. One side of the rosette is flat to allow for a channel run to pass through to an adjacent wall or ceiling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FR3W flat rosette 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/79/613579_wm.jpg,SpeediChannel,,,,N,,,230-FR3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Two-part construction snaps onto channel,White colour,,,,,,,,,,,
30,P635931,Grant Aerona 13R32/17R32 R32 smart control kit,Grant,659.42,"A clever solution for heat pump control, the Grant Aerona HPID13R32 and HPID17R32 smart controller kit puts advanced controller technology inside a stylish, easy to operate display unit. Compatible with any Aerona³ air source heat pump, this smart controller can be used to set heating schedules, domestic hot water timings and to adjust room temperatures via a single intuitive fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Grant Aerona 13R32/17R32 R32 smart control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/31/635931_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),77KG,N,254,N/A,HPIDR32SMART1317,ASHP Smart Controls,N,Modern design,Compatible with all Aerona³ ASHPs,Easy to navigate interface,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,
31,P613550,Diversitech SpeediChannel 230-DC3 duct cap 70 mm,Diversitech,2.57,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC3 70mm duct cap is used to securely cap the end of a channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DC3 duct cap 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/50/613550_wm.jpg,SpeediChannel,,,,N,,,230-DC3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,,,,,,,,,,,,,
32,P613591,Diversitech SpeediChannel 230-WC3W wall cover 70 mm White,Diversitech,5.67,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC3W 70mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WC3W wall cover 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/91/613591_wm.jpg,SpeediChannel,,,,N,,,230-WC3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
33,P613553,Diversitech SpeediChannel 230-DC4W duct cap 150 mm White,Diversitech,3.04,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC4W 150mm duct cap is used to securely cap the end of a channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DC4W duct cap 150 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/53/613553_wm.jpg,SpeediChannel,,,,N,,,230-DC4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,
34,P613552,Diversitech SpeediChannel 230-DC4 duct cap 150 mm,Diversitech,3.04,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC4 150mm duct cap is used to securely cap the end of a channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DC4 duct cap 150 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/52/613552_wm.jpg,SpeediChannel,,,,N,,,230-DC4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,,,,,,,,,,,,,
35,P613593,Diversitech SpeediChannel 230-WC4W wall cover 105 mm White,Diversitech,9.74,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC4W 105mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WC4W wall cover 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/93/613593_wm.jpg,SpeediChannel,,,,N,,,230-WC4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
36,P613567,Diversitech SpeediChannel 230-FB3W flat bend 90 degree 70 mm White,Diversitech,5.22,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FB3W 70mm 90° flat bend routes a lineset around an obstacle where required. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FB3W flat bend 90 degree 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/67/613567_wm.jpg,SpeediChannel,,,,N,,,230-FB3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
37,P613545,Diversitech SpeediChannel 230-CP4W connection piece 105 mm White,Diversitech,3.83,"Used to join two pieces of channel of the same size, this DiversiTech SpeediChannel 230-CP4W 105mm union coupling is individually packed complete with screws for easy fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-CP4W connection piece 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/45/613545_wm.jpg,SpeediChannel,,,,N,,,230-CP4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
38,P613832,Mitsubishi Ecodan 408129 elbow conn hoses 28mmx300mm,Mitsubishi,92.78,"Offering optimised control and protection, these Mitsubishi 28mm, 3M long elbow connection hoses protect from frost and reduce nuisance noise and vibration.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Mitsubishi Ecodan 408129 elbow conn hoses 28mmx300mm,,Connection Hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/32/605254_613820_613832_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,
39,P613549,Diversitech SpeediChannel 230-D4W duct 2 M 105 mm White,Diversitech,20.88,"Measuring 6 1/2ft in length, this DiversiTech SpeediChannel 230-D4W 105mm lineset cover channel is supplied with a pack of SpeediClips for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-D4W duct 2 M 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/49/613549_wm.jpg,SpeediChannel,,,,N,,,230-D4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,SpeediClip slides into place on railing moulding into interior of Speedichannel,Suitable for one person installation,White colour,,,,,,,,,,
40,P613586,Diversitech SpeediChannel 230-TC34 reducer joint 105 mm,Diversitech,3.47,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-TC34 70 x 105mm reducer coupling is capable of joining two pieces of channel of different sizes. Individually packaged, this fitting is supplied with screws for ease of installation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-TC34 reducer joint 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/86/613586_wm.jpg,SpeediChannel,,,,N,,,230-RJ4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
41,P613568,Diversitech SpeediChannel 230-FB4 flat bend 90 degree 105 mm,Diversitech,9.68,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FB4 105mm 90° flat bend routes a lineset around an obstacle where required. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FB4 flat bend 90 degree 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/68/613568_wm.jpg,SpeediChannel,,,,N,,,230-FB4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
42,P613563,Diversitech SpeediChannel 230-EIN3W outside elbow 90 degree 70 mm White,Diversitech,4.66,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EIN3W 70mm 90° outside elbow routes a lineset around a corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-EIN3W outside elbow 90 degree 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/63/613563_wm.jpg,SpeediChannel,,,,N,,,230-EIN3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
43,P613571,Diversitech SpeediChannel 230-FB454 flat bend 45 degree 105 mm,Diversitech,9.68,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FB454 105mm 45° flat bend routes a lineset around an obstacle where required. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FB454 flat bend 45 degree 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/71/613571_wm.jpg,SpeediChannel,,,,N,,,230-FB454,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
44,P613589,Diversitech SpeediChannel 230-TJ4W T joint 105 mm White,Diversitech,14.15,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-TJ4W 105mm tee joint creates a connection between three equally sized lengths of channel. Additionally, it can be combined with a reducing coupling to joint channels of different sizes. Individually packaged, this fitting is supplied with screws for ease of installation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-TJ4W T joint 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/89/613589_wm.jpg,SpeediChannel,,,,N,,,230-TJ4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
45,P613596,Diversitech SpeediChannel 230-WR4 wall rosette 105 mm,Diversitech,3.17,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR4 105mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WR4 wall rosette 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/96/613596_wm.jpg,SpeediChannel,,,,N,,,230-WR4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,,,,,,,,,,,,,
46,P613578,Diversitech SpeediChannel 230-FR3 flat rosette 70 mm,Diversitech,2.43,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FR3 70mm flat wall rosette or escutcheon covers an unsightly opening in a soffit, wall or ceiling. One side of the rosette is flat to allow for a channel run to pass through to an adjacent wall or ceiling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FR3 flat rosette 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/78/613578_wm.jpg,SpeediChannel,,,,N,,,230-FR3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Two-part construction snaps onto channel,,,,,,,,,,,,
47,P613576,Diversitech SpeediChannel 230-FH4-KIT flexi hose kit 105 mm Ivory,Diversitech,34.16,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FH4-KIT 105mm flexible hose kit protects the lineset as it travels from the condensing unit to the wall. Additionally it can connect two channels as they pass over or around an obstacle. This kit incorporates a 39"" flexible hose, a pair of duct connectors, an end cap and a stainless steel clamp.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FH4-KIT flexi hose kit 105 mm Ivory,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/76/613576_wm.jpg,SpeediChannel,,,,N,,,230-FH4-KIT,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,Ivory colour,,,,,,,,,,,
48,P613587,Diversitech SpeediChannel 230-TC34W reducer joint 105 mm,Diversitech,3.47,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-TC34W 70 x 105mm reducer coupling is capable of joining two pieces of channel of different sizes. Individually packaged, this fitting is supplied with screws for ease of installation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-TC34W reducer joint 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/87/613587_wm.jpg,SpeediChannel,,,,N,,,230-RJ4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
49,P613543,Diversitech SpeediChannel 230-CP3W connection piece 70 mm White,Diversitech,1.92,"Used to join two pieces of channel of the same size, this DiversiTech SpeediChannel 230-CP3W 70mm union coupling is individually packed complete with screws for easy fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-CP3W connection piece 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/43/613543_wm.jpg,SpeediChannel,,,,N,,,230-CP3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
50,P613564,Diversitech SpeediChannel 230-EIN4 outside elbow 90 degree 105 mm,Diversitech,9.87,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EIN4 105mm 90° outside elbow routes a lineset around a corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-EIN4 outside elbow 90 degree 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/64/613564_wm.jpg,SpeediChannel,,,,N,,,230-EIN4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
51,P613594,Diversitech SpeediChannel 230-WR3 wall rosette 70 mm,Diversitech,2.76,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR3 70mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WR3 wall rosette 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/94/613594_wm.jpg,SpeediChannel,,,,N,,,230-WR3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
52,P613561,Diversitech SpeediChannel 230-EB4W inside elbow 90 degree 105 mm White,Diversitech,9.87,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EB4W 105mm inside elbow routes a lineset around an inside corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-EB4W inside elbow 90 degree 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/61/613561_wm.jpg,SpeediChannel,,,,N,,,230-EB4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
53,P612210,Pump House heat pump flexible hose 28mm x 1mtr (Pair),Pump House,117.49,"Helping to meet necessary installation requirements, the Pump House 28mm x 1M heat pump flexible hose allows for the connection of flow and return pipework to a heat pump or biomass boiler. Smoothly bending without kinks, the flexibility of this hose reduces vibration and, thanks to its stainless steel braided covering, it is well protected as well as insulated by 19mm thick insulation and further protected from damage with an external grade PVC coating.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Pump House heat pump flexible hose 28mm x 1mtr (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/10/612210_wm.jpg,,,,2.75Kg,N,1190,,FH-1000-28-F,,N,1M length,Stainless steel braided design,Pre-insulated with 19mm PVC coating,Compression fitting,Additional 80mm of insulation covers connectors,Meets the requirements of MCS MIS 3005,,,,,,,,Pair,,
54,P612212,Pump House heat pump flexible hose 28mm x 500mm (Pair),Pump House,95.03,"Meeting all necessary industry requirements, this Pump House 28mm x 500mm heat pump flexible hose provides protection from damage or bending via its stainless steel braided sleeving. In addition, the hose is protected from low temperatures with 19mm thick insulation which also contributes to a reduction in pipework vibration.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Pump House heat pump flexible hose 28mm x 500mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ho/se/Pump House_Flexible-Hose_wm.jpg,,,,,N,,,FH-500-28-F,,N,Reduces transmission of vibration through pipework,Stainless steel braid sleeve for added protection,With 19mm wall insulation,Insulation is weatherproof and UV stable,Meets the requirements of MCS MIS 3005,,,,,,,,,Pair,,
55,P490595,Bosch CS5800i AW Slim Pre-plumbed Cylinder Indoor Unit 180l,Bosch,2729.0,"Pre-plumbed for simplified installation, the Bosch CS5800i AW slim 180L indoor cylinder is suitable for both new-build and retrofit applications when paired with the Compress 5800i AW air source heat pump. Fitted with a 12L buffer, primary and secondary circulation pumps and a three-way valve, this slimline, compact cylinder delivers reliable hot water at high flow rates. The CS5800i AW is supplied with a DHW back-up heater for reliability and offers complete intuitive control using the inbuilt touchscreen display.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Bosch CS5800i AW Slim Pre-plumbed Cylinder Indoor Unit 180l,,Product;pre-assembled filling link;DHW expansion vessel;outdoor temperature sensor;K30 connect-key,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/95/490595_wm.jpg,CS5800i AW,230,2 years,79kg,N,,,7731600271,Air to Water Heat Pump,N,High flow temperature,Future-proof and evironmentally friendly R290 refrigerant compatible,Compatible with Compress 5800i AW heat pump,Pre-plumbed for ease of installation,With 12L buffer,Full colour touchscreen display for easy operation,,,,,2 year warranty,,,,180 l,
56,P613588,Diversitech SpeediChannel 230-TJ4 T joint 105 mm,Diversitech,14.15,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-TJ4 105mm tee joint creates a connection between three equally sized lengths of channel. Additionally, it can be combined with a reducing coupling to joint channels of different sizes. Individually packaged, this fitting is supplied with screws for ease of installation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-TJ4 T joint 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/88/613588_wm.jpg,SpeediChannel,,,,N,,,230-TJ4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
57,P635920,Grant domestic hot water programmer,Grant,69.93,This Grant domestic hot water programmer is compatible with a variety of Grant brand heat pumps.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Grant domestic hot water programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/20/635920_wm.jpg,,,1 year minimum (Subject to T&C's),0.193 kg,,15,N/A,,Domestic Hot Water Programmer,,For domestic use,Compatible with Aerona³ air source heat pump and VortexAir Hybrid ranges,Range of further accessories available,,,,,,,,,,,,,
58,P613554,Diversitech SpeediChannel 230-DE3 duct end 70 mm,Diversitech,4.37,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DE3 70mm duct end terminates the run of a channel, converting it to a smaller opening large enough to allow the lineset and condensate drain line to pass through.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DE3 duct end 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/54/613554_wm.jpg,SpeediChannel,,,,N,,,230-DE3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
59,P613595,Diversitech SpeediChannel 230-WR3W wall rosette 70 mm White,Diversitech,2.76,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR3W 70mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WR3W wall rosette 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/95/613595_wm.jpg,SpeediChannel,,,,N,,,230-WR3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,
60,P635926,Grant Aerona HPID6R32 R32 remote control kit,Grant,254.76,"An alternative controller for Aerona³ heat pumps, the Grant Aerona HPID6R32 R32 remote control kit is a compact wall-mounted unit offering an intuitive interface via which core ASHP parameters can be set, viewed and adjusted. Allowing both the homeowner and the heating engineer to access operating functions, this kit is compatible with a separate Grant brand timer used for hot water settings while a programmer or room thermostat is put in control of heating settings.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Grant Aerona HPID6R32 R32 remote control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/26/635926_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),34 kg,N,225,N/A,HPIDR32CON6,ASHP Remote Control,N,White casing to suit most homes,Wall-mounted installation,Allows engineer to view and set functions remotely,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,
