,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Colour,Feature 3,Feature 4,Feature 5,Range,Length (M),Dimensions mm (H x W x D),Application,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Part Gas Council number,Model For Use With,By Model Number,Diameter,Range For Use With,Weight
29,P798652,Ferroli flue,Ferroli,46.31,"A Ferroli branded flue pipe.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Ferroli flue,,Horizontal Flue Assembly,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/52/798652_wm.jpg,,,N,Flue,"Optima, 76 , 77",823204,Flue Pipe,N,Horizontal Flue for Optima Boiler Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P449370,Morco RSF346 vertical flue adaptor,Morco,13.88,Vertical Flue Adaptor,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco RSF346 vertical flue adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/70/NW-449370_wm.jpg,,,N,Flue,GB BOILERS,RSF346,,N,For vertical installation,Suitable for use on GB boilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P419743,Parts 801614 801614 Flue Adaptor,Parts,141.35,"This Glow-worm flue adapter is compatible with the brand's own Ultracom boilers, including CX, CXI, HXI and SXI models.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Parts 801614 801614 Flue Adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/43/419743_wm.jpg,,,N,Flue,Ultracom,801614/SD,Adaptor,N,For flue use,Suitable for Ultracom units,,,,,,,,,,,,,,,,,,,,,,,,Ultracom 12 HXIUltracom 15 HXIUltracom 18 HXIUltracom 18 SXIUltracom 24 CXUltracom 24 HXIUltracom 24CXIUltracom 30 CXIUltracom 30 HXIUltracom 30 SXIUltracom 30CXUltracom 38 CXIUltracom 38 HXI30 CXI24 CXI38 CXI12 HXI15 HXI18 HXI24HXI30HXI38HXI18 SXI30 SXI,,,,
32,P447263,Morco flue terminal and pipe kit,Morco,83.49,"This Morco pipe and terminal kit is designed to fir the G101 and G11 water heater ranges. The pack includes a 110mm diameter x 250mm external height flue pipe, external roof flange and flue terminal.  When a standard flue kit is used the water heater compartment must be given additional high level ventilation.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco flue terminal and pipe kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/63/NW-447263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Morco_D_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P449374,Morco RSF503 horizontal flue kit,Morco,61.95,Horizontal Flue,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco RSF503 horizontal flue kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/74/NW-449374_wm.jpg,,,N,Flue,EUP11RS,RSF503,,N,For horiztonal installation,Suitable for GB boilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P147201,Viessmann 87deg standard concentric flue elbow 60/100mm dia,Viessmann,33.97,Standard concentric 87 degree flue elbow for use with a 60/100 mm diameter pipe.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann 87deg standard concentric flue elbow 60/100mm dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/01/147201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P101346,Intergas Kit-B fitting (robokit 12ltr),Intergas,94.08,An official Intergas B 12L robo fitting kit complete with valves.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Kit-B fitting (robokit 12ltr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/46/101346_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/13/46/101346.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P101347,Intergas Kit-B fitting (robokit 8ltr),Intergas,76.44,An official Intergas C 8L robo fitting kit complete with valves.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Kit-B fitting (robokit 8ltr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/47/101347_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/13/47/101347.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P147199,Viessmann Standard Concentric Vertical Flue Terminal 60/100mm Dia,Viessmann,119.2,Standard concentric flue terminal for use with 60/100 mm diamater flue pipe.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Standard Concentric Vertical Flue Terminal 60/100mm Dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/99/147199_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PU82445,Continental 2 Cylinder manual changeover kit POL pigtails,Continental,61.22,"A Continental brand changeover kit for use in a boiler's gas assembly.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Continental 2 Cylinder manual changeover kit POL pigtails,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/45/U82445_wm.jpg,,,N,Gas Assembly,,MB2C-MAN-T/P-NI,Changeover Kit,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P147036,Viessmann Vitodens horizontal flue kit standard 1mtr,Viessmann,100.05,"This Viessmann 60/100 horizontal flue kit has a length of 1M.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Vitodens horizontal flue kit standard 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/36/NW-147036_wm.jpg,,,N,Flue,Vitodens,7946886,Horizontal Flue Kit,N,1m concentric horizontal flue,Size 60 (ID) x 100 (OD) mm,,,,,Vitodens,,,,,,,,,,,,,,,,,,n/a,,,,,
40,P147197,Viessmann Flue Kit+K48 60/100Mm Dia,Viessmann,111.17,The telescopic flue kit adjusts in length reducing the need for cutting a standard flue pipe.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Flue Kit+K48 60/100Mm Dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/97/NW-147197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P415673,Keston flue assembly (C55),Keston,112.59,"This Keston flue assembly is suitable for Keston C appliances.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Keston flue assembly (C55),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/73/415673_wm.jpg,,,N,Flue,Keston C,C17111000,Flue Assembly,N,Suitable for use with Keston C units,Manufacturer part number C17111000,,Flue exhaust and gasket,,,,,,,,,,,,,,,,,,,,,,"C55, C40 P, C40, C55 P","C55,C40 P,C55 P,C40",,,
42,P333869,Intergas standard horizontal flue,Intergas,98.0,An Intergas 520mm horizontal telescopic flue kit designed for the convenient installation of new boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas standard horizontal flue,,1x Intergas horizontal 520mm telescopic flue;1x low profile elbow;2x rubber collars,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/86/101386_wm.jpg,,,N,Flue,Eco RFHRE,333869 PK,Standard Horizontal Flue,N,Suitable for use with all Intergas boilers,"Kit includes Intergas horizontal 520mm telescopic flue, low profile elbow and rubber collars",Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,"ECO RF, HRE, X",2160 kg
43,P468168,Biasi flue temperature probe,Biasi,40.16,"This Biasi temperature probe is a spare for the brand's Garda HE, Riva Compact HE and Riva Plus HE boilers. This probe reduces the current resistance as temperature increases and vice versa, informed by information received via a current from the electronic control board. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Biasi flue temperature probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/68/468168_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_M96A-24_28_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P101384,Intergas horizontal straight wall terminal 600mm,Intergas,133.56,"Compatible with a range of Intergas boiler units, the Intergas 600mm non-telescopic horizontal straight wall terminal is ideal for new boiler installations, offering a fixed length for fitting in straightforward locations.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas horizontal straight wall terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/84/101384_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P471741,Johnson and Starley flue temperature sensor,Johnson and Starley,22.13,"This Johnson and Starley flue temperature sensor is compatible with RENO Heat, RENO Xtra, RENO Combi and RENO System boilers.  The sensor is employed to increase circuit resistance in line with temperature drops. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Johnson and Starley flue temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/41/471741_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/J&S_Reno_HE25H_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P333745,Viessmann Flue Kit+K48 60/100Mm Dia,Viessmann,89.0,The telescopic flue kit adjusts in length reducing the need for cutting a standard flue pipe.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Flue Kit+K48 60/100Mm Dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/97/147197_wm.jpg,,,N,Fan Combustion Chamber,Vitodens,333745 PK,Telescopic Flue Kit,N,Saves cutting and chamfering standard flue,Adjustable length,White,Diameter 60/100mm,Part of the Viessmann Vitodens range,,,,,,,,,,,,,,,,,,,,,,K48,,Vitodens,
47,PU82444,Continental single regulator kit,Continental,54.14,"A Continental single cylinder regulator kit (non-OPSO) designed for use with propane gas cylinders. This regulator has a 4kg/hr capacity, 20 bar maximum inlet pressure and 37 mbar outlet pressure.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Continental single regulator kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/44/U82444_wm.jpg,,,N,Hydraulics,,MBSIN-T/P-POL,Regulator,N,Outlet test point on isolation valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P101344,Intergas Kit-A fitting (rear jig) 28/24,Intergas,92.4,This Intergas HRE 28/24 rear jig makes fitting Intergas brand boilers easier,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Kit-A fitting (rear jig) 28/24,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/44/101344_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/13/45/101344_101345.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P114536,Warmflow K-plume management kit,Warmflow,204.91,"Helping to combat pluming issues in challenging spots, the Warmflow K-plume management kit is compatible with high efficiency oil-fired boilers. This kit includes extensions, bends and clips as well as locking clamps for a more secure finish compared to push-fit.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Warmflow K-plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/36/114536_wm.jpg,,,N,Flue,K Series,KPMKUK,Plume Management Kit,N,"Specifically manufactured for high efficiency, oil-fired boilers",Simple fitting,,Locking clamp arrangement for added resilience and security compared to traditional push-fit set-ups,CE certification,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,K Series,
50,P141223,Intergas Rapid standard horizontal flue,Intergas,97.22,This Intergas Rapid standard horizontal flue is supplied with the fixings you'll require for a complete installation job. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Rapid standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/23/141223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/12/23/141223.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P439786,Reznor NORDAIR NICHE; REZNOR RHC4000; REZNOR RH8000;  35-25745 flue fan assembly,Reznor,2077.53,"This Reznor Nordair Niche replacement flue fan assembly is compatible with RHC21-8125 and RHC21-8150.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Reznor NORDAIR NICHE; REZNOR RHC4000; REZNOR RH8000;  35-25745 flue fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/86/NW-439786_wm.jpg,,,N,,,35-25745,Fan Assembly,N,Comb Fan with capacitor,Max permissable ambient or temp (Transp / Storage) + 80 Deg C,,Min permissable ambient motor temp (transp / storage) - 40 Deg C,Capacitor 400V-450V & 50/60Hz,,NORDAIR NICHE; REZNOR RHC4000; REZNOR RH8000;,,x  x,Combustion Venter Motor Assy - (Fan & motor used on the advised units),,,,,,,,,,,,,,,n/a,,,,,
52,P101362,Intergas 45deg bend 60/100mm,Intergas,42.0,Intergas 45 degree flue bend compatable with all Intergas flues (excpept the Rapid boiler range),Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas 45deg bend 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/62/101362_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P415744,Keston flue exhaust tube kit,Keston,210.72,"This Keston brand exhaust tube is a flue part and is compatible with Keston C boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Keston flue exhaust tube kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/44/415744_wm.jpg,,,N,Flue,Keston C,C17233001,Exhaust Tube,N,Suitable for use with Keston C units,Manufacturer part number C17233001,,Exhaust tube only,,,,,,,,,,,,,,,,,,,,,,"C40, C55 P, C55, C40 P","C55,C40 P,C55 P,C40",,,
54,P101361,Intergas 90deg bend 60/100mm,Intergas,42.0,Intergas 90 degree flue bend compatable with all Intergas flues (excpept the Rapid boiler range),Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas 90deg bend 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/61/101361_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P101345,Intergas Kit-A fitting (rear jig) 36/30,Intergas,92.4,This Intergas HRE 36/30 rear jig makes fitting Intergas brand boilers easier.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Kit-A fitting (rear jig) 36/30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/45/101345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/13/45/101344_101345.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P101386,Intergas horizontal offset telescopic wall terminal,Intergas,133.56,An Intergas 520mm horizontal telescopic flue kit designed for the convenient installation of new boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas horizontal offset telescopic wall terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/86/101386_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P101343,Intergas Kit-A fitting (rear jig) 24/18,Intergas,92.4,"An Intergas fitting kit A, complete with small rear jig, compatible with Compact HRE SB, Combi Compact ECO RF, Combi Compact HRE and Compact HRE OV boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas Kit-A fitting (rear jig) 24/18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/43/101343_wm.jpg,,,N,Hydraulics,"Compact HRE SB, Combi Compact ECO RF, Combi Compact HRE, Compact HRE OV",093187,Fitting Kit A,N,For rear jig,"Suitable for Compact HRE SB, Combi Compact ECO RF, Combi Compact HRE and Compact HRE OV",,,,,,,,,,,,,,,,,,,,,,,"4129101, 4729107, 4129102, 4729101, 4129103, 4729102, 4729103, 4129106, 4729105, 4729106, 4129104, 4129105","HRE SB 18, RF 36, HRE SB 24, HRE 24/18, HRE SB 30, HRE 28/24, HRE 36/30, HRE OV 30, RF 24, RF 30, HRE OV 18, HRE OV 24","HRE SB 30,HRE OV 18,HRE 36/30,HRE 28/24,HRE SB 24,HRE OV 30,RF 30,HRE SB 18,RF 36,RF 24,HRE 24/18,HRE OV 24",,,
58,P448888,Morco vertical flue,Morco,189.21,Vertical Flue,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco vertical flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/88/NW-448888_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Morco_FEB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
