,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3,Attachment 4,Attachment 5,Length (M),Double Sided,Diameter,Range,Weight,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Attachment 6,Attachment 7,Attachment 8,Application,Feature 9,Pack Quantity
23,PS63791,Sika Everbuild One Strike ONE1 one strike decor filler 1ltr (6),Sika Everbuild,8.18,"A ready-mixed lightweight filler, Sika Everbuild One Strike decor filler is formulated to prepare a wide range of surfaces ready for painting or wallpapering. Based on high-strength lightweight polymeric fillers, One Strike is suitable for professional or DIY use, outperforming conventional fillers in almost all applications. Drying to a smooth finish, this filler requires little or no sanding and is ready to paint or wallpaper over in 30 minutes.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Sika Everbuild One Strike ONE1 one strike decor filler 1ltr (6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/91/NW-S63791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Sika_Everbuild_One-Strike_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_One-Strike_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P582000,Denso anti corrosion petrolatum tape 50mm x 10mtr,Denso,9.61,"Cold-applied, this Denso 50mm anti-corrosion petrolatum tape remains plastic over a wide temperature range. Non-hardening and resistant to cracking, this tape is compatible with mineral acids, alkalis, salts and micro-organisms and is highly impermeable to water, water vapour and gases.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Denso anti corrosion petrolatum tape 50mm x 10mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/00/582000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/582000_04_Winn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/582000_04_Winn_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PN08343,CT1 BT1 535101 sealant 250ml White,CT1,11.22,"Formulated for kitchen and bathroom use, CT1 BT1 sanitary sealant is built around CTEC's innovative Tribrid technology, keeping bacteria and microbes at bay for improved hygiene where it matters most. Free from solvents and isocyanates and highly resistant to the growth of mould and fungi, white-coloured BT1 is ideal for use in clinical settings and will reliably bond a range of materials, including brick, wood, metal, fibreglass, ceramic and concrete, whether in dry and wet conditions.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> CT1 BT1 535101 sealant 250ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/43/NW-N08343_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CT1_BT1_MSDS_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/N08343_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P459234,Regin aluminium foil tape 45mm x 45mtr,Regin,8.36,"Offering excellent resistance to both low and high temperatures, this Regin 48mm, 30 micron aluminium foil tape has a flame-retardant acrylic adhesive on one side, backed with a protective silicone-coated release paper.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin aluminium foil tape 45mm x 45mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/34/NW-459234_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P581023,Laco Slic-Tite slictite paste 240ml,Laco,18.42,"Enabling easy disassembly, Laco silicate paste contains PTFE particles and will not dry out or harden over time.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Laco Slic-Tite slictite paste 240ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/NW-581023_581024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Laco_Slictite_Paste_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P457257,Regin heat sink compound,Regin,10.0,This Regin heat sink compound evenly dissipates heat at the probe for clamp-on and dry pocket boiler overheat thermostats.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin heat sink compound,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/NW-457257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/457257_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PN37658,Center CB universal silicone 300ml White,Center CB,6.2,"This Center CB white universal silicone sealant is ideal for sealing around worktops, weather sealing around windows, top sealing around windows and door frames or glazing.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB universal silicone 300ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/58/NW-N37658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10595,Maxam Dura+ adhesive sealant tube 290ml White,Maxam,8.79,"There's no longer any need to buy and transport multiple sealents, mastics, fillers and adhesives thanks to Maxam DURA+, a six-in-one hybrid adhesive sealant that works reliable on a wide range of surfaces, from lead to brick to glass. Sealing and bonding in any situation, even underwater, this high performance product can be used to fill, repair, plug and much more, helping you complete a variety of jobs without the hassle of using multiple tubes and bottles. Food-safe and chemical-resistant, DURA+ can be used in just about any room or situation and provides a tough yet flexible seal that's resistant to high temperatures and extremes of weather.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Maxam Dura+ adhesive sealant tube 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/95/T10595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/be/ls/Maxam product labels.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PN44056,CT1 construct adhesive Black,CT1,12.98,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its black colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> CT1 construct adhesive Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/N44056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,,
32,P454964,Regin gas tape 50mm x 66mtr,Regin,5.0,"An extra long roll of Regin 50mm gas tape, printed with GAS for identification.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin gas tape 50mm x 66mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/64/NW-454964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PF49938,McAlpine MACXSEAL MACXSEAL-CL hybrid sealant and adhesive 290ml Clear,McAlpine,12.87,"Suitable for use in all trades, McAlpine MACXSEAL-CL silicone and adhesive is compatible with sanitaryware, tiles and mirrors. It can be safely used on a variety of materials, including metal, wood, stone, concrete, marble and brick.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> McAlpine MACXSEAL MACXSEAL-CL hybrid sealant and adhesive 290ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/39/NW-F49938_F49939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/McAlpine_Macxseal_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_MACXSEAL-CL_WH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P457997,Regin high temperature silicone sealant 310ml Black,Regin,13.98,"This Regin black high temperature silicone sealant offers good adhesion to metal, glass and glazed ceramics, among others.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin high temperature silicone sealant 310ml Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/97/NW-457997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/457997_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P688715,Pump House thread sealant 39ml,Pump House,6.84,"Filling voids while creating a fluid-tight seal, this Pump House Pro-Tite resin-based thread sealant seals from full vacuum up to 10 psi. Specially formulated for metals and plastics subject to extreme vibration, this sealant has a wide temperature range of-73 to 204°C and is resistant to most chemicals, including refrigerants, petroleum products, gases and steam.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Pump House thread sealant 39ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/15/NW-688715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pump_House_DiversiTech_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Pro_Tite_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
36,P798006,Regin high temperature silicone 310ml White,Regin,13.98,"This Regin white high temperature silicone sealant offers good adhesion to metal, glass and glazed ceramics, among others.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin high temperature silicone 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/06/NW-798006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/798006_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P457268,Regin on/off tape,Regin,4.12,A roll of Regin 38mm ON/OFF tape.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin on/off tape,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/68/NW-457268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PN37675,Center CB gun grade foam 750ml,Center CB,12.71,"A single component, self-expanding polyurethane foam, this Center CB gun-grade fixing foam B3 with CFC-free propellant is supplied ready to use and contains completely harmless propellants. It is suitable for use in the installation of window and door frames, for filling cavities, sealing all openings in roof constructions and creation of soundproof screens. It is additionally ideal for the mounting and sealing of window and door frames, connecting insulation materials, roof constructions, applying soundproofing layers on motors, improving the thermal insulation in a cooling systems and installation of air conditioners.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB gun grade foam 750ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/75/NW-N37675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Center_SOUDAFOAMGUN_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/m_/b3/Trade Gun Grade Fixing Foam B3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P457213,Regin Tapes REGJ60 single sided foam sealing tape (1),Regin,7.89,A pack of two Regin single-sided 12 x 12mm foam sealing tape rolls for gap sealing.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin Tapes REGJ60 single sided foam sealing tape (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/13/NW-457213_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PS92227,Bostik Evo-Stik 30614757 Sticks Like Sh*t Aadhesive Clear (12),Bostik,6.99,"Suitable for use on almost all building materials, Bostik Evo-Stik Sticks Like Sh*t high performance clear grab adhesive, supplied in a pack of twelve 290ml tubes, is powerful enough to provide reliable and immediate grab in wet conditions. Offering excellent bond strength, Sticks Like Sh*t's SM polymer formulation is weatherproof and water-resistant, standing up to extreme temperatures and movement for use both inside and outside. Solvent-free, Evo-Stik Sticks Like Sh*t is suitable for use on wood, concrete, brick, plaster and glass. It also works effectively on ceramic, metals, rigid PVC, GRP, insulation boards and polystyrene foam.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Bostik Evo-Stik 30614757 Sticks Like Sh*t Aadhesive Clear (12),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/27/NW-S92227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Evo_Stik_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Clear_Adhesive_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,
41,PS92323,Bostik Evo-Stik sanitary silicone White,Bostik,6.65,"Waterproof and mould-resistant, this Bostik Evo-Stik sanitary silicone sealant is ideal for use around baths, sinks, showers and kitchen worktops.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Bostik Evo-Stik sanitary silicone White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/23/NW-S92323_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Evo_Stik_Silicone_Sealant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P830268,Regin flue & fire silicone black,Regin,4.47,"Designed to repair and seal joints that are subject to high temperatures, this Regin Flue’n’Fire Seal silicate cement is supplied in a 150ml tube with a nozzle for ease of application. With a black finish, this cement is well-suited to use on cookers or vehicle exhausts.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin flue & fire silicone black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/68/830268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Regin_REGZ32_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s3/Regin_SDS3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P439223,Regin Flow & Pressure REGU68 silicone tube (1),Regin,8.41,A 2M length of Regin Flow and Pressure clear silicone tube.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin Flow & Pressure REGU68 silicone tube (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/23/NW-439223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P691363,Emkarate RL RL32H Lubricant 5ltr,Emkarate,174.93,"Suitable for initial and service fill, Emkarate RL ISO VG 32 synthetic polyol ester (POE) lubricant is formulated for use in refrigeration and air-conditioning compressors using HFC refrigerants. Offering effective wear protection for steel and aluminium surfaces, this product increases system life and improves efficiency. Emkarate RL32H is suitable for use over a wide operating temperature range, thanks to low temperature characteristics and chemical and thermal stability.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Emkarate RL RL32H Lubricant 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/63/NW-691363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Chemical_Lubricant_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Emkarate_RL32H_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Emkarate_RL32H_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
45,P690288,Pump House Diversi-Flush HVAC flushing solvent kit,Pump House,416.28,"Formulated for refrigerant conversions and compressor burn-outs, Pump House Diversi-Flush HVAC flushing solvent kit for A/C and refrigeration systems is compatible with all refrigerants and compressor oils. Diversi-Flush has low toxicity, is non-flammable and residue-free.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Pump House Diversi-Flush HVAC flushing solvent kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/NW-690288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Diversi_Flush_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PM10359,Yesss Electrical insulation tape 19mm x 33mtr Black,Yesss Electrical,1.92,"This Yesss Electrical 19mm black insulation tape is made of a flame retardant, self-extinguishing PVC.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Yesss Electrical insulation tape 19mm x 33mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/59/NW-M10359_wm.jpg,,,Black,,N,Roll,,2420113,Tape,N,33M roll,Black colour,"Flame retardant, self-extinguishing PVC","Suitable for electrical insulation, binding, colour coding and general work",Meets BS EN 60454 standards,,,,,,,33m,No,,,,,,,,,,,,,,,,,
47,PN29668,Center extra strong multipurpose adhesive 290ml White,Center,6.78,"Offering a high final bond strength, this Center CB extra-strong multi-purpose white adhesive is suitable for interior and exterior bonding, adhering well to all common building surfaces. It is UV-resistant, water-resistant and over-paintable.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center extra strong multipurpose adhesive 290ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/68/NW-N29668_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_N29668_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Wolseley_Plumbing-Heating_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P457178,Regin vynl/lamin gas tape,Regin,4.24,A high quality roll of Regin 50mm gas tape.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Regin vynl/lamin gas tape,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/78/NW-457178_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PE68162,Geocel fire stop seal 380ml White,Geocel,7.21,"Designed for internal use, Dowsil 400 firestop intumescent acrylic sealant is an intumescent acrylic sealant formulated to maintain the integrity of re walls and partitions, providing up to a two hour fire rating. Dowsil 400 firestop will not emit halogenated by products under re conditions.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Geocel fire stop seal 380ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/62/NW-E68162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Geocel_FIRESTOP_400_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Geocel_FIRESTOP_400_H&S.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dowsil_Firestop400_Sealant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
