,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Type,Material Type,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Feature 5
41,PT83606,JET Range zinc plated penny washer 30mm (m6) (250),JET Range,0.25,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 30mm (m6) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/38/580738_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.6M30WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
42,P257476,Center oval diaphragm washers 130 mm (5),Center,2.26,"Designed for sealing the water housing on a toilet siphon, these Center 130mm oval diaphragm washers can be used on any lever-operated siphon, helping to ensure good levels of water efficiency.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center oval diaphragm washers 130 mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/76/257476_wm.jpg,,5,N,EPDM,130 mm,5,N/A,PPSTAP374517,N,Pack of 5,EPDM construction,Clear colour,,Oval shaped,,,,,,,,,,
43,PT83612,JET Range zinc plated penny washer 30mm (m10) (250),JET Range,0.21,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 30mm (m10) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.10M30WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
44,PT83608,JET Range zinc plated penny washer 25mm (m8) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 25mm (m8) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/09/NW-T83608_T83609_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.8M25WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
45,P257493,Center mixed poly syphon washers (10),Center,3.57,"Containing a variety of sizes for convenience on every job, this pack of Center poly siphon washers seal the water housing on a toilet siphon. Suitable for use with lever-operated siphons, seals of this type help to ensure flushing efficiency.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center mixed poly syphon washers (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/93/257493_wm.jpg,,10,N,EPDM,Various / Mixed,10,N/A,PPSTAP374518,N,Pack of 10,Mixed sizes,EPDM construction,,Clear colour,,,,,,,,,,Round shape
46,PT83589,JET Range zinc plated b-washer (m16) (250),JET Range,0.4,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m16) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,250,N,Steel,M16,,Flat Washer,.16MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
47,P257469,"Center 1/2"" washer 5pk (for armitage)",Center,2.1,"An ideal replacement for Armitage or Pegler tap washers, these Center 1/2"" tap washers are supplied in a useful pack of five.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center 1/2"" washer 5pk (for armitage)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/69/257469_wm.jpg,,,N,Rubber,12,5,N/A,PPSTAP374523,N,Pack of 5,Thermoplastic rubber/evoprene construction,Compatible with Pegler tap range,,,,,,,,,,,,
48,P402282,Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1),Thomas Dudley,0.61,An easy to install Thomas Dudley diaphragm washer for a Turbo 88 siphon.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/82/NW-402282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Thomas_Dudley_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
49,P515553,Wavin Wavin Hep2O HX57/15 GR conical tap connector washers 15mm,Wavin,4.67,"Made of rubber, this Wavin Hep2O HX57 15mm conical tap connector can be used in cold flexible plumbing systems accepting push-fit connections.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Wavin Wavin Hep2O HX57/15 GR conical tap connector washers 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/53/NW-515553_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,
50,PC58912,Thomas Dudley Dudley O ring repair kit box,Thomas Dudley,13.36,Plumbers O-ring repair kit box.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Thomas Dudley Dudley O ring repair kit box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/12/C58912_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
51,PM92106,M Greenaway And Son square plate washer 5mm (m12),M Greenaway And Son,1.74,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 14mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> M Greenaway And Son square plate washer 5mm (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/06/NW-M92106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1242_6_Technical.pdf,,,,,,,
52,PC59142,Thomas Dudley siamp diaphragm washer,Thomas Dudley,7.15,"Made of rubber, this Thomas Dudley 29mm diaphram washer is suitable for use on Siamp inlet valves.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Thomas Dudley siamp diaphragm washer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/42/C59142_wm.jpg,,,N,Rubber and plastic,29 mm,1,Diaphragm Washer,PPSWAT368525,N,"For fast, easy replacement",Rubber and plastic construction,,,,,,,,,,,,,
53,PN57125,Owlett Jaton square plate washer m10,Owlett Jaton,1.04,These Owlett Jaton 50 x 50 x 3mm square plate washers with M10 inside diameter are made of steel with a bright zinc plate coating. They should be used with carriage bolts and nuts.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Owlett Jaton square plate washer m10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-N57125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
