,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Bundles,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Part Gas Council number,By Model Number,Application,Feature 3,Length (M),Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Boiler Section,Warranty,Pack Quantity,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,Gender,Material,Size,Connection Type 1,Attachment 3,Boiler Range,Attachment 4
30,P417618,Parts Parts 981142 o-ring (pack of 10),Parts,9.64,"A pack of ten Vaillant packing rings for use in a range of commercial ecoTEC boilers.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Parts Parts 981142 o-ring (pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/18/417618_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_838_Spares_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Vaillant_ecoTECplus_VIH_CL_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_VUW_Parts_Catalogue.pdf,,
31,P117341,Vaillant 87 deg elbow 110/160mm,Vaillant,90.44,"Vaillant's 87° flue elbow helps make installation of ecoTEC boilers easier and more flexible, allowing for the safe routing of steam and gases away from a property while siting a boiler in the most convenient location.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant 87 deg elbow 110/160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/41/117341_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/73/41/117341.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P481332,Broag complete syphon assembly,Broag,401.49,A Broag siphon assembly for Remeha (Baxi) commercial boilers. A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Broag complete syphon assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/32/NW-481332_wm.jpg,,,N,,x  x,S58611,Syphon Assembly,N,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year,,,,,,,,,,,,,
33,P417616,Parts S5485100 gasket (pack of 100),Parts,27.12,"This pack of 100 Saunier Duval gaskets is ideal for the maintenance and servicing of a wide variety of boilers, including those in the Ultracom, C-CI and Ultrapower SXI ranges.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Parts S5485100 gasket (pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/16/417616_wm.jpg,,,N,,x  x,10517,Gasket,N,,,,260342,,,,,,,,,,,,,,,,,,,,,,Hydraulics,,Pack of 100,,,,,,,,,,,"CXI, Enviroplus, Isofast, Opalis, Themaclassic, C-CI, Eden, SI, Ultrapower, Xtrafast, Ecosy, Master Twin, Thema, Themaplus, Miscellaneous, SXI, Xtramax, Isomax, Combitek, Opalia, Thelia, Isotwin, Sylva",
34,P107182,Ideal Spares horizontal flue kit 80/125mm,Ideal,147.0,"This Evomax wall flue kit for Evomax boilers is based around a 80/125 C-type concentric flue. Adapter, screws, locking collars and elbow are supplied.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal Spares horizontal flue kit 80/125mm,,EVO FLUE - HORZ FLUE KIT DIA 80/125MM,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/82/NW-107182_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax_Condensing_Prdt_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax_30_150_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P449160,Ambirad 201508 pressure switch,Ambirad,127.02,"This Ambirad Huba pressure switch is suitable for use in commercial boilers.  A vital safety device, a boiler’s air pressure switch ensures the  unit’s fan is working correctly. Preventing the build-up of toxic gases in case of a fan failure, this switch is monitored by the boiler’s PCB to make sure it’s fully functional before firing the system up for reliably safe operation.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ambirad 201508 pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/60/449160_wm.jpg,,,N,,x  x,201508,Pressure Switch,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PS12389,SIRIUS CASCADE FRAME 2 IN-LINE 50-70KW,Potterton,3290.0,"This Potterton Sirius 2 boiler inline cascade frame is designed for use with the Sirius three WH boiler range and accommodates up to six boilers in total, delivering 9:1 modulation per unit. Compact and modular, this floor standing framework features quality Omega-flex Trac-pipe gas pipework and with everything you need to complete set-up and installation included in the box, you'll be able to get the job done quickly and with minimal stress.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> SIRIUS CASCADE FRAME 2 IN-LINE 50-70KW,,Floor standing boiler frame;Flow/return pipework headers;Gas pipework header;Isolation valve kit for flow/return;Gas isolation valve kit;Grundfos primary loop pumps (controlled by boilers);Prefabricated push fit - pipework insulation;Low loss header,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/89/S12389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_SS_Boiler_Range_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Potterton_Sirius_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Cascade_Frame_Installation.pdf,,
37,P111360,"Ideal EvoMax 2 insulation starter kit, low height DN50/60",Ideal,252.0,This Ideal Evomax 2 DN50/60 low height insulation starter kit is designed for use on Evomax 2 commercial boilers.,"Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal EvoMax 2 insulation starter kit, low height DN50/60",,EVOMAX2 INSUL START KIT - LH - DN50/100,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/111360_wm.jpg,,,N,,830 X 585 X 250,223032,Low Loss Header Insulation Kit,N,For commercial boiler use,Genuine Ideal part,EVOMAX 2,n/a,,,Suitable for use in Ideal Evomax 2 boilers,,For low height installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P195745,Bosch pump group 70kW 3bar PRV (1),Bosch,520.0,"This Bosch 70kW, 3 bar pump group pressure relief valve (PRV) helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch pump group 70kW 3bar PRV (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/45/195745_wm.jpg,,,N,,,7736701864,Boiler Accessories,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
39,P411578,Vaillant burner flange,Vaillant,154.05,"A genuine Vaillant part, this flange is compatible with commercial ecoTEC VU boiler installations.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant burner flange,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/78/411578_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_SpareParts_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_Plus_Parts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P117798,VAILLANT VERT TERMINAL CONC BLK 110/160,Vaillant,238.59,A Vaillant 160mm vertical flue duct for use with Vaillant DDF 110/160 and fixing clamp DN 160. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> VAILLANT VERT TERMINAL CONC BLK 110/160,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/98/NW-117798_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Vaillant_Product_Brochure_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P195747,Bosch pump group 150kW 4bar PRV,Bosch,780.0,"This Bosch 150kW 4 bar PRV pump group is built around a WILO Stratos PARA 25/1-12 high efficiency pump with 4 bar safety valve. Also included is a gas tap with integrated fire protection valve, stopcocks, a pressure gauge, a connection for an external MAG and a KFE tap.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch pump group 150kW 4bar PRV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/47/195747_wm.jpg,,,N,,,7736702214,Pump group,N,,,,,,,,,,,,,,,,,,,,,,,,,,,Unavailable,,600,,,,,,,,,,,
42,P117339,Vaillant horizontal terminal 100/160mm air/flue duct extention 110/160mm,Vaillant,97.72,A 110/160mm flue duct extension for convenient fitting of boiler flues. The flue ensures the safe expulsion of gases and steam produced during boiler operation.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant horizontal terminal 100/160mm air/flue duct extention 110/160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/39/117339_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/73/39/117339.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P411564,Vaillant cap,Vaillant,31.15,"Suitable for multiple appliances, this Vaillant condensate trap cap is a replacement part for a boiler's condensate trap. The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A discharge pipe connected to the condensate trap sends held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/64/411564_wm.jpg,,,N,,,180915,,N,Vaillant spare part,Fits multiple appliances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Condensate Trap Cap,,,
44,P120559,BASIC KIT 2 APP-INLINE 160MM 160 - 240KW,Vaillant,266.31,A Vaillant 160/225mm inline flue kit for up to 240kW. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> BASIC KIT 2 APP-INLINE 160MM 160 - 240KW,,"Siphon;Terminal with condensate discharge;Inspection elbow, 110mm (W) x 140mm (H);Inspection elbow, 110mm (W) x 390mm (H);2x flue pipes with oblique entry",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/59/120559_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/05/59/120559.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_Cmmrcl_System_Boiler_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PS12495,Potterton low loss header,Potterton,270.0,"Supplying hydraulic separation between a boiler, often referred to as the primary circuit, and its attached heating system, or secondary circuit, this Potterton low loss header ensures that flow through a variety of heating zones won't be impacted by changes or variations in temperature or incoming flow.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Potterton low loss header,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/95/S12495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Potterton_Gold_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P146439,Vaillant ecoTEC plus 424 boiler 424 LPG,Vaillant,1446.03,"The Vaillant ecoTEC plus 424 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 24kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant ecoTEC plus 424 boiler 424 LPG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/39/146439_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf
47,P114918,HEADER INLINE (X5) DN100,Ideal,5394.0,"An Ideal Evomax 2 inline x5 header with DN100 connections.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> HEADER INLINE (X5) DN100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/g_/01/Evomax_Cascade_IMG_01_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax_2_Boiler_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Independent_Heat_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P411589,Vaillant flue pipe end piece DN60 Black,Vaillant,8.11,A Vaillant 60mm DN60 flue pipe end piece in black. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant flue pipe end piece DN60 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/89/411589_wm.jpg,,,N,,,20231444,,N,Vaillant spare part,Black colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm,Flue Pipe,,,
49,P108785,Glow-worm Flue Range 60/100 vertical flue terminal 60/100mm Black,Glow-worm,120.81,This Glow-worm 60/100mm vertical flue terminal is made of black polypropylene (PP). A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Glow-worm Flue Range 60/100 vertical flue terminal 60/100mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/85/NW-108785_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Energy_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P408104,Broag heat exchanger 65kw,Broag,4264.8,"This Broag 65kW heat exchanger is a genuine replacement part for Remeha (Broag and Baxi) commercial boilers. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Broag heat exchanger 65kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/04/NW-408104_wm.jpg,,,N,,x  x,S101551,Heat Exchanger,N,Easy to Replace,High Quality,,H05467,Pro 65,,,,,,,,,,,,,,,,,,,,32.05000,,1 year,,,,,,,,,,,,,
51,P127035,Vaillant air/flue external duct 60/100 4000mm,Vaillant,200.53,This Vaillant flue 100mm x 4M flue duct extension if suitable for Vaillant 600/100 PP horizontal wall terminals.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant air/flue external duct 60/100 4000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/NW-127035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boiler_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P123641,Ideal Spares Pack-D high efficiency flue extension,Ideal,51.06,"An Ideal 100 x 950mm flue extension kit pack D in white, suitable for Logic, Logic+, Vogue GEN2, Classic HE and Mexico HE boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal Spares Pack-D high efficiency flue extension,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/41/NW-123641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_HE-Heat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P117793,Vaillant low loss header max 8000l/hr,Vaillant,335.36,"Designed for use with cascade systems, the Vaillant WH95 low loss header maintains a suitable flow of water through a boiler for a consistent temperature for multiple heating circuits downstream of the low loss header connection.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant low loss header max 8000l/hr,,Lowloss HeaderVR10 temperature sensorinsulation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/93/117793_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/77/93/117793.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_Cmmrcl_System_Boiler_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P107173,Ideal Spares 45deg elbow kit 100/150mm,Ideal,47.0,This Ideal 100/150mm 45° elbow kit is suitable for the fitting of Evomax 30 - 80 boilers.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal Spares 45deg elbow kit 100/150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/73/NW-107173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Evomax-2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P411552,Vaillant connection,Vaillant,77.64,"Supplied with O-ring and packing ring, this Vaillant 90° elbow is suitable for use in VU 656/4-5 boilers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant connection,,ElbowO-ringPacking ring,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/52/411552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_SpareParts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P195765,Bosch low loss header plus insulation 300kW (1),Bosch,569.0,"Suitable for use with Condens 7000 WP single boilers or TL2/TR2 cascades, this Bosch 300kW low loss header with insulation comprises a hydraulic separator, Victaulic couplings and a system-side DN65 PN6 connection. Also included is a 10mm diameter, 200mm length immersion sleeve. It is suitable for volume flows no higher than 10K on the secondary side.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch low loss header plus insulation 300kW (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/65/195765_wm.jpg,,,N,,,7736701907,Low Loss Header,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1000,,,,,,,,,,,
