,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Weight,Connection Type 1,Connection Type 2,Diameter,Length (M),Pack Quantity,Attachment 4,Attachment 5
26,PP82408,Gps Pe Pipe Systems GPS PE BLACK HPPE pipe 16bar 160mm x 6M Black,Gps Pe Pipe Systems,299.93,"The GPS PE Black range is the universal solution for potable and raw water in above ground, hydropower, industrial and other wastewater applications, comprising a range of high performance polyethylene (PE) pipes, complete with a wide variety of fully compatible and approved fittings options.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems GPS PE BLACK HPPE pipe 16bar 160mm x 6M Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/08/NW-P82408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GPS_PE_Pipe_Systems_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
27,PP58411,M OF UPO WHITE PEX IN  100M COIL 12X1.1,Uponor,1.59,"Designed for general plumbing use, this diffusion-resistant Uponor 12mm PE-X pipe, supplied in a 100M length, can also be used for radiator connections. 1.1mm thick, this five-layer pipe is approved for use in both hot and cold water applications.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> M OF UPO WHITE PEX IN  100M COIL 12X1.1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/11/NW-P58411_wm.jpg,,,,White,,N,WRAS,Cross-Linked Polyethylene (PE-X),12mm,1.1,1085245,Pex Pipe,N,Diffusion-resistant,Five-layer construction,Manufactured to ISO 15875 for hot and cold water and heating applications,WRAS approved,0.03000,,,,100,,,
28,PP82510,Gps Pe Pipe Systems Excel SDR17 HPPE pipe 10bar 90mm x 6mtr Blue,Gps Pe Pipe Systems,72.4,"Suitable for water or sewage use, the GPS PE Pipe Systems Excel SDR17 6M blue pipe coil has 90mm welded connections. This pipe is made from strong PE100 polymer, a high density alternative to PE80, providing high resistance to rapid crack propagation in temperatures of 60°C to -30°C as well as to long-term stress cracking, allowing Excel to be used in hostile conditions and at higher working pressures than PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR17 HPPE pipe 10bar 90mm x 6mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/10/NW-P82510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GPS_PE_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
29,P581338,JG Speedfit barrier pipe 15mm x 6mtr Blue,JG Speedfit,11.66,"Supplied in a 6M length, this JG Speedfit 15mm blue PE-X pipe is an ideal choice for short runs where a harder pipe material is desirable. Incorporating five layers, this pipe has a central blue-coloured oxygen barrier, preventing air ingress and reducing the effect of corrosion on the system's metal components. Thanks to its low thermal conductivity, Speedfit stays cool to the touch when carrying hot water for reliable safety.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe 15mm x 6mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/38/NW-581338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
30,PP80461,Gps Pe Pipe Systems PE80 MDPE pipe 125mm x 6mtr Yellow,Gps Pe Pipe Systems,428.96,"This GPS PE Pipe Systems PE80 125mm pipe is manufactured from medium density polyethylene (MDPE). With higher long term stress crack resistance, MDPE is a reliable alternative to traditionally used HDPE PE80. This 6M pipe is supplied in yellow, suitable for below ground gas supplies.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems PE80 MDPE pipe 125mm x 6mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/61/NW-P80461_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Pipe_Systems_PE_Pipe_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
31,PP82460,Gps Pe Pipe Systems SDR11 MDPE pipe coil SDR11 50mm x 100mtr Blue,Gps Pe Pipe Systems,698.48,"This GPS PE Pipe Systems Excel SDR11 100M light blue pipe coil with 50mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems SDR11 MDPE pipe coil SDR11 50mm x 100mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
32,PP28497,Gps Pe Pipe Systems MDPE pipe 10bar 63mm x 6mtr Black,Gps Pe Pipe Systems,118.04,"Measuring 6M in length and with a diameter of 63.4mm, this GPS PE80 SDR11 polyethylene (PE) pipe is designed for use in water and gas supplies outside Europe. It is also compatible with UK potable water supplies above ground and can be used in above or below ground in industrial applications.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems MDPE pipe 10bar 63mm x 6mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/97/NW-P28497_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_Range_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/11/GPS_Pipe_Systems_Brochure_May2011.pdf,,,,,,,,,,,,,,,,,,,,,,,
33,PP80439,Gps Pe Pipe Systems PE80 MDPE pipe coil 32mm x 50mtr Yellow,Gps Pe Pipe Systems,129.3,"This GPS PE Pipe Systems PE80 32mm pipe is manufactured from medium density polyethylene (MDPE). With higher long term stress crack resistance, MDPE is a reliable alternative to traditionally used HDPE PE80. This 50M pipe is supplied in yellow, suitable for below ground gas supplies.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems PE80 MDPE pipe coil 32mm x 50mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-P80439_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Pipe_Systems_PE_Pipe_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
34,PP82464,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 150mtr Blue,Gps Pe Pipe Systems,436.87,"This GPS PE Pipe Systems Excel SDR11 150M light blue pipe coil with 32mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 150mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
35,PP82457,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 100mtr Blue,Gps Pe Pipe Systems,138.21,"This GPS PE Pipe Systems Excel SDR11 100M light blue pipe coil with 20mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 100mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
36,PP28509,Gps Pe Pipe Systems Protecta-Line SDR11 pipe coil 50mtr x 90mm,Gps Pe Pipe Systems,1971.94,"Made of polyethylene (PE100), this GPS PE Pipe Systems Protecta-Line SDR11 50M blue pipe coil with 90mm plain end connections offers proven protection against all recognised brownfield contaminants, organic and inorganic, even at maximum reported concentrations.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Protecta-Line SDR11 pipe coil 50mtr x 90mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-P28509_P28510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/GPS_PE_Protecta_Line_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GPS_PE_Protecta_Line_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GPS_PE_Protecta_Line_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,
37,PP82601,Gps Pe Pipe Systems Protecta-Line SDR11 pipe coil 6mtr x 90mm,Gps Pe Pipe Systems,236.64,"Made of polyethylene 100 (Excel), this GPS PE Pipe Systems Protecta-Line SDR11 6M blue straight pipe with 90mm plain end connections offers proven protection against all recognised brownfield contaminants, organic and inorganic, even at maximum reported concentrations.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Protecta-Line SDR11 pipe coil 6mtr x 90mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/05/NW-P82600_P82605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/GPS_PE_Protecta_Line_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GPS_PE_Protecta_Line_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GPS_PE_Protecta_Line_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P82601_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf
38,PP82452,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 50mtr Blue,Gps Pe Pipe Systems,69.11,"This GPS PE Pipe Systems Excel SDR11 50M light blue pipe coil with 20mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 50mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
39,PP82270,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 50mtr Black,Gps Pe Pipe Systems,1445.47,"Made of high performance polyethylene, or HPPE, in black, this 50M GPS PE Pipe Systems Excel SDR11 63mm pipe coil is fitted with welded connections. Suitable for carrying water or sewage, this pipe is constructed using a durable PE100 polymer, a high density alternative to PE80. Highly resistant to rapid crack propagation and long-term stress cracking, PE100 withstands temperatures of between 60°C and -30°C.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 50mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/70/NW-P82267_P82270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
40,P517505,JG Speedfit barrier pipe coil 22mm x 25mtr,JG Speedfit,95.32,"This JG Speedfit 22mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 25M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 22mm x 25mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
41,P517503,JG Speedfit barrier pipe coil 15mm x 50mtr,JG Speedfit,97.18,"This JG Speedfit 15mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 50M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 15mm x 50mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
42,PP82603,Gps Pe Pipe Systems Protecta-Line SDR17 pipe coil 6mtr x 125mm,Gps Pe Pipe Systems,312.22,"Made of polyethylene 100 (Excel), this GPS PE Pipe Systems Protecta-Line SDR17 6M blue straight pipe with 1250mm plain end connections offers proven protection against all recognised brownfield contaminants, organic and inorganic, even at maximum reported concentrations.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Protecta-Line SDR17 pipe coil 6mtr x 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/05/NW-P82600_P82605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/GPS_PE_Protecta_Line_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P82603_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GPS_PE_Protecta_Line_Instal.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GPS_PE_Protecta_Line_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf
43,P517501,JG Speedfit barrier pipe coil 10mm x 100mr,JG Speedfit,157.65,"Made up of five layers, this JG Speedfit 10mm barrier pipe has a central blue-coloured oxygen barrier, keeping air from entering the system, ensuring improved corrosion resistance. Supplied in a 100M length, JG Speedfit PE-X pipe is designed for low thermal conductivity meaning it won't become hot to the touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 10mm x 100mr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
44,P517517,JG Speedfit barrier pipe length 28mm x 6mtr,JG Speedfit,31.4,"JG Speedfit 28mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 6M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe length 28mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
45,PP82265,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 25mtr Black,Gps Pe Pipe Systems,722.74,"Suitable for water or sewage use, the GPS PE Pipe Systems Excel SDR11 25M black pipe coil is made of high performance polyethylene (HPPE) and has 63mm welded connections. This pipe is made from strong PE100 polymer, a high density alternative to PE80, providing high resistance to rapid crack propagation in temperatures of 60°C to -30°C as well as to long-term stress cracking.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 25mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/65/NW-P82265_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
46,PP82461,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 100mtr Blue,Gps Pe Pipe Systems,1095.89,"This GPS PE Pipe Systems Excel SDR11 100M light blue pipe coil with 63mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 100mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
47,PP82465,Gps Pe Pipe Systems GPS PE BLUE SDR11 MDPE coil 50 mm x 150 m SDR11 Blue,Gps Pe Pipe Systems,1047.73,"The GPS PE Blue range is the most complete solution for potable water supply, comprising a range of high performance polyethylene (PE) pipes, complete with a wide variety of fully matched fittings options and boundary boxes.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems GPS PE BLUE SDR11 MDPE coil 50 mm x 150 m SDR11 Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
48,PP82458,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 100mtr Blue,Gps Pe Pipe Systems,172.78,"This GPS PE Pipe Systems Excel SDR11 100M light blue pipe coil with 25mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 100mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
49,PP82455,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 50mm x 50mtr Blue,Gps Pe Pipe Systems,349.25,"This GPS PE Pipe Systems Excel SDR11 50M light blue pipe coil with 50mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 50mm x 50mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
50,PP82450,GPS 50MMX25M COIL MDPE BLU SDR11,Gps Pe Pipe Systems,174.62,"This GPS PE Pipe Systems Excel SDR11 25M light blue pipe coil with 50mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> GPS 50MMX25M COIL MDPE BLU SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
