,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Sector,Feature 6,Attachment 1,Attachment 2,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Weight
26,PJ23585,Ideal Standard Contour 21+ doc M back to wall left handed rails Grey,Ideal Standard,1278.8,"Doc M Contour 21+ back to wall left hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M back to wall left handed rails Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,Contour 21,N,S0685LJ,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
27,PD30599,Ideal Standard Contour 21 Doc-M shower rails Grey,Ideal Standard,2669.71,"Designed for ambulant disabled users, this Armitage Shanks Doc M shower room pack in grey is also suitable for walking impaired and infirm people. Creating a slip-resistant shower area, this handy all-in-one pack includes a hinged seat for seated showering, a lever-operated shower mixer and adjustable shower head as well as a shower curtain and grab rails. TMV3 approved, the included thermostatic shower valve, best-suited to duct installation, provides safe showering at a constant temperature.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21 Doc-M shower rails Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/99/NW-D30599_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6960_Technical.pdf,,,,,,,,,,,,,,
28,PB97306,CONTOUR 21 DOC M BLUE RAILS AMBULANT CC,Ideal Standard,586.6,"Designed for convenient use by walking impaired people, this Ideal Standard Contour 21+ Doc M ambulant care pack makes it easy to create an accessible bathroom. It includes a close-coupled WC and cistern with easy to use spatula lever, grab rails, a toilet seat with retaining buffers and a handy white plastic clothes hook.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> CONTOUR 21 DOC M BLUE RAILS AMBULANT CC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/06/NW-B97306_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Contour21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Ideal_Doc-M_Contour_21+_S6958_Tech.pdf,,,,,,,,,,,,,
29,PJ23577,CONTOUR 21+ DOC M S/STEEL RAILS C/C LH,Armitage Shanks,1794.33,"Doc M Contour 21+ close coupled left hand corner pack, WC pan, water saving delay fill cistern with spatula lever, basin, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> CONTOUR 21+ DOC M S/STEEL RAILS C/C LH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/lh/S0683_LH_wm.jpg,Contour 21,N,S0683MY,Close Coupled Left Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
30,PJ23591,Ideal Standard Contour 21+ doc M back to wall right handed rails Stainless Steel,Ideal Standard,1794.33,"Doc M Contour 21+ back to wall right hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M back to wall right handed rails Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/rh/S0686_RH_wm.jpg,Contour 21,N,S0686MY,Back to Wall Right Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
31,PJ23587,Ideal Standard Contour 21+ doc M back to wall left handed rails Charcoal,Ideal Standard,1278.8,"Designed to meet up to date Doc M requirements, this Ideal Standard Doc M Contour 21+ back-to-wall left hand corner bathroom pack includes a basin with tap mounted on the side of the basin closest to the user for easier use. In addition to the basin and tap, this pack also includes a rimless WC pan, water saving 4.5/6L delay fill Conceala cistern with spatula lever, grab rails, a hinged support rail with toilet roll holder and a cover-free seat with retaining buffers. Fitted with copper tails for convenient installation, the included basin mixer tap is TMV3 approved to reduce the risk of scalding while the integral thermostat also prevents the development of Legionella.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M back to wall left handed rails Charcoal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,Contour 21,N,S0685RN,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
32,PB79439,DOC M RIMLESS BTW PK R/H CONC FIXINGS GR,Geberit,1229.3,"Allowing for complete accessible use of a bathroom, this Twyford Doc M rimless BTW right handed pack in grey includes the Twyford 700mm projection Rimfree pan and a concealed 4L flush cistern and lever with a 50mm WC extension. To complement the toilet a seat ring with stainless steel bar hinge, top fix and stability buffers and a Doc. M back support with cushion is included. The square design 400mm overflow-free handrinse basin is supplied with a thermostatic basin mixer with fixed spout and copper tails along with a grid waste and wall bolts. For secure, confident use, this Doc M pack includes four 600mm grab rails, a 450mm grab rail and a hinged support rail and toilet roll holder, all with concealed fixings.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> DOC M RIMLESS BTW PK R/H CONC FIXINGS GR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79439_Primary_Image_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/B79439_Tech_Sheet.pdf,,,,,,,,,,,,,,
33,PB97320,Armitage Shanks Contour 21 DOC-M shower rail White,Armitage Shanks,2669.71,"Designed for ambulant disabled users, this Armitage Shanks Doc M shower room pack in white is also suitable for walking impaired and infirm people. Creating a slip-resistant shower area, this handy all-in-one pack includes a hinged seat for seated showering, a lever-operated shower mixer and adjustable shower head as well as a shower curtain and grab rails. TMV3 approved, the included thermostatic shower valve, best-suited to duct installation, provides safe showering at a constant temperature.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21 DOC-M shower rail White,,"2 x hinged support arms, shower seat, mixer, handspray, divertor, handset holder, shower curtain, backrest, shower rail, coat hook, shower head, hose, wall elbow, 3 x 60cm grabrail and 2 x 45cm grabrail",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0(/1)/B97320(1)_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_PartM_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,
34,PB97373,Ideal Standard Contour 21 Doc-M left hand wall hung rails Chrome,Ideal Standard,2583.94,Doc M Wall Mounted Left Or Right Hand Packs Doc M wall mounted rimless WC pack. Specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need.Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5/3 litre dual flush cistern.,Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21 Doc-M left hand wall hung rails Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/73/B97373_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,,
35,PJ23582,Armitage Shanks Contour 21+ doc M close coupled right handed rails Charcoal,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled right hand corner pack, WC pan, water saving delay fill cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled right handed rails Charcoal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/rh/S0684_RH_wm.jpg,Contour 21,N,S0684RN,Close Coupled Right Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
36,PJ23588,Armitage Shanks Contour 21+ doc M back to wall right handed rails White,Armitage Shanks,1278.8,"Doc M Contour 21+ back to wall right hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M back to wall right handed rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/rh/S0686_RH_wm.jpg,Contour 21,N,S0686AC,Back to Wall Right Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
37,PJ23576,Armitage Shanks Contour 21+ doc M close coupled left handed rails Blue,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled left hand corner pack, WC pan, water saving delay fill cistern with spatula lever, basin, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled left handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/lh/S0683_LH_wm.jpg,Contour 21,N,S0683LI,Close Coupled Left Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
38,PJ23599,Ideal Standard Contour 21+ doc M standard right handed rails White,Ideal Standard,1355.58,"Doc M Standard low level right hand corner pack, WC with spacer box low level cistern, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M standard right handed rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/rh/S0690_RH_wm.jpg,Contour 21,N,S0690AC,Standard Right Handed Rails,N,Delivered in one box,Option for Blue rails and seat,LABC approved,BS8300 compliant,,,,,,,,,,,,,,,,,,
39,PJ23602,Ideal Standard Contour 21+ doc M standard right handed rails Blue,Ideal Standard,1355.58,"Doc M Standard low level right hand corner pack, WC with spacer box low level cistern, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M standard right handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/rh/S0690_RH_wm.jpg,Contour 21,N,S0690LI,Standard Right Handed Rails,N,Delivered in one box,Option for Blue rails and seat,LABC approved,BS8300 compliant,,,,,,,,,,,,,,,,,,
40,PJ23578,Armitage Shanks Contour 21+ doc M close coupled left handed rails Charcoal,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled left hand corner pack, WC pan, water saving delay fill cistern with spatula lever, basin, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled left handed rails Charcoal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/lh/S0683_LH_wm.jpg,Contour 21,N,S0683RN,Close Coupled Left Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
41,PB79408,Twyford DOC M Exposed Shower PK CONC Fixings Bl,Geberit,1859.48,"This Twyford Doc M Exposed Shower Pack is designed to provide enhanced accessibility, safety, and convenience in showering areas.  The components are ergonomically designed to enhance accessibility, making showering safer and more comfortable for users with limited mobility. Ideal for both commercial and residential settings, the Doc M Shower Pack meets the requirements of Document M, ensuring accessibility for all users, including those with disabilities. Designed with concealed fixings, this shower pack provides a clean, sleek look while ensuring a secure and sturdy installation. The pack includes grab rails and a fold-up shower seat to provide additional support and safety for users, reducing the risk of slips and falls. Crafted from high-quality materials, the Twyford Doc M Shower Pack is built to withstand regular use, ensuring long-lasting durability and reliability.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Twyford DOC M Exposed Shower PK CONC Fixings Bl,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/08/B79408_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/B79408_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/B79408_Tech_Sheet.pdf,,,,,,,,,,,,,
42,PJ23572,CONTOUR 21+ DOC M WHITE RAILS PENINSULAR,Ideal Standard,1647.29,Peninsular pack together with larger washbasin to provide improved facility for personal washing. Users can transfer from the left or right side of the WC pan. Blue rails for extra contrast in healthcare to aid visually impaired. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk.,Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> CONTOUR 21+ DOC M WHITE RAILS PENINSULAR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ul/ar/Contour21_Peninsular_wm.jpg,Contour 21,N,S0682AC,,N,Illustrated with Blue rails [LI],Large washbasin,Options for white seat & rails,LABC approved,BS8300 compliant,,Option Stainless Steel finish rail with grey seat,,,"Finishes: White, Blue, Charcoal",,,,,,,,,,,,
43,PJ23581,Armitage Shanks Contour 21+ doc M close coupled right handed rails Stainless Steel,Armitage Shanks,1794.33,"Doc M Contour 21+ close coupled right hand corner pack, WC pan, water saving delay fill cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled right handed rails Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/rh/S0684_RH_wm.jpg,Contour 21,N,S0684MY,Close Coupled Right Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
44,PB97337,Ideal Standard Portman 21 no tap hole basin without overflow and chain 400mm White,Ideal Standard,90.32,"This Ideal Standard Portman 21 400mm washbasin is made of tough vitreous china material with a vandal-resistant design for a longer life. This hardwearing, modern washbasin is supplied without tap holes and has been designed for wall-mounted installation.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Portman 21 no tap hole basin without overflow and chain 400mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/37/NW-B97337_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Armitage_Shank_WB_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B97337_Technical.pdf,,,,,,,,,,,,,
45,PJ23597,I/S CONTOUR 21+ DOC M STD WHITE RAILS LH,Ideal Standard,1355.58,"Doc M Standard low level left corner pack, WC with spacer box low level cistern, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> I/S CONTOUR 21+ DOC M STD WHITE RAILS LH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/lh/S0689_LH_wm.jpg,Contour 21,N,S0689AC,Standard Left Handed Rails,N,Delivered in one box,Option for Blue rails and seat,LABC approved,BS8300 compliant,,,,,,,,,,,,,,,,,,
