,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Weight,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Range For Use With,Feature 7,Feature 8
25,P117352,Grant flexible kit (for 12 46KW boilers) 100mm x 10mtr,Grant,693.14,This Grant 10M EZ-Fit flexible flue kit is intended for the straightforward fitting of Vortex and VortexBlue boilers with no need to replace an existing chimney. This handy kit allows installers to re-use an original chimney and retain its existing position.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant flexible kit (for 12 46KW boilers) 100mm x 10mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/52/117352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/73/52/117350_117352.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_ezFitFlueGuideOil_Instruction.pdf,,,
26,P117245,Grant high level vertical balanced flue adjustable extension (for 26 70KW boilers),Grant,131.58,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue adjustable extension (for 26 70KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/45/117245_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
27,P117246,Grant high level vertical flue elbow (for 26 70KW boilers),Grant,92.49,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical flue elbow (for 26 70KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/117246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
28,P117203,Grant low level extension (for 15 26KW boilers) 450mm,Grant,68.65,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant low level extension (for 15 26KW boilers) 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/03/117203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
29,P115243,Grant Green System 90deg high level terminal 12-26kW Black,Grant,99.16,A Grant Green system high level  90° terminal suitable for use with a wide range of Grant Vortex boilers including internal and external models.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System 90deg high level terminal 12-26kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/43/115243_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/44/115243_115244.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,
30,P117213,Grant low level extension (for 26 70KW boilers) 450mm,Grant,82.0,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant low level extension (for 26 70KW boilers) 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/13/117213_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,,,,,,,,,,
31,P333911,Grant standard flue kit 26-70kW Black,Grant,236.0,"Developed specifically for the installation of Grant brand boilers, this Grant Yellow low-level standard flue kit provides secure fitting using a telescopic flue and quick-fit clamping for added speed and convenience.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant standard flue kit 26-70kW Black,,Terminal guard;Seals ;locking bands,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/07/115207_wm.jpg,,White/Painted,4300 kg,N,Boilers,Flue,VortexVortex Blue,,333911 PK,Flue Kit,N,"Includes terminal guard, seals and locking bands",,For the installation of Grant Vortex and VortexBlue boilers,Compatible with all internal and external Grant boilers,"Round, low level kits feature self-sealing ducts requiring no silicone or joint taping",Unique quick-fit clamp arrangement for a perfect seal every time,Compact design for a neat finish,,Yellow System,Cone design reduces the possibility of condensate staining external walls and patios,Grant offers plume diverter kits as a solution for existing low-level flues
32,P115248,Grant Green System wall bracket 26-70kW Black,Grant,21.27,A Grant Green system extended wall bracket for the installation of a range of different boilers.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System wall bracket 26-70kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/_a/115248_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/48/115247_115248.pdf,,,,,,,,,
33,P117226,Grant high level vertical balanced flue elbow (for 12 26KW boilers),Grant,77.23,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue elbow (for 12 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/26/117226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
34,P117242,Grant high level vertical balanced flue extension (for 26 70KW boilers),Grant,71.99,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue extension (for 26 70KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/42/117242_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
35,P117243,Grant high level vertical balanced flue extension (for 26 70KW boilers) 450mm,Grant,90.58,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue extension (for 26 70KW boilers) 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/43/117243_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
36,P117212,Grant low level extension (for 26 70KW boilers) 225mm,Grant,68.65,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant low level extension (for 26 70KW boilers) 225mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/12/117212_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,,,,,,,,,,
37,P117227,Grant high level adjustable balanced flue with bracket (for 12 26KW boilers),Grant,25.75,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level adjustable balanced flue with bracket (for 12 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/27/117227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
38,P115221,Grant Green System standard starter kit 12-26kW Black,Grant,229.78,"The Grant Green system starter kit allows engineers to build bespoke flue designs, connecting a boiler to high level or vertical flue systems while maintaining room-sealed operation.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System standard starter kit 12-26kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/21/115221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
39,P115247,Grant Green System wall bracket 12-26kW Black,Grant,19.55,A Grant Green system extended wall bracket for the installation of a range of different boilers.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System wall bracket 12-26kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/_a/115247_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/48/115247_115248.pdf,,,,,,,,,
40,P117204,Grant low level extension (for 15 26KW boilers) 675mm,Grant,82.0,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant low level extension (for 15 26KW boilers) 675mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/04/117204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
