,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Pack Quantity,Range,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Volume,Physical State / Form,Feature 9,Feature 10,Feature 11,Feature 12
21,P609941,Center Chemical Cleaner heating system power cleaner 500ml,Center,11.21,"An advanced strength formula, this Center heating system power cleaner efficiently removes sludge, debris and scale from any sealed or open-vented system. Cleaning quickly and effectively, this 500ml supply is enough to treat a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center Chemical Cleaner heating system power cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/41/NW-609941_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609941_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/51/492551.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609941 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609941_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609941_Center_ MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609941_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
22,P606690,Sentinel X400 sludge remover promo 1ltr,Sentinel,17.99,"Formulated for the cleaning of older central heating systems, Sentinel X400 cleaner is an acid-free treatment that helps to restore circulation in radiators and pipes. Eliminating cold spots and removing built-up magnetite sludge, this cleaner helps to restore radiators to their best efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X400 sludge remover promo 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/90/NW-606690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X400_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X400_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X400_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P603008,Fernox water quality test kit,Fernox,41.2,"Save on time and paper with this Fernox water quality test kit, a smartphone-based postal laboratory service providing diagnostic checks of five key water quality criteria, helping you to combat common causes of central heating issues. As well as results, this service provides useful recommendations for treating your system, helping you to restore efficiency and keep your boiler and central heating system healthy for longer.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox water quality test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/08/NW-603008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_603008_Test_Kit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P602998,Fernox F3 Express F3 Cleaner F3 Express 400ml,Fernox,32.75,"Universal and pH neutral, Fernox F3 cleaner is an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Using barrier pressure pack technology and compressed air propellent, this 400ml aerosol can is non-flammable. Because the propellent is not mixed with the active product it poses no risk of air ingress into the system, negating the risk of corrosion.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 Express F3 Cleaner F3 Express 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/98/NW-602998_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/602998_Fernox_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62420-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62420_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/602998_Fernox_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
25,P171151,Calmag Caldensate condensate removal unit 22mm,Calmag,49.55,"Economical and environmentally sound, Calmag neutraliser effectively removes acidic condensate from commercial condensing boilers, eliminating the need for a soakaway.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Calmag Caldensate condensate removal unit 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/51/NW-171151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Calmag_CalDensate_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calmag_CalDensate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Calmag_CalDensate_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P609295,Adey ProCheck instant result test kit pack,Adey,68.49,"Allowing installers to view water quality issues and judge the need for treatment in one visit, the Adey ProCheck instant result test kit sends lab-style results straight to your smartphone. The first app-linked kit of its kind, the ProCheck universal water test kit analyses system water on-site, with immediate independent validation of system health. Using advanced technology, this kit tests for three main areas of concern - protective inhibitor levels, corrosion and pH levels. To use, simply take a water sample from the system and carry out a straightforward dip test using the supplied ProCheck strips. Place strips on the test card and scan to the app using your mobile's camera for instant analysis and verification.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey ProCheck instant result test kit pack,,Waterproof case;25x test strips;10x test cards;Water sampler;Activation code,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/95/NW-609295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_ProCheck_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P609272,Fernox F8 62486 power cleaner F8,Fernox,34.89,"Super-strength Fernox F8 power cleaner works to rapidly clean heavily contaminated central heating systems. Citrate-based, this pH neutral formulation removes debris, sludge and scale with no requirement for neutralising afterwards. Using F8 cleaner can help to extend the life of your heating system, restoring heating efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F8 62486 power cleaner F8,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/72/NW-609272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_62486_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62486-Powercleaner_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P609296,Adey ProCheck refill pack,Adey,46.25,"This Adey ProCheck refill kit provides you with replacement test strips, test cards and a water sampler for repeat tests using the ProCheck system. This system is ideal for installers, providing independent validation of the need for water treatment, helping you to illustrate to homeowners the importance of water quality. Using a smartphone app, ProCheck gives you immediate feedback on advanced checks, providing data related to protective inhibitor levels, corrosion and pH levels. Requiring just a simple water sample dip test, scanned into the app using your phone's camera, this innovative service provides instantaneous reporting to help you determine the right course of action there and then.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey ProCheck refill pack,,25x test strips;10x test cards;Water sampler,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/96/NW-609296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_ProCheck_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P606167,Fernox F3 Express F3 cleaner pack 400ml,Fernox,20.25,"Universal and pH neutral, the Fernox F3 cleaner pack includes an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Using barrier pressure pack technology and compressed air propellent, this 400ml aerosol can is non-flammable. Because the propellent is not mixed with the active product it poses no risk of air ingress into the system, negating the risk of corrosion.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 Express F3 cleaner pack 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/67/NW-606167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62420-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62420_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P609276,Fernox F3 cleaner F3 265ml,Fernox,12.81,"Universal Fernox F3 is a highly effective, fast acting, pH neutral cleaner for use in central heating systems. Removing debris, sludge and scale from existing systems, it helps to restore efficiency and do away with boiler noise. It can equally be used for pre-commission cleaning of new installations, removing flux residues and other debris, helping to ensure a longer lifetime for your system.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 cleaner F3 265ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/76/609276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_Cleaner_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/609276_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P606010,Fernox F3 cleaner F3 265ml pack,Fernox,8.9,"Fast acting Fernox F3 universal cleaner is an effective pH neutral cleaner that can remove sludge, debris and scale from any central heating system, helping to reduce operational noise and improve efficiency. In addition to its use in existing systems, F3 can also be employed in the pre-commission cleaning of new installations. In new systems it removes flux residues and other debris in order to maximise longevity and maintain efficiency from day one.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 cleaner F3 265ml pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/76/NW-609276_wm.jpg,,,,,,,,,N,Bottle,606010 PK,Cleaner,N,Central Heating System,265ml bottle,Amber liquid,For pre-commissioning new systems in accordance with BS 7593:2019,"Removes sludge, limescale and installation debris",Suitable for use in new or existing systems,Helps to improve efficiency,"Compatible with all metals and materials, including aluminium","Treats up to 100L, 12 radiators or 190M² of underfloor heating",Amber,265ml,Liquid,Smaller volume reduces packaging waste,Lower environmental impact,pH neutral non-hazardous formulation,
32,P609289,Adey MC10+ underfloor heating biocide 500ml,Adey,20.5,"Ultra-concentrated, Adey MC10+ underfloor heating biocide, supplied in a 500ml bottle, has a dual formula to deal with algae and biological contamination in your underfloor heating system. Formulated with two active ingredients, MC10+ is more effective than a single biocide, providing additional protection from potential UFH problems.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC10+ underfloor heating biocide 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/c1/0+/MC10+_wm.jpg,,,,,,,,MC10+,N,Bottle,609289 PK,Biocide,N,Suitable for Under Floor and Central Heating Systems,Designed for use with underfloor heating,More effective than a single biocide,Ensures efficient central heating operation,,,,,,,,,,,,
33,P606169,Fernox F3 central heating cleaner pack 500ml,Fernox,14.99,"Universal and pH neutral, Fernox F3 cleaner pack includes an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Supplied in a 500ml bottle, F3 can be used during power flushing to accelerate the cleaning process. A non-hazardous product, this cleaner is safe for use with all metals used in normal heating systems, including aluminium.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 central heating cleaner pack 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/69/NW-606169_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56600_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56600-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_CentralHeatingCleanerF3_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
34,P606747,Sentinel chemicals multipack choice pack,Sentinel,23.0,TBC,Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel chemicals multipack choice pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/47/606747_wm.jpg,,,,,,,,,N,,606747 PK,,N,,,,,,,,,,,,,,,,
35,P603862,Fernox F9 filter fluid plus and protector 500ml,Fernox,36.36,"Formulated for use with TF1 in-line system filters or similar, Fernox F9 Express protector and filter fluid is a unique inhibitor package with an active dispersant which helps to safely collect corrosion, debris and scale using a filter. Enhancing the performance of a system filter, it also provides protection from the damage caused by corrosion and scale formation, extending system life and maintaining optimum efficiency. The concentration levels of this environmentally-friendly cleaner should be checked as part of the annual maintenance system service.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F9 filter fluid plus and protector 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/62/NW-603862_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62234_ProtectorPlus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/46/Alpha_SDS46.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_62234_Safetydatasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P603115,Fernox Solar cleaner 500ml,Fernox,38.93,"Formulated specifically for solar thermal systems, this Fernox solar cleaner is a concentrated universal cleaner that will remove degraded solar heat transfer fluids, sludge and blockages. Working fast, this cleaner restores your system to its maximum efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox Solar cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/15/NW-603115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_59430_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/31/Alpha_SDS31.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_59430_Solarcleaner_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P609273,Fernox DS-40 62475 cleaner and descaler,Fernox,77.57,"This fast-acting Fernox DS-40 cleaner and descaler is a citric acid-based cleaner used to effectively remove limescale, magnetite, black sludge and other possible system contaminants. Normally used during power flushing, DS-40 is also suitable for descaling an individual heat exchanger or boiler component. DS-40 is supplied with a liquid neutraliser for a complete job.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox DS-40 62475 cleaner and descaler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/73/NW-609273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62475_Descaler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fenrox_62475_Safetydatasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P608143,Adey ProCheck Refill Kit For Procheck Test Kit,Adey,46.26,"A refill kit for the Adey ProCheck instant result test kit. Allowing installers to view water quality issues and judge the need for treatment in one visit, Adey ProCheck sends lab-style results straight to your smartphone. The first app-linked kit of its kind, the ProCheck universal water test kit analyses system water on-site with immediate independent validation of system health. Using advanced technology, this kit tests for three main areas of concern - protective inhibitor levels, corrosion and pH levels. To use, simply take a water sample from the system and carry out a straightforward dip test using the supplied ProCheck strips. Place strips on the test card and scan to the app using your mobile's camera for instant analysis and verification.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey ProCheck Refill Kit For Procheck Test Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/43/NW-608143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_ProCheck_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P606172,Fernox system health check postal kit,Fernox,36.5,"A high-quality and reliable postal sampling service, the Fernox system health check kit offers accurate laboratory diagnosis of central heating problems to help you choose the right course of action to solve system issues. This service includes a full analysis of system water and helpful advice on appropriate treatment. It also confirms that the system has been correctly treated and fully protected after completion. This service is not suitable if competitor products have been used.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox system health check postal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/72/NW-606172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_EBenefits_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_PostalSampling_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P608017,Adey MagnaCleanse MACK01 Complete Magnacleanse Solution,Adey,408.07,"Making the flushing of central heating systems faster and more effective, the Adey MagnaCleanse flushing system kit contains a filter, connectors and a drain valve. Removing virtually all black iron oxide in a single job, this kit is also capable of reducing standard power flushing times by up to two-thirds, with some central heating systems flushed in just two hours. Designed for ongoing protection, this kit helps to maximise your system's lifespan with Adey’s VirbraClean technology agitating magnetite sludge so the maximum amount of iron oxide flows out and into the MagnaCleanse Rapid Flush filter.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MagnaCleanse MACK01 Complete Magnacleanse Solution,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/17/NW-608017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_MagnaCleanse_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P608000,Adey MC1+/MC3+ central heating protector and cleaner 500ml (2),Adey,23.97,"Offering strong protection against corrosion and scale, Adey MC1+/MC3+ protector and cleaner formula has been stringently tested in Adey's own fully accredited laboratory. A single bottle of this high power formula can protect a system of 125L or up to 15 radiators.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC1+/MC3+ central heating protector and cleaner 500ml (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/00/NW-608000_wm.jpg,,,,,,,2,MC1+/MC3+,N,Bottle,608000 PK,Protector and Cleaner,N,,Protects against corrosion and scale,Increased strength high-performance inhibitor,Maintains heating efficiency,Highly concentrated formula treats 125L,Removes sludge and debris,Restores heating efficiency,,,,,,,,,
42,P609948,Center heating system cleaner 500ml,Center,82.06,A 500ml supply of Center heating system cleaner.,Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center heating system cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/-1/609939-1_wm.jpg,,,,,,,,,N,,609948 PK,Cleaner,N,,High performance chemical cleaner,"Removes sludge, debris and scale",Restores heating efficiency of existing systems,Treats 100 litres,Suitable for all heating systems,Environmentally friendly,,,,,,,,,
43,P609946,Center heating system cleaner 500ml,Center,40.07,A 500ml supply of Center heating system cleaner.,Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center heating system cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/-1/609939-1_wm.jpg,,,,,,,,,N,,609946 PK,Cleaner,N,,High performance chemical cleaner,"Removes sludge, debris and scale",Restores heating efficiency of existing systems,Treats 100 litres,Suitable for all heating systems,Environmentally friendly,,,,,,,,,
44,P609943,Center Quick Dose cleaner 300ml,Center,23.34,"This Center Quick Dose cleaner is formulated to remove central heating system sludge and debris without damaging the vulnerable metals commonly used in boilers and throughout heating systems. This 300ml supply will be enough to clean a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center Quick Dose cleaner 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/43/NW-609943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/53/492553.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609943 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609943_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609943_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609943_Center_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609943_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
45,PP12995,JET Range JCO40 heavy duty cleaner 10 ltr,JET Range,298.88,"Quickly cleaning heating, chilled and condenser systems, JET Heavy Duty cleaner effectively does away with the stubborn sludge, scale and other debris that can damage a system and reduce efficiency. The liquid can be left inside a system for up to seven days where it works hard on oils, flux and much more, before draining, flushing and refilling with new, clean water. After treatment, immediate dosing of JET's System Protector is advised for long lasting protection against damage.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> JET Range JCO40 heavy duty cleaner 10 ltr,,10 Litres,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/95/P12995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P12995_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
