,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Boiler Section,Boiler Range,Feature 4,Setting Range,Dimensions mm (H x W x D),Application,Range,Feature 5,Feature 6,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Installation Type,Number of Channels,Pack Quantity,Voltage (V),Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Attachment 6,Operating Temperature Range (C),Connection,Thread Standard,Max Set Pressure,Connection Gender,Material,Thread Size,Maximum Operating Temperature,Feature 11,Feature 12,Feature 13,Feature 14,Connection Size,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Weight,Attachment 7,Attachment 8,Connection Type,Working Pressure,Number of Ports,Operator Type,Seal Material,Size,Feature 15,Feature 16,Colour,Standards,Operating Temperature,Attachment Type,Pipe Diameter,Pressure Rating,Diameter,Range For Use With,Material Type,Min Outlet Pressure,Max Outlet Pressure
121,P333526,Salus electronic radio frequency thermostat,Salus,48.87,"Designed as a replacement for the RT300RF, this Salus electronic RF digital room thermostat is easy to use thanks to its clear LCD and intuitive user interface, making temperature sensing and control simple. This thermostat offers a range of useful features, including sleep mode and frost protection, while a 30M range allows for heating control from almost anywhere in the home.",Heating/Central Heating Controls/Central Heating Controls.csv -> Salus electronic radio frequency thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/26/NW-333526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/333526_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salus_RT310_Quick_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/333526_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,P339036,Danfoss TPOne battery powered electronic room thermostat,Danfoss,67.78,"The user-friendly Danfoss TPOne-B programmable room thermostat incorporates a flexible, backlit dot matrix display with easy-read icons and text info designed for ease of use and installation. Defaulting to chrono-proportional, load compensation control, TPOne offers high levels of user comfort alongside cost and energy savings. Where chrono-proportional mode is set, the thermostat follows a fixed cycle rate on the system, automatically determining the load required to deliver the temperature requested.",Heating/Central Heating Controls/Central Heating Controls.csv -> Danfoss TPOne battery powered electronic room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-339035_339036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/Danfoss_TPOne_Thermostat_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_TPOne_B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_TPOne_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,P222046,Tado wireless V3P-SK-WTS01WRP01IB01-TC-UK            starter kit smart thermostat V3+,Tado,133.33,"Controlling your home heating in whatever way best suits your lifestyle, the tado° Smart Heating thermostat is compatible with a wide range of apps and digital assistants, including Amazon Echo and Alexa, Siri and Apple HomeKit. This gives you all the flexibility you need to control and optimise your home heating via voice commands, using IFTTT applets for use with third party applications or through the eNet Smart Home system. Helping to save on energy to reduce heating bills, the tado° wireless smart thermostat offers hot water control as well as compatibility with conventional, system or combi boilers as well as select oil boilers and underfloor heating systems. A complete starter kit, this smart heating set includes an internet bridge for connection to your router via RF.",Heating/Central Heating Controls/Central Heating Controls.csv -> Tado wireless V3P-SK-WTS01WRP01IB01-TC-UK            starter kit smart thermostat V3+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/46/222046_wm.jpg,,,,,N,10320963,Smart Thermostat,N,"Compatible with Amazon Alexa, Apple HomeKit and Google Home",Connects to iOS and Android apps,5 - 25°C temperature range,,,Compatible with all boilers,0º - 25º,174x 174 x 110,Smart Heating,wireless,Battery powered thermostat,Receiver is mains powered,,,,Relay,,,,,,,,,,,,230,With LED display,With Geofencing,Includes open window detection,Smart hub included,,,-5º to 45º,,,,,,,,Requires internet connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,P440979,Danfoss Timeswitches & Programmers FP720 V2 FP720 V2 two channel programmer 230V (1),Danfoss,77.79,"An up to the minute design for modern homes, the Danfoss FP720 V2 230V two channel timer is operated with a simple intuitive display with common sense layout. This user-friendly display gives you the current day, time and on/off period in a large-sized top area while clear icons give you the status of output channels. Offering a choice of up to three heating periods, the FP720 also offers a handful of useful functions including a service interval timer as well as an additional channel for time control of either a secondary heating zone or a hot water cylinder.",Heating/Central Heating Controls/Central Heating Controls.csv -> Danfoss Timeswitches & Programmers FP720 V2 FP720 V2 two channel programmer 230V (1),,1 x FP720 V2,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/_a/440979_A_wm.jpg,,,,,N,087N7885,Programmer,N,Large backlit display,"7 day, 5/2 day or 24 hr schedule","For 6x events over 1, 2 or 3 periods",,,User channel override function,NA,45 x 100 x 218,Domestic Central Heating,Timeswitches & Programmers,"Auto, +1 hr boost (single touch) and On and Off modes",Multiple cable access options for ease of installation,,,,SPDT,,,,,,,,,,,1,230Vac,Industry standard backplate,Service interval timer,For heating and domestic hot water or 2x heating channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,P311766,Honeywell Home hw home st9400c 22mm s plan ps22aa940c,Honeywell Home,332.66,"This Sundial S Plan installer pack offers full, independent 7 day time and temperature control of heating and hot water in fully pumped central heating installations. Satisfying the requirements of building regulations Part L1 when used in conjunction with radiator thermostats and automatic bypass valve, Sundial S Plan is for systems in dwellings with a floor area greater than 150M.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home hw home st9400c 22mm s plan ps22aa940c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/66/311766_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,P311894,Honeywell Home DT4R hw home dt4r wireless spare thermostat,Honeywell Home,64.9,"Providing intuitive room temperature control, the Honeywell Home DT4 room thermostat has a raft of useful features for ease of operation. A slimline unit with a large LED segment display and easy-press wake up button, the DT4 is compatible with hybrid and green energy systems in addition to energy-efficient solutions such as heat pumps, zoning and underfloor heating and cooling devices. It can also be used for zone valve applications, though not with 240V electric heating.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home DT4R hw home dt4r wireless spare thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/96/311893_96_wm.jpg,,,,,N,DTS42WRFST20,Wireless Room Thermostat,N,Compatible with 24-230V on/off appliances including gas or combi-boilers and heat pumps,Compatible with two-port zone valve,Backwards compatible with existing Honeywell Home RF products,,,Supports OpenTherm appliances,5 to 35 °C,101 x 101 x 54mm,"On/off boiler (230V), Combi boiler, Heat Pump, 2-Port Zone Valve",DT4R,Versions available for both standard OpenTherm and OpenTherm® Smart Power,,,,,SPDT,,,,,,,,,,,,230,,,,,,,(Ambient) 0 to 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,P353135,Eph Controls RFCP RFCP cylinder stat RF & receiver,Eph Controls,130.52,"Controlling a single hot water zone, the non-programmable EPH Controls RFCP cylinder thermostat and receiver is supplied ready-paired and complete with AAA batteries for easy plug-and-play installation.",Heating/Central Heating Controls/Central Heating Controls.csv -> Eph Controls RFCP RFCP cylinder stat RF & receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/35/353135_wm.jpg,,,,,N,RFCP,DVC Thermostats,N,For domestic use,Controls a single heating zone,Uses a NTC10K sensor to measure temperature,,,230V receiver can control a boiler directly,10 - 90°C,Thermostat 86 x 86 x 25receiver 84 x 86 x 31,Domestic,,Also suitable for control of a motorised valve or actuator in a multi-zone system,Non-programmable,,,,SPDT,,,,,,,,,,,50,230Vac,Clear display indicating temperature,With on/off switch,,,,,0-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,P310525,Honeywell Home hw home t6360b 1036 room stat 240v 10a,Honeywell Home,34.45,"Providing automatic temperature control of wet central heating systems, the T6360 mains voltage room thermostat can be used to directly switch a circulating pump or boiler or to operate spring-return and motor open/motor close zone valves. Switching electrical heating loads up to 10A, T6360 can also be used for cooling applications. This model includes a cover-mounted indicator lamp, which is lit for a call on heat.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home hw home t6360b 1036 room stat 240v 10a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/25/310525_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,P307266,ESBE ARA600 AC/DC actuator 24V 0-10VDC,ESBE,264.46,"Recommended for mixing applications, the ESBE ARA600 proportional actuator with 6Nm torque rating operates DN 15 - 50 rotary mixing valves and is controlled by a three point signal. It offers a 90° operating range and simple manual valve operation using the pull-and-turn knob located on the front of the actuator.",Heating/Central Heating Controls/Central Heating Controls.csv -> ESBE ARA600 AC/DC actuator 24V 0-10VDC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/66/NW-307266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_Prop_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_Prop_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_Prop_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,P303548,Siemens Acvatix - SAX low torque actuator 0-10vdc,Siemens,314.7,"Suitable for 20mm stroke two and three port valves, the Siemens Acvatix SAX 800 N low torque electromotoric actuator is compatible with valve types VF21, VF22, VF31, VF32, VF40, VF41, VF42, VF52 and VF53 used as control or shut-off valves in heating, ventilation or air conditioning systems.",Heating/Central Heating Controls/Central Heating Controls.csv -> Siemens Acvatix - SAX low torque actuator 0-10vdc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/48/NW-303548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Acvatix_SA-X-Y-V-L_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SAX-31-61-81_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SAX_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_Acvatix_SAX_EPD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,P451048,Secure C-Stat 17-M 7day programmable thermostat,Secure,76.05,"With a large display and simple interface, the mains-powered Secure C-Stat 17-M programmable room thermostat is easy to set-up and effortless to use. Suitable as a replacement for most existing units, C-Stat 17-M makes controlling your heating system simple. Boiler Plus compliant, this thermostat offers up to six temperature settings per day, seven days a week for a completely personalised heating system.",Heating/Central Heating Controls/Central Heating Controls.csv -> Secure C-Stat 17-M 7day programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/NW-451048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ns/tr/Secure_C-Stat_17B_17M_User_Instr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Secure_C-Stat_11M_17M_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Secure_C-Stat_17-M_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,P311763,Honeywell Home hw home st9400c 22mm y plan py22aa940c,Honeywell Home,279.95,"This Sundial Y Plan installer pack offers full, independent 7 day time and temperature control of heating and domestic hot water in fully pumped central heating installations. Satisfying the minimum requirements of building regulations Part L1 when used in conjunction with radiator thermostats and automatic bypass valve, Sundial Y Plan is for systems in homes with a floor area greater than 150M².",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home hw home st9400c 22mm y plan py22aa940c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/311763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,P304040,Drayton actuator for zone valve,Drayton,84.97,This Drayton ZA5/679/2 230V actuator with SPST switch controls the opening and closing of a two or three port valve.,Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton actuator for zone valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/40/NW-304040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,P302056,Drayton RTS4 thermostat (SPDT),Drayton,25.9,"Volt-free for combi boilers, the Drayton RTS4 room thermostat with SPDT contacts employs electronic sensing for highly accurate temperature control.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton RTS4 thermostat (SPDT),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/56/NW-302056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_RTS_Thermostat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_RTS_Quick_Start_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RTS_Thermostat_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,P300761,Drayton Digistat Plus RF710 thermostat and single channel receiver,Drayton,77.48,"Easy to use, this Drayton Digistat Plus 1RF wired room thermostat incorporates large buttons and an easy to read digital display to ensure temperatures are set accurately.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton Digistat Plus RF710 thermostat and single channel receiver,,Thermostat;Receiver,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/61/NW-300761_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Digistat_Plus_1RF_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_DigistatPlus1_2RF_3RF_UGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_Digistat_Plus_1_1RF_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,P310715,Honeywell Home T3 Y3H710RF0053-1 hw home t3 wireless bdr,Honeywell Home,103.11,"The T3 wireless BDR is part of a popular range of programmable thermostats designed for completely intuitive control of a heating system. Suitable for use in domestic premises and especially for social housing and new build installations, this thermostat provides optional seven day and 5/2 day scheduling of your heating with up to four time periods selectable across every day, ensuring that heating is only in use when it's really needed.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home T3 Y3H710RF0053-1 hw home t3 wireless bdr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/15/310715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_Thermostat_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Honeywell_T3R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,P323765,Honeywell ML7420A straight actuator 24V 0-10VDC 20mm,Honeywell,308.64,"This Honeywell ML7420A 600 N straight actuator offers modulating control alongside controllers with an analogue output of 0 - 10VDC or 2 - 10VDC. It is suitable for operating standard valves in heating, district heating, ventilation and air conditioning (HVAC) applications. Spring-return models return to a safety position in case of power failure.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell ML7420A straight actuator 24V 0-10VDC 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/65/NW-323765_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Honeywell_ML7420A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_ML7420-ML7425A-B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,P323239,Watts Industries Electro Controls ELF-1C liquid flow switch IP65,Watts Industries,88.67,"This Watts Industries Electro Controls ELF 230 VAC liquid flow switch detects liquid flow through chillers, boilers, pipes and other units to monitor pump operation or switch alarms in the event of flow failure. It is suitable for use with hot water, chilled water, diesel oil and up to 30% glycol systems.",Heating/Central Heating Controls/Central Heating Controls.csv -> Watts Industries Electro Controls ELF-1C liquid flow switch IP65,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/39/NW-323239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,P222076,Drayton ZA6/779 2 port motorised valve 28mm,Drayton,94.25,"Helping to improve servicing, this Drayton two-port 28mm motorised valve is fitted with a simple snap-on actuator, meaning that the actuator itself can be quickly and easily lifted away from the body after the simple push of a release button, allowing it to be replaced as a complete unit. This snap-on system also provides ease of access for replacement of the valve's motor.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton ZA6/779 2 port motorised valve 28mm,,Motorised zone valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/76/NW-222076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/i5/Drayton_Product_Catalogue_I5.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,P305208,Siemens 5/2 or 7 day digital programmer,Siemens,85.87,"This Siemens RWB5/2 two channel electronic programmer with 5/2 day or 7 day programming, has up to three on/off periods each day and may also be enabled for service interval operation. The service interval function is enabled and programmed by the installer, maintenance engineer or landlord and is designed to display a message when a boiler service is due and emit an audible alarm every hour between 9am and 9pm until the service is carried out.",Heating/Central Heating Controls/Central Heating Controls.csv -> Siemens 5/2 or 7 day digital programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/08/NW-305208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/305208_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/305208_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Heating_Controls_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Quick_Reference_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,P222079,Drayton Wiser thermostat kit 2,Drayton,125.0,"Allowing for convenient control of your heating via the Wiser Heat smartphone app, this Drayton Wiser two-channel thermostat pack is suitable for use with a conventional system and can be wired into an existing cylinder for hot water control. It is supplied with an OpenTherm module and both a wall bracket and a stand for flexibility of installation.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton Wiser thermostat kit 2,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;2-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/99/NW-304799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Drayton_Wiser_RoHS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Wiser_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Drayton_Wiser_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
