,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Range,Nominal Heating (kW),Max Sound Pressure,Nominal Cooling (kW),Feature 7,Warranty,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,UK Sensible Cooling,Max Airflow (m/min),Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6,Attachment 7
25,P700036,Fujitsu Designer Series AOYG12KGCB R32 3.5KW Outdoor Unit,Fujitsu,501.23,"Part of the popular Design range, this Fujitsu Design Series AOYG12KGCB R32 outdoor air conditioning unit is fully compatible with Design series indoor units. Highly efficient, this 4.2kW unit offers both heating and cooling using R32 refrigerant.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Designer Series AOYG12KGCB R32 3.5KW Outdoor Unit,,Outdoor Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/36/700036_wm.jpg,31 kg,Single Phase,R-32,N,290,10,9.52 mm,6.35 mm,AOYG12KGCB,R32 Refridgerant wall mounted,N,Compact design,For wall mounted installation,Compatible with the full Design range of indoor units,Single phase,,,,Offers A+++ cooling energy efficiency,Offers A+ heating energy efficiency,Designer Series,5.4,Cooling/Heating: 50/50 db(A),4.2,3 year warranty,3 Years (Standard),A+,,A++,,1580 m³/h,,,,,,,,
26,P602065,Fujitsu Standard AOYG45KRTA R32 3 Phase Outdoor Unit 12.1KW,Fujitsu,1387.44,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 12.1kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG45KRTA R32 3 Phase Outdoor Unit 12.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/65/NW-602065_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/rd/Fujitsu_AOYG-KRTA_Ceiling_ Standard.pdf,,,,,,,,,,,,,,,,,,,,,,
27,P650343,Fujitsu AirStage J-IVS AJY040LCLDH 12.1KW J-Ivs Outdoor Unit -2 Pipe 1Ph,Fujitsu,2063.25,"Compact and understated, the Fujitsu AirStage J-IVS 12.1kW two pipe, single phase outdoor unit is just 998mm high, meaning it won't cause an obstruction, even if installed close to waist-height windows. Lightweight and easy to fit, this unit is suitable for large houses, shops and other premises.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AirStage J-IVS AJY040LCLDH 12.1KW J-Ivs Outdoor Unit -2 Pipe 1Ph,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/43/650343_wm.jpg,86 kg,1 Phase,R410a,N,370,,15.88 mm,9.52 mm,AJY040LCLDH,Outdoor Unit,N,It can be easily positioned and Installed,Small and light weight outdoor unit,Low sound level design,Long piping length,,,,Up to 13 units can be connected,,AirStage J-IVS,12.1,Cooling: 51 dB (A)Heating: 54 dB(A),12.1,,3 Year,,,,,67.3 m³/min,,,,,,,,
28,P697542,Fujitsu Standard AOYG18KBTB R32 Outdoor Unit 5.2KW,Fujitsu,675.89,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 5.2kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG18KBTB R32 Outdoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/44/NW-697542_697544_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG09_Technical_Manual.pdf,,,,,,,,,,,,,,,,,,,,,
29,P610078,Fujitsu AOEH30KMTB 8KW Standard Wall Outdoor,Fujitsu,802.58,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 8kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH30KMTB 8KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/79/610078_79_wm.jpg,52,1,R-32,N,320,25,5/8,3/8,AOEH30KMTB,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
30,P700819,Fujitsu AOEG18KLCA eco outdoor unit 5.2kW,Fujitsu,517.83,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG18KLCA eco outdoor unit 5.2kW,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/19/700819_wm.jpg,33 kg,1,R-32,N,290,16,0.375,0.25,AOEG18KLCA,Outdoor Unit,N,Reduced width and compact design,On/Off Program timer,Powerful operation,Economy operation,,,,Low ambient operation,,,6.3,56 dB,5.2,,3 Years,A+,4.95,A++,3.69,2265 M/min,,,,,,,,
31,P610062,Fujitsu AOEG14KETA 4KW Designer Wall Outdoor,Fujitsu,486.47,"Highly efficient, the Fujitsu Designer 4kW outdoor air conditioning unit operates using DC multi-inverter technology for excellent levels of convenience and reduced energy consumption. Wall-mounted, this smart unit has a compact design and operates extremely quietly, helping to reduce its impact on its surroundings.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG14KETA 4KW Designer Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/62/610062_wm.jpg,3.1,1,R-32,N,290,10,.3/8,1/4,AOEG14KETA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
32,P610076,Fujitsu AOEH12KMCG 3.6KW Standard Wall Outdoor,Fujitsu,393.6,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 3.6kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH12KMCG 3.6KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/76/610076_wm.jpg,2.4,1,R-32,N,290,10,.3/8,1/4,AOEH12KMCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
33,P616499,Fujitsu Standard AOYG09KVCA Outdoor Unit 2.6KW,Fujitsu,513.53,"Running on eco-friendly R32 refrigerant, the Fujitsu Standard Universal 2.6kW outdoor split has a seasonal efficiency rating of A+ for heating and A+++ rating for cooling, helping to minimise your environmental impact while enjoying an always comfortable indoor temperature.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG09KVCA Outdoor Unit 2.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/99/NW-616499_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Air_Conditioning_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
34,P610077,Fujitsu AOEH14KMCG 4KW Standard Wall Outdoor,Fujitsu,491.39,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 4kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH14KMCG 4KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/77/610077_wm.jpg,3.1,1,R-32,N,290,15,.3/8,1/4,AOEH14KMCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
35,P610071,Fujitsu AOEH09KGCG 2.6KW Hi Spec Wall Mounted Outdoor,Fujitsu,435.42,"Smartly designed for unobtrusive wall-mounting, the Fujitsu Hi Spec 2.6kW outdoor air conditioning unit has a compact, practical design. Using DC multi-inverter technology, this high performing air con unit reduces energy consumption, helping to maximise efficiency in a commercial or domestic setting.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH09KGCG 2.6KW Hi Spec Wall Mounted Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/71/610071_wm.jpg,30,1,R-32,N,290,10,.3/8,1/4,AOEH09KGCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
36,P688097,Fujitsu AJY144LALDH V-Iii Outdoor 45KW,Fujitsu,9010.18,This Fujitsu AJY144LALDH V-III 45kW outdoor VRF unit supplies both heating and cooling.,Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AJY144LALDH V-Iii Outdoor 45KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/97/688096_6888097_wm.jpg,275,3,R410a,N,765,40,1 1/8,1/2,AJY144LALDH,VRF OUTDOOR UNIT,N,Compatible with R410A refrigerant,Three-phase,Offers 45kW nominal heating and cooling,,,,,,,,4.5,65,4.5,,,,,,,"13,700",,,,,,,,
37,P650354,Fujitsu VRF AJY090LELDH Vrf 28KW J-Ivl Outdoor,Fujitsu,4174.32,"Suitable for installation in multi-zone VRF systems featuring up to 25 individual units, the Fujitsu J-IVL two pipe, three phase outdoor unit provides a nominal cooling capacity of 28kW as well as a 28kW maximum heating capacity. Highly efficient, this outdoor air conditioning unit provides a range of energy saving functions and operates quietly, contributing to a more comfortable indoor environment. Highly reliable, the J-IVL is easy to install and requires minimal maintenance.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu VRF AJY090LELDH Vrf 28KW J-Ivl Outdoor,,Outdoor Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/54/650354_wm.jpg,177 kg,3 Phase,R410a,N,480,,7/8,3/8,AJY090LELDH,2 Pipe Mini VRF Outdoor,N,Offers efficient operation,Long piping length,Up to 25 units can be connected,Energy-saving functions,,,,Highly reliable,Easy to install,VRF,28.0,57 dB(A),28.0,Simple service and maintenance,3 Years (Standard),,,,,150,Low operating noise,Compatible with R-410A refrigerant,3 year warranty,,,,,
38,P700054,Fujitsu AOEH09KNCA 2.6KW Eco Plus Wall Mounted Outdoor,Fujitsu,294.59,"A sleek design to blend effortlessly into an outdoor area, the Fujitsu Eco+ 2.6kW outdoor air conditioning unit is designed to be wall-mounted. Thanks to inbuilt DC multi-inverter technology, this silent air con unit minimises energy consumption and maximises efficiency for guilt-free cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH09KNCA 2.6KW Eco Plus Wall Mounted Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/54/700054_wm.jpg,22,1,R-32,N,290,10,.3/8,1/4,AOEH09KNCA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
39,P610069,Fujitsu AOEG36KBTA5 10KW 5 Way Multi Outdoor,Fujitsu,1827.78,"Operating quietly for minimal disturbance while running, the Fujitsu 10W five-way single phase outdoor air conditioning unit is ideal for use in busy spots where comfort and quiet is important. Highly efficient, this R32 compatible unit offers an A++ seasonal efficiency rating for heating and A+++ for cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG36KBTA5 10KW 5 Way Multi Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/69/610068_69_wm.jpg,59,1,R-32,N,315,25,"3/8 x3, 1/2 x2",1/4 x5,AOEG36KBTA5,Multi Split Outdoor unit,N,Multi-split,Compact design,Quiet operation,Highly efficient,,,,Compatible with R32 refirgerant,,,,,,,,,,,,,,,,,,,,
40,P610079,Fujitsu AOEH36KMTB 10KW Standard Wall Outdoor,Fujitsu,897.9,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 10kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH36KMTB 10KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/79/610078_79_wm.jpg,52,1,R-32,N,320,25,5/8,3/8,AOEH36KMTB,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
41,P610063,Fujitsu AOEG18KBCA2 5KW 2 Way Multi Outdoor,Fujitsu,808.11,"Compatible with a wide variety of indoor units, the Fujitsu R32 5kW two-way multi-split inverter outdoor air conditioning unit is the ideal base for a bespoke air conditioning system. This unit minimises energy use thanks to its inbuilt DC multi-inverter technology, helping to save up to 50% on energy usage compared to conventional AC models. Offering quick, even cooling, the multi-split inverter outdoor unit is ideal for large spaces where cool comfort is in high demand.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG18KBCA2 5KW 2 Way Multi Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/63/610063_wm.jpg,37,1,R-32,N,290,15,3/8 x2,1/4 x2,AOEG18KBCA2,Multi Split Outdoor unit,N,Multi-split,For installation with a variety of indoor units,Uses DC multi-inverter technology,Reduces energy consumption,,,,Compatible with R32 refrigerant,,,,,,,,,,,,,,,,,,,,
42,P616501,Fujitsu Standard AOYG12KVCA Outdoor Unit 3.5KW,Fujitsu,565.8,"Running on eco-friendly R32 refrigerant, the Fujitsu Standard Universal 3.5kW outdoor split has a seasonal efficiency rating of A+ for heating and A++ rating for cooling, helping to minimise your environmental impact while enjoying an always comfortable indoor temperature.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG12KVCA Outdoor Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/01/NW-616501_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Air_Conditioning_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
43,P608211,Fujitsu ECO AOYG18KLCA Outdoor Wall Unit 5.2KW,Fujitsu,517.83,"Compatible with ASYG18KLCA, the 5.2kW Fujitsu ECO outdoor wall unit uses R-32 refrigerant. Highly efficient, this compact yet powerful split provides an economical A+ seasonal efficiency rating for heating alongside an even better A++ in cooling operation.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ECO AOYG18KLCA Outdoor Wall Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/11/NW-608211_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fujitsu_Air_Conditioner_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
44,P610059,Fujitsu AOEG09KETA 2.6KW Designer Wall Outdoor,Fujitsu,349.94,"Highly efficient, the Fujitsu Designer 2.6kW outdoor air conditioning unit operates using DC multi-inverter technology for excellent levels of convenience and reduced energy consumption. Wall-mounted, this smart unit has a compact design and operates extremely quietly, helping to reduce its impact on its surroundings.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG09KETA 2.6KW Designer Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/60/610059_60_wm.jpg,23,1,R-32,N,290,10,.3/8,1/4,AOEG09KETA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
45,P676303,Fujitsu Standard AOYG90LRLA R410A Multi Split Outdoor Unit 3Phase 22KW,Fujitsu,2680.17,"Compact and easy to install, this Fujitsu 22kW three phase multi-split outdoor air conditioning unit helps buildings to meet strict environmental requirements by reducing emissions and the use of refrigerants with a high Global Warming Potential.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG90LRLA R410A Multi Split Outdoor Unit 3Phase 22KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/03/NW-676302_676303_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_AOYG_LRLA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_Multi-Split_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fujitsu_AOYG_LRLA_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
46,P700053,Fujitsu AOEH07KNCA 2KW Eco Plus Wall Mounted Outdoor,Fujitsu,281.06,"A sleek design to blend effortlessly into an outdoor area, the Fujitsu Eco+ 2kW outdoor air conditioning unit is designed to be wall-mounted. Thanks to inbuilt DC multi-inverter technology, this silent air con unit minimises energy consumption and maximises efficiency for guilt-free cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH07KNCA 2KW Eco Plus Wall Mounted Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/53/700053_wm.jpg,22,1,R-32,N,290,10,.3/8,1/4,AOEH07KNCA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
47,P650349,Fujitsu VRF AJY054LCLDH Vrf 15.1KW J-Ivs Outdoor,Fujitsu,2440.53,"Lightweight and compact, the easy to install Fujitsu J-IVS outdoor unit is suitable for use in multi-zonal VRF systems. Offering a nominal cooling capacity of 15.1kW and a maximum heating capacity of 16.5kW, this practical air conditioning unit is quiet in operation and offers simplified maintenance.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu VRF AJY054LCLDH Vrf 15.1KW J-Ivs Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/49/NW-650349_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Fujitsu_AJY054LCLBH_Dimensional_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/ce/Fujitsu_AJY054LCLBH_Instl_Space.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/Fujitsu_AJY054LCLBH_Wiring_Diagram.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/cu/it/Fujitsu_AJY054LCLBH_Refrnt_circuit.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AJY054LCLBH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_AJY054LCLBH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_VRF_Systems_Catalogue.pdf
48,P650352,Fujitsu VRF AJY072LELDH Vrf 22.4KW J-Ivl Outdoor,Fujitsu,3965.37,"Suitable for use in multi-zone VRF systems, the Fujitsu J-IVL 22.4kW 2-pipe, three phase outdoor air conditioning unit offers a nominal cooling capacity of 22.4kW alongside a 25kW maximum heating capacity. Easy to install and to maintain, J-IVL has a variety of energy saving functions for improved efficiency.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu VRF AJY072LELDH Vrf 22.4KW J-Ivl Outdoor,,Outdoor Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/52/NW-650352_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Fujitsu_AJY072LELBH_Dimensional_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/cu/it/Fujitsu_AJY072LELBH_Refrnt_circuit.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/Fujitsu_AJY072LELBH_Wiring_Diagram.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AJY072LELBH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_VRF_Systems_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/ce/Fujitsu_AJY072LELBH_Instl_Space.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_AJY072LELBH_Technical.pdf
