,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Gender,Length (M)
30,PP95235,Uponor Uni Pipe PLUS universal pipe 20 x 2.25mm 100mtr White,Uponor,3.86,The seamless aluminium Uponor 20mm Uni Pipe PLUS prevents oxygen penetration and compensates for restoring forces and linear expansion caused by temperature changes. The pipe's 2.25mm thick aluminium offers compressive strength and flexibility while polyethylene applied both inside and outside provides a high level of temperature resistance. All layers are permanently joined by an intermediate bonding layer and pipe is supplied in lengths of 100M.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS universal pipe 20 x 2.25mm 100mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/36/NW-P95232_P95236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PM32697,Geberit System PiPlain End Ml 25mm In 5M Length,Geberit,8.06,"This Geberit FlowFit 25mm pipe is supplied in a 5M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit System PiPlain End Ml 25mm In 5M Length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/97/M32697_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,5 m,,Plain End,,619.022.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,25 mm,25 mm,25 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
32,PM32691,Geberit m of flowfit pipe 32mm in 3m length,Geberit,12.39,"This Geberit FlowFit 32mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 32mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/91/M32691_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.013.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,32 mm,32 mm,32 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
33,PP05482,Uponor Uni Pipe PLUS pipe 25 x 2.5mm x 5mtr White,Uponor,7.29,"Safe and stable, this Uponor Uni Pipe Plus 25mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 25 x 2.5mm x 5mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PR12531,Riifo 16x2.0mm Red B1 PEX/AL/PEX pipes pre-insulated 100m coil,Riifo,4.72,"Requiring no hot works for installation, Riifo B1 16 x 2mm PEX/AL/PEX pre-insulated pipe is supplied in a 100M coil. Manufactured by Rifeng, this multilayer pipe is easy and cost-effective to install and offers a wide range of benefits.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Riifo 16x2.0mm Red B1 PEX/AL/PEX pipes pre-insulated 100m coil",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/38/598638_wm.jpg,,,,Red,,N,WRAS,PEX/AL/PEX,16 x 2.0mm,2.0,Press fit,Press fit,1100044442,,N,PEX/AL/PEX construction,Red colour-coded insulation,Insulation has 8mm thickness,Hand-bendable,Minimises joints required,WRAS approved,,,,,,,,,,,,,,,,,,N/A,
35,PP95232,Uponor Uni Pipe PLUS universal pipe 16 x 2mm 100mtr White,Uponor,2.17,The seamless aluminium Uponor 16mm Uni Pipe PLUS prevents oxygen penetration and compensates for restoring forces and linear expansion caused by temperature changes. The pipe's 2mm thick aluminium offers compressive strength and flexibility while polyethylene applied both inside and outside provides a high level of temperature resistance. All layers are permanently joined by an intermediate bonding layer and pipe is supplied in lengths of 100M.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS universal pipe 16 x 2mm 100mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/36/NW-P95232_P95236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PP05487,Uponor Uni Pipe PLUS pipe 25mm x 2.5mm x 3mtr White,Uponor,7.29,"Safe and stable, this Uponor Uni Pipe Plus 25mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 25mm x 2.5mm x 3mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,,,,White,Uni Pipe Plus,N,WRAS,(PE-RT) Aluminium,25 mm (Dia),2.5,Press fit,Plain End,1060785,Multilayer Composite Pipe,N,Seamless or OWC technology for high level of safety,High dimensional stability,Low expansion rates,Increased flexibility,100% oxygen barrier,Lightweight design,Fire classification E according to EN 13501-1,With pipe end caps as hygienic seal according EN 806,3M length,2.5mm wall thickness,,,,,,,,,,,,,,,
37,PP05480,Uponor Uni Pipe PLUS pipe 16 x 2mm 5mtr White,Uponor,2.89,"Safe and stable, this Uponor Uni Pipe Plus 16mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 16 x 2mm 5mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PP95236,Uponor Uni Pipe PLUS universal pipe 25 x 2.5mm 50mtr White,Uponor,6.44,The seamless aluminium Uponor 25mm Uni Pipe PLUS prevents oxygen penetration and compensates for restoring forces and linear expansion caused by temperature changes. The pipe's 2.5mm thick aluminium offers compressive strength and flexibility while polyethylene applied both inside and outside provides a high level of temperature resistance. All layers are permanently joined by an intermediate bonding layer and pipe is supplied in lengths of 50M.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS universal pipe 25 x 2.5mm 50mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/36/NW-P95232_P95236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PP04494,Uponor M profile coupler MLCP press 16 x 15,Uponor,8.17,"Making the connection of MLC pipe to copper or stainless steel simple, this Uponor 16 x 15mm M profile coupler offers easy installation using press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor M profile coupler MLCP press 16 x 15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/94/P04494_wm.jpg,,,,,,N,WRAS,DZR Brass,16 x 15 mm,,Press fit,,1090682,Adapter,N,Adapts Uponor MLC pipes to copper or stainless steel,DZR brass construction,Easy press-fit connections,WRAS approved,,,,,,,Unequal,16 mm,,15mm,,,,,,,,,,,
40,PP05483,Uponor Uni Pipe PLUS pipe 32 x 3mm x 5mtr White,Uponor,9.12,"Safe and stable, this Uponor Uni Pipe Plus 32mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 32 x 3mm x 5mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P407857,M OF MAINCOR MLCP PIPE IN 50M COIL    16,Maincor,1.85,"Supplied in a 50M coil, this Maincor 100% barrier multi-layer composite pipe (MLCP) is made of welded aluminium and has press-fit x plain end connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> M OF MAINCOR MLCP PIPE IN 50M COIL    16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/57/407857_wm.jpg,,,,White,MLCP,N,WRAS,(PE-RT) Aluminium,16 mm (Dia),2,Press fit,Plain End,8160014050,,N,Welded aluminium,Supplied in 50M coil,16 x 2mm,10 year warranty,,,,,,,,,,,,,,,,,,,,,
42,P507345,Wavin Tigris K1 straight pipe 32mm 3mtr,Wavin,17.9,"Offered in a 3M length, this Wavin Tigris K1 32mm diameter straight pipe is made of white PE-X/AL with press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Tigris K1 straight pipe 32mm 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/45/NW-507342_507345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Tigris_K1_Pipe_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P521333,Wavin Wavin Tigris K1 MLCP pipe (50mtr coil) with insulation 9mm (20mm),Wavin,251.85,"Suitable for use in potable water, Wavin Tigris MLCP 9mm (20mm) insulated pipe is supplied in a 50M coil with plain push-fit ends for ease of fitting with no need for hot works. Thanks to its patented hexagonal head shape, minimal insertion force is required on Tigris pipes, while installation time and cost is reduced and flow rates improved by multilayer pipe's flexibility. Part of a complete system, Tigris MLCP pipe is suitable for use in large commercial installations, such as those found in schools, hotels and apartment blocks.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Wavin Tigris K1 MLCP pipe (50mtr coil) with insulation 9mm (20mm)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/33/521333_wm.jpg,,,,Red,Wavin Tigris K1,N,,PEX,9 mm,2,,,3004379,,N,PE-X construction,Red colour,Metal layer offers resistance to oxygen diffusion,Thermal expansion comparible with copper,High resistance to scale build-up and stress-cracking,High pressure and termperature resistance,Press-fit installation,"No soldering, welding or thread-cutting required",No costly hot works insurance permits needed,Lightweight in comparison to screwed steel products,,,,,Meets EN ISO 21003,Meets BS 6920:2000,WRAS approved,KIWA approved,,,,,,,50
44,PP91550,Uponor Uni-Pipe MLCP MLCP pipe (100mtr coil) 12mm (Priced per metre),Uponor,2.17,"This Uponor 12mm multilayer composite pipe is diffusion-tight and made up of PE-RT and longitudinally welded aluminium layered with adhesive. It is designed for distribution conduits, rising mains and connection lines for plumbing plus radiator and fan coil connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni-Pipe MLCP MLCP pipe (100mtr coil) 12mm (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/50/NW-P91550_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P503691,Pegler VSH Tectite MLCP tube (50mtr coil) 15mm,Pegler,3.53,"Made of MLCP, this Pegler Yorkshire Tectite 15mm tube saves on installation time and cost thanks to its uniquely fast push-fit connections. Highly reliable, this versatile tube is supplied in 50M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Pegler VSH Tectite MLCP tube (50mtr coil) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/93/NW-503690_503693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_ETA_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PP91008,Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 50 x 4.5mm (Priced per metre),Uponor,22.66,"This Uponor 50mm multilayer composite pipe is diffusion-tight and made up of PE-RT and longitudinally welded aluminium layered with adhesive. It is designed for distribution conduits, rising mains and connection lines for plumbing plus radiator and fan coil connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 50 x 4.5mm (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/NW-P91006_P91009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Uponor_IS_MLC_Catalogue_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P416964,HENCO MLCPC M OF COIL PIPE        26X50M,Pegler Yorkshire,8.95,"This Pegler Yorkshire Henco 26mm pipe is made of cross-linked polyethylene (PE-X), combining the benefits of metal and plastic systems for a reliably durable solution. Flexible, even at low temperatures, this 3mm thick pipe retains its shape after bending and offers high levels of resistance against, corrosion as well as chemicals and electrochemicals. It is supplied in 50M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> HENCO MLCPC M OF COIL PIPE        26X50M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/65/NW-416964_416965_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Henco_Product_Guide_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PR12616,"Riifo 25mm x 3/4"" F5 female couplers",Riifo,4.91,"Offering time saving efficiency, the Riifo F5 25mm x 3/4"" female coupler is part of a press-fit system suitable for use in hot and cold or heating applications. Fast and easy to press, Rifeng-manufactured F5 fittings are highly reliable and incorporate double O-ring seals for excellent water-tightness.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Riifo 25mm x 3/4"" F5 female couplers",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/50/598650_wm.jpg,,,,,,N,WRAS,Ni Coated Brass,25mm x 3/4,,Press fit,,1100044498,MLCP press fittings,N,Nickel-coated brass body,Press-fit connection,With double O-ring seals,For use with RIIFO PEX/AL/PEX pipe,Full WRAS approval.,,,,,,Unequal,25 mm,3/4 BSP,N/A,,,,,,,,,,,
49,P507344,Wavin Tigris K1 straight pipe 25mm 3mtr,Wavin,14.3,"Offered in a 3M length, this Wavin Tigris K1 25mm diameter straight pipe is made of white PE-X/AL with press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Tigris K1 straight pipe 25mm 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/45/NW-507342_507345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Tigris_K1_Pipe_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PM32703,Geberit m of flowfit pipe 16mm in 50m coil,Geberit,3.06,"This Geberit FlowFit 16mm pipe is supplied in a 50M coil. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 16mm in 50m coil",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/03/M32703_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,50m,,Plain End,,619.050.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,16 mm,16mmØ,16 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,Aluminium and PE-RT II construction,7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
51,PP05481,Uponor Uni Pipe PLUS pipe 20 x 2.25mm x 5mtr White,Uponor,4.75,"Safe and stable, this Uponor Uni Pipe Plus 20mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 20 x 2.25mm x 5mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P521332,Wavin Wavin Tigris K1 MLCP pipe (50mtr coil) with insulation 9mm (16mm),Wavin,189.04,"Suitable for use in potable water, Wavin Tigris MLCP 9mm (16mm) insulated pipe is supplied in a 50M coil with plain push-fit ends for ease of fitting with no need for hot works. Thanks to its patented hexagonal head shape, minimal insertion force is required on Tigris pipes, while installation time and cost is reduced and flow rates improved by multilayer pipe's flexibility. Part of a complete system, Tigris MLCP pipe is suitable for use in large commercial installations, such as those found in schools, hotels and apartment blocks.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Wavin Tigris K1 MLCP pipe (50mtr coil) with insulation 9mm (16mm)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/32/521332_wm.jpg,,,,Red,Wavin Tigris K1,N,EN-ISO 21003 and BS 6920:2000,PEX,16 mm,2,Plain End,Plain End,3004378,,N,PE-X construction,Red colour,Metal layer offers resistance to oxygen diffusion,Thermal expansion comparible with copper,High resistance to scale build-up and stress-cracking,High pressure and termperature resistance,Press-fit installation,"No soldering, welding or thread-cutting required",No costly hot works insurance permits needed,Lightweight in comparison to screwed steel products,,,,,Meets EN ISO 21003,Meets BS 6920:2000,WRAS approved,KIWA approved,,,,,,N/A,50
53,P507342,Wavin Tigris K1 straight pipe 16mm 3mtr,Wavin,6.56,"Offered in a 3M length, this Wavin Tigris K1 16mm diameter straight pipe is made of white PE-X/AL with press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Tigris K1 straight pipe 16mm 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/45/NW-507342_507345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Tigris_K1_Pipe_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PP05492,Uponor Uni Pipe PLUS conduit 16 x 2mm x 75mtr White / Blue,Uponor,4.72,This Uponor MLC 16mm white pipe in blue conduit is a corrugated protective tube made of high-density polyethylene.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS conduit 16 x 2mm x 75mtr White / Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/92/NW-P05492_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
