,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,Angle,End Connection A size,End Connection B size,End Connection C size,Grade,Material,Size,Supplier Product Code,WEEE Compliant,Type,Feature 1,Feature 2,Feature 3,Weight,Connection Type 1,Connection Type 2,Feature 4,Feature 5
33,P701318,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 104MM,Steelcom Fittings,42.61,This Steelcom Fittings metric 104mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,104mm,N/A,104mm,,316L Stainless Steel,104mm x 2.0mm,CL1AX16L0710402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
34,P701341,Steelcom Fittings 316/L EN10253-4 press cap ends 254MM,Steelcom Fittings,70.9,This Steelcom Fittings metric 254mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 254MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,254mm,N/A,N/A,,316L Stainless Steel,254mm x 2.0mm,FO0L016L0025402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
35,P701348,Steelcom Fittings 316/L EN10253-4 pressed collars 254mm,Steelcom Fittings,33.85,This Steelcom Fittings metric 254mm pressed collar has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pressed collars 254mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/701342_701348_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,254mm,N/A,254mm,,316L Stainless Steel,254mm x 2.0mm,CA0L016L0025402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
36,P701329,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 104MM,Steelcom Fittings,39.73,This Steelcom Fittings metric 104mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,104mm,N/A,104mm,,316L Stainless Steel,104mm x 2.0mm,CL2AX16L0710402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
37,P701334,Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 154MM,Steelcom Fittings,169.17,This Steelcom Fittings metric 154mm D+100 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,154mm,N/A,154mm,,316L Stainless Steel,154mm x 2.0mm,CL2LX16L0715402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
38,P701333,Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 129MM,Steelcom Fittings,153.2,This Steelcom Fittings metric D+100 129mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 129MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,129mm,N/A,129mm,,316L Stainless Steel,129mm x 2.0mm,CL2LX16L0712902002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
39,P701316,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 54MM,Steelcom Fittings,14.11,This Steelcom Fittings metric 54mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 54MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,54mmØ,N/A,54mmØ,,316L Stainless Steel,54mm x 2.0mm,CL1EX16L0705402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
40,P701309,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 254MM,Steelcom Fittings,352.33,This Steelcom Fittings metric 254mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 254MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/10/701307_701310_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,254mm,N/A,254mm,,316L Stainless Steel,254mm x 2.0mm,CL2LX16L0725402003,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
41,P701332,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 204MM,Steelcom Fittings,165.84,This Steelcom Fittings metric 204mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,204mm,N/A,204mm,,316L Stainless Steel,204mm x 2.0mm,CL2EX16L0720402003,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
42,P701321,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 254MM,Steelcom Fittings,376.91,This Steelcom Fittings metric 254mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 254MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,254mm,N/A,254mm,,316L Stainless Steel,254mm x 2.0mm,CL1EX16L0725402003,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
43,P701359,Steelcom Fittings 316/L EN10253-4 reduced tee 254X154mm,Steelcom Fittings,207.6,This Steelcom Fittings metric 254 x 154mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 254X154mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,254mm,154mm,254mm,,316L Stainless Steel,254mm x 154mm x 2.0mm,TERSE16L0025402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
44,P701352,Steelcom Fittings 316/L EN10253-4 pulled equal tee 129MM,Steelcom Fittings,73.39,This Steelcom Fittings metric 129mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 129MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,129mm,129mm,129mm,,316L Stainless Steel,129mm x 129mm x 2.0mm,TESXE16L0012902000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
45,P701313,Steelcom Fittings 316/L EN10253-4 reduced tee welded 204X104MM,Steelcom Fittings,223.73,This Steelcom Fittings metric 204 x 104mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee welded 204X104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/701311_701315_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,204mm,104mm,204mm,,316L Stainless Steel,204mm x 104mm x 2.0mm,TERSE16L0020402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
46,P701322,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 84MM,Steelcom Fittings,83.01,This Steelcom Fittings metric 84mm D+100 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 84MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,84mm,N/A,84mm,,316L Stainless Steel,84mm x 2.0mm,CL1LX16M0708402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
47,P701354,Steelcom Fittings 316/L EN10253-4 pulled equal tee 204MM,Steelcom Fittings,199.5,This Steelcom Fittings metric 204mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,204mm,204mm,204mm,,316L Stainless Steel,204mm x 204mm x 2.0mm,TESXE16L0020402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
48,P701307,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 204MM,Steelcom Fittings,177.41,This Steelcom Fittings metric 204mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/10/701307_701310_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,204mm,N/A,204mm,,316L Stainless Steel,204mm x 2.0mm,CL1EX16L0720402003,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
49,P701319,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 129MM,Steelcom Fittings,67.51,This Steelcom Fittings metric 129mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 129MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,129mm,N/A,129mm,,316L Stainless Steel,129mm x 2.0mm,CL1EX16L0712902001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
50,P701345,Steelcom Fittings 316/L EN10253-4 pressed collars 129mm,Steelcom Fittings,13.61,This Steelcom Fittings metric 129mm pressed collar has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pressed collars 129mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/701342_701348_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,129mm,N/A,129mm,,316L Stainless Steel,129mm x 2.0mm,CA0L016L0012902000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
51,P701351,Steelcom Fittings 316/L EN10253-4 pulled equal tee 104MM,Steelcom Fittings,58.78,This Steelcom Fittings metric 104mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,104mm,104mm,104mm,,316L Stainless Steel,104mm x 104mm x 2.0mm,TESXE16L0010402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
52,P701311,Steelcom Fittings 316/L EN10253-4 reduced tee 104X54mm,Steelcom Fittings,65.91,This Steelcom Fittings metric 104 x 54mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 104X54mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/701311_701315_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,104mm,54mmØ,104mm,,316L Stainless Steel,104mm x 54mm x 2.0mm,TERSE16L0010402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
53,PR02464,A403 304 SCH10S EQUAL TEE  WLD         1,Starfit,4.33,"This Starfit 1 x 1 x 1"" 90° tee is a seamless and welded butt fitting, manufactured in 304 stainless steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S EQUAL TEE  WLD         1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/64/NW-R02464_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Starfit_SS_Pipe_Screw_Fittings_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P701349,Steelcom Fittings 316/L EN10253-4 pulled equal tee 54MM,Steelcom Fittings,18.53,This Steelcom Fittings metric 54mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 54MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,54mmØ,54mmØ,54mmØ,,316L Stainless Steel,54mm x 54mm x 2.0mm,TESXE16L0005402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
55,P701357,Steelcom Fittings 316/L EN10253-4 reduced tee 129X104mm,Steelcom Fittings,83.37,This Steelcom Fittings metric 129 x 104mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 129X104mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,129mm,104mm,129mm,,316L Stainless Steel,129mm x 104mm x 2.0mm,TERSE16L0012902001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
56,P701326,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 254MM,Steelcom Fittings,454.93,This Steelcom Fittings metric D+100 254mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 254MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,254mm,N/A,254mm,,316L Stainless Steel,254mm x 2.0mm,CL1LX16L0725402003,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
57,P701347,Steelcom Fittings 316/L EN10253-4 pressed collars 204mm,Steelcom Fittings,27.61,This Steelcom Fittings metric 204mm pressed collar has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pressed collars 204mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/701342_701348_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,204mm,N/A,204mm,,316L Stainless Steel,204mm x 2.0mm,CA0L016L0020402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
58,PR02423,A403 304 SCH10S 45D LR ELBOW WLD   1.1/4,Starfit,1.46,"This Starfit SCH10S 1 1/4 x 1 1/4"" 45° elbow is a seamless and welded butt fitting, manufactured in 304 stainless steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S 45D LR ELBOW WLD   1.1/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/23/NW-R02423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Starfit_SS_Pipe_Screw_Fittings_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P701335,Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 204MM,Steelcom Fittings,163.2,This Steelcom Fittings metric D+100 204mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,204mm,N/A,204mm,,316L Stainless Steel,204mm x 2.0mm,CL2LX16L0720402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
60,P701355,Steelcom Fittings 316/L EN10253-4 reduced tee 84X54mm,Steelcom Fittings,48.1,This Steelcom Fittings metric 84 x 54mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 84X54mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,84mm,54mmØ,84mm,,316L Stainless Steel,84mm x 54mm x 2.0mm,TERSE16L0008402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
61,P701327,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 54MM,Steelcom Fittings,14.11,This Steelcom Fittings metric 54mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 54MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,54mmØ,N/A,54mmØ,,316L Stainless Steel,54mm x 2.0mm,CL2EX16L0705402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
62,P701310,Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 254MM,Steelcom Fittings,341.57,This Steelcom Fittings metric 254mm D+100 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45° D+100mm elbow welded 254MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/10/701307_701310_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,254mm,N/A,254mm,,316L Stainless Steel,254mm x 2.0mm,CL2LX16L072540200,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
63,P701360,Steelcom Fittings 316/L EN10253-4 reduced tee 254X204mm,Steelcom Fittings,207.6,This Steelcom Fittings metric 254 x 204mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 254X204mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,254mm,204mm,254mm,,316L Stainless Steel,254mm x 204mm x 2.0mm,TERSE16L0025402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
