,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 3,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 2,Pack Quantity,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Model For Use With,Power Supply,Colour,Material,Feature 8,Feature 9,By Model Number,Diameter,Thickness,Warranty,Length (M),Size,Current Rating,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Weight,Dimensions mm (H x W x D),Phase,For Use With
113,P617127,"Javac Edge multi tube expander set 1/4-1.1/8""",Javac,583.52,"This Javac Edge tube expander set includes eight different expander head sizes, including a 1/4"" head, with ergonomic handles all packed in a robust carry case.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge multi tube expander set 1/4-1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/27/NW-617127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Expander-Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_Tube-Expander-Set_Instrcts.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,P617106,"Javac Edge sprun tube cutter 1/8 - 5/8""",Javac,24.24,"Making a fast, clean cut every time in any tube shape, this Javac Edge sprun tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, adjusting to the shape of the tube accurately.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge sprun tube cutter 1/8 - 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/06/NW-617106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,P696503,Pump House Coil Care AER-I-600 indoor coil cleaner and disinfectant 600ml,Pump House,20.05,"Pump House Coil Care fragranced evaporator cleaner and disinfectant is formulated to remove bacteria, fungi and viruses, neutralise odours and improve air quality. Coil Care's highly effective cleaning action improves the efficiency of an air conditioning system while cleaning and freshening the coil.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House Coil Care AER-I-600 indoor coil cleaner and disinfectant 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/03/NW-696503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696503_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Coil_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,P691591,Bluemay Ancillaries washer faced nut for nylon rod M10,Bluemay,0.52,This Bluemay M10 washer faced nut is made of strong yet lightweight nylon.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Bluemay Ancillaries washer faced nut for nylon rod M10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/92/NW-691591_691592_wm.jpg,,,,,Ancillaries,N,,,NN6WFM10N,Washer Faced Nut,N,Lightweight thermoplastic construction,,,,,Strong design,,Resistant to vibration,,,,,,,Natural,Nylon,,,,M10,10 mm,n/a,,,,,,,,,,,,,
117,P617110,"Javac Edge tube cutter 1/8 -1.5/8""",Javac,60.23,"Making a fast, clean cut every time in any tube shape, this Javac Edge tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, reducing burr and saving on time.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge tube cutter 1/8 -1.5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/10/NW-617110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,P670036,Aspen Pumps Xtra grip lock (Size-1) 54 x 30mm (Pack of 10),Aspen Pumps,38.54,"Ideal for air conditioning line sets, this Aspen Pumps Xtra size 1 grip lock is made of zinc passivated mild steel and is designed to mount to any surface.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra grip lock (Size-1) 54 x 30mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/39/NW-670036_670039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Grip_Lock_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,P667502,"Aspen Pumps Xtra plastic straight connector 3/8"" (Pack of 5)",Aspen Pumps,10.89,This pack of five Aspen Pumps Xtra 10mm straight connectors in black plastic are designed to connect lengths of PVC hose together.,"Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra plastic straight connector 3/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/03/NW-667502_667503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,P688091,Javac telescopic round inspection mirror 50mm,Javac,8.74,This Javac 50mm round swing inspection mirror includes a plastic insulated handle.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac telescopic round inspection mirror 50mm,,Inspection mirror18 inch Telescopic handle,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/91/NW-688091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,P685066,Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,Aspen Pumps,26.08,"Designed for ease of installation, this Aspen Pumps Xtra isolator with electrical rating 230/415 VAC, 20A, 4 pole offers separate back plate with spirit level inbuilt and a removable switch to simplify wiring-in.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/NW-685065_685068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Isolator_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Isolator_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,P693977,"Danfoss DCL DCL165 filter drier flared connection 5/8""",Danfoss,24.2,"This Danfoss Eliminator DCL165 16 cu.inch hermetic filter drier with 5/8"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Danfoss DCL DCL165 filter drier flared connection 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/77/NW-693977_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,P690059,Pump House valve core (Pack of 6),Pump House,6.47,"This pack of three Pump House 3/8"" valve cores contains suitable replacements for standard access valves in CFC, HCFC and HFC systems.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House valve core (Pack of 6),,6x valve core,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/59/NW-690059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Access-Fittings_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,P617125,Javac Edge flaring and swaging tool,Javac,162.92,"A smart two-in-one design, this Javac Edge flaring and swaging tool means you'll have less to carry and more room in the van for other items. This tool includes an indexing mechanism for accurate alignment when switching between different hole positions on the flaring bar and a diamond flaring cone with a unique socket fitting, allowing the attached cone to spin as the handle is turned.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge flaring and swaging tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-617125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Flaring-Swaging_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Javac_Flaring-Swaging_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,P691678,Javac oil charging pump,Javac,239.83,"This Javac oil charging pump is designed to fit any size of oil drum, bottle or container and allows for charging directly into a system with no need to shut down.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac oil charging pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/78/NW-691678_wm.jpg,,,,,,N,,,JAV-1042,Oil Charging Pump,N,Pumps against small positive pressure,,,,,Pumps approximately 1L in 20 full pump strokes,,"Suitable for use with alkyl benzene, ester based, polyol ester, mineral and synthetic oils",,,,,,,,,,,,,,,,,,,,,,,,,,,
126,P685026,Aspen Pumps Xtra adaptor 16-25mm,Aspen Pumps,28.22,"Supplied in a pack of three, these Aspen Pumps Xtra black rubber adapters connect a ducted unit to a mini pump. They are designed to fit Daikin, Mitsu Ele/Heavy, Panasonic and LG units.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra adaptor 16-25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/26/NW-685026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Connectors_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,P691045,Javac 9884811 access tee,Javac,30.21,"This Javac 9884811 access tee includes 1/4 x 1/4 x 1/4"" swivel connections.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac 9884811 access tee,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/45/NW-691045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,P617101,Pump House Adaptors CTM-1 tie mounted cable screw fixing (Pack of 100),Pump House,11.24,These essential Pump House cable tie mounts with screw fixings are made of virgin nylon 6.6 and are suitable for use with X-CT30-4.8B-B100.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House Adaptors CTM-1 tie mounted cable screw fixing (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/01/NW_617101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Cable_Tie_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,P685029,Aspen Pumps Xtra cassette adaptor 16-21mm,Aspen Pumps,25.57,These Aspen Pumps Xtra rubber adapters connect a 16mm cassette unit condensate drain pipe to the 25mm overflow pipe of a tank pump.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra cassette adaptor 16-21mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/31/NW-685029_685031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Connectors_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,P617108,Javac Edge rachet hand and tube cutter,Javac,52.6,"Making a fast, clean cut every time in any tube shape, this Javac Edge tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, adjusting to the shape of the tube accurately while reducing burr and saving on time.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge rachet hand and tube cutter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/08/NW-617108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,P667501,"Aspen Pumps Xtra plastic non return valve 1/4"" (Pack of 5)",Aspen Pumps,13.61,"Supplied in a pack of five, Aspen Pumps Xtra 6mm non-return valve in white plastic prevent the backflow of water.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra plastic non return valve 1/4"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/01/NW-667500_667501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,P457965,Regin REQ155 quick blow glass fuse 1.25 3A,Regin,2.48,A three pack of Regin REGQ155 1.25 3A quick-blow glass fuses.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Regin REQ155 quick blow glass fuse 1.25 3A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/65/457965_wm.jpg,,,,,,N,,,Q155,Fuse,N,3A quick blow glass fuse,,,,,32mm,,,,,,,,,,,,,,63mm,,,,,3 A,,,,,,,,,,
133,P694273,Advanced Engineering AdvancedGel evaporator cleaner 490ml/8ltr,Advanced Engineering,42.86,"Designed to improve a unit's energy efficiency, this Advanced Engineering AdvancedGel ECD evaporator cleaner and disinfectant's powerful cleaning action removes bacteria, dirt, slime and mould. Compact, lightweight and easy to carry, this cleaner provides 8L of cleaning power from each pouch.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Advanced Engineering AdvancedGel evaporator cleaner 490ml/8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/73/NW-694273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_AdvancedGel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/es/AE_CondenCide_Certificates.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_AdvancedGel_ECD_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/694273_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,P694274,Advanced Engineering AdvancedGel condenser cleaner 490ml/8ltr,Advanced Engineering,42.86,"Designed to clean even the most stubborn deposits, Advanced Engineering AdvancedGel CC condenser cleaner is compact, lightweight and easy to carry, providing 8L of cleaning power from each pouch.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Advanced Engineering AdvancedGel condenser cleaner 490ml/8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/74/NW-694274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_AdvancedGel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_AdvancedGel_CC_SDS.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/694274_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,P671586,Aspen Pumps Xtra clip stud M10 x 22mm (Pack of 10),Aspen Pumps,16.98,"Made of nylon, this Aspen Pumps Xtra 7/8"" stud clip, suitable for 8 or 10mm studding incorporates a unique ratchet design for fast, easy installation and adjustment.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra clip stud M10 x 22mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/86/NW-671586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Stud_Clip_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,P694033,Danfoss DCL DCL033S filter drier (033S),Danfoss,13.0,"This Danfoss Eliminator DCL033S 3 cu.inch hermetic filter drier with 3/8"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Danfoss DCL DCL033S filter drier (033S),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/33/NW-694033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,P691700,"Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",Dena,1.37,"This Dena XH9 drier with 1/4"" inlet and outlet is made of copper with pipe worked at the ends to increase the volume of a refrigerating system. Dena products are available in horizontal and vertical versions, from a minimum diameter of 16mm to a maximum of 76mm.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/00/NW-691699_691700_wm.jpg,,,Inlet: 1/4Outlet: 1/4,Soldered,,N,15g,Molecular Sieve Beads,FR193PD015/08,Drier,N,The products range from a minimum diameter of 16mm and a maximum of 76mm,,,,,In both horizontal and vertical versions,,With inlet and outlet holes from 1.9 to 12mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
