,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Depth (mm)
39,PQ97163,Hansgrohe handle for shut off unit Chrome Plated,Hansgrohe,47.82,A Hansgrohe chrome-plated handle for shut-off unit.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Hansgrohe handle for shut off unit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/63/Q97163_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Ecomax_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hansgrohe_Brochure.pdf,,,,,,,,,,,,,,,
40,PD78324,Mira Fino flow cartridge assembly,Mira,66.97,This Mira flow cartridge is suitable for use in Mira Fino exposed thermostatic mixer showers.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Fino flow cartridge assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/24/NW-D78324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
41,PD78233,Mira solenoid coil,Mira,19.73,"A genuine replacement part, this Mira solenoid assembly is suitable for use in several Mira shower ranges, including Escape, Orbis and Azora.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira solenoid coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/33/NW-D78233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
42,PD66389,Mira Advance relay board,Mira,114.83,This Mira ATL replacement relay board is designed for Mira Advance Wireless.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Advance relay board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/89/NW-D66389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
43,PD78404,Mira Gem 88 handle pack-A Chrome,Mira,36.0,"A Mira replacement control handle pack compatible with Mira Gem 88 BIR, Mira Gem 88 BIV and Mira Gem 88 EV.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Gem 88 handle pack-A Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/04/NW-D78404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
44,PB17059,Armitage Shanks ac printed circuit board,Armitage Shanks,228.36,This Armitage Shanks AC printed circuit board (PCB) is provided with a transformer.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Armitage Shanks ac printed circuit board,,Printed circuit breaker;Transformer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/59/NW-B17059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/AS_Markwik_21_Therm_Mixers_Instal.pdf,,,,,,,,,,,,,,,,
45,PD66419,Mira Advance spray advance flex cover and printed circuit board,Mira,89.23,"This Mira Advance flex cover assembly is compatible with Mira Advance ATL, ATL Extra, ATL Flex, Flex Extra and Wireless, all kW ratings.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Advance spray advance flex cover and printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/19/NW-D66419_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
46,PD78014,Triton Elina exposed single lever thermostatic mixer valve,Triton,323.61,"A tough mixer shower with safety built in, the Triton Elina exposed single lever thermostatic sequential mixer valve is ideal for commercial applications and especially for use in care homes, hospitals and nursing homes. Designed for fitting with a separately available kit, this TMV3 approved shower valve has an accessible, easy-turn, front-facing lever for effortless temperature adjustment while maintaining a consistent flow. Tamperproof, the Elina chrome mixer offers straightforward installation in addition to ease of maintenance.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Triton Elina exposed single lever thermostatic mixer valve,,Triton Elina exposed single lever thermostatic mixer valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/14/D78014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Triton_Showers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Triton_Brochure.pdf,,,,,,,,,,,,,,,
47,PD63714,Ideal Standard basin mixer flow regulator 5ltr p/m,Ideal Standard,4.19,"This Ideal Standard 5LPM flow regulator is engineered for use in non-residential spaces. Suitable for balanced and unbalanced low or high water pressure systems, the Contour 21 range combines thermostatic safety features with attractive designs.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard basin mixer flow regulator 5ltr p/m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/14/NW-D63714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_L6982_Technical.pdf,,,,,,,,,,,,,,,,
48,PD78586,Mira Discovery cartridge assembly pack,Mira,159.68,"Suitable for use with Mira's own Discovery shower, this Mira brass thermostatic cartridge assembly pack, supplied with installation tools and accessories, helps to improve shower performance and longevity by reducing limescale and decreasing the chemicals present in shower water.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Discovery cartridge assembly pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/86/NW-D78586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
49,PD00029,Mira Flight wall panel joint strip pack,Mira,24.01,"A quick and easy way to join two shower panels, the Mira Flight wall panel straight connector is leakproof and long lasting. Incorporating BioCote technology, this connecter is resistant to mould and bacteria as well as scratches, chips and discolouration, ensuring your shower enclosure looks good for longer.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Flight wall panel joint strip pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/29/NW-D00029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Flight_Wall_Panels_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Installer_Shower_Trays_P_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Flight_Wall_Panels_Installation.pdf,,,,,,,,,,,,,,
50,PD00028,Mira Flight corner strip pack for wall panel,Mira,33.14,"A quick and easy way to join two shower panels, the Mira Flight wall panel corner connector is leakproof and long lasting. Incorporating BioCote technology, this connecter is resistant to mould and bacteria as well as scratches, chips and discolouration, ensuring your shower enclosure looks good for longer.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Flight corner strip pack for wall panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/28/NW-D00028_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Flight_Wall_Panels_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Installer_Shower_Trays_P_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Flight_Wall_Panels_Installation.pdf,,,,,,,,,,,,,,
51,PD30585,Ideal Standard shower flow regulator 8 liter per mtr,Ideal Standard,6.83,An Ideal Standard 8LPM flow regulator for shower outlets.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard shower flow regulator 8 liter per mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/85/NW-D30585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_L6960_Technical.pdf,,,,,,,,,,,,,,,,
52,PD05369,Ideal Standard stick handshower Chrome,Ideal Standard,51.96,"A smart chrome handset, the Ideal Standard IdealRain stick handspray has a smart modern design to match contemporary chrome shower units. Lightweight, this shower handset has an ergonomic design for comfortable grip and rub-clean nozzles to reduce limescale and make weekly cleaning easier.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard stick handshower Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/69/D05369_wm.jpg,,,,Chrome,5 Years,N,BC774AA,single function handspray,N,Chrome finish,Single function,Easy-grip design,Rub-clean nozzles,5 year warranty,,,
53,PA05062,Nabis plate assembly,Nabis,4.29,This Nabis replacement plate assembly is for use with A05043.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis plate assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/62/A05062_wm.jpg,,,,Chrome,n/a,N,WUK130,Plate Assembly,N,Compatible with A05043,Chrome finish,,,,,,
54,PE94633,Ideal Standard 90mm fast flow chrome shower waste,Ideal Standard,9.42,This Ideal Standard 90mm fast flow shower waste is finished in chrome to suit the majority of bathroom designs.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard 90mm fast flow chrome shower waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/33/E94633_wm.jpg,,,,Chrome,5 Years,N,T5528AA,Shower Waste,N,Fast flow use,Chrome finish,5 year warranty,,,,,
55,PD30248,Croydex hook and glider pack White,Croydex,8.3,This Croydex hook and glider pack is for use with Profile 400 and 800 shower rails anywhere more than one shower curtain is needed.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Croydex hook and glider pack White,,12 piece hooks and gliders;Hanging bag with header card and Euro slot,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/48/UP-D30248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Croydex_Product_Catalogue_2017.pdf,,,,,,,,,,,,,,,
56,PJ10034,"Armitage Shanks Multi-system back support, fixed height",Armitage Shanks,243.28,This Armitage Shanks multi-system back support offers fixed height installation.,"Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Armitage Shanks Multi-system back support, fixed height",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/J10034_wm.jpg,,,,Grey,5 Years,N,S1208XK,Fixed Height,N,Grey colour,DDA compliant,5 year warranty,,,,,
57,PD59701,Mira cartridge assembly Black,Mira,87.41,This Mira thermostatic mixer cartridge improves long term shower performance by decreasing chemical presence in the water and reducing limescale. This cartridge is suitable for use with post 1992 Mira 415 models and Mira Combiforce 415.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira cartridge assembly Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/01/NW-D59701_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
58,PC45592,Bristan wall mount fixings for bar showers Chrome Plated,Bristan,35.11,This Bristan chrome wall mount fixing for bar showers enables rigid fixing of exposed bar shower valves to 15mm pipework through a cavity wall surface.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Bristan wall mount fixings for bar showers Chrome Plated,,"2 x Wall Mounts, 4 x Screws, 4 x Rawl Plugs, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/92/NW-C45592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_WMNT10C_Technical.pdf,,,,,,,,,,,,,,,,
59,PD59711,Mira internal set toilet,Mira,111.41,This Mira internal set is suitable for use in all models of the Mira 88 manual mixer shower.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira internal set toilet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/11/NW-D59711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
60,PD53179,Aqualisa Mian rectangular dual outlet wall plate 200mm,Aqualisa,101.08,This Aqualisa rectangular 200mm dual outlet wall plate has a neat chrome finish.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Mian rectangular dual outlet wall plate 200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_r/nd/SDCV.TRM2.RND_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Mian_Shower_Brochure.pdf,,,,,,,,,,,,,,,,
61,PC29161,Ideal Standard Nuastyle thermostatic rigid tails,Ideal Standard,33.6,An Ideal Standard Nuastyle thermostatic rigid tail.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard Nuastyle thermostatic rigid tails,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/61/NW-C29161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_May_2019.pdf,,,,,,,,,,,,,,,,
62,PC30524,Ideal Standard shower curtain 2000 x 1500mm White,Ideal Standard,144.96,This Ideal Standard 2 x 1.5M shower curtain has a simple white colour to suit all bathroom decors.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard shower curtain 2000 x 1500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/24/NW-C30524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6750_Technical.pdf,,,,,,,,,,,,,,,,
63,PD61757,Mira Beat fixed showerhead and arm,Mira,79.59,"Finished in chrome, this Mira fixed showerhead and arm is compatible with the Mira Beat shower.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Beat fixed showerhead and arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/57/NW-D61757_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat_Fixed_Shower_Arm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Mira_UKConsumerShowers_Brochure_2018.pdf,,,,,,,,,,,,,,,
64,PD53197,Aqualisa Mian wall outlet 45mm Brass,Aqualisa,43.97,This Aqualisa 45mm shower hose wall outlet is made of brass with a chrome finish.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Mian wall outlet 45mm Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/97/NW-D53197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aqualisa_ACY1013_Technical.pdf,,,,,,,,,,,,,,,,
65,PJ10033,"Armitage Shanks folding, fixed height shower seat with 650mm projection",Armitage Shanks,487.0,"Offering a comfortable 650mm projection, the Armitage Shanks folding fixed height shower seat conveniently folds back into the wall, helping to save space in mixed use bathrooms. Providing added in-shower security for those with reduced mobility or people unable to stand for long periods, this grey shower seat assists with DDA compliance.","Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Armitage Shanks folding, fixed height shower seat with 650mm projection",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/33/J10033_wm.jpg,,,,Grey,5 Years,N,S1207XK,Shower Seat,N,Folds away for convenience,Optional back support,Fixed height design,Grey finish,DDA compliant,5 year warranty,,
66,PC98096,Ideal Standard Sandringham 21 fixed height wall bracket shower head chrome,Ideal Standard,3.93,"Chrome-plated, this Ideal Standard Sandringham21 fixed height hand spray showerhead bracket is part of the wider Sandringham21 bathroom range.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard Sandringham 21 fixed height wall bracket shower head chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-C98096_wm.jpg,,,,Chrome,2 years,N,B9908AA,Hand Spray holder,N,"Stylish,Designs available for both public and private bathrooms",,,,,,Sandringham21,47
67,PD78412,Mira Gem 88 cartridge,Mira,92.55,A Mira cartridge assembly suitable for Mira Gem 88 showers.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Gem 88 cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/12/NW-D78412_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
68,PD60107,Bristan exposed wall mounted shower fixings Chrome,Bristan,71.97,A Bristan wall-mounted shower fixing kit.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Bristan exposed wall mounted shower fixings Chrome,,2x wall mounts;2x shrouds;1x fixing kit;2x olives;2x washers;2x adaptors;2x nuts,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/07/NW-D60107_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_WMNT4C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_WMNT4C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_WMNT4C_Instruction.pdf,,,,,,,,,,,,,,
69,PD78225,Mira terminal switch,Mira,16.47,"A genuine replacement part, this Mira thermal switch assembly is suitable for a variety of Mira showers, including those in the Elite ST, Go and Zest ranges.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira terminal switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/25/NW-D78225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
70,PD44967,Roca Aqua flow restrictor 6ltr,Roca,8.87,This Roca Aqua 6LPM flow restrictor helps to reduce water waste during showers.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Roca Aqua flow restrictor 6ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/67/NW-D44967_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44967_Technical.pdf,,,,,,,,,,,,,,,,
71,PQ52905,Hansgrohe thermostat for an ecostat,Hansgrohe,168.26,"A replacement part for the Ecostat, this Hansgrohe thermostatic cartridge can help to resolve water temperature issues in a shower. This cartridge is designed for quick, easy fitting.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Hansgrohe thermostat for an ecostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/05/NW-Q52905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_94282000_Technical.pdf,,,,,,,,,,,,,,,,
72,PC90924,AKW foldup padded seat Grey,AKW,448.54,"Designed for comfort and accessibility, even in smaller bathrooms, the AKW 2000 Series shower seat is made from rust-proof aluminium and can be adjusted to suit the user and the shower space.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> AKW foldup padded seat Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/24/NW-C90924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/AKW_Product_Catalogue_2022.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_2000_Series_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_2000_02130P_Technical.pdf,,,,,,,,,,,,,,
73,PD63593,Ideal Standard Trevi shower diverter Chrome Plated,Ideal Standard,159.13,"Engineered for the non-residential sector, the Ideal Standard Trevi lever operated shower diverter is suitable for balanced and unbalanced low or high water pressure systems. Finished in chrome, this diverter has a bold, designer look.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard Trevi shower diverter Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/93/NW-D63593_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_L6919_Technical.pdf,,,,,,,,,,,,,,,,
74,PD53176,Aqualisa Mian rectangular single outlet wall plate 200mm,Aqualisa,101.08,This Aqualisa rectangular 200mm single outlet wall plate is finished in chrome.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Mian rectangular single outlet wall plate 200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_r/nd/SDCV.TRM1.RND_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Mian_Shower_Brochure.pdf,,,,,,,,,,,,,,,,
