,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Weight,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Range,Approvals,Material,Feature 4,Feature 5,Diameter,Warranty,Depth (mm),Feature 6,Attachment 4
29,PP58962,Uponor Q&E PEX PEX equal tee 16mm,Uponor,2.21,This Uponor Q&E 16 x 16 x 16mm 90° tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX equal tee 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/64/NW-P58962_P58964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
30,PP58977,Uponor Q&E PEX PEX copper adaptor 16 x 15mm,Uponor,2.45,This Uponor Q&E 16 x 15mm adapter for soldering PL is made of copper material and is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX copper adaptor 16 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/78/NW-P58977_P58978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
31,PP89810,Uponor Q&E PEX 90deg elbow 32-32mm PPSU,Uponor,7.56,This Uponor Q&E 32 x 32mm 90° elbow is made of polyphenylsulfone (PPSU) and includes shrink-fit connections. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 90deg elbow 32-32mm PPSU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/10/NW-P89810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
32,PP89808,Uponor Q&E equal coupling,Uponor,5.9,"Fitted with shrink-fit connections, this Uponor Q&E PEX 32mm equal coupling is manufactured in polyphenylsulfone, otherwise known as PPSU.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E equal coupling",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/08/NW-P89808_wm.jpg,,,,N,Equal,32 mm,32 mm,32 mm,Shrink Fit,,1001235,Coupler,N,Suitable for hot and cold and heating systems,6 bar at 80°C for heating,Suitable for recirculation hot water systems,,Q&E,WRAS,Polyphenylsulfone (PPSU),PPSU construction,WRAS approved,,,,,
33,PP58958,Uponor Q&E PEX PEX reducer 25 x 20mm,Uponor,4.09,This Uponor Q&E 25 x 20mm reducer is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX reducer 25 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/58/NW-P58956_P58958_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
34,PP58967,Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 20mm,Uponor,4.91,This Uponor Q&E 25 x 20 x 25mm 90° reducer tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/67/NW-P58965_P58967_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PP53268,"Uponor Wipex pre-insulated pipe coupling 6b 40x1 1/4"" mt",Uponor,42.97,"Specifically designed for connecting crosslinked polyethylene (PE-X) pipes, the Uponor Wipex 6B pre-insulated pipe coupling is suitable for hot and cold water in domestic and district heating installations. Suitable for 25 to 110mm Thermo pipes, this coupling has a gripping strength higher than the tensile strength of the pipe and high levels of sealing performance unaffected by temperature fluctuations. This Wipex coupling ensures easy, fast fitting, even in awkward or confined spaces, using a minimal number of tools.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Wipex pre-insulated pipe coupling 6b 40x1 1/4"" mt",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/72/P53267_P53272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
36,PP98175,Uponor S-Press 90deg MLCP composite elbow 40 x 40mm,Uponor,22.18,This Uponor S-Press 40 x 40mm 90° elbow is made of polyphenylsulfone (PPSU) and offers speedy three step bevel installation with no need to calibrate. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press 90deg MLCP composite elbow 40 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/76/NW-P98175_P98176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PP58960,Uponor Q&E PEX 90deg PEX elbow 20mm,Uponor,2.38,This Uponor Q&E 20 x 20mm 90° elbow is made of polyphenylsulfone (PPSU) and includes shrink-fit connections. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 90deg PEX elbow 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/61/NW-P58959_P58961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
38,PP02469,Durapipe SuperFLO 03461396 ABS solvent cement 1litre,Durapipe,60.19,This Durapipe SuperFlo one-step solvent cement is used in the jointing of Durapipe ABS pipe systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Durapipe SuperFLO 03461396 ABS solvent cement 1litre",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/69/NW-P02469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Durapipe_ABSCement_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PP92484,Uponor Q&E PEX PEX pipe ring 20mm Red,Uponor,0.45,"This Uponor Q&E 20mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 20mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/86/NW-P92484_P92486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PP98191,Uponor S-Press MLCP composite coupling reducer 50 x 50mm,Uponor,24.46,These Uponor S-Press 50 x 50mm press-fit composite couplers are made of polyphenylsulfone (PPSU). These fittings are fixed with a stainless steel press sleeve and stop ring with test safety.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press MLCP composite coupling reducer 50 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/91/NW-P98190_P98191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PP58964,Uponor Q&E PEX PEX equal tee 25mm,Uponor,5.29,This Uponor Q&E 25 x 25 x 25mm 90° tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX equal tee 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/64/NW-P58962_P58964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
42,PP58966,Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 16mm,Uponor,5.34,This Uponor Q&E 25 x 16 x 25mm 90° reducer tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/67/NW-P58965_P58967_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PP53269,"Uponor Wipex pre-insulated pipe coupling 6b 50x1 1/4"" mt",Uponor,57.74,"Specifically designed for connecting crosslinked polyethylene (PE-X) pipes, the Uponor Wipex 6B pre-insulated pipe coupling is suitable for hot and cold water in domestic and district heating installations. Suitable for 25 to 110mm Thermo pipes, this coupling has a gripping strength higher than the tensile strength of the pipe and high levels of sealing performance unaffected by temperature fluctuations. This Wipex coupling ensures easy, fast fitting, even in awkward or confined spaces, using a minimal number of tools.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Wipex pre-insulated pipe coupling 6b 50x1 1/4"" mt",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/72/P53267_P53272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
44,PP94840,Uponor S-Press MLCP compression lever ball valve 20mm,Uponor,41.44,"Supplied in a pack of six, these Uponor S-Press 20 x 20mm ductile iron lever ball valves are delivered fully assembled and sealed with press adapters ready for use with MLC pipes. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press MLCP compression lever ball valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/44/NW-P94839_P94844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
45,PP58988,"Uponor Q&E PEX PEX female adaptor 16mm x 1/2""",Uponor,5.26,"This Uponor Q&E 16mm x 1/2"" female thread adapter is made of polyphenylsulfone (PPSU) and is suitable for use in hot and cold systems as well as heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX female adaptor 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/88/NW-P58988_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
46,PP59890,"Uponor Q&E Smart Aqua PEX tap elbow 16mm x 1/2""",Uponor,9.25,"These Uponor Smart Aqua 16mm x 1/2"" 90° elbows are made of brass and are suitable for use in hot and cold systems as well as in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E Smart Aqua PEX tap elbow 16mm x 1/2""",,5x elbows,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/90/NW-P59890_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
47,PP91167,Uponor S-Press MLCP press coupling 50 x 50mm,Uponor,32.01,These Uponor S-Press 50 x 50mm couplers are made of tin-plated brass and provide fast threaded press-fit installation with easy bevels and no need to calibrate.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press MLCP press coupling 50 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/67/NW-P91167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PP92466,Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 20mm,Uponor,6.12,"Fitted with shrink-fit connections, this Uponor Q&E PEX 25 x 20 x 25mm reduced branch tee is manufactured in polyphenylsulfone, otherwise known as PPSU.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX reduced branch tee 25 x 25 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P92466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/le/QE_Shrink_Fit_Article.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PP58963,Uponor Q&E PEX PEX equal tee 20mm,Uponor,3.17,This Uponor Q&E 20 x 20 x 20mm 90° tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX equal tee 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/64/NW-P58962_P58964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
50,PP98176,Uponor S-Press 90deg MLCP composite elbow 50 x 50mm,Uponor,32.88,This Uponor S-Press 50 x 50mm 90° elbow is made of polyphenylsulfone (PPSU) and offers speedy three step bevel installation with no need to calibrate. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press 90deg MLCP composite elbow 50 x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/76/NW-P98175_P98176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PP98190,Uponor S-Press MLCP composite straight coupling 40mm,Uponor,19.13,These Uponor S-Press 40 x 40mm press-fit composite couplers are made of polyphenylsulfone (PPSU). These fittings are fixed with a stainless steel press sleeve and stop ring with test safety.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press MLCP composite straight coupling 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/91/NW-P98190_P98191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PP53270,"Uponor Wipex pre-insulated pipe coupling 6b 63x2"" mt",Uponor,98.34,"Specifically designed for connecting crosslinked polyethylene (PE-X) pipes, the Uponor Wipex 6B pre-insulated pipe coupling is suitable for hot and cold water in domestic and district heating installations. Suitable for 25 to 110mm Thermo pipes, this coupling has a gripping strength higher than the tensile strength of the pipe and high levels of sealing performance unaffected by temperature fluctuations. This Wipex coupling ensures easy, fast fitting, even in awkward or confined spaces, using a minimal number of tools.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Wipex pre-insulated pipe coupling 6b 63x2"" mt",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/72/P53267_P53272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
53,PP59014,Uponor Q&E PEX PEX copper adaptor 20 x 22mm,Uponor,5.5,This Uponor Q&E 20 x 22mm adapter for soldering PL is made of copper material and is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX copper adaptor 20 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/14/NW-P59014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
54,PP91693,Uponor MLC pipe clip 20mm White,Uponor,1.04,These Uponor 20mm pipe clips are made of white plastic and are suitable for use with PE-X pipes.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor MLC pipe clip 20mm White",,50x pipe clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/94/NW-P91692_P91694_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Uponor_PEX_Q&E_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PP02468,Durapipe SuperFLO 03461395 ABS solvent cement 500ml,Durapipe,33.51,This Durapipe SuperFlo cement and cleaner is designed for the jointing of Durapipe ABS pipe systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Durapipe SuperFLO 03461395 ABS solvent cement 500ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/68/NW-P02468_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Durapipe_ABS_Cement_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PP91692,Uponor MLC pipe clip 15-16mm White,Uponor,0.87,These Uponor 16mm pipe clips are made of white plastic and are suitable for use with PE-X pipes.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor MLC pipe clip 15-16mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/94/NW-P91692_P91694_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Uponor_PEX_Q&E_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PP91053,Uponor S-Press 90deg MLCP compression elbow 40mm,Uponor,29.98,These Uponor S-Press 40 x 40mm 90° elbows are made of polyphenylsulfone (PPSU) and offer speedy bevel installation with no need to calibrate. These fittings are suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press 90deg MLCP compression elbow 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-P91053_P91054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
