,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Boiler Range,Part Gas Council number,By Model Number,Feature 1,Feature 2,Feature 3,Operating Temperature,Range,Warranty,Pack Quantity,Depth (mm),Fuel Type,Weight,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,For Use With,Body Material,Dimensions mm (H x W x D),Application,Feature 9,Voltage (V),Material,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Colour,Connection Type,Thickness,Size,Operating Temperature Range (C)
90,P796475,Worcester Bosch siphon XI low,Worcester Bosch,27.55,"A Worcester Bosch siphon for Greenstar ErP boilers.  A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch siphon XI low,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/75/796475_wm.jpg,,,N,"18i System LPG, 21i System LPG, 25i Combi, 21i System, 30i Combi, 30i Combi LPG, 15i System, 15i System LPG, 25i Combi LPG, 12i System, 12i System LPG, 18i System, 24i System, 9i System, 24i System LPG, 9i System LPG",Hydraulics,8716117083,Siphon,N,Greenstar ErP,J25250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,P426796,Ariston 60000868-01 ionization electrode,Ariston,35.65,"An ignition electrode for Ariston Clas, Clas Premium, E-Combi, E-System and Genus boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston 60000868-01 ionization electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/96/426796_wm.jpg,,,N,"HE R 12, HE R 24, EVO 24 EU, EVO 30 EU, HE EVO 38, HE R 24 EU, HE SYSTEM 18, HE SYSTEM EVO 24 EU, EVO 24, EVO 35, EVO SYSTEM 24 EU, EVO 30 FF EU, HE EVO 24 EU, HE EVO 30, HE R 18, HE SYSTEM EVO 30, EVO L 30, EVO SYSTEM 18, EVO SYSTEM 35, NET 30 EU (HB),",Gas Assembly,60000868-01,Electrode,N,"Clas, Clas Premium, E-System, E-Combi, Genus",726700,"HE EVO 30 EU,EVO SYSTEM 24 EU,HE SYSTEM EVO 18,HE SYSTEM 30,HE SYSTEM EVO 30 EU,EVO L 30,HE R 24 EU,EVO L 30 EU,HE EVO 24,EVO SYSTEM 18,HE EVO 30,HE EVO 24 EU,HE SYSTEM 18,EVO 24,EVO 35,HE EVO 38,HE SYSTEM EVO 24 EU,HE SYSTEM 24,HE SYSTEM EVO 30,HE R 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,P956430,Heatrae Sadia 95612633 thermostat and cut out,Heatrae Sadia,84.71,"This combined thermostat/thermal cut-out is for use with Heatrae Sadia's Multipoint, Alto, Heatstore and Sector units.  The thermostat allows the user to change or set the temperature of your boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatrae Sadia 95612633 thermostat and cut out,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/30/956430_wm.jpg,,,N,"Multipoint 10L / 15L, AL7050, Alto Water Heater 10 & 15 litre 2.2Kw, Heatstore HSU 30, AL7051, Heatstore HSU 50, Sector S10UNV, Sector S15UNV",Control Panel,95612633,Cut-Out,N,"Multipoint, Alto, Heatstore, Sector",,"Heatstore HSU 30,Sector S15UNV,Multipoint 10 Ltr 4.5 kw,Heatstore HSU 50,AL7051,Sector,Alto Water Heater 10 & 15 litre 2.2Kw,Multipoint 15 Ltr 3 kw,Sector S10UNV,AL7050,Multipoint 10 Ltr 3 kw,Multipoint 15 Ltr 4.5 kw",,,,,,,,,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
93,P405566,Parts safety relief valve,Parts,13.74,"This Vaillant pressure relief valve is designed to control pressure in a closed system, relieving a build-up to avoid damage or malfunction. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Parts safety relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/66/405566_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_eloBLOCK_VE_28_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,P414842,Intergas 209327 ignition electrode,Intergas,21.59,"An Intergas brand spare, this ignition electrode is suitable for use in HRE, Eco RF, Rapid and Rapid Plus boilers.  An ignition (spark) electrode causes the spark that begins combustion within a boiler's burner.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Intergas 209327 ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/42/414842_wm.jpg,,,N,,,209327,Domestic Boiler Parts,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,P422347,Ariston Element,Ariston,52.77,"This Ariston branded element with insulator and anode is designed for the Classico, Contract, Primo, Hydraflo and Primo Twin boiler ranges.  The element is used to heat water in a cylinder to warm radiators and provide domestic hot water. The element also maintains water temperature in the cylinder, keeping hot water at a set temperature ready for use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston Element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/47/422347_wm.jpg,,,N,"STD 125 HE, STD 300L, STI 125 HE, STI 125L, STI 300 HE, Indirect STI 300, ITD 300, ITSI 210 HE, ITSI 300 HE, STD 150 HE, STI 300L, ITD 150 HE, ITSI 250 HE, STI 300, STD 210 HE, STI 210L, ITD 300 HE, STD 150, STD 125L, STD 150L, ITI 100 HE, ITI 300, ITSI",Heat Exchanger,65101884,Element,N,"Classico, Contract, Primo, Hydraflo, Primo Twin",,"ITD 100,STD,ITD 150 HE,ITD 125 HE,ITI 300 HE,STI 210L,STI 300,ITSI 300 TWIN,ITI 125 HE,STD 300 HE,ITI 100,STD 125,STD 210 HE,STD 300,STI 150,ITI 250 HE,STD 125L,STD 150,STD 210L,Direct STD 100,STI 300L,ITD 250,ITD 300 HE,STD 150 HE,STD 125 HE,ITSI 250 HE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,P420920,Viessmann preformed hose 100,Viessmann,44.01,"Supplied with spring clamps, this Viessmann heating return hose is designed for use in a Vitodens boiler.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann preformed hose 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/20/NW-420920_wm.jpg,,,N,Vitodens 100-W BPJA 25kW Combi BoilerVitodens 100-W B1KC 26kW Combi BoilerVitodens 100-W B1HC 19kW System BoilerVitodens 100-W B1HC 26kW System BoilerVitodens 100-W B1HC 30kW System BoilerVitodens 100-W B1HC 35kW System BoilerVitodens 100-W BPJA 29kW Com,,7843363,Heating Return Hose,N,Vitodens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,P474272,Biasi divertor actuator,Biasi,64.56,"This Biasi divertor actuator is for use in the diverter valve of Biasi's Activ A, Activ A Plus, Advance, Advance Plus, Inovia, Riva Advance and Riva Plus HE units. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Biasi divertor actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/72/474272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_Advance_Plus_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,P400699,Worcester Bosch pressure sensor disc,Worcester Bosch,89.68,"A pressure sensor disc for Worcester Bosch GB162 boilers.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch pressure sensor disc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/99/400699_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Worcester_Bosch_GB162-50_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PD71120,Heatrae Sadia overheat thermostat,Heatrae Sadia,63.1,"This thermal cut-out is suitable for use with Heatrae Sadia's Multipoint, Elsy & Gibbons, Coral, B3M/C3M and Heatstore ranges.  The thermostat allows the user to change or set the temperature of your boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatrae Sadia overheat thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/20/D71120_wm.jpg,,,N,"Multipoint 50 Ltr 3kw X Horizontal, Multipoint 30 Ltr 3 kw Vertical, Spare parts, Multipoint 30 Ltr 1 kw Vertical, Multipoint 50 Ltr 3 kw Vertical, Coral E Special Wall Mounted, B3 & C3 M, Multipoint 30 Ltr 3kw X Horizontal, Heatstore HS30 and 50U Water",Control Panel,95612666,Cut-Out,N,"Multipoint, Elsy & Gibbons, Coral, B3M/ C3M, Heatstore",,"Multipoint 30 Ltr 3kw X Horizontal,Multipoint 30 Ltr 3 kw Vertical,MultiPoint 30 Ltr 3 kw Horizontal,Coral E Special Wall Mounted,Multipoint 15 Ltr 1993 - 1999,MultiPoint 50,Multipoint 30 Ltr 3kw X Vertical,B3/C3 M Range Wall Mounted Vented Water Heater",,,,,,,,,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
100,P466393,Sime diverter motor,Sime,96.69,"An official Sime spare, this diverter motor is compatible with Brava, Simplicity, Format, Murelle and Ecomfort Plus units.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime diverter motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/93/466393_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sime_Format_DGT_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,P830326,Regin Schrader schrader valve cores (Pack of 10),Regin,5.49,This Regin Schrader valve core is made of nickel-plated brass and is supplied with a Teflon seal.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Regin Schrader schrader valve cores (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/26/NW-830326_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,P415069,Viessmann 7837892 safety valve (no clip) 3bar,Viessmann,30.92,"A Viessmann safety relief valve for Vitodens boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann 7837892 safety valve (no clip) 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/69/415069_wm.jpg,,,N,"100 WB1C 19kW System, 100-W B1HA 26kW System ErP, 100-W B1KA 26kW Combi ErP, 100-W B1KA 35kW Combi ErP, 100-W B1HC 26kW, 200-W B2HB 35kW, 100 WB1C 30kW Combi, 100-W B1KC 30kW, 100-W B1KC 35kW, 050 W BPJD 29kW, 100-W B1HA 19kW System ErP, 100-W B1HA 30kW",Diverter Valve,7837892,Safety Relief Valve,N,Vitodens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,P444215,Ariston 65102016 water tap,Ariston,28.21,"A genuine Baxi spare, this tap is suitable for use in the water pipework of Aco, ecoSystem, microGenus II, microSystem, ecoCombi, Genus and microGenus HE boilers.  In a boiler a pipe either allows water into a heating unit, including the mains water supply and the pipework on a wall jig, or is found within an appliance and carries water between the various mechanisms that require it, including the diverter valve and heat exchanger.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ariston 65102016 water tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/15/444215_wm.jpg,,,N,"27 MFFI, 27 RFFI, 28 MFFI, System 24 RFFI NG, System 31 RFFI NG, 10 RFFI, 32 MFFI, 27 MFFI LPG, HE 35 PLUS, 21 RFFI, 21 RFFI (IE), 35 MFFI, 28 RFFI, 15 RFFI (IE) LPG, 21 RFFI (IE) LPG, 28 RFFI (IE), PLUS 35, 24 MFFI, 28 RFFI (IE) LPG, 31 MFFI, 15 RFFI (I",Hydraulics,65102016,Tap,N,"Aco, ecoSystem, microGenus II, microSystem, ecoCombi, Genus, microGenus HE",,"24 MFFI,32 RFFI,HE 35 PLUS,21 RFFI,System 24 RFFI NG,27 RFFI,32 MFFI,27 MFFI LPG,21 RFFI (IE),27 MFFI,35 MFFI,15 RFFI (IE),+ Sys,28 RFFI (IE),28 RFFI (IE) LPG,28 MFFI,31 MFFI,21 RFFI (IE) LPG,PLUS 35,15 RFFI (IE) LPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,P796767,Ferroli plug in digital timer,Ferroli,78.99,"A Ferroli digital timer compatible with Optima, Modena, F24, Falcon, DOMIcompact and Combi units.  Also known as a clock, timeclock or time switch, the timer allows the boiler's user to control when heating and/or hot water is turned on and off to maximise flexibility and comfort.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli plug in digital timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/67/796767_wm.jpg,,,N,"Optima 2001, Optima 2000, Optima 901, Optima 800, Optima 701, Optima 700, Optima 201, Optima 200, Modena 102/1, Modena 102, Modena 80/1, Modena 80 E, F24 B, F24 E, F30 B, F30 E, Falcon II -5.2001, Falcon II -10.2, Domicompact F30B, Combi 77, Combi 100, C",Control Panel,ZU013021XA,Digital Timer,N,"Optima, Modena, F24, Falcon, Domicompact, Combi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,P430777,Viessmann 7841830 flow sensor,Viessmann,65.41,"This Viessmann flow sensor is a replacement part for the control panel of Vitodens boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann 7841830 flow sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/77/NW-430777_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Viessmann_Vitodens_050_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,P466365,Sime automatic air vent,Sime,24.38,"A Sime brand air vent for use in the pump of Format, Murelle, Murelle Advanced, Murelle ErP, Murelle One, Meridian, Brava, Simplicity, Ecomfort Plus and Comfort boilers.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Sime automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/65/466365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sime_Format_DGT_HE_UK_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,P474275,Biasi DHW flow switch,Biasi,31.84,"This flow switch is for use with Biasi Activ A, Activ A Plus, Advance, Advance Plus, Inovia, Riva Advance and Riva Plus HE boilers. The flow switch has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Biasi DHW flow switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/75/474275_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_M110B_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,P498098,Remeha Avanta electrode kit,Remeha,58.85,"This electrode is for use in Remeha's Selecta and Quinta boiler ranges. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Remeha Avanta electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/98/498098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas_110_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,P410958,Heatline NTC sensor,Heatline,24.05,"A Heatline NTC sensor for CaprizPlus and Monza boilers.   The sensor or thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatline NTC sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/58/410958_wm.jpg,,,N,"24a, 28, 24, 24a, 28, 28a, 28a, 24",Control Panel,0020126681,Sensor,N,Capriz PlusMonza,,"24,28,28a,24a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,P493130,Advanced Water 965-475-0702 temperature/pressure relief valve 1/2IN,Advanced Water,62.07,"Suitable for use in standard plumbing systems, this Advanced Water temperature and pressure relief valve has a 1/2"" MBSP threaded connection at the inlet and a 15mm compression outlet for complete compatibility. A cartridge-type construction, this valve is designed for long lasting reliability.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Advanced Water 965-475-0702 temperature/pressure relief valve 1/2IN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/30/493130_wm.jpg,,,N,,,965-475-0702,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,P142267,Worcester Bosch right hand converter 230v,Worcester Bosch,59.45,"This Worcester Bosch replacement right hand converter is for use in the control panel of Buderus 500 and Buderus 600 boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch right hand converter 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/67/142267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_Bosch_GB162_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
