,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Attachment 1,Attachment 2,Feature 1,Feature 2,Fuel Type
35,P777634,Potterton combustion chamber rear insulation,Potterton,7.3,"This Potterton RCF rear insulation is suitable for installation in the combustion chamber of Performa SL, Suprima and Main HE boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton combustion chamber rear insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/34/777634_wm.jpg,N,"9 SL, 100L, 40HE, 70HE, 15 SL, 40L, 80L, Main Heat Only 9 HE, 60L, Main Heat Only 24 HE, 21 SL, 50HE, 60HE, Main Heat Only 15 HE, 12 SL, 24 SL, 30L, 50L, 70L, 80HE, Main Heat Only 12 HE, Main Heat Only 18 HE, 18 SL, 30HE",Fan Combustion Chamber,"Performa SL, Suprima, Main HE",114838,5000532,Insulation,N,"50HE,40HE,24 HE,30 HE,12HE,100L,21 SL,60HE,24 SL,70HE,80HE,30L,40L,50L,12 SL,60L,18HE,70L,80L,15HE,9 SL,9 HE,18 SL,15 SL",,,,,
36,P777639,Potterton 5000537 combustion chamber front insulation,Potterton,7.3,"This Potterton RCF front insulation is suitable for installation in the combustion chamber of Performa SL, Suprima and Main HE boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5000537 combustion chamber front insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/39/777639_wm.jpg,N,"21 SL, 40HE, 40L, 15 SL, 24 SL, 9 SL, 70HE, 70L, 80L, Main Heat Only 12 HE, Main Heat Only 18 HE, Main Heat Only 9 HE, 18 SL, 50HE, 60HE, 12 SL, 100L, 50L, 60L, 80HE, Main Heat Only 15 HE, Main Heat Only 24 HE, 30L, 30HE",Fan Combustion Chamber,"Performa SL, Suprima, Main HE",114850,5000537,Insulation,N,"50HE,40HE,24 HE,30 HE,12HE,100L,21 SL,60HE,30L,24 SL,70HE,80HE,40L,12 SL,50L,60L,18HE,70L,80L,15HE,9 SL,18 SL,15 SL,9 HE",,,,,
37,P451444,Potterton temperature thermistor,Potterton,24.24,"A Potterton replacement thermistor for Suprima and Slimline boilers.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton temperature thermistor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/44/451444_wm.jpg,N,"100, 30, 70, 120L, 40, 120, 50, 80, 80L, 30L, 60, Slimline Modular, 100L, 50L, 60L, 70L, 40L",Control Panel,"Suprima, Slimline",E00262,404516,Thermistor,N,"Slimline Modular,120L,100L,30L,120,40L,50L,100,60L,70L,80L,80,70,60,50,40,30",,,,,
38,P777636,Potterton combustion chamber side 4 insulation,Potterton,7.3,"This Potterton RCF side insulation is suitable for installation in the combustion chamber of Performa SL, Suprima and Main HE boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton combustion chamber side 4 insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/36/777636_wm.jpg,N,"12 SL, 18 SL, 30HE, 50L, 60L, Main Heat Only 18 HE, 50HE, 60HE, 15 SL, 9 SL, 70L, Main Heat Only 12 HE, 24 SL, 80L, Main Heat Only 9 HE, 40HE, 40L, 70HE, Main Heat Only 15 HE, Main Heat Only 24 HE, 21 SL, 100L, 30L, 80HE",Fan Combustion Chamber,"Performa SL, Suprima, Main HE",114841,5000534,Insulation,N,"50HE,40HE,24 HE,30 HE,12HE,100L,21 SL,60HE,24 SL,70HE,80HE,30L,40L,50L,12 SL,60L,70L,18HE,80L,15HE,9 SL,9 HE,18 SL,15 SL",,,,,
39,P777638,Potterton combustion chamber side insulation,Potterton,7.3,"This Potterton RCF side insulation is suitable for installation in the combustion chamber of Suprima boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton combustion chamber side insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/38/777638_wm.jpg,N,"60L, 30L, 40L, 100L, 70L, 50L, 80L",Fan Combustion Chamber,Suprima,114842,5000536,Insulation,N,"40L,50L,60L,70L,80L,100L,30L",,,,,
40,P450585,Potterton overheat thermostat m4x6,Potterton,16.26,"This Potterton overheat thermostat can be used with Kingfisher Mf, Performa SL, Main HE, Suprima, Slimline and Kingfisher appliances.  The thermostat allows the user to change or set the temperature of your boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton overheat thermostat m4x6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/85/450585_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Suprima_HE_Installation.pdf,,,,
41,P795578,Potterton safety valve 3bar,Potterton,13.25,"This pressure relief valve is designed for use in Potterton Performa boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton safety valve 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/78/795578_wm.jpg,N,Performa 24 ECO HE 2 Composite Block,Heat Exchanger,Performa,E66425,710071201,Safety Valve,N,Performa 24 ECO HE 2 Composite Block,,,,,
42,P498676,Potterton seal door,Potterton,21.26,"A Potterton spare part, this door seal is for use in Suprima boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton seal door,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/76/498676_wm.jpg,N,"80, 100L, 120L, 30L, 40L, 50L, 60L, 70L, 80L",Heat Exchanger,Suprima,793670,5102072,Seal,N,"40L,50L,60L,70L,80L,80,120L,100L,30L",,,,,
43,P481777,Potterton sealing washer,Potterton,7.44,"This washer is suitable for use in Potterton Powermax, Promax and Promax ErP units.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton sealing washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/77/481777_wm.jpg,N,"Powermax 24 HE, HE Store (90 litres), Powermax He 115, Promax 24 Store 115L Cylinder ErP, Promax 24 Store 150L Cylinder ErP, HE Store (150 litres), Powermax He 85, Promax Store 24 HE Boiler, Promax 24 Store 90L Cylinder ErP, Powermax He 150, HE Store (11",Hydraulics,PowermaxPromaxPromax ErP,E85768,5106083,Washer,N,"HE Store (150 litres),Promax 24 Store 90L Cylinder ErP,HE Store (90 litres),Powermax He 115,Promax Store 24 HE Boiler,Promax 24 Store 150L Cylind,HE Store (115 litres),Powermax 24 HE Boiler,Powermax He 85,Powermax He 150,Promax 24 Store 115L Cylinder ErP",,,,,
44,P777640,Potterton 5000538 combustion chamber front insulation,Potterton,7.3,"This Potterton RCF front insulation is suitable for installation in the combustion chamber of Suprima boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5000538 combustion chamber front insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/40/777640_wm.jpg,N,"100L, 80L, 40L, 100, 50L, 60L, 70L, 30L",Fan Combustion Chamber,Suprima,114851,5000538,Insulation,N,"40L,50L,100,60L,70L,80L,100L,30L",,,,,
45,P775569,Potterton grub screw m5 x 10,Potterton,4.04,"A genuine Potterton spare, this screw fits the hydraulics of Puma and Combi boilers.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton grub screw m5 x 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/69/775569_wm.jpg,N,"80 (Sit/Honeywell), 80E (Sit/Honeywell), 100 (Sit/Honeywell), Combi 105 HE, 100E (Sit/Honeywell)",Hydraulics,PumaCombi,289732,22/19160,Screw,N,,,,,,
46,P450922,Potterton plastic spacer,Potterton,4.04,"Used to separate two PCBs located next to each other in a boiler, this Potterton plastic spacer is for use in Celsia, Netaheat Profile, Profile, Profile Prima, British Gas, Prima B, Prima C, Prima F and FF units.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton plastic spacer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/22/450922_wm.jpg,N,"Scottish Gas 30 F2, 30E, 80E, 80 El, 40E, British Gas 80 F2, 50E, 50E Lpg, 60E, 60E Lpg, 80E Lpg, 60B, 60C, 50F, 60F, 100E, 40 El, Celsia 40 F1, Celsia 50 F1, 40B, 30F, 50 El, 60 El, Ff 55 From Potterton, 30B, 100F, 80F, Celsia 30 F1, Scottish Gas 40 F2,",Control Panel,"Celsia, Netaheat Profile, Profile, Profile Prima, British Gas, Prima B, Prima C, Prima F, FF",337538,212357,Spacer,N,"100F,50E Lpg,100E,80 El,Scottish Gas 30 F2,Celsia 30 F1,30B,30C,Scottish Gas 60 F2,80 E,50B,50C,30E,40E,British Gas 40 F2,60E,British Gas 60 F2,80F,British Gas 30 F2,British Gas 50 F2,Scottish Gas 40 F2,Ff 55 From Potterton,100E Lpg,British Ga",,,,,
47,P795512,Potterton domestic hot water temperature sensor,Potterton,12.58,"A Potterton brand spare, this domestic hot water temperature sensor is designed for compatibility with the control panel of Performa and Apollo boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton domestic hot water temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/12/795512_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Potterton_Performa24_Eco_HE2_Install.pdf,,,,
48,P452713,Potterton thermostat,Potterton,22.52,"This thermostat kit is designed for use with Potterton Profile and Superior boilers. The thermostat allows the user to change or set the temperature of your boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers. We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/13/452713_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_40_50_60_80eL_Installation.pdf,,,,
49,P797704,Potterton electrode gasket,Potterton,4.04,"A Potterton spare, this electrode gasket is compatible with Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  Washers, O-rings and gaskets are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.   As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton electrode gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/04/797704_wm.jpg,N,"24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, 15 HE A System, 15 HE System, 18 HE A Syste",Heat Exchanger,"Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium, Titanium ErP",H29086,5114752,Gasket,N,"32 HE A System LPG,24 HE,28 HE LPG,Duo-tec 33 Combi ErP,28 HE A System LPG,32 HE System,32 HE A System,Megaflo System,28 HE,18 HE A System LPG,40 HE A,15 HE System,Duo-tec 28 LPG Combi ErP,Duo-tec 40 Combi ErP,33 HE A,24 HE A System,33 HE,15 HE A System",,,,,
50,P775806,Potterton hex nut M4,Potterton,3.89,"This Potterton M4 hex nut is a spare part for the fan combustion chamber of Combi, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, British Gas, Celsia, Main Combi/Combi HE, Main Eco Elite, Main Eco Elite ErP, Main HE and Apollo boilers. It can also be used in FF, Fireside, Flamingo, Flamingo Mk2, FRS, Gold, Gold ErP, Heatmax, Kingfisher, Kingfisher 2, Kingfisher MkII, Lynx, Netaheat, Netaheat Mk2, Netaheat Profile, Performa, Prima B, Prima C, Prima F, Profile, Profile Prima, Promax, Promax ErP, Titanium and Titanium ErP units.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton hex nut M4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/06/775806_wm.jpg,N,"Combi 105 HE, Combi 105E, Combi Instant 105 HE, Combi Instant 80 HE, Combi Instant 80E, 24 HE A, 28 HE A, 33 HE A, 40 HE A, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, 15 HE A System,",Fan Combustion Chamber,"Combi, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, British Gas, Celsia, Main Combi/ Combi HE, Main Eco Elite, Main Eco Elite ErP, Main HE, Apollo, FF, Fireside, Flamingo, Flamingo Mk2, FRS,",404617,635431,Hex Nut,N,"British,Megaflo 24 System IE ErP,28 HE Megaflo System IE LPG,Duo-tec 33 Combi ErP,32 HE System,28 HE A System,Combi 105E,18 HE A System,32 HE A System,28 HE A,15 HE System,33 HE A,Combi Instant 80 HE,Duo-tec 28 Combi ErP,15 HE A System,Combi Instant 80E",,,,,
51,P450910,Potterton silicone door seal,Potterton,14.06,"Part of the casing or outer shell, this Potterton silicone door seal is a replacement part for British Gas, Celsia, FF, Netaheat Profile, Prima B, Prima C, Prima F, Profile and Profile Prima boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton silicone door seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/10/450910_wm.jpg,N,"British Gas 30 F2, British Gas 40 F2, British Gas 50 F2, British Gas 60 F2, British Gas 80 F2, Celsia 30 F1, Celsia 40 F1, Celsia 50 F1, Celsia 60 F1, Celsia 80 F1, Scottish Gas 30 F2, Scottish Gas 40 F2, Scottish Gas 50 F2, Scottish Gas 60 F2, Scottish",Casing,"British Gas, Celsia, FF, Netaheat Profile, Prima B, Prima C, Prima F, Profile, Profile Prima",337527,212187,Door Seal,N,"50E Lpg,Celsia 80 F1,30B,40 B,30C,80 E,40 C,60B,Celsia 40 F1,60C,40E,50E,40F,60E,50F,60F,British Gas 60 F2,80E Lpg,Ff 75 From Potterton,40 El,100F,100E,Scottish Gas 80 F2,Celsia 60 F1,50 El,Scottish Gas 50 F2,60E Lpg",,,,,
52,P424807,Potterton O ring diameter 15.5 x 2.65,Potterton,4.23,"This O-ring is a spare part for Potterton Kingfisher, Kingfisher Mf, Promax, 100 He, Suprima and Barcelona boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton O ring diameter 15.5 x 2.65,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/07/424807_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Potterton_KgfshrMFRSLCFL40100_Instal.pdf,,,,
53,P424905,Potterton Suprima 5105574 air pressure switch,Potterton,58.82,"An air pressure switch designed for use in Potterton Suprima boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton Suprima 5105574 air pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/05/424905_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Potterton_Suprima_30-100L_Install.pdf,,,,
54,P446971,Potterton 5112196 air pressure switch,Potterton,33.93,"A genuine Potterton part, this air pressure switch is suitable for use in Main HE, Performa SL and Suprima boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5112196 air pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/71/446971_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Potterton_Suprima_30-80HE_II_Install.pdf,,,,
55,P777192,Potterton pozi screw no 8 x 13mm,Potterton,3.93,"A genuine Potterton spare, this No. 8 x 13mm pozi screw is suitable for the gas assembly of Combi, Duo-tec, Ecogen, Megaflo, Megaflo ErP, Platinum ErP, System IE, Main Eco, Gemini, Gold, Heatmax, Performa, Promax, Promax ErP, Promax Ultra ErP, Baxi 100, Duo-tec ErP, Platinum, Gold ErP, Main Eco Elite, Main Eco Elite ErP, Main HE, Orion, Fireflame, Titanium ErP, System, Apollo, Megaflo IE ErP, Wall Mounted, Main Combi/Combi HE, Medina, Titanium and Platinum + boilers.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton pozi screw no 8 x 13mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/92/777192_wm.jpg,N,"Combi Instant 105 HE, 24 HE A, Ecogen 24, 24 HE System, Megaflo System ErP 18, Megaflo System ErP 28, Platinum 40 Combi ErP, 28 HE Megaflo System IE, 32 HE Megaflo System IE, Main System Eco 28, Gemini, Gemini (Sealed System Kit), 28 HE A, 28 HE A System",Gas Assembly,"Combi, Duo-tec, Ecogen, Megaflo, Megaflo ErP, Platinum ErP, System IE, Main Eco, Gemini, Gold, Heatmax, Performa, Promax, Promax ErP, Promax Ultra ErP, Baxi 100 Range, Duo-tec ErP, Platinum, Gold ErP, Main Eco Elite, Main Eco Elite ErP,",409721,062617,Screw,N,,,,,,
