,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Pack Quantity,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 6,Seasonal Space Heating Energy Efficiency Class,Attachment 7,Flue Type,Flue Diameter,Flue Length,Flue Size,Part Gas Council number,By Model Number,Dry Weight (kg)
72,P127259,Vaillant ecoTEC plus 412 open vent heat only boiler,Vaillant,1329.96,"The Vaillant ecoTEC plus 412 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 12kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 412 open vent heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/63/127259_127263_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,
73,P101335,Intergas HRE OV 30 compact open vent boiler,Intergas,1379.77,"The wall-mounted Intergas Compact HRE 30 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Intergas HRE OV 30 compact open vent boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/35/101333_101335_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_HRE-OV_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e-/ov/Intergas_Flyer_Compact-HRE-OV.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/101335_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_Boilers_Terms_&_Conditions.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intergas_HRE-OV_Installation.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Intergas_HRE-OV_Product_Sheet.pdf,,,,,,,
74,P101334,Intergas HRE OV 24 compact open vent boiler,Intergas,1254.99,"The wall-mounted Intergas Compact HRE 24 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Intergas HRE OV 24 compact open vent boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/35/101333_101335_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_HRE-OV_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/101334_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e-/ov/Intergas_Flyer_Compact-HRE-OV.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_Boilers_Terms_&_Conditions.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intergas_HRE-OV_Installation.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Intergas_HRE-OV_Product_Sheet.pdf,,,,,,,
75,P333819,Baxi 600 Heat 625 heat only boiler pack,Baxi,1059.0,"The Baxi 625 Heat heat only boiler has a reduced footprint for hassle-free installation in a kitchen or utility room cupboard, plus top and rear flueing options and an easy-fit wall mounting bracket. It can be used in fully pumped open vent or sealed systems and offers a 25kW output alongside super quiet operation and an ErP A rating. No pump overrun is required and internal components are easily accessed through the front and side of the unit making the Heat more economical and easier to maintain.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 600 Heat 625 heat only boiler pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/20/333816_333820_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_600_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_600_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_600_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
76,P114054,Keston Heat 2 packaged NG boiler 45kW,Keston,2093.5,"Suitable for large domestic and light commercial use, the Keston Heat 2 45kW packaged NG boiler offers a twin flue solution for extra flexibility. Low NOx, this compact boiler is fitted with a low-energy modulating pump and offers compatibility with commercial control systems. The Heat 2 can be cascaded with up to five further units using a Keston frame and header kit.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Keston Heat 2 packaged NG boiler 45kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/114050_wm.jpg,,,Heat 2,5 Years,,,N,,,360,N/A,,,355125,Heat Only Boiler,N,With built-in weather compensator,,,,Minimum pressure 0.3 bar,Small installation footprint,Inbuilt low energy modulating pump,Minimum head 3M,5:1 turndown ratio,Low NOx Class 5,Commercial control system compatibility,Can be installed in a cascade producing up to 330kW via 6 boilers,ECA listed,5 year warranty,,,,,,,,,,,,,,,,,"Room Sealed, Twin Flue",50,27000,50,41-930-52,N/A,
77,P125231,Ideal Heating Logic 228396 logic plus heat 2 H15,Ideal Heating,919.78,The Ideal Logic Heat2 boiler is the next evolution of our award-winning Logic range.,Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228396 logic plus heat 2 H15,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/34/125230_125234_wm.jpg,Natural Gas,,Logic,7 Years,25.1 kg,A,N,A,15 kW,310,No,89.4,Wall Mounted,228396,Boiler,N,For wall mounting<multisep/>Compact size for cupboard fit<multisep/>UK built<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Operated via large high resolution colour screen<multisep/>A-rated for efficiency<multisep/>7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,P333999,Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG regular boiler pack 45kW White,Worcester Bosch,2203.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG condensing regular boiler is an ideal replacement for the award-winning Greenstar CDi Classic, providing the same high levels of reliability but with a contemporary new design that brings it in line with modern living. A whole host of features, including a digital control system and inbuilt diagnostics make operation and maintenance of this 45kW boiler easy while best ever A-rated efficiency and effectiveness is gained through a modulating fan, temperature sensors and direct burner ignition electrodes.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG regular boiler pack 45kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,Natural Gas,,Greenstar 8000 Life,8 years,48 kg,A,N,A,,365,333999,94,Wall Hung,333999 PK,Condensing Regular Boiler,N,Pre-wired and pre-plumbed,,,,Galvanised steel inner frame,Digital control system,Automatic ignition,Direct burner ignition electrodes,Built-in diagnostics for easy fault-finding,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Flue gas temperature sensor,Condensate siphonic trap,8 year warranty,,,,,,,,,,,,,,,,,,,,,,
79,P130198,Glow-worm Energy7 30r boiler 30r,Glow-worm,1480.62,"The Glow-worm Energy7 30R regular boiler, or open vent boiler, is suitable for pairing with your choice of controls, creating the perfect bespoke heating system for your family. Installed with a cylinder for hot water storage, this 30kW wall-mounted boiler is ideal for homes where hot water is in demand. Though offering real heft when it comes to performance, this boiler is lightweight and compact for ease of installation, with a choice of top or rear flue for a convenient retrofit. The Energy7 includes Glow-worm's patented four-sided cooling, reducing stress on the heat exchanger for ErP A-rated efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Glow-worm Energy7 30r boiler 30r,,Regular boilerHeat generatorUnit mounting bracketFlue adapterGas stopcockGas pipeCondensate discharge hoseMounting templateEnclosed documentation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/98/NW-130198_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Reg_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Energy7_Reg_Boiler_Install.pdf,,,,,,,,,,,,,,,,
80,P196142,Alpha E-Tec 25R heat only boiler,Alpha,918.55,"A highly efficient 25kW output heating-only boiler with a cost-saving ErP A rating, the Alpha E-Tec 25R Regular can be employed alongside a storage cylinder to supply plentiful hot water, making it a useful addition to the average family home. Fitting neatly into kitchen or utility cabinets, the E-Tec 25R has a compact and lightweight design and can be used in open-vented systems or as part of a kit in an Alpha sealed system. A backlit display and easy-to-access NTCs make everyday use and maintenance simple.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Alpha E-Tec 25R heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/44/196142_196144_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_E-Tec_25R_Installation.pdf,,,,,,,,,,,,,,,,,,,
81,P333998,Worcester Bosch Greenstar 8000 Life GR8300iW 50 R NG regular boiler pack 50kW White,Worcester Bosch,2462.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 50 R NG condensing regular boiler is an ideal replacement for the award-winning Greenstar CDi Classic, providing the same high levels of reliability but with a contemporary new design that brings it in line with modern living. A whole host of features, including a digital control system and inbuilt diagnostics make operation and maintenance of this 50kW boiler easy while best ever A-rated efficiency and effectiveness is gained through a modulating fan, temperature sensors and direct burner ignition electrodes.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 50 R NG regular boiler pack 50kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,Natural Gas,,Greenstar 8000 Life,8 years,48 kg,A,N,A,,365,333998,94,Wall Hung,333998 PK,Condensing Regular Boiler,N,Pre-wired and pre-plumbed,,,,Galvanised steel inner frame,Digital control system,Automatic ignition,Direct burner ignition electrodes,Built-in diagnostics for easy fault-finding,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Flue gas temperature sensor,Condensate siphonic trap,8 year warranty,,,,,,,,,,,,,,,,,,,,,,
82,P333816,Baxi 600 Heat 613 heat only boiler pack,Baxi,909.0,"The Baxi 613 Heat heat only boiler is a breeze to install, with a compact size that allows it to slide right into a kitchen or utility room cupboard, top and rear flueing options and an easy-fit wall mounting bracket. Suitable for fully pumped open vent or sealed systems, this ErP A-rated boiler offers a 13kW output and quiet operation wherever it's sited. With no pump overrun required and front and side access to internal components, the 613 Heat promises easy, fast servicing and maintenance.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 600 Heat 613 heat only boiler pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/20/333816_333820_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_600_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_600_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_600_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
83,P333760,Vaillant ecoTEC plus 412 heat only boiler,Vaillant,824.0,"The Vaillant ecoTEC plus 412 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 12kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 412 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/on/ly/Ecotec_Plus_Heat_Only_wm.jpg,Natural Gas,,ecoTEC plus,5 Years,23 kg,A,N,A,12 kW,320,333760,94,Wall Hung,333760 PK,Regular Heat Only Boiler,N,High performance build,White/Gloss,10,A,Compact cupboard fit,Lightweight,For use in an open vent system with storage cylinder,Ideal for use where water pressure is low,Compatible with a full range of heating control options including simple analogue timers and vSMART smartphone app,Can be used with solar water heating or heat pump systems for a lower carbon footprint,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
84,P127265,Vaillant ecoTEC plus 435 open vent heat only boiler,Vaillant,2616.02,"The Vaillant ecoTEC plus 435 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 35kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 435 open vent heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/65/127265_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,
85,P333862,Intergas HRE OV 18 heat only boiler,Intergas,809.0,"The wall-mounted Intergas Compact HRE 18 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Intergas HRE OV 18 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/e_/ov/Intergas_HRE_OV_wm.jpg,Natural Gas,,HRE OV,7 Years,30Kg,A,N,,18 kW,240,333862,93,Wall Hung,333862 PK,Condensing Open Vent Boiler,N,Suitable for use in open vent systems with a heating system feed tank,White/Gloss,,A,Fitted with a modulating control to adjust power in line with heat requirements,No air pressure switch,Easy to service and maintain,Almost no standby losses,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,P114675,Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG regular boiler 45kW White,Worcester Bosch,2368.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG condensing regular boiler is an ideal replacement for the award-winning Greenstar CDi Classic, providing the same high levels of reliability but with a contemporary new design that brings it in line with modern living. A whole host of features, including a digital control system and inbuilt diagnostics make operation and maintenance of this 45kW boiler easy while best ever A-rated efficiency and effectiveness is gained through a modulating fan, temperature sensors and direct burner ignition electrodes.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 45 R NG regular boiler 45kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/83/114674_114683_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar8000LifeRglr_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_8000_LifeStyle_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114675_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114675_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar8000Life_Regular_Install.pdf,,,,,,,,,,,,,,,,
87,P130194,Glow-worm Energy7 12r boiler 12r,Glow-worm,1220.63,"The Glow-worm Energy7 12R regular boiler, or open vent boiler, is suitable for pairing with your choice of controls, creating the perfect bespoke heating system for your family. Installed with a cylinder for hot water storage, this 12kW wall-mounted boiler is ideal for homes where hot water is in demand. Though offering real heft when it comes to performance, this boiler is lightweight and compact for ease of installation, with a choice of top or rear flue for a convenient retrofit. The Energy7 includes Glow-worm's patented four-sided cooling, reducing stress on the heat exchanger for ErP A-rated efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Glow-worm Energy7 12r boiler 12r,,Regular boilerHeat generatorUnit mounting bracketFlue adapterGas stopcockGas pipeCondensate discharge hoseMounting templateEnclosed documentation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/96/NW-130194_130196_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Reg_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Energy7_Reg_Boiler_Install.pdf,,,,,,,,,,,,,,,,
