,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Diameter,Pack Quantity,Range,Shank Type,Feature 5,Dimensions (L x W x D),Attachment 2,Cut Type / Speed,Teeth Per Inch,Feature 6
33,PT02734,Rothenberger SDS cross tip drill bit 10 x 160mm,Rothenberger,3.74,"The Rothenberger 10 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 10 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/34/T02734_wm.jpg,N,Steel,,1500004809,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,10 mm,,,,Fully tempered and hardened,,,,,
34,PT02739,Rothenberger SDS cross tip drill bit 10 x 210mm,Rothenberger,4.42,"The Rothenberger 10 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 10 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/39/T02739_wm.jpg,N,Steel,,1500004814,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,10 mm,,,,Fully tempered and hardened,,,,,
35,PT02777,Rothenberger SDS cross tip drill bit 14 x 450mm,Rothenberger,9.86,"The Rothenberger 14 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 14 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/77/T02777_wm.jpg,N,Steel,,1500004841,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,14 mm,,,,Fully tempered and hardened,,,,,
36,PT02748,Rothenberger HSS bi-metal hole cut saw 44mm x 1.3/4in,Rothenberger,8.47,"Compatible with most leading brands, the Rothenberger HSS 44mm x 1 3/4"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 44mm x 1.3/4in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/48/T02748_wm.jpg,N,Steel,44 mm,1500004848,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
37,PT02742,Rothenberger SDS cross tip drill bit 16 x 210mm,Rothenberger,8.1,"The Rothenberger 16 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 16 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/42/T02742_wm.jpg,N,Steel,,1500004817,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,16 mm,,,,Fully tempered and hardened,,,,,
38,PT02737,Rothenberger SDS cross tip drill bit 7 x 210mm,Rothenberger,4.12,"The Rothenberger 7 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 7 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/37/T02737_wm.jpg,N,Steel,,1500004812,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,7 mm,,,,Fully tempered and hardened,,,,,
39,PT02743,Rothenberger SDS plus chisel 20 x 250mm,Rothenberger,4.42,"The Rothenberger 20 x 250mm SDS Plus chisel is compatible with rotation stop hammers featuring the SDS Plus tool holder system. Ideal for breaking up concrete and masonry, this heat-treated steel chisel can also remove plaster and render.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS plus chisel 20 x 250mm,,1x SDS Chisel,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/43/T02743_wm.jpg,N,Steel,,1500004818,SDS Chisel Bit,N,"Adjustment work in concrete and masonry, restoring joints, clearing reinforcements",For adjustment work,Suitable for clearing reinforcements,Suitable for restoring joints,Heat-treated,,20 mm,,,10 mm,Shot blast finish protects from rust,,,,,
40,PT02747,Rothenberger HSS bi-metal hole cut saw 40mm x 1.9/16in,Rothenberger,7.72,"Compatible with most leading brands, the Rothenberger HSS 40mm x 1 9/16"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 40mm x 1.9/16in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/47/T02747_wm.jpg,N,Steel,40 mm,1500004821,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
41,PT02751,Rothenberger HSS bi-metal hole cut saw 70mm,Rothenberger,13.26,"Compatible with most leading brands, the Rothenberger HSS 70mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 70mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/51/T02751_wm.jpg,N,Steel,70 mm,1500004853,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
42,PT02738,Rothenberger SDS cross tip drill bit 8 x 210mm,Rothenberger,4.25,"The Rothenberger 8 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 8 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/38/T02738_wm.jpg,N,Steel,,1500004813,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,8 mm,,,,Fully tempered and hardened,,,,,
43,PF03261,PHD SDS10160 SDS drill bit 10.0 x 160mm,PHD,8.08,"Ideal for both building site and DIY tasks, this PHD 10.0 x 160mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> PHD SDS10160 SDS drill bit 10.0 x 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/61/F03261_wm.jpg,N,Carbide Steel,,SDS10160,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,,100mm,,,SDS Plus,,,,,,
44,PT02736,Rothenberger SDS cross tip drill bit 6.5 x 210mm,Rothenberger,4.08,"The Rothenberger 6.5 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 6.5 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/36/T02736_wm.jpg,N,Steel,,1500004811,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,6.5 mm,,,,Fully tempered and hardened,,,,,
45,PF03259,PHD SDS060110 SDS drill bit 6.0 x 110mm,PHD,3.73,"Ideal for both building site and DIY tasks, this PHD 6.0 x 110mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> PHD SDS060110 SDS drill bit 6.0 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/59/F03259_wm.jpg,N,Carbide Steel,,SDS060110,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,,66mm,,,SDS Plus,,,,,,
46,PT02740,Rothenberger SDS cross tip drill bit 12 x 210mm,Rothenberger,4.73,"The Rothenberger 12 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 12 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/40/T02740_wm.jpg,N,Steel,,1500004815,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,12 mm,,,,Fully tempered and hardened,,,,,
47,PT02778,Rothenberger SDS cross tip drill bit 18 x 450mm,Rothenberger,15.98,"The Rothenberger 18 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 18 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/78/T02778_wm.jpg,N,Steel,,1500004842,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,18 mm,,,,Fully tempered and hardened,,,,,
48,PT02752,Rothenberger HSS bi-metal hole cut saw 102mm,Rothenberger,19.28,"Compatible with most leading brands, the Rothenberger HSS 102mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 102mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/52/T02752_wm.jpg,N,Steel,102 mm,1500004855,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
49,PT01266,Milwaukee reciprocating blade for metal 150 x 14 tpi (5),Milwaukee,14.69,"Optimised for a long life and speedy cutting, these Milwaukee Sawzall 6"", 14 TPI thin kerf blades with double duty upgrade have a short profile and slim body ideal for fast, flexible use. The blades incorporate robust necks, protecting against tang breakage.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Milwaukee reciprocating blade for metal 150 x 14 tpi (5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/66/NW-T01266_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Milwaukee_Thin_Kerf_Blade_Tech.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Milwaukee_Accessories_Catalogue_2013.pdf,,,
50,PT01267,Milwaukee reciprocating blade for metal 230 x 14 tpi (5),Milwaukee,20.32,"Optimised for a long life and speedy cutting, these Milwaukee Sawzall 9"", 18 TPI thin kerf blades with double duty upgrade have a short profile and slim body ideal for fast, flexible use. The blades incorporate robust necks, protecting against tang breakage.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Milwaukee reciprocating blade for metal 230 x 14 tpi (5),,5x thin kerf blade,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/67/NW-T01267_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Milwaukee_Thin_Kerf_Blade_Tech.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Milwaukee_Accessories_Catalogue_2013.pdf,,,
51,PN13810,Marcrist PG750X dry diamond tile drill bit 6mm,Marcrist,26.23,"Suitable for cordless and corded machines, this Marcrist PG750X Diamond 6mm dry tile drill effortlessly drills into the hardest porcelain tiles and can last up to 60 - 100 holes in hardest porcelain. This bit has multiple diamond layers for longer lasting use.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Marcrist PG750X dry diamond tile drill bit 6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/10/NW-N13810_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Marcrist_Drills-Blades-Wheels_MSDS.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Marcrist_Product_Catalogue_2011-2012.pdf,,,
52,PF03258,PHD SDS055110 SDS drill bit 5.5 x 110mm,PHD,3.25,"Ideal for both building site and DIY tasks, this PHD 5.5 x 110mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> PHD SDS055110 SDS drill bit 5.5 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/58/F03258_wm.jpg,N,Carbide Steel,,SDS055110,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,,5.5 mm,,,SDS Plus,,,,,,
53,PT02767,Rothenberger dry diamond core drill bit 28 x 300mm,Rothenberger,27.15,"The Rothenberger 28 x 300mm dry diamond core drill bit offers compatibility with any standard or rotary SDS drill. Fitted with a 1/2"" BSP female thread, this bit features a full 7mm height diamond segment.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger dry diamond core drill bit 28 x 300mm,,1x Dry Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/67/T02767_wm.jpg,N,Steel,,89001R,Dry Core Drill Bit,N,Hole cutter can be used with SDS electric drill.,Suitable for use with SDS electric drills,With high quality diamond segment,Reliable design,,,28 mm,,,,,,,,,
54,PV95856,Lenox Gold LEN960GR Demolition Reciprocating Saw Blades 9IN 10 TPI (5 Pack),Lenox,73.4,"Gold® Metal Cutting Reciprocating Saw Blades have an aggressive blade design that optimises the blade's cutting angle for faster cutting in a wide variety of materials. The POWER ARC™ curved blade delivers up to 2x longer life vs traditional straight LENOX® Reciprocating Saw Blades.Patented T2™ Technology reduces cutting forces on each tooth and optimises chip removal to allow efficient cutting in the widest range of materials. The teeth feature a titanium coating making them more wear-resistant, keeping them sharper for longer. Ideal for cutting a variety of metals.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Lenox Gold LEN960GR Demolition Reciprocating Saw Blades 9IN 10 TPI (5 Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/56/NW-V95856_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lenox_Product_Catalogue.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Lenox_SawBlade_V95856_MSDS.pdf,,,
55,PF03260,PHD SDS07160 SDS drill bit 7.0 x 160mm,PHD,4.28,"Ideal for both building site and DIY tasks, this PHD 7.0 x 160mm SDS drill bit is suitable for drilling into a wide variety of masonry types.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> PHD SDS07160 SDS drill bit 7.0 x 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/60/F03260_wm.jpg,N,Carbide Steel,,SDS07160,SDS Plus Drill Bit,N,Drilling,"Suitable for use in stone, brick and other masonry types",Carbide steel construction,,,,70 mm,,,SDS Plus,,,,,,
56,PT01491,Milwaukee Gen 2 Diamond Max diamond drill bits 6mm,Milwaukee,13.07,"Delivering best-in-class performance, this Milwaukee Diamond Max 6mm hole saw has high grade diamonds for optimum heat and fracture resistance. With an improved braze for good diamond retention when cutting hard, abrasive materials, this one-piece hole saw has a quick-change hex shank and large slug ejection slot.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Milwaukee Gen 2 Diamond Max diamond drill bits 6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/92/NW-T01491_T01492_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Milwaukee_Accessories_Catalogue_2019.pdf,,,,,,,,,,
57,P231586,Rothenberger Plumbers 9Pce Holesaw Kit,Rothenberger,25.0,"Suitable for metal, wood and plastic, the Rothenberger Plumbers Holesaw Kit contains nine essential holesaws in 19, 22, 29, 33, 44 and 57mm sizes. These saws can be used to cut cable runs into stud or plasterboard walls as well as meeting the needs of numerous other plumbing and electrical jobs, ensuring a smooth, highly professional finish. These holesaws are also suitable for use anywhere a hole made by the standard drill 3 jaw chuck might be required.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Plumbers 9Pce Holesaw Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/90/NW-N53790_wm.jpg,N,Bi-Metal,200/60/200,231586 PK,Hole Saw Kit,N,MetalsWoodPlastic,9 piece set,Suitable for most plumbing applications,Bi-metal construction,"Cuts holes in most metals, wood and plastics",,,,,,,,,,,
58,PV95853,Lenox Gold LEN614GR Metal Cutting Reciprocating Saw Blades 6IN 14 TPI (6 Pack),Lenox,26.73,"With an aggressive blade design, these Lenox Gold metal cutting reciprocating saw blades optimise cutting angle for quicker cuts, even in thick metal. Lasting twice as long as traditional Lenox blades, Power Arc blades feature patented T2 technology for reduced cutting forces and optimised chip removal for reliable use in a variety of materials. Titanium-coated, the Lenox Gold's teeth offer improved wear resistance for a longer life.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Lenox Gold LEN614GR Metal Cutting Reciprocating Saw Blades 6IN 14 TPI (6 Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/gr/LEN614GR_wm.jpg,N,Metal,8.11 (L) x 1.88 (W) x 0.43 (T),LEN614GR,Reciprocating Saw Blade,N,Meduim and Thick Metals,Pack of 6,For cutting a variety of medium and thick metals,Power Arc curved blade offers up to 2x longer life,Patented T2 technology reduces cutting forces on each tooth,,,6 Pack,Gold,,T2 technology optimises chip removal,,,Fast Cut,14 TPI,Teeth are titanium-coated for longer life
