,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Depth (mm),Material Type,Finish,Weight,Colour,Warranty,Design Type,Shape,Fittings Included
27,P257486,Center flux brushes 3 pack,Center,8.99,"Ideally shaped for applying liquid or paste flux, these Center flux brushes are designed with wooden handles and crimped nylon bristles to minimise the damage done by corrosive substances used when soldering pipes.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Center flux brushes 3 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/86/257486_wm.jpg,,,N,PHTPLC374588,Flux Brush Pack,N,Pack of 3,With wooden handles,Fine brushes reduce corrosive damage,Ideal for use when soldering pipe with flux paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PC01009,Thomas Dudley Dudley close coupling bolt set - cistern to pan,Thomas Dudley,2.59,This close coupling bolt set is a handy replacement kit designed to secure a close coupled cistern to a close coupled pan.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Dudley close coupling bolt set - cistern to pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/C01009_wm.jpg,,Dudley,N,PTOCCS363768,Bolt Set,N,"Supplied with nuts, bolts and washers",Long type bolts,Multiple washers ensure a watertight fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PB97906,"Masefield Epson standard low level flushpipe 18 x 18"" White",Masefield,2.48,A Masefield standard white PVC low-level single piece flush pipe.,"Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Masefield Epson standard low level flushpipe 18 x 18"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/08/NW-B97906_B97908_wm.jpg,,Epson,N,PTOBEN363700,Flush Pipe,N,High quality white PVC,"18 x 18"" size",38mm outside diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PC93128,Ideal Standard inlet valve servicing kit - uni/quiet,Ideal Standard,9.25,This Ideal Standard uni//quiet inlet float valve service kit is for use in the maintenance of bayonet fitting inlet valves.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Ideal Standard inlet valve servicing kit - uni/quiet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/28/NW-C93128_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PB92101,"Thomas Dudley Turbo 88 high two part syphon 6-9ltr 8.5""",Thomas Dudley,23.42,"The Thomas Dudley Turbo 88 high 8.5"" two part siphon is an ideal replacement in most ceramic and plastic cisterns. A 6/7/9L convertible design, this siphon offers easy, fast maintenance.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9ltr 8.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Turbo88_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PC93231,Ideal Standard nozzle (for 505 Chrome Plated),Ideal Standard,7.75,An Ideal Standard aerator for basin mixers and taps.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Ideal Standard nozzle (for 505 Chrome Plated),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/31/NW-C93231_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PD08206,Roca In-Wall roca basic tank lh ag,Roca,141.2,"Measuring 718 x 535 x 138mm, this Roca In-Wall LH basic tank with AG valve (under window) concealed cistern is suitable for installation with floor standing back-to-wall WCs. Convenient and efficient, this system is a great space-saver.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Roca In-Wall roca basic tank lh ag,,Basic tank;AG valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/06/NW-D08206_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D08206_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PD41789,Roca dual push button,Roca,16.11,This Roca dual flush push button for cisterns fits multiple types of flush valves.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Roca dual push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/89/NW-D41789_wm.jpg,,D2_D,N,AH0001800R,push button,N,Chrome finish,Dual flush,Fits a variety of Roca flush valves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PB00167,Viva Sanitary Skylo button and handle flush valve,Viva Sanitary,21.6,"The compact, cable operated Viva Sanitary Skylo dual flush valve is compatible with both 1 1/2"" and 2"" outlet sizes. With fully adjustable dual flush volumes, an adjustable internal overflow and an easy-fit uni-button for easy maintenance access to the cistern, this valve is a highly practical choice.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Viva Sanitary Skylo button and handle flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/67/NW-B00167_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viva_Sanitary_Skylo_SKY030_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PP76429,"Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack",Fluidmaster,24.0,"Professional-grade, the Fluidmaster Pro Series fill valve twin pack includes two valves with bottom entries and 1/2"" heavy duty brass shanks. Easy to install and requiring minimal maintenance, these valves combine high standards of quality with reliably excellent performance.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack",,2x bottom entry fill valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/NW-171207_wm.jpg,,Pro Series,N,P76429 PK,Fill Valve Twin Pack,N,Heavy-duty brass shank,Height adjustable between 230 - 355mm,Ultra quiet operation,Minimal water hammer,,,,Long-life performance,Offers fast refill,Anti-siphon design prevents contamination of water supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PB32901,Twyford Nocture cistern fixing assembly,Twyford,41.79,"Made of high quality plastic, this Twyford Nocturne cistern fixing assembly offers easy installation and maintenance.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Twyford Nocture cistern fixing assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/01/NW-B32901_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ForLifeBathrooms_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P171190,Fluidmaster Pro Series lever operated dual flush valve,Fluidmaster,13.75,"A favourite of professional plumbers, the Fluidmaster Pro Series lever operated dual flush valve with 350mm cable fits 1 1/2"" flush outlets.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster Pro Series lever operated dual flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-171190_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171190_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P171119,Fluidmaster Pro Series cable dual flush valve 550mm,Fluidmaster,24.2,"A favourite of professional plumbers, the Fluidmaster Pro Series button operated dual flush valve with 550mm cable fits 1 1/2"" flush outlets.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster Pro Series cable dual flush valve 550mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/19/NW-171119_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PB17057,CONCEALA UNIVLV INLET PLSTC HOSE TOP SUP,Ideal Standard,54.83,An Ideal Standard plastic hose for cistern top supply.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> CONCEALA UNIVLV INLET PLSTC HOSE TOP SUP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-B17057_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P257452,Center tap hole stopper Chrome,Center,2.18,"Chrome-plated, this Center tap hole stopper is used to cover unwanted tapholes in a basin. It is supplied with a locknut for a reliably secure connection.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Center tap hole stopper Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/52/257452_wm.jpg,,,N,PPSSTO374513,Cistern Spares,N,High impact polypropylene construction,Chrome finish,Easy installation,With locking nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PB98369,Thomas Dudley Flush Buttons square single flush with pneumatic push button,Thomas Dudley,28.79,"Designed for installation away from the cistern, the Thomas Dudley Piazza dual flush button is suitable for built-in furniture, tiles, partitioning and walls.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Flush Buttons square single flush with pneumatic push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/69/NW-B98369_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PD32550,Ideal Standard Geberit Twico flush valve replacement,Ideal Standard,42.18,"An Ideal Standard Geberit Twico 2"" outlet dual flush valve.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Ideal Standard Geberit Twico flush valve replacement,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/50/NW-D32550_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PC02412,Armitage Shanks A243221 flush valve,Armitage Shanks,32.15,"Wire-operated, this Armitage Shanks dual flush valve has a 2"" diameter thread outlet and is supplied complete with a button.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Armitage Shanks A243221 flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/12/C02412_wm.jpg,,,N,UV04667,Flush Valve,N,For use with Conceala cisterns,Wire operated,With push button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P103501,"Fluidmaster Torbeck side entry brass fill valve 1/2""",Fluidmaster,13.65,"The Fluidmaster Torbeck side entry fill valve with 1/2"" brass shank connection offers excellent performance, even at low pressures.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster Torbeck side entry brass fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/01/NW-103501_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fluidmaster_UK_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fluidmaster_B610-1_2B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P103504,"Fluidmaster Torbeck bottom entry adjustable fill valve 1/2""",Fluidmaster,19.44,"Offering adjustable height, this Fluidmaster Torbeck bottom filling valve with brass thread extends from 8.5"" to 12"". It includes a chrome activation button.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster Torbeck bottom entry adjustable fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/04/NW-103504_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fluidmaster_UK_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fluidmaster_B661AT-1_2B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PC93267,Ideal Standard Conceala 1.5 DF pneumatic outlet valve 160 O/F no cage (1),Ideal Standard,38.29,This Ideal Standard 1.5L dual flush pneumatic outlet valve is suitable for use in the brand's Conceala cisterns.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Ideal Standard Conceala 1.5 DF pneumatic outlet valve 160 O/F no cage (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/67/C93267_wm.jpg,1,Conceala,N,EV98267,Flush Valve,N,Pneumatic operation,1.5L capacity,For Conceala cisterns,Without cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT02637,Ideal Standard Tesi 1 tap hole back to wall bidet,Ideal Standard,194.35,"The modern Ideal Standard Tesi back-to-wall bidet is made of vitreous china and has a soft yet geometric design ideal for contemporary bathrooms. Compatible with a wide range of matching bathroom products, the Tesi bidet helps to create a cohesive contemporary bathroom design in hotel or home bathrooms.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Ideal Standard Tesi 1 tap hole back to wall bidet,,Bidet;Brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/37/NW-T02637_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_T350101_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PB92109,Thomas Dudley Pinto single flush valve comes with air tube,Thomas Dudley,35.34,The Thomas Dudley Pinto pneumatic single flush valve with air tube is designed for Pushflo concealed cisterns.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Pinto single flush valve comes with air tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/09/NW-B92109_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PB12974,Thomas Dudley Turbo Edge compact syphon shrink wrapped,Thomas Dudley,24.1,A Thomas Dudley Turbo Edge compact siphon.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Turbo Edge compact syphon shrink wrapped,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/74/B12974_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/ThomasDudley_TurboEdge_370872_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PB92106,Thomas Dudley Niagara single flush pneumatic valve,Thomas Dudley,35.33,"Suitable for new and retrofit, the Thomas Dudley Niagara pneumatic single flush valve features a two part design for easy installation and simple maintenance with no need to remove the entire cistern.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Niagara single flush pneumatic valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/06/NW-B92106_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Thomas Dudley_B92106_User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Thomas Dudley_B92106_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Niagara_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P171079,"Fluidmaster 747 side entry float valve 3/8""",Fluidmaster,33.89,"The Fluidmaster 747 cistern inlet valve with side entry and 3/8"" brass thread is designed for side or back entry toilet cisterns and water storage tanks.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Fluidmaster 747 side entry float valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/79/NW-171079_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PB79701,"Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",Thomas Dudley,15.79,"Easy to install and robust, this Masefield BBS 1"" automatic siphon is fully tested for reliable use and contains no moving parts, reducing the need for ongoing maintenance.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/01/NW-B79701_wm.jpg,,BBS Auto Syphons,N,PURAUT364932,Automatic Syphon,N,Inexpensive and simple to install,No moving parts for minimal maintenance,Requires no electricity or energy supply,Caters to flushing requirements of large and small urinals and toilets,,,,"1"" BSPT",With 2x rubber washers and nut,Each siphon is fully factory tested,Flushing volumes based on average sized cistern and may vary,Compatible with BS1876 cisterns,WRAS approved,,,,,,,,,,,,,,,,,160,,,,,,,,
54,P257448,Center large and small metal syphon c link kit (2),Center,2.76,"Designed for connecting a cistern lever to a siphon's C link, Center's adjustable siphon linkages are manufactured in robust stainless steel. This handy C link kit includes a small 50mm/2"" C link and a large 102mm/4"" C link.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Center large and small metal syphon c link kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/48/257448_wm.jpg,,,N,PPSSYS374514,Syphon Linkage Arm,N,High quality stainless steel construction,Large and small sizes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PC58913,Thomas Dudley Dudley ball valve repair kit box,Thomas Dudley,13.36,Plumbers O-ring repair kit box.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Thomas Dudley Dudley ball valve repair kit box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/13/C58913_wm.jpg,,Dudley,N,PPSPLB367508,Repair Kit Box,N,Plumbers O-ring repair kit box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PJ44468,Grohe EAU2 pneumatic push button,Grohe,39.36,"With front or top actuation, this Grohe EAU2 pneumatic push button includes extended hose length for flexibility when positioning. The minimal styling of the button allows for fitting anywhere in 360° orientation.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Grohe EAU2 pneumatic push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/68/NW-J44468_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_EAU2_38771000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_38_771_38_906_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PJ23803,Armitage Shanks Contour 21 back outlet waste assembly (1),Armitage Shanks,126.33,This Armitage Shanks Contour 21 back outlet waste assembly is for use with the Contour 21 back outlet basin.,Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Armitage Shanks Contour 21 back outlet waste assembly (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/J23803_wm.jpg,1,Contour 21,N,SR02167,Outlet adapter,N,for use with Contour 21 back outlet basins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,
58,PU94952,Geberit fill valve type 380AG,Geberit,26.07,"Made of plastic, this Geberit type 380AG fill valve is supplied with a rubber inlet diaphragm washer and thread washer.",Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> Geberit fill valve type 380AG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/52/NW-U94952_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_AquaCleanMeraClassic_WC_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P171016,"CME Sanitary Systems ball valve bottom entry 1/2""",CME Sanitary Systems,24.57,"Designed for toilet cisterns, this bottom entry CME Sanitary Systems Hushflow 8 1/2"" pedestal height three-part ball valve is supplied with a 1/2"" connection, 8 1/4"" ball valve arm and fixings.","Parts and Spares/Plumbing Parts and Spares/Toilet Spares and Parts/Toilet Spares and Parts.csv -> CME Sanitary Systems ball valve bottom entry 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/16/NW-171016_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
