,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Attachment 2,For Use With,Attachment 3,Feature 2,Feature 3,Range,Pack Quantity,Dimensions mm (H x W x D),Application
64,P498879,Ideal primary printed circuit board kit,Ideal,342.08,"An official Ideal part, this printed circuit board kit is suitable for use in Logic+ and Keston C boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal primary printed circuit board kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/79/498879_wm.jpg,,N,"35, 24, 30C, 30",Control Panel,"Logic+, Keston C",H82551,175939,Printed Circuit Board Kit,N,"24,35,30C,30",,,,,,,,,,
65,P412932,Ideal 177529 plate heat exchanger kit,Ideal,156.94,"This Ideal heat exchanger kit is compatible with Atlantic, iCombi, I-mini, Independent, Instinct, Logic, Classic, Esprit, Exclusive, Morco, Vogue, Logic+ and Procombi boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 177529 plate heat exchanger kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/32/412932_wm.jpg,,N,"Atlantic 24, i2 30, i24, i30, I-mini 30, + Combi 24, + Combi 30, C24, 2 35, Code Combi ESP1 26, ES 30, ESP 24, Atlantic 35, Combi 2 35, Eco 2 30, Eco 24, Exclusive 24, I-mini C 24, C30, C35, Combi 35, 2 24, 2 30, Code Combi ES 38, E 24, GB 24, C26 Gen 2,",Heat Exchanger,"Atlantic, iCombi, I-mini, Independent, Instinct, Logic, Classic, Esprit, Exclusive, Morco, Vogue, Logic+, Procombi",J22372,177529,Heat Exchanger Kit,N,"E 35,24,Combi 30,GB 30,Code Combi ESP1 38,ES 24,Exclusive,Code Combi ESP1 33,i35,Code Combi ES 38,Code Combi ES 33,ESP1 24,30,GB 24,C30,C 24,E 24,C35,Code Combi 26,I-mini 24,Exclusive 24,ESP 30,Exclusive 30,Eco 24,Code Combi ES 26",,,,,,,,,,
66,P730742,Ideal injector assy kit 30kw (ng),Ideal,37.32,"An Ideal injector assembly kit for use in Logic, Logic Heat, Logic System, Pro Combi Exclusive, Code Combi, Independent+, Independent System, Logic+ Heat, Logic+ System, Logic Code Combi, ICombi, i mini, Independent Combi, Logic Max Combi, Logic Max System, Instinct, Exclusive, Classic Combi, Independent +Combi and Logic Max Heat boilers.  A pilot injector regulates the velocity at which gas allowed into the boiler’s burner or pilot assembly. This process makes sure that the system uses only the amount of gas necessary, saving on waste.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal injector assy kit 30kw (ng),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/42/730742_wm.jpg,,N,Logic 24Logic 30Logic 35Logic Heat 12Logic Heat 15Logic Heat 18Logic Heat 24Logic Heat 30Logic System 15Logic System 18Logic System 24Logic System 30Pro Combi Exclusive 24Pro Combi Exclusive 30Pro Combi Exclusive 35PROMCombi Exclusive 30Code Combi 26Code,Control Panel,LogicLogic HeatLogic SystemPro Combi ExclusiveCode CombiIndependent+Independent SystemLogic+ HeatLogic+ SystemLogic Code CombiICombii miniIndependent CombiLogic Max CombiLogic Max SystemInstinctExclusiveClassic CombiIndependent +CombiLogic Max Heat,n/a,177547,Injector Assembly Kit,N,,,,,,,,,,,
67,P468464,Ideal 175553 flow group kit,Ideal,507.05,"An Ideal brand flow group kit for use in the diverter valve of I-mini, Logic, Logic+, Independent, Keston Combi and Keston C boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 175553 flow group kit,,Flow Group Kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/64/468464_wm.jpg,,N,"I-mini 30, Code Combi ES 26, ESP 35, 35, 0, C30, Code Combi 26, ES 35, Combi 30, 0, Code Combi 33, Code Combi 38, ES 24, 24, 0, Code Combi ES 33, E 35, I-mini 24, 35, E 30, ESP 30, 30C, 30, Combi 35, C35, 24, Code Combi ES 38, E 24, 30, C24, ES 30, ESP 2",Diverter Valve,"I-mini, Logic, Logic+, Independent, Keston Combi, Keston C",n/a,175553,Flow Group Kit,N,"C30,Combi 30,E 24,E 35,35,24,30C,ES 24,ES 35,E 30,I-mini 30,Code Combi 26,Code Combi 33,Combi 35,I-mini 24,ESP 30,Code Combi ES 38,ESP 35,ESP 24,Code Combi ES 26,Code Combi 38,Code Combi ES 33,ES 30,30",,,,,,,,,,
68,P729643,Ideal plate heat exchanger,Ideal,97.55,"This Ideal plate heat exchanger kit is compatible with Evo, I-mini, Isar, Logic, Independent, Logic+, Esprit 2, Keston C and Keston Combi boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal plate heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/43/729643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Code_Combi_Installation.pdf,,,,,,,,,,,,,,,,,,,
69,P730751,Ideal primary pcb i6 / 2,Ideal,282.39,"An official Ideal replacement part, this primary PCB is compatible with Logic+ boiler units.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal primary pcb i6 / 2,,Primary PCB,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/51/730751_wm.jpg,,N,Logic+ 24Logic+ 30Logic+ 35,Control Panel,Logic+,n/a,177661,Primary PCB,N,,,,,,,,,,,
70,P498852,Ideal detection lead - icos he,Ideal,26.65,"This genuine Ideal heat detection lead is designed for the electrodes in Evo, Istor, Icos and Elise boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal detection lead - icos he,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/52/498852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Icos_HE12HE15HE18HE24_Install.pdf,,,,,,,,,,,,,,,,,,,
71,P730732,Ideal burner gasket kit,Ideal,30.21,"This handy Ideal gasket kit is suitable for the gas assembly of boilers in Ideal's own Vogue, Vogue Max Combi and Vogue Max System ranges.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal burner gasket kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/32/NW-730732_wm.jpg,,N,Vogue C26Vogue C32Vogue C40Vogue S15Vogue S18Vogue S26Vogue S32Vogue C26 GEN 2Vogue C32 GEN 2Vogue C40 GEN 2Vogue Max Combi 26Vogue Max Combi 32Vogue Max Combi 40Vogue Max System 32Vogue Max System 26Vogue Max System 18Vogue Max System 15Vogue S15 GEN 2V,Gas Assembly,VogueVogue Max CombiVogue Max System,n/a,176966,Gasket Kit,N,,,,,,,,,,,
72,P483424,Ideal return group kit,Ideal,101.34,"An Ideal part, this return group kit is for fitting in the diverter valve of Esprit, Exclusive, I-mini, Independent, Instinct, Logic, Keston Combi, Classic, iCombi, Logic+, Morco and Procombi appliances.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal return group kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/24/483424_wm.jpg,,N,"Eco 24, Exclusive 35, I-mini C 24, + Combi 35, C24, 24, E 24, ESP 24, Combi 35, Combi 24, i24, 0, + Combi 24, C 24, ESP 30, Max Combi C 30, 24, + C 30, 0, + Combi 30, C30, Combi 35, 30, 35, ES 30, 35, GB 24, Combi 30, Combi 30, Eco 30, Exclusive 24, I-mi",Diverter Valve,"Esprit, Exclusive, I-mini, Independent, Instinct, Logic, Keston Combi, Classic, iCombi, Logic+, Morco, Procombi",n/a,176603,Return Group Kit,N,"Combi 30,E 35,24,E,ES 24,i30,E 30,Eco 30,I-mini 30,i35,Combi 35,Exclusive 35,ESP1 24,30,Combi C 35,C30,C 24,E 24,35,Combi C 30,C35,i24,Combi 24,I-mini 24,Exclusive 24,ESP 24,Exclusive 30,Eco 24,ES 30",,,,,,,,,,
73,P468456,Ideal filling loop pack - logic,Ideal,68.06,"An Ideal filling loop pack designed for use in Logic, Logic+, Vogue, Keston C and Keston Combi boilers.  For use in central heating boilers and systems, allowing the user to manually top-up the amount of water in the system if the pressure drops. External loops are usually removable in keeping with regulations, while internal filling loops normally feature a key that can be removed to interrupt the connection after use.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal filling loop pack - logic,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/56/468456_wm.jpg,,N,"24, Code Combi 33, ES 30, C26, Combi 30, Combi 35, E 30, ES 24, 30, Code Combi ES 33, 24, 30, Code Combi 38, Code Combi ES 38, E 35, ESP 30, C40, 30C, 35, Code Combi ES 26, ESP 35, 35, Code Combi 26, E 24, ES 35, ESP 24, C32",Heat Exchanger,"Logic, Vogue, Keston Combi, Logic+, Keston C",H78119,176671,Filling Loop Pack,N,"35,24,Combi 30,E 24,E 35,C 32,30C,C26,ES 24,ES 35,E 30,Code Combi 26,Code Combi 33,Combi 35,ESP 30,Code Combi ES 38,ESP 35,ESP 24,Code Combi ES 26,Code Combi 38,Code Combi ES 33,30,ES 30,C40",Genuine Ideal Part,,,,,,,,,
74,P405915,Ideal 174081 gas valve kit,Ideal,219.76,"An official Ideal part, this gas valve kit is suitable for Mexico boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 174081 gas valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/15/405915_wm.jpg,,N,"HE 18, HE 24, HE 36, HE 15, HE 30",Gas Assembly,Mexico,n/a,174081,Gas Valve Kit,N,,,,,,,,,,,
75,P468463,Ideal return group kit,Ideal,145.51,"An Ideal part, this return group kit is for fitting in the diverter valve of Independent, Logic, Vogue, Keston C, Keston Combi, I-mini and Logic+ appliances.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal return group kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/63/468463_wm.jpg,,N,"0, C35, 24, C24, E 35, ES 30, ESP 30, C32, C40, 30C, Combi 30, I-mini 24, 30, 35, Combi 35, 0, ES 24, 24, C26, 0, E 24, E 30, ESP 35, 30, I-mini 30, ES 35, ESP 24, C30, 35",Diverter Valve,"Independent, Logic, Vogue, Keston C, Keston Combi, I-mini, Logic+",n/a,175552,Return Group Kit,N,"C30,E 24,E 35,C 32,Combi 30,24,35,30C,ES 24,ES 35,C26,E 30,I-mini 30,I-mini 24,Combi 35,ESP 30,ESP 24,ESP 35,ES 30,30,C40",,,,,,,,,,
76,P447222,Ideal diverter valve,Ideal,98.89,"An Ideal spare part, this paddle and body kit is designed for use in the diverter valve section of Independent, Logic, Vogue, I-mini, Logic+ and Keston Combi boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal diverter valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/22/447222_wm.jpg,,N,"+ Combi 30, Combi 35, ESP1 30, ESP1 35, C40 Gen 2, Combi 30, C 35, Max System 18, S32 Gen 2, C 30, Code Combi ESP1 33, Max Combi C 30, Max System 26, S15 Gen 2, S26 Gen 2, I-mini C 30, + C 24, Max System 15, Max System 32, S18 Gen 2, Combi C 30, Combi C",Diverter Valve,"Independent, Logic, Vogue, I-mini, Logic+, Keston Combi",,179020,Paddle and Body Kit,N,,,,"+ Combi 30, Combi 35, ESP1 30, ESP1 35, C40 Gen 2, Combi 30, C 35, Max System 18, S32 Gen 2, C 30, Code Combi ESP1 33, Max Combi C 30, Max System 26, S15 Gen 2, S26 Gen 2, I-mini C 30, + C 24, Max System 15, Max System 32, S18 Gen 2, Combi C 30, Combi C",,,,,,,
77,P468454,Ideal central heating flow pack,Ideal,58.79,"An Ideal flow pack for the isolation valve section of Exclusive, I-mini, Independent, Instinct, Logic, Logic+, Classic, iCombi, Procombi, Esprit, Keston Combi, Keston C and Keston System boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal central heating flow pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/54/468454_wm.jpg,,N,"Exclusive 24, I-mini C 24, + Combi 30, C30, C35, Combi 35, System 15, 30, 35, Code Combi ES 26, Code Combi ES 38, E 24, ESP 35, + System 15, + System 18, + System 24, Combi 24, 0, System 18, System 30, C 24, System 24, 35, Exclusive 35, i24, I-mini 30, +",Isolation Valve,"Exclusive, I-mini, Independent, Instinct, Logic, Logic+, Classic, iCombi, Procombi, Esprit, Keston Combi, Keston C, Keston System",n/a,175528,Flow Pack,N,"E 35,Combi 30,24,ES 24,Code Combi ESP1 33,i35,System 24,Code Combi ES 38,ESP 35,Code Combi ES 33,30,ESP1 24,ESP1 30,C30,E 24,35,C35,ES 35,Code Combi 26,System 15,Exclusive 24,ESP 30,System 15 IE,Exclusive 30,Code Combi ES 26,ESP1 35",,,,,,,,,,
78,P412914,Ideal 176865 expansion vessel kit,Ideal,145.99,"This Ideal expansion vessel kit is a spare part for use in Vogue boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 176865 expansion vessel kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/14/412914_wm.jpg,,N,"C26 Gen 2, Max Combi 26, Max System 15, Max Combi 32, Max System 26, C40 Gen 2, Max System 32, S18 Gen 2, Max System 18, S15, C26, C32, C32 Gen 2, S32, S32 Gen 2, C40, S15 Gen 2, S26, Max Combi 40, S18, S26 Gen 2",Expansion Vessel,vogue,n/a,176865,Expansion Vessel Kit,N,,,,,,,,,,,
79,P730764,Ideal 179031 pressure gauge kit,Ideal,20.68,"This Ideal pressure gauge kit is suitable for use in Logic, Logic Code Combi, Logic System, i mini, Independent +Combi, Independent Combi, Independent System, Logic Max Combi, Atlantic, Logic Max System, Instinct, Exclusive and Classic Combi boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 179031 pressure gauge kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/64/NW-730764_wm.jpg,,N,Logic C24Logic C30Logic C35Logic Code Combi ESP1 26Logic Code Combi ESP1 38Logic ESP1 24Logic ESP1 30Logic ESP1 35Logic System S 15Logic System S 18Logic System S 24Logic System S 30Logic Code Combi ESP1 33i mini C24i mini C30Independent +Combi 24Indepen,Control Panel,LogicLogic Code CombiLogic Systemi miniIndependent +CombiIndependent CombiIndependent SystemLogic Max CombiAtlanticLogic Max SystemInstinctExclusiveClassic Combi,n/a,179031,Pressure Gauge Kit,N,,,,,,,,,,,
80,P468544,Ideal 175662 flow turbine cartridge,Ideal,58.07,"This Ideal flow turbine cartridge is for use in the diverter valve of I-mini, Logic, Independent, Logic+ and Keston Combi boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 175662 flow turbine cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/44/468544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
81,P405843,Ideal 170989 expansion vessel kit,Ideal,268.13,"This Ideal expansion vessel kit is a spare part for use in Evo, Isar, Icos and Esprit 2 boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 170989 expansion vessel kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/43/405843_wm.jpg,,N,"C22/24, HE 24, HE 24 + Programmer, System M 3080, HE 30, HE 35, C22/35, HE 35, HE 35 + Programmer, M 30/100, HE 24, C22/30, System HE 15, HE 30, System HE 24, HE 30 + Programmer",Expansion Vessel,"Evo, Isar, Icos, Esprit 2",795580,170989,Expansion Vessel Kit,N,"HE 30 + Programmer,C22/35,C22/24,HE 24 + Programmer,System M 3080,C22/30,M 30/100,HE 35,HE 24,System HE 24,System HE 15,HE 30,HE 35 + Programmer",,,,,,,,,,
82,P468475,Ideal venturi,Ideal,36.6,"An Ideal brand pressure sensing venturi for the fan of Esprit, Exclusive, Independent, Instinct, Logic, Logic+, Procombi, Keston Combi, Classic, iCombi, I-mini, Keston System, Atlantic, Keston C and Morco boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal venturi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/75/468475_wm.jpg,,N,"Eco 30, Exclusive 2 24, Exclusive 2 30, 0, 24, Code Combi ES 33, Code Combi ESP1 38, E 30, ES 24, ESP1 24, + C 30, + Heat 30, + System S 15, + System S 24, Exclusive 35, Combi 35, Combi 2 24, Combi 24, i2 24, i2 35, 0, System S 15, C 24, Code Combi 33, C",Fan Combustion Chamber,"Esprit, Exclusive, Independent, Instinct, Logic, Logic+, Procombi, Keston Combi, Classic, iCombi, I-mini, Keston System, Atlantic, Keston C, Morco",H78159,175567,Venturi,N,"System S 24,24,Combi 30,E 35,Code Combi ESP1 38,ES 24,i30,E 30,H,Eco 30,I-mini 30,i35,Code Combi ES 38,Heat 15,Heat 12,Code Combi ES 33,System S 30,30,ESP1 24,35,E 24,C35,System S 18,System 18,Code Combi 26,I-mini 24,Exclusive 24,Exclusive 30,Eco 24",,,,,,,,,,
