,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
207,PK11350,JET Range 9400 metering station (DZR) 15mm,JET Range,41.75,The JET Range 9400 metering station with 15mm male x female threaded connections measures flow passing through the pipework of a system by assessing the differential pressure between test points.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 9400 metering station (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/51/NW-K11348_K11351_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_9400_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lv/es/TDS Jet Balancing Valves.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PK13888,Crane ProBalance flow measurement device 65mm,Crane,583.78,"The Crane ProBalance DM900 flow measurement device is employed as a single unit or can be close coupled to other regulating or isolating valves to provide accurate flow measurement. Fitted with 65mm flanged connection, this device is suitable for use with PN10, PN16, or PN25 flanges or flanged valves with ratings detailed in the appropriate flange or valve product standard.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane ProBalance flow measurement device 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/93/NW-K13887_K13893_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Crane_DM900_WRAS_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_DM900_Flow_Measure_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_DM900_Flow_Measure_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ra/ph/Crane_DM900_941_950G_DA941_Graph.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PK13706,Crane ProBalance double regulator valve 32mm Bronze,Crane,569.27,"This Crane ProBalance D921 double regulating valve provides precise and accurate flow regulation and management. Fitted with 32mm BSP tapered connections, this valve offers an accuracy of +/-5% on all settings. With an integral fixed orifice design greater accuracy is provided and set-up is simpler with fewer connections required, lowering installation costs.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane ProBalance double regulator valve 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/08/NW-K13703_K13708_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_D921_923_931_934_BV_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Crane_D921_923_931_933_934_WRAS_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_D921_D923_DRV_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PK65313,JET Range BBV34MFT 505 mini brass ball valve 15mm,JET Range,21.39,"Lever-operated, this JET Range BBV34MFT manual mini ball valve has a brass body and PTFE seat. It is fitted with 15mm BSP male x BSP female connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV34MFT 505 mini brass ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/13/NW-K65311_K65313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV34_MFT_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PK11352,JET Range 9400 metering station (DZR) 25mm,JET Range,56.82,The JET Range 9400 metering station with 25mm male x female threaded connections measures flow passing through the pipework of a system by assessing the differential pressure between test points.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 9400 metering station (DZR) 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/52/NW-K11352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_9400_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lv/es/TDS Jet Balancing Valves.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PK21403,JET Range 18 mesh 1000 micron strainer screen 32mm,JET Range,7.18,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 32mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 18 mesh 1000 micron strainer screen 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PK21414,JET Range strainer (BSP) PN20 80mm Bronze,JET Range,863.64,"This JET Range 98 Y-strainer is made of bronze with 80mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range strainer (BSP) PN20 80mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PK65671,JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 100mm,JET Range,953.69,"This JET Range BBV21 lever operated ball valve includes 100mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV21 gas lever operated ball valve (BSPP) WRAS 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV22_Ball_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PK65302,JET Range BBV34FFT 500 mini brass ball valve 10mm,JET Range,18.57,"Lever-operated, this JET Range BBV34FFT manual mini ball valve has a brass body and PTFE seat. It is fitted with 10mm BSP female connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV34FFT 500 mini brass ball valve 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/03/NW-K65301_K65303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV34FFT_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PK74003,JET Range 56 wheel head gate valve (BSP) PN20 15mm Brass,JET Range,47.78,"This JET Range 56 gate valve is designed for isolating pipelines. With 15mm BSP tapered female connections, the valve includes a brass body, wedge, screwed bonnet, non-rising stem and wheel handle. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 56 wheel head gate valve (BSP) PN20 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/10/NW-K74003_K74010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET56_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PK74450,JET Range 51 wheel head gate valve (BSP) PN20 65mm Bronze,JET Range,637.59,"This JET Range 51 gate valve is designed for isolating pipelines. With 65mm BSP tapered female connections, the valve includes a bronze body, wedge, screwed bonnet, non-rising stem and wheel handle. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 51 wheel head gate valve (BSP) PN20 65mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/51/NW-K74442_K74451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET51_JET51LS_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,P421688,JET Range FVC thermostatic fire valve 72C 10mm x 6mtr,JET Range,75.18,"This JET Range FVC thermoplastic fire valve is suitable for use with Class C and D fuels including heating oil, kerosene and gas oil or diesel. It offers automatic shut-off in case of overheating issues in a fuel burning appliance and fail safe shut-off in case of capillary or sensor failure.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range FVC thermostatic fire valve 72C 10mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PK65301,JET Range BBV34FFT 500 mini brass ball valve 8mm,JET Range,18.97,"Lever-operated, this JET Range BBV34FFT manual mini ball valve has a brass body and PTFE seat. It is fitted with 8mm BSP female connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV34FFT 500 mini brass ball valve 8mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/03/NW-K65301_K65303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV34FFT_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PP00893,JET Range P00893 NAS sheet 3 x 500 x 500mm,JET Range,182.08,"Suitable for use with a wide range of substances, including refrigerants, oils, gases and fuels, this JET Range 3 x 500 x 500mm NAS sheet is made of synthetic fibre with NBR.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range P00893 NAS sheet 3 x 500 x 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/93/NW-P00890_P00893_wm.jpg,,,,N/A,,N,,,,Synthetic Fibre with NBR,,,JET_NAS3MM_500SQ,Non-asbestos Sheet,N,Combines synthetic and glass fibres,High stress relaxation,Dimensionally stab,Suitable for high temperature steam and water,Improved resistance against hydrocarbons,Suitable for use with a range of different media,,,,,,,,,,,,,,,,,,,,,,,,,,,500mm,White/Green,,,,,,,,,,,,,,,,,,,,3 mm,,,,,,,,,,,,,
221,P250470,Ballorex Valve 3481YA copper x copper valve 22mm Brass,Ballorex,32.71,"The Pegler Valve Ballofix copper x copper 22mm brass ball mixing valve is a type of quarter-turn non-return valve employing a hollow, perforated and pivoting ball to control the direction of flow.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Ballorex Valve 3481YA copper x copper valve 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/70/NW-250469_250470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_17322930_KIWA_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_CompressionConnection_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_72727288_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PK17796,Crane Ball Valve D171A DZR ball valve (BSP) PN25 32mm,Crane,127.94,"Easy to install and with effortless operation, the Crane D171A PN25 manual ball valve with 32mm BSP female tapered connections has a compact and lightweight design. Lever-operated, this valve allows for full flow with minimum turbulence when open and has a bubble-tight seal in its closed position. Made of DZR bronze with a PTFE seal, the D171A has a red steel lever.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane Ball Valve D171A DZR ball valve (BSP) PN25 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/98/NW-K17791_K17798_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CopperAlloy_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PK17327,"Crane Spares D171A spare extension kit 1.1/4- 1.1/2""",Crane,23.59,"Easy to install and operate, this lightweight and compact Crane D171A extension kit is compatible with the brand's D171A threaded DZR ball valve with 1 1/4 to 1 1/2"" connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane Spares D171A spare extension kit 1.1/4- 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/28/NW-K17325_K17328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PK23039,HNH 1000 METERING STATION             15,Hattersley,133.19,"This Hattersley Fig 1000 DZR brass metering station offers accurate measurement with an integral fixed orifice design for easy set-up involving fewer connections than variable designs, for reduced installation costs. Fitted with 15mm BSP tapered connections, this static balancing valve offers positive flow control at all handwheel settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> HNH 1000 METERING STATION             15",,Metering station;Red ;blue test points,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/39/NW-K23039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Hattersley_Fig1000_MS_WRAS_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ts/Hattersley_Balancing_Coefficients.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Hattersley_Kitemark_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hattersley_Fig1000_MS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_Fig1000_MS_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/me/nt/Hattersley_FS_SCC_Statement.pdf,,,,,,,,,,,
225,P250485,"Ballorex Valve 3375YA mixing valve 15mm x 1/2"" Brass",Ballorex,24.07,"The Pegler Valve Ballofix brass ball mixing valve with 15mm compression x 1/2"" BSP parallel male connections is a type of quarter-turn non-return valve employing a hollow, perforated and pivoting ball to control the direction of flow.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Ballorex Valve 3375YA mixing valve 15mm x 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/85/NW-250485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_17322930_KIWA_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_CompressionConnection_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_72727288_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PK66019,JET Range BBV21R lever ball valve (BSPP) 50mm Red,JET Range,169.73,"This JET Range BBV21R lever operated ball valve includes 50mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV21R lever ball valve (BSPP) 50mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/20/NW-K66014_K66020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
