,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Attachment 6,Refrigerant Suitability
23,PT21876,Panasonic Aquarea WH-MDC05J3E5 mono-bloc air source heat pump R32 5kW,Panasonic,2829.45,"Supplying hot water at 55°C, the high performance Panasonic Aquarea WH-MDC05J3E5 5kW air source heat pump is designed to deliver in the UK's always varied climate, working at outdoor temperatures right down to -20°C with constant full capacity at external temperatures down to -7°C. Designed for outdoor installation, this single unit supplies water for cooling, heating and for domestic hot water storage and can be used in new builds or for renovation projects in any property. Ideal for homes with low temperature radiators or underfloor heating, the high performance Aquarea heat pump is suitable for use as a standalone unit or for use alongside an existing gas or oil heating system. Smart grid-ready for compatibility with PV or solar, and suitable for connection to a thermostat for complete control, the Aquarea heat pump provides homeowners with a variety of solutions for improved efficiency.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MDC05J3E5 mono-bloc air source heat pump R32 5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/76/T21876_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_J-Gen_Monobloc_DS.pdf,,,,,,,,,,
24,P119668,Vaillant aroTHERM PLUS air source heat pump and uniTOWER 7kW,Vaillant,6153.15,"Eco-friendly and efficient, the Vaillant aroTHERM Plus 7kW air-to-water heat pump employs R290 refrigerant, contributing to an extremely low GWP and a SCOP of up to 4.88. This pump operates extremely quietly, making it a great choice for built-up areas and terraced housing, while a salt-resistant construction ensures reliable protection in seaside residences. The monobloc aroTHERM Plus is supplied with Vaillant's ready-wired, easy to install 190L uniTOWER integrated hot water cylinder and hydraulic module for the highest possible ErP efficiency of A+++.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM PLUS air source heat pump and uniTOWER 7kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6-/70/119666-70_wm.jpg,aroTHERM plus,230,5,128,N,30,7 kW,449,Outdoors,Scroll,0010037203,Air Source Heat Pump,N,"Energy saving design, with a SCOP up to 4.88",Suitable for retro-fit and new build,"Ideal for underfloor heating, radiators and fan coils","Sound power as low as 54 dB(A), suitable for terraced housing estates",Low Global Warming potential (GWP) of 3,Monobloc technology with hermetically-sealed refrigerant circuit,Uses natural refrigerant R290,Salt-resistant construction C5 class for installation under 150M from the sea,,,,Supplies up to 25% more usable hot water at a 75°C flow temperature,Maximum temperature setting eliminates need for an electric immersion heater for Legionella protection,5 year warranty,,,,,
25,P490592,Bosch Compress AW 5800i Heat Pump 5 OR-S(5kw),Bosch,3600.0,"Operating on environmentally sound R290 refrigerant, the Bosch Compress AW 5800i 5kW monobloc outdoor heat pump unit holds an ErP A+++ rating for heating at 35°C and an A rating for hot water delivery, helping homeowners to save on costs while reducing their carbon footprints. Suitable for installation in new build and renovation projects, this quiet heat pump unit is simple to install as well as being easy to use and effortless to maintain.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Bosch Compress AW 5800i Heat Pump 5 OR-S(5kw),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/92/490592_wm.jpg,Compress AW,230,257,143Kg,N,31,4 kW,540,Free standing,Rotary,8738213465,Air to Water Heat Pump,N,High flow for hot water comfort,Futureproof design,Uses environmentally friendly R290 refrigerant,Rotary-type compressor,Freestanding installation for flexibility,"2, 5 and 7 year warranties available",,,,,,,,,,,,,
26,P635952,Grant Aerona inverter driver air source heat pump - R32 13kW,Grant,3782.04,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 13kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Grant Aerona inverter driver air source heat pump - R32 13kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/52/635952_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",70 kg,N,64 dB(A),10 kW,405,Floor or Wall,DC twin rotary - inverter driven,HPID13R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,
27,P610190,Mitsubishi Ecodan PUZ coastal monobloc unit 6kw,Mitsubishi,2580.01,"An advanced and highly efficient step into renewables, the Mitsubishi Ecodan PUZ Coastal 5kW monobloc air-to-water heat pump harnesses sustainable technology for eco-friendly heating you can rely on. This unit is suitable for use alongside a third party cylinder for DHW or can be used alone for heating only.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ coastal monobloc unit 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/610189_610190_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
28,P143374,Samsung mono costal air source heat pump R32 8 - 6.37kW,Samsung,1997.22,This Samsung 8 - 6.37kW 240V mono air source heat pump is suitable for use with R32 refrigerant.,Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung mono costal air source heat pump R32 8 - 6.37kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/72/143370_143372_wm.jpg,,240,7 Years,110kg,N,52 dB(A),8 kW,330,Floor,Invertor,HHSA-G60009-01,Air to Air Heat Pump,N,Inverter type compressor,Floor standing,Air-to-air operation,7 year warranty,,,,,,,,,,,,,,,
29,P143650,Vokera Riello 8kW monoblock ASHP NXHM008,Vokera,4805.89,"Highly efficient, the Vokera Riello NXHM008  8kW monobloc air source heat pump is suitable for heating, cooling and hot water supply in domestic properties. Using eco-friendly R32 refrigerant, the pump minimises its environmental impact, ensuring a low GWP and reduced CO2 emissions while ensuring powerful performance. NXHM008 is fitted with modern Blue-Fin exchange coils, hydrophilic and anti-corrosion treated for better condensation flow and a reduced risk of freezing, ensuring reliability, even in humid conditions.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vokera Riello 8kW monoblock ASHP NXHM008,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/50/143650_wm.jpg,,230v,7 Years,105kg,N,N/A,8 kW,523,Free standing,Twin-Rotary,20203409,Air to Water Heat Pump,N,DC-Inverter technology,Twin-rotary compressor modulates power to perfectly match required load,Energy efficient for high COP and EER,"Suitable for low-temperature radiators, underfloor radiant elements and fan coil units",Water heating temperature up to 65 °C,"Easy, quick installation",Silent operation,Wired controller included for complete control,,,,"Control can manage up to 6x cascade units, even with different power inputs",Anti-freeze program protects entire system,HP Keymark certified performance,7 year warranty,,,,
30,P613804,Mitsubishi Ecodan PUZ 1ph monobloc unit 14kw,Mitsubishi,4545.78,"Suitable for matching with pre-plumbed cylinders, if desired, the advanced and reliable Mitsubishi Ecodan PUZ 14kW single-phase monobloc unit helps engineers to create an efficient alternative to traditional carbon-based heating systems.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ 1ph monobloc unit 14kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/06/613804_613806_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
31,PT21883,Panasonic Aquarea WH-MXC16H9E8 16kW R32 Aquarea Tcap Mono JGEN ASHP,Panasonic,7488.0,"Harnessing the brand's own cutting edge T-Cap technology, the Panasonic Aquarea 16kW monobloc air source heat pump maintains heating capacities, even at the lowest temperatures, working right down to -20°C. Supplying hot water at up to 60°C, this pump incorporates cooling, heating and domestic hot water storage, all in a single convenient outdoor unit. Aquarea pumps are ideal for both refurbishment and new installations, providing high performance in any situation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MXC16H9E8 16kW R32 Aquarea Tcap Mono JGEN ASHP,,"heat pump with built in Quick release clips,T-cap technology, Pump, Back Up Heater, Expansion Vessel, Pressure Relief Valve, Y Strainer, Refrigerant type",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/83/T21883_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_T-CAP_Monobloc_DS.pdf,,,,,,,,,,
32,P119675,Vaillant aroTHERM plus 12kW +  hydraulic module 0010037210 air source heat pump with hydraulic module 12kW,Vaillant,6769.4,"Designed for cost-effective performance, the Vaillant aroTHERM Plus heat pump is equally suitable for radiators as for underfloor heating. Offering flow temperatures of up to 75°C, this 12kW output pump, supplied with hydraulic module, does away with the need for direct electric immersion, protects from legionella and, thanks to its low running noise, it's suitable for installation in built-up terraced housing estates. Extremely energy efficient, the aroTHERM Plus is suitable for installation alongside photovoltaic systems or integrated into smart power grids for the increased savings that come with variable electricity tariffs.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus 12kW +  hydraulic module 0010037210 air source heat pump with hydraulic module 12kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/75/119675_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/aroTHERM_Plus_AW 1.1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Vaillant_aroThermPlus_Heat-P_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ch/em/Vaillant_aroThermPlus_Heat-P_Schem.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroThermPlus_Heat-P_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTHERM_Plus_Manual.pdf,
33,PT21878,Panasonic Aquarea WH-MDC09J3E5 mono-bloc air source heat pump R32 9kW,Panasonic,3693.3,"Supplying hot water at 55°C, the high performance Panasonic Aquarea WH-MDC09J3E5 9kW air source heat pump is designed to deliver in the UK's always varied climate, working at outdoor temperatures right down to -20°C with constant full capacity at external temperatures down to -7°C. Designed for outdoor installation, this single unit supplies water for cooling, heating and for domestic hot water storage and can be used in new builds or for renovation projects in any property. Ideal for homes with low temperature radiators or underfloor heating, the high performance Aquarea heat pump is suitable for use as a standalone unit or for use alongside an existing gas or oil heating system. Smart grid-ready for compatibility with PV or solar, and suitable for connection to a thermostat for complete control, the Aquarea heat pump provides homeowners with a variety of solutions for improved efficiency.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MDC09J3E5 mono-bloc air source heat pump R32 9kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/78/T21878_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_J-Gen_Monobloc_DS.pdf,,,,,,,,,,
34,P635953,Grant Aerona inverter driver air source heat pump - R32 17kW,Grant,4473.41,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 17kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Grant Aerona inverter driver air source heat pump - R32 17kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/53/635953_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",118 kg,N,61.6 dB(),1.7 kW,403,Floor,DC twin rotary - inverter driven,HPID17R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,
35,P115375,Ideal Heating Logic Air AH750667 Logic Air Monobloc Heat Pump 10kW,Ideal Heating,3872.88,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750667 10kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Ideal Heating Logic Air AH750667 Logic Air Monobloc Heat Pump 10kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/75/115375_wm.jpg,Logic Air,230,2 years,120kg,N,55,10 kW,558,Floor Standing,Twin-Rotary,AH750667,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,
36,P119665,Vaillant aroTHERM plus 12kW & Appliance Interface 0010037215 air source heat pump 12kW,Vaillant,5606.6,"Designed for cost-effective performance, the Vaillant aroTHERM Plus heat pump is equally suitable for radiators as for underfloor heating. Offering flow temperatures of up to 75°C, this 12kW output pump does away with the need for direct electric immersion, protects from legionella and, thanks to its low running noise, it's suitable for installation in built-up terraced housing estates. Extremely energy efficient, the aroTHERM Plus is suitable for installation alongside photovoltaic systems or integrated into smart power grids for the increased savings that come with variable electricity tariffs.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus 12kW & Appliance Interface 0010037215 air source heat pump 12kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/65/119665_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/aroTHERM_Plus_AW 1.1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Vaillant_aroThermPlus_Heat-P_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ch/em/Vaillant_aroThermPlus_Heat-P_Schem.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroThermPlus_Heat-P_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTHERM_Plus_Manual.pdf,
37,P614146,Daikin EDLA09D3V3 R32 Monobloc Lt 9KW 1P,Daikin,4350.72,"Ideal for installation in homes with minimal space, the low temperature Daikin Altherma 9kW one-phase monobloc air-to-water heat pump offers highly efficient operation and compatibility with domestic hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Daikin EDLA09D3V3 R32 Monobloc Lt 9KW 1P,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/46/614146_wm.jpg,,230,,1.49,N,62.0,230 kW,460,Floor mounted,Hermetically sealed swing compressor,EDLA09D3V3,low temperature monobloc,N,For floor-mounted installation,Monobloc design contains all hydraulic parts,Optional W-LAN connection,Suitable for use with domestic hot water,Highly energy efficient,Separate back-up heater kit available,,,,,,,,,,,,,R-32
38,P694130,Daikin Altherma EDLA06EV3 Low Temperature Small Monobloc - Heating Only 6KW,Daikin,3699.14,"Suitable for heating only use, the Daikin Altherma 6kW low temperature air-to-water monobloc has a compact, single package design that is ideal for installation in properties where indoor space is limited. In addition to supplying heat, the Altherma can be adapted to provide domestic hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Daikin Altherma EDLA06EV3 Low Temperature Small Monobloc - Heating Only 6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/30/694130_wm.jpg,Altherma,230 +/-10%,,88.0,N,600,6 kW,362,Floor,Hermetically sealed swing compressor,EDLA06EV3,Low Temperature Small Monobloc,N,Monobloc all-in-one concept including hydraulic parts,WLAN cartridge included,Can be combined with domestic hot water,Energy efficient,Heat only based on air-to-water heat pump technology,Separate back-up heater kit,,,,,,,,,,,,,
39,P143370,Samsung AE120RXYDEG/EU 1 phase mono air source heat pump 12 - 10.43kW R32,Samsung,2688.25,"Extremely energy efficient, the Samsung AE120RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE120RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung AE120RXYDEG/EU 1 phase mono air source heat pump 12 - 10.43kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/72/143370_143372_wm.jpg,,220 - 240,7 Year,110kg,N,50 dB(A),12 kW,330,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSM-G600012-1,Air to Air Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,
40,P490591,Bosch CS AW 5800i Heat Pump 4kW Outdoor Unit,Bosch,3419.0,"Operating on environmentally sound R290 refrigerant, the Bosch Compress AW 5800i 4kW monobloc outdoor heat pump unit holds an ErP A+++ rating for heating at 35°C and an A rating for hot water delivery, helping homeowners to save on costs while reducing their carbon footprints. Suitable for installation in new build and renovation projects, this quiet heat pump unit is simple to install as well as being easy to use and effortless to maintain.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Bosch CS AW 5800i Heat Pump 4kW Outdoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/91/490591_wm.jpg,CS AW,230,257,143Kg,N,31,5 kW,540,Free standing,Rotary,8738213464,Air to Water Heat Pump,N,High flow for hot water comfort,Futureproof design,Uses environmentally friendly R290 refrigerant,Rotary-type compressor,Freestanding installation for flexibility,"2, 5 and 7 year warranties available",,,,,,,,,,,,,
41,PT21877,Panasonic Aquarea WH-MDC07J3E5 mono-bloc air source heat pump R32 7kW,Panasonic,3346.2,"Supplying hot water at 55°C, the high performance Panasonic Aquarea WH-MDC07J3E5 7kW air source heat pump is designed to deliver in the UK's always varied climate, working at outdoor temperatures right down to -20°C with constant full capacity at external temperatures down to -7°C. Designed for outdoor installation, this single unit supplies water for cooling, heating and for domestic hot water storage and can be used in new builds or for renovation projects in any property. Ideal for homes with low temperature radiators or underfloor heating, the high performance Aquarea heat pump is suitable for use as a standalone unit or for use alongside an existing gas or oil heating system. Smart grid-ready for compatibility with PV or solar, and suitable for connection to a thermostat for complete control, the Aquarea heat pump provides homeowners with a variety of solutions for improved efficiency.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MDC07J3E5 mono-bloc air source heat pump R32 7kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/77/T21877_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_J-Gen_Monobloc_DS.pdf,,,,,,,,,,
42,P635950,Grant Aerona inverter driver air source heat pump - R32 6kW,Grant,2132.27,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 6kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Grant Aerona inverter driver air source heat pump - R32 6kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/50/635950_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",.51 Kg,N,65.2 dB(A),6 kW,379.4,Floor or Wall,DC twin rotary - inverter driven,HPID6R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,
43,PT21882,Panasonic Aquarea WH-MXC12J6E5 mono-bloc air source heat pump R32 12kW,Panasonic,5113.88,"Easy to install thanks to its simple plug-and-play fitting, the Panasonic Aquarea R32 12kW monobloc air source heat pump employs patented Total Capacity, or TCAP technology to maintain a reliable heating capacity even at low temperatures. This innovative features means that the pump is able to keep to its required output capacity right down to an outdoor temperature of -20°C. Supplying hot water at 60°C, the Aquarea is suitable for both new and retrofit installations, providing water for cooling and heating purposes as well as for DHW storage.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MXC12J6E5 mono-bloc air source heat pump R32 12kW,,"heat pump with built in Quick release clips,T-cap technology, Pump, Back Up Heater, Expansion Vessel, Pressure Relief Valve, Y Strainer, Refrigerant type",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/82/T21882_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_T-CAP_Monobloc_DS.pdf,,,,,,,,,,
44,PT21881,Panasonic Aquarea WH-MXC09J3E5 mono-bloc air source heat pump R32 9kW,Panasonic,4089.15,"Harnessing the brand's own patented Total Capacity, or T-Cap tech, the Panasonic Aquarea WH-MXC09J3E5 monobloc 5kW air source heat pump delivers on a steady heating capacity, even when temperatures dip as low as -20°C outside. Ideal for new installs and refurb projects, this pump can deliver hot water at 60°C for always comfortable living. Supplying water for cooling, heating and for domestic hot water storage, the Aquarea heat pump provides efficiency, performance and convenience.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Panasonic Aquarea WH-MXC09J3E5 mono-bloc air source heat pump R32 9kW,,"heat pump with built in Quick release clips,T-cap technology, Pump, Back Up Heater, Expansion Vessel, Pressure Relief Valve, Y Strainer, Refrigerant type",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/81/T21881_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/c_/ds/Panasonic_T-CAP_Monobloc_DS.pdf,,,,,,,,,,
