,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Diameter,Range,Weight,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Length (M),Pack Quantity,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Attachment 6,Attachment 7
25,PP31024,M OF GF ABS CL E PIPE 169018088 6M     3,Georg Fischer,111.09,"A real all-rounder, this Georg Fischer 3"" pipe is made of 8.3mm grey ABS, offering versatility and durability in a wide range of situations. This pipe is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018088 6M     3",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/NW-P31024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_ABS_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PP31021,M OF GF ABS CL E PIPE 169018085 6M 1.1/2,Georg Fischer,44.14,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018085 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1 1/2,,,N,"WRAS, DWI",male,ABS,1 1/2 in,4.5,Spigot,Spigot,169018085,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
27,PP13427,Georg Fischer TUBE PROGEF PP (NP10) pipe 5m x 50mm,Georg Fischer,8.96,"Light grey in colour, this 5M length of Georg Fischer TUBE PROGEF 50mm diameter pipe is made of PP-H homopolymer with a thickness of 4.6mm. It is fitted with plain press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TUBE PROGEF PP (NP10) pipe 5m x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/27/NW-P13427_wm.jpg,,,,,Light Grey,50mm,TUBE PROGEF,0.53800,N,DIBT Z-40.23-4,,PP-H - homopolymer,50 mm (Dia),46,Press fit,Plain End,167480715,,N,High impact strength,Good surface finish,Good leach-out characteristics,High-quality system solution,Favourable price/performance ratio,Complies with DIBT Z-40.23-4,,,,,,,,,,
28,PP57921,"Georg Fischer TP ABS pipe (class E) 6mtr x 3/4""",Georg Fischer,29.1,"Made of ABS, this Georg Fischer TP 3/4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/21/NW-P57921_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PP90383,GFP 90X63MM TAP SADDLE SDR11,Georg Fischer,34.91,"This Georg Fischer ELGEF Plus SDR11 90mm tapping saddle has a 360° rotatable outlet allowing for infinitely variable positioning and freedom of movement during assembly. This tapping saddle is suitable for use in distribution lines, house connections and in water and gas distribution applications.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> GFP 90X63MM TAP SADDLE SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/84/NW-P90383_P90384_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_D280_400mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_ELGEF_Plus_Saddle_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_D63_160mm_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_D180_250mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_Mono_D40_D50mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GF_ELGEF_Plus_Mono_D63_D160mm_Instal.pdf
30,PP57935,"Georg Fischer TP abs pipe - class c - 6mtr x 4""",Georg Fischer,241.94,"Made of ABS, this Georg Fischer TP 4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/35/NW-P57931_P57935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PP55433,"Durapipe UPVC PRE class E pipe 3"" x 6mtr (Per Metre)",Durapipe,29.06,"This Durapipe 3"" pipe, supplied in a 6M length is made of lightweight unplasticised polyvinyl chloride (PVC-U), ideal for use in pressurised irrigation systems and drinking water, in chemical installations and for water treatment.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe UPVC PRE class E pipe 3"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-P55431_P55434_wm.jpg,,,,,Black,3,AVF UPVC,1.39842,N,WRAS,,Unplasticized Polyvinyl Chloride (PVC-U),3,62,Spigot,Spigot,RPRE0900,Upvc Pipe,N,Good chemical resistance,No hot works permit required,Lightweight design,50 year design life,WRAS regulation 31 approved,,,Per Metre,,,,,,,,
32,PP13425,Georg Fischer PROGEF PP (NP10) pipe 5mtr x 32mm (Per Metre),Georg Fischer,4.25,"Suitable for a wide range of uses, this Georg Fischer PROGEF 32mm pipe is made of 2.9mm polypropylene homopolymer (PP-H). Highly reliable, this durable pipe is supplied in 5M lengths.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer PROGEF PP (NP10) pipe 5mtr x 32mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/25/NW-P13423_P13425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_PROGEF_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PP31032,M OF GF ABS CL T PIPE 169018108 6M     1,Georg Fischer,30.68,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018108 6M     1",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1,,,N,"WRAS, DWI",male,ABS,1 in,4.3,Spigot,Spigot,169018108,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
34,PP57925,"Georg Fischer TP ABS pipe (class E) 6mtr x 2""",Georg Fischer,94.62,"Made of ABS, this Georg Fischer TP 2"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PP57922,"Georg Fischer TP ABS pipe (class E) 6mtr x 1"" (Per Metre)",Georg Fischer,38.36,"Made of ABS, this Georg Fischer TP 1"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PP57923,"Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/4""",Georg Fischer,57.3,"Made of ABS, this Georg Fischer TP 1 1/4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PP31025,M OF GF ABS CL E PIPE 169018089 6M     4,Georg Fischer,178.88,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018089 6M     4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,4,,,N,"WRAS, DWI",male,ABS,4 in,10.6,Spigot,Spigot,169018089,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
38,PP57934,"Georg Fischer TP abs pipe - class c - 6mtr x 3""",Georg Fischer,147.11,"Made of ABS, this Georg Fischer TP 3"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/35/NW-P57931_P57935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PP56431,"Durapipe Astore abs pipe - class e - 2"" x 6mtr (Per Metre)",Durapipe,27.3,"Supplied in 6M lengths, this Durapipe Astore 2"" pipe is suitable for use in pressurised irrigation systems, drinking water applications, chemical installations and for water treatment. Made of 3.6mm thick ABS, this lightweight pipe offers simple installation, saving on time and costs when compared to traditional pipe materials.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe Astore abs pipe - class e - 2"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/31/NW-P56430_P56431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PP56416,"Durapipe Astore ABS pipe class C 6"" x 6mtr (Per Metre)",Durapipe,138.2,"Supplied in 6M lengths, this Durapipe Astore 6"" pipe is suitable for use in pressurised irrigation systems, drinking water applications, chemical installations and for water treatment. Made of 9.9mm thick ABS, this lightweight pipe offers simple installation, saving on time and costs when compared to traditional pipe materials.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe Astore ABS pipe class C 6"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/16/NW-P56416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PP96266,"TP RV0.BPF UPVC barrel nipple BS/BSP 2""",TP,10.61,"This TP 2 x 2"" barrel nipple is made of PVC-U and includes plain end connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> TP RV0.BPF UPVC barrel nipple BS/BSP 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/NW-P96261_P96266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PP16001,M OF VULCATHENE PIPE 4M              51,Durapipe,27.98,"Purpose-built for chemical resistance, this Durapipe Vulcathene 51mm polypropylene pipe is part of a plumbing system specified for use in laboratories in educational facilities, hospitals and research facilities. Supplied in a 4M length, Vulcathene offers two simple jointing methods, with a mechanical option for demountable joints and Enfusion electrofusion welded joints, offering versatility for the installers of these chemical waste systems.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF VULCATHENE PIPE 4M              51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/03/NW-P16000_P16003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PP31019,M OF GF ABS CL E PIPE 169018083 6M     1,Georg Fischer,22.48,"A real all-rounder, this Georg Fischer 1"" pipe is made of 3.1mm grey ABS, offering versatility and durability in a wide range of situations. This pipe is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018083 6M     1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/19/NW-P31019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_ABS_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PP55431,"Durapipe Astore PRE class E pipe 2"" 6mtr",Durapipe,13.59,"This Durapipe 2"" pipe, supplied in a 6M length is made of lightweight unplasticised polyvinyl chloride (PVC-U), ideal for use in pressurised irrigation systems and drinking water, in chemical installations and for water treatment.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe Astore PRE class E pipe 2"" 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-P55431_P55434_wm.jpg,,,,,Black,2,Astore,1.39842,N,WRAS,N/A,Unplasticized Polyvinyl Chloride (PVC-U),2,42,Solvent,n/a,RPRE0630,Upvc Pipe,N,Good chemical resistance,No hot works permit required,Lightweight design,50 year design life,WRAS regulation 31 approved,,,,,,,,,,,
45,PP56427,"Durapipe abs pipe - class e - 3/4"" x 6m (Per Metre)",Durapipe,8.44,"Ideal for use in pressurised irrigation systems, this Durapipe 3/4"" ABS Class E pipe is also suitable for drinking water, water treatment and chemical installations. It is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe abs pipe - class e - 3/4"" x 6m (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS pipe image_wm.jpg,,,,,Silver Grey,3/4,,1.39842,N,WRAS,male,ABS (Acrylonitrile Butadiene Styrene),3/4,3.5,Solvent Weld,Solvent Weld,SPAE025A,,N,Ductile at low temperatures,No need for hot works permit,Lightweight design,RAL 7001 finish,WRAS approved,50 year design life,,Per Metre,,,,,,,,
46,PP96522,"Georg Fischer TP upvc pipe (class e) 6mtr x 3/4""",Georg Fischer,9.21,"This Georg Fischer TP 3/4"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PP16002,M OF VULCATHENE PIPE 4M              76,Durapipe,72.7,"Purpose-built for chemical resistance, this Durapipe Vulcathene 76mm polypropylene pipe is part of a plumbing system specified for use in laboratories in educational facilities, hospitals and research facilities. Supplied in a 4M length, Vulcathene offers two simple jointing methods, with a mechanical option for demountable joints and Enfusion electrofusion welded joints, offering versatility for the installers of these chemical waste systems.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF VULCATHENE PIPE 4M              76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/03/NW-P16000_P16003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PP56426,"Durapipe abs pipe - class e - 1/2"" x 6m (Per Metre)",Durapipe,5.48,"Ideal for use in pressurised irrigation systems, this Durapipe 1/2"" ABS Class E pipe is also suitable for drinking water, water treatment and chemical installations. It is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe abs pipe - class e - 1/2"" x 6m (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS pipe image_wm.jpg,,,,,Silver Grey,1/2,,1.39842,N,WRAS,male,ABS (Acrylonitrile Butadiene Styrene),12,3.5,Solvent Weld,Solvent Weld,SPAE020A,,N,Ductile at low temperatures,No need for hot works permit,Lightweight design,RAL 7001 finish,WRAS approved,50 year design life,,Per Metre,,,,,,,,
49,PP96523,"Georg Fischer TP upvc pipe (class e) 6mtr x 1""",Georg Fischer,11.53,"This Georg Fischer TP 1"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PP12004,Durapipe HTA CPVC pipe (PN25) 3mtr x 25mm,Durapipe,7.29,"Quick and easy to install, this Durapipe HTA 25mm pipe, is made of chlorinated polyvinyl chloride (PVC-C), a suitable choice for domestic hot and cold water services. A cost-effective copper alternative, this high quality 2.8mm thick pipe, supplied in a 3M length, is resistant to limescale and corrosion, ensuring an always smooth bore and optimised flow.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe HTA CPVC pipe (PN25) 3mtr x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/06/NW-P12003_P12006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Girpi_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Rerfix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_HTA_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe-HTA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PP10020,Durapipe SuperFlo ABS pipe 10 bar 20mm (5 metre),Durapipe,4.35,This 5M length of Durapipe SuperFlo 20mm grey pipe is made of 1.5mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 20mm (5 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/21/NW-P10020_P10021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P113301,Glow-worm PP extension pipe 0.5mtr DN60/100,Glow-worm,42.0,"Designed to extend a flue by up to 0.5M, this Glow-worm DN60/100 extension pipe, made of white polypropylene (PP), offers compatibility with high efficiency condensing boilers.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Glow-worm PP extension pipe 0.5mtr DN60/100",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-113301_113302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
