,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 5,Feature 6,Warranty,Attachment 1,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
27,P697519,Fujitsu AUXG22KRLB R32 Indoor Circular Flow Cassette Unit 6KW,Fujitsu,485.24,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG22KRLB R32 Indoor Circular Flow Cassette Unit 6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
28,P676305,Fujitsu High Static Pressure Duct ARYG90LHTA R410A High Static Duct Indoor Unit,Fujitsu,1690.02,"Employing all DC inverter technology, the Fujitsu Big Duct indoor unit's high static duct system offers high levels of efficiency and performance along with simplified installation. Compact and lightweight, the indoor chassis is designed to reduce the amount of turbulent airflow, meaning quieter operation. This smart air conditioning unit has cooling outputs of up to 22kW and heating outputs up to 27kW.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu High Static Pressure Duct ARYG90LHTA R410A High Static Duct Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/05/NW-676305_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_Big_Duct_Technical.pdf,
29,P697508,Fujitsu AUXG09KVLA R32 Compact Cassette Indoor Unit 2.5KW,Fujitsu,300.12,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG09KVLA R32 Compact Cassette Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/08/NW-697508_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
30,P697511,Fujitsu AUXG14KVLA R32 Compact Cassette Indoor Unit 4.2KW,Fujitsu,373.92,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG14KVLA R32 Compact Cassette Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
31,P610088,Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,Fujitsu,278.6,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 4.2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/88/610088_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH14KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
32,P700064,Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,Fujitsu,155.6,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/64/700064_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH07KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
33,P686692,Fujitsu ABYG36KRTA Standard Ceiling Indoor Unit 9.5KW,Fujitsu,808.11,"The environmentally friendly Fujitsu ceiling-mounted indoor split unit has an energy saving design that ensures comfort and efficiency at once. Simple to install, this A+ rated air conditioning unit employs efficient R-32 refrigerant.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ABYG36KRTA Standard Ceiling Indoor Unit 9.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/93/NW-686692_686693_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
34,P610084,Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,Fujitsu,217.1,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2.5kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/84/610084_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH09KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
35,P697512,Fujitsu AUXG18KVLA R32 Compact Cassette Indoor Unit 5.2KW,Fujitsu,393.6,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG18KVLA R32 Compact Cassette Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
36,P686684,Fujitsu Multi Split ARXG12KSLAP R32 Bulkhead Duct Indoor Unit 3.5KW,Fujitsu,515.37,"Helping installers to create the optimum system for any specification, the Fujitsu Multi Split ARXG12KSLAP R32 3.5kW bulkhead duct indoor air conditioning unit is suitable for operation alongside several other air conditioners all controlled by a single outdoor unit. It offers suitability of use in the home or in an office or commercial premises for additional flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Multi Split ARXG12KSLAP R32 Bulkhead Duct Indoor Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/-5/686682-5_wm.jpg,1.55 kg,1phase powered from outdoor,R-32,N,450,.3/8,1/4,ARXG12KSLAP,Duct,N,Single phase,230V 50Hz version,Class 3.5,With standard drain pump,Multi Split,,4.0,31,,3.5,650,360,23,,Compatible with R32 refrigerant,,,,,,,,,
37,P697523,Fujitsu AUXG45KRLB R32 Indoor Circular Flow Cassette Unit 12.5KW,Fujitsu,640.83,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG45KRLB R32 Indoor Circular Flow Cassette Unit 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,
38,P697525,Fujitsu Slim Duct ARXG09KLLAP R32 Indoor Slim Duct Unit 2.5KW,Fujitsu,377.0,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Slim Duct ARXG09KLLAP R32 Indoor Slim Duct Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
39,P697518,Fujitsu AUXG18KRLB R32 Indoor Circular Flow Cassette Unit 5KW,Fujitsu,442.19,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG18KRLB R32 Indoor Circular Flow Cassette Unit 5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
40,P610089,Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,Fujitsu,656.82,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 8kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH30KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
41,P616502,Fujitsu AGYG14KVCA Floor Standing Indoor Unit 4.2KW,Fujitsu,533.21,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AGYG14KVCA Floor Standing Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/02/NW-616502_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
42,P610087,Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,Fujitsu,234.32,"Neatly designed and extremely quiet, the Fujitsu ASEH-KMCG 3.6kW indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/610087_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH12KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
43,P610082,Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,Fujitsu,191.88,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/82/610082_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH07KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
44,P697510,Fujitsu AUXG12KVLA R32 Compact Cassette Indoor Unit 3.4KW,Fujitsu,320.42,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG12KVLA R32 Compact Cassette Indoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
45,P697521,Fujitsu AUXG30KRLB R32 Indoor Circular Flow Cassette Unit 8.5KW,Fujitsu,539.97,"Highly efficient, this Fujitsu indoor cassette air conditioning unit incorporates heat pump inverter technology to minimise electricity usage.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG30KRLB R32 Indoor Circular Flow Cassette Unit 8.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/21/NW-697521_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,
46,P697514,Fujitsu AUXG24KVLA R32 Compact Cassette Indoor Unit 6.8KW,Fujitsu,473.55,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG24KVLA R32 Compact Cassette Indoor Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
47,P602323,Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,Fujitsu,278.6,"A compact outdoor unit, the Fujitsu Standard Multi-split 4.2kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/23/602323_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG14KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,,,,,,,,,,For wall mounting,Low ambient operation,3 Years,,3 year warranty,,,,,
48,P700010,Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,Fujitsu,191.88,"A compact outdoor unit, the Fujitsu Standard Multi-split 2.0kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/700010_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG07KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,,,,,,,,,,For wall mounting,Low ambient operation,,,3 year warranty,,,,,
49,P697524,Fujitsu AUXG54KRLB R32 Indoor Circular Flow Cassette Unit 13.3KW,Fujitsu,939.72,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG54KRLB R32 Indoor Circular Flow Cassette Unit 13.3KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,
50,P616498,Fujitsu AGYG09KVCA Floor Standing Indoor Unit 2.6KW,Fujitsu,403.44,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AGYG09KVCA Floor Standing Indoor Unit 2.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/98/NW-616498_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
51,P686709,Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,Fujitsu,556.58,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/09/686709_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG24KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Standard,,,,,,,,,,,,3 Years (Standard),,,,,,,
52,P697520,Fujitsu AUXG24KRLB R32 Indoor Circular Flow Cassette Unit 6.8KW,Fujitsu,533.21,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG24KRLB R32 Indoor Circular Flow Cassette Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
53,P610080,Fujitsu ASEG18KMTE 5KW Standard Wall Indoor,Fujitsu,378.84,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 5kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEG18KMTE 5KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/610080_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG18KMTE,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
54,P697522,Fujitsu AUXG36KRLB R32 Indoor Circular Flow Cassette Unit 10.0KW,Fujitsu,544.28,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG36KRLB R32 Indoor Circular Flow Cassette Unit 10.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,
