,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection,Connection Size,Weight,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Attachment 3,Attachment 4,Feature 7,Feature 8,Feature 9,Pack Quantity
30,P147033,Viessmann Vitodens vicare thermostat (modulating) zk05991,Viessmann,117.96,"Allowing for complete control of heating and hot water using a smartphone or tablet, the Viessmann ViCare modulating wireless thermostat connects directly to the ViCare app. Offering compatibility with Vitodens 100-W and 111-W boilers with built-in WiFi capability, this thermostat does away with the need for third party controls.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Viessmann Vitodens vicare thermostat (modulating) zk05991,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/33/NW-147033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/ViCare_Climate_Sensor_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P339388,Danfoss wiring box assembly,Danfoss,15.01,"Suitable for most popular heating or hot water systems, this Danfoss WC4B 20 way wiring centre/junction box with 230VAC ±15% voltage rating and 10A current rating provides a tidy, organised solution for wiring, cable links and terminal numbers.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Danfoss wiring box assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/88/NW-339388_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P120085,Vaillant sensoROOM pure 0010038663 VRT 50/2 sensoroom pure,Vaillant,57.97,"Also known as the sensoROOM Pure, the Vaillant VRT 50/2 digital thermostat offers easy operation using a standard dial interface and has a smart modern design to suit most decorative schemes at home or in the office. Harnessing the power of Vaillant's eBUS communication protocol, this wired room thermostat can provide all the advantages of enhanced load compensation for modulation when installed on one of the brand's own boilers.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoROOM pure 0010038663 VRT 50/2 sensoroom pure,,"Installation accessories, operating and installation instructions.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/85/NW-120085_wm.jpg,,,sensoROOM pure,N,97 x 97 x 31,0010038663,Heating Control,N,DomesticCommercial,For domestic or commercial use,ErP class V,ErP contribution 3,With load compensation,Activates ecoTEC's inbuilt timer,Fully modulating,,,,,,,,,,power supply eBUS,For single heating zone,Can be smartphone controlled using myVaillant Connect,
33,P323190,Oh Products duct connector set,Oh Products,2.19,An Oh Products duct connector set.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Oh Products duct connector set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/90/NW-323190_wm.jpg,,,,N,x  x,EED2,Duct Connector Set,N,,,,,,,,,,,,,,,,,,,,
34,P365361,Fantini Banico solenoid coil 230V 14W,Fantini Banico,16.43,This Fantini Banico 230V solenoid coil has a 14W power supply.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Fantini Banico solenoid coil 230V 14W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/NW-365361_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Banico_coil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P448047,Regin tamperproof radiator valve top,Regin,10.29,"Easy to fit and completely tamperproof, this Regin radiator valve top fits valves up to 15mm with no special tools required.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Regin tamperproof radiator valve top,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/47/NW-448047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P310125,Honeywell Home Versaguard hw home tg511a 1018 thermostat guard,Honeywell Home,38.93,"Protecting against damage, tampering and unauthorised adjustment, the Versaguard universal thermostat guard covers wall thermostats including T822, T834, T8034, T841, T874 with Q674 and WR1F46. It is compatible with TH3000 Series, TH4000 series, TH5000 series, TH6000 series, TH8000 series and others thermostats of a similar size.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home Versaguard hw home tg511a 1018 thermostat guard,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/25/NW-310125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P303850,Siemens air pressure switch 20-300pa,Siemens,38.99,"Designed for use with air and non-aggressive gases, this Siemens QBM81 250 VAC differential pressure switch operates via the deflection of a spring-loaded diaphragm caused by differential pressure between connections. This specially created diaphragm ensures long-term switching point stability. Individual scales are engraved in for precise adjustment.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Siemens air pressure switch 20-300pa,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/50/NW-303850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QBM81_DPS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Siemens_QBM81_DPS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_QBM81_DPS_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_QBM81_DPS_EU-Declaration.pdf,,,,
38,PN20712,JET Range 73 push on pocket 100mm Brass,JET Range,24.1,A JET Range 100mm spare brass push fit pocket for 100mm dial thermometers.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range 73 push on pocket 100mm Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/12/NW-N20712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P120083,Vaillant sensoNET VR 921 wall hung unit,Vaillant,219.59,"Designed for wall mounting, the Vaillant sensoNET VR 921 unit provides remote control of a heating system for both comfort and reduced waste, saving on energy and costs.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoNET VR 921 wall hung unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/83/120083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valliant_VR921_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P250815,"Myson Fullflow FF151/2LAC lockshield angle 15mm 1/2"" Chrome (10)",Myson,21.35,"Designed specifically for commercial installations, the Myson Fullflow FF151/2LAC 15mm 1/2"" angled lockshield valve incorporates a compression fitting, a rise-free spindle, double EPDM O-ring gland seals and an additional O-ring back seating arrangement. This ensures that the valve can be serviced with no need for a full system drain down. Made of robust brass and finished in a polished chrome, this valve is part of the extensive Fullflow range.","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Myson Fullflow FF151/2LAC lockshield angle 15mm 1/2"" Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/250815_wm.jpg,,,Fullflow,N,,FF151/2LAC,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,Polished chrome finish,Produced under an ISO 9001:2008 quality management system,Compression,15mm & 1/2,,BSP,Brass,15mm & 1/2,120 deg C,,,Meets BS 2767-10,,,10
41,PN20915,"JET Range RSYPH brass ring syphon 3/8""",JET Range,181.04,"Jet syphons can be used to condense vapour into liquid before it damages the gauge, to cool the gauge when working on a process involving high temperatures and also, they can be used to change the direction of pipework to a gauge (u-syphon at a right angle).","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range RSYPH brass ring syphon 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/15/NW-N20915_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P312680,Belimo valve link kit for esbe to sma valve,Belimo,92.4,This Belimo linkage kit provides the ability to use new generation SMA actuators on ESBE rotary shoe valves.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Belimo valve link kit for esbe to sma valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/80/312680_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/312680_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PN20905,"JET Range USYPH brass u-syphon 3/8""",JET Range,177.53,"Jet syphons can be used to condense vapour into liquid before it damages the gauge, to cool the gauge when working on a process involving high temperatures and also, they can be used to change the direction of pipework to a gauge (u-syphon at a right angle).","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range USYPH brass u-syphon 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/05/NW-N20905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PC28037,Drayton Digistat RF90T thermostat spare,Drayton,52.54,The Drayton Digistat RF90T spare thermostat offers the Digistat features you're used to for ease of programming whether connected via Bluetooth or programming using the thermostat unit.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Drayton Digistat RF90T thermostat spare,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/34/NW-C28031_C28034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Drayton_Digistat_Thermost_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P323123,Watts Industries Electro Controls air/oil/steam pressure switch,Watts Industries,64.37,"This Watts Industries Electro Controls EP 230 VAC liquid pressure switch monitors static or positive pressure in water, air, oil, diesel or steam and switches in the event of high or low pressure conditions.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls air/oil/steam pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/23/NW-323123_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PN20902,"JET Range USYPH mild steel u-syphon 3/8""",JET Range,32.18,"Jet syphons can be used to condense vapour into liquid before it damages the gauge, to cool the gauge when working on a process involving high temperatures and also, they can be used to change the direction of pipework to a gauge (u-syphon at a right angle).","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range USYPH mild steel u-syphon 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/02/NW-N20901_N20902_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PN20912,"JET Range RSYPH mild steel ring syphon 3/8""",JET Range,49.96,"Jet syphons can be used to condense vapour into liquid before it damages the gauge, to cool the gauge when working on a process involving high temperatures and also, they can be used to change the direction of pipework to a gauge (u-syphon at a right angle).","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range RSYPH mild steel ring syphon 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/12/NW-N20908_N20912_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P323131,Watts Industries Electro Controls water difference pressure switch 10/300mb,Watts Industries,230.22,"This Watts Industries Electro Controls EP 230 VAC liquid differential pressure switch monitors the flow of liquids across pumps, boilers, chillers and valves. It can also monitor dirty filter conditions and is suitable for use in water, air, oil, diesel and up to 30% glycol.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls water difference pressure switch 10/300mb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/31/NW-323131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P201732,Danfoss FH-WC WCB 10 24V Danfoss 044WCB-02C-24 hard-wired underfloor heating 10 zone control box 24V,Danfoss,165.47,"With separate boiler and pump interlocks, this Danfoss 24V hard-wired underfloor heating control box can be used to connect up to ten actuators to room thermostats, creating ten individual heating zones.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Danfoss FH-WC WCB 10 24V Danfoss 044WCB-02C-24 hard-wired underfloor heating 10 zone control box 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/32/NW-201732_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_GB0101_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_GB0101_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P120070,Vaillant sensoCOMFORT VR 92 remote control,Vaillant,102.97,"Effortless to install and even easier to use, the Vaillant sensoCOMFORT VR 92 remote control operates using Vaillant's proprietary eBUS protocol. Because of this, all components in a system communicate for optimised system performance. This control is recommended for use in multi-zone gas-fuelled systems or hybrid/renewable installations.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoCOMFORT VR 92 remote control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/71/NW-120070_120071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Sensocomfort_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P307110,ESBE rotary valve gland repair kit 20-65mm,ESBE,48.47,"This Esbe number 1 jointing set is suitable for G119-138, G151, F120-125, F132-140 and F150-165 mixing valves.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> ESBE rotary valve gland repair kit 20-65mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/10/NW-307110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Esbe_Spare_Parts_Guide_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P324230,Watts Industries Electro Controls pressure switch air 0.2/3mbar,Watts Industries,34.69,"This Watts Industries Electro Controls EDA 230 VAC air differential pressure switch monitors air flow, dirty filters, flue draughts, frost on coils and level and positive, negative, vacuum and differential pressure. It is suitable for non-aggressive and non-combustible clean air and gases.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls pressure switch air 0.2/3mbar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/30/NW-324230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P605282,Heatmiser UH8 wiring centre (8 zone) 230V,Heatmiser,103.5,"Compatible with any 230V room thermostat and with most boilers, the Heatmiser UH8 8-zone 230V wiring centre is particularly suitable for use with the brand's own TM4 4-channel 230V time clock and DS-SB 230V set back thermostat. The UH8 allows for complete control of up to eight zones via two heating time channels, with two additional channels included for DHW control.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Heatmiser UH8 wiring centre (8 zone) 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/82/605282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/UH8-Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P120077,Vaillant sensoCOMFORT VR 92F remote control,Vaillant,142.55,"Effortless to install and even easier to use, the Vaillant sensoCOMFORT VR 92F remote control operates using Vaillant's proprietary eBUS protocol. Because of this, all components in a system communicate for optimised system performance. This control is recommended for use in multi-zone gas-fuelled systems or hybrid/renewable installations.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoCOMFORT VR 92F remote control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/77/NW-120077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Sensocomfort_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P303154,Siemens adaptor,Siemens,22.68,"This Siemens 24V AC retrofit adapter is compatible with 2W, 3W and 4W valves.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Siemens adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/54/NW-303154_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_AL100_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_AL100_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P311514,Belimo auxillary switch SDPT,Belimo,56.5,"Designed for mounting to a direct coupled actuator, the Belimo S1A 250 VAC auxiliary switch indicates at the point which a chosen damper position is reached. Alternatively, it can be used to interface with additional controls for a specified control sequence. Mounting directly onto LM, NM, AM, and GM type actuators, this modular unit is securely locked into place by means of simple grooves on the actuator's sides.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Belimo auxillary switch SDPT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/14/NW-311514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Belimo_Damper-Actuators_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Belimo_S1A_AuxiliarySwitch_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Belimo_S1-2A_AuxiliarySwitch_Install.pdf,,,,,
57,P307230,ESBE 90 95M motor 95m with auxiliary switch 230vac 15nm,ESBE,247.45,"A compact design, this ESBE 90 95M 230 VAC actuator is suitable for rotary mixing valves. Fully reversible, this actuator features limit switches that are actuated by cam discs and offers an operating range of 30° to 180°, obtained by adjusting the cam disc. Optional disconnection for manual operation and front indication of valve position is also included.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> ESBE 90 95M motor 95m with auxiliary switch 230vac 15nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/31/NW-307230_307231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_90-3Point_Actuator_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_90-3Point_Actuator_Installation.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Esbe_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_90-3Point_Actuator_Declaration.pdf,,,,
58,P416137,Watts Industries Electro Controls linkage kit 15/100mm 8and16nm,Watts Industries,30.84,This Watts Industries Electro Controls offers 8Nm and 16Nm torque and compatibility with the E08 and E16 motor.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls linkage kit 15/100mm 8and16nm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/37/NW-416137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WI_Valves_Linkages_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P337053,Drayton junction box,Drayton,10.88,"This Drayton LWC3 junction box and wiring centre offers safe, convenient system wiring, providing a neat finish and simplifying wiring and circuit testing.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Drayton junction box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/53/NW-337053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_LWC1_Wiring_Centre_Install.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Wiring_Centres_Technical.pdf,,,,
60,P323945,Schneider Electric monobloc linkage kit,Schneider Electric,166.46,This Schneider Electric LK2702 monobloc linkage kit is suitable for the MB three port screwed rotary shoe valve.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Schneider Electric monobloc linkage kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/45/NW-323945_wm.jpg,,,,N,x  x,9141071000,Linkage Kit,N,,,,,,,,,,,,,,,,,,,,
