,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Size,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Attachment 7
30,PQ66606,Osma internal connector 32/40mm,Osma,16.55,"This Osma 110mm internal drain connector in black rubber is designed for surface water drainage in gravity drainage system applications at depths of up to 10M. This part connects the waste pipe to a 110mm (4"") Osma spigot and is compatible with 32/40mm waste pipe. Measuring approximately 190 x 190 x 75mm, this connector is suitable for use with all plumbing systems and offers good levels of strength and hardness while captive seal technology reduces the risk of dislodging during fitting.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Osma internal connector 32/40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/06/NW-Q66606_wm.jpg,Black,Push Fit,110mm,0.176 kg,N,Unequal,,190 x 190 x 75mm,PVC,110 mm,32-40 mm,BS EN 681-1:1996,4D298,Connector,N,Black colour,,,,,,32-40 mm,110mm,Captive seal technology,Seals protected from dislodging during fitting,"Quick, effortless installation",Made of rubber material to help prevent corrosion,Hole-type connection for secure jointing,BBA approved,1 year warranty,,
31,PF91500,Flexseal standard couplong 100-115mm,Flexseal,22.9,"Flexseal standard coupling is specifically designed to connect and repair pipes of different materials or sizes used in sewerage, drainage and other underground applications. When excavation work is required to repair a damaged pipe, Flexseal standard coupling will reduces the amount of time required and minor differences in pipe diameter can be accommodated. The combination of a durable design and excellent sealing properties when tightened to the correct torque enable the Flexseal standard coupling to provide a reliable seal on rough pipe surfaces. It can be combined with Flexseal bushes in order to act as an adaptor between pipelines of differing outside diameters. Standard coupling is made from EN681-1 EPDM rubber and has grade 1.4401 (316) stainless steel clamps and shear bands.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal standard couplong 100-115mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/00/NW-F91500_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Flexseal_01_Coupling_EN295_DoP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Standard_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
32,PF91532,Flexseal AC adaptor coupling 110-122/80-95mm,Flexseal,13.96,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 110-122/80-95mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/33/NW-F91532_F91533_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,,,,,,,,,,,,
33,PF91522,Flexseal AC adaptor coupling 144-166/110-122mm,Flexseal,20.35,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 144-166/110-122mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/24/NW-F91522_F91524_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
34,PF91444,Flexseal straight coupling,Flexseal,9.77,"Flexseal straight coupling is manufactured from a durable, high quality thermoplastic compound, Flexseal PVC coupling has the dimensional flexibility that ensures a leak-proof seal on any pipe material. This Flexseal PVC coupling is available in black colour which gives a more aesthetic solution for grey pipe systems, enabling the coupling to blend in and be particularly useful when coupling is visible.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal straight coupling,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/44/NW-F91444_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_PVC_Flexible_Coupling_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_PVC_Plumbing_Couplings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Couplings_Datasheet.pdf,,,,,,,,,,,,
35,PF91541,Flexseal DC drain coupling 80-95mm,Flexseal,10.65,"Flexseal DC drain coupling is used to connect, repair and maintain drainage systems and other small diameter non-pressure pipelines. It is available to suit any pipe material up to 275mm outside diameter, drain coupling is designed for use in drainage systems where the resistance to earth loads (usually provided by a standard coupling) is not required. This comprises a moulded EPDM sleeve which is attached using grade 1.4301 (304) worm drive stainless steel clamping bands at either end. Flexseal can also supply the product with nitrile sleeves for use with effluent which may be contaminated with hydrocarbons. Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal DC drain coupling 80-95mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/43/NW-F91540_F91543_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Drain_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
36,PF91540,Flexseal DC drain coupling 50-65mm,Flexseal,8.01,"Flexseal DC drain coupling is used to connect, repair and maintain drainage systems and other small diameter non-pressure pipelines. It is available to suit any pipe material up to 275mm outside diameter, drain coupling is designed for use in drainage systems where the resistance to earth loads (usually provided by a standard coupling) is not required. This comprises a moulded EPDM sleeve which is attached using grade 1.4301 (304) worm drive stainless steel clamping bands at either end. Flexseal can also supply the product with nitrile sleeves for use with effluent which may be contaminated with hydrocarbons. Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal DC drain coupling 50-65mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/43/NW-F91540_F91543_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Drain_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
37,PF91593,Flexseal EPDM Plumbing adaptor coupling 38/43-60/68mm,Flexseal,7.11,"Flexseal EPDM Plumbing adaptor coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing adaptor coupling 38/43-60/68mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/93/NW-F91591_F91593_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
38,PF91592,Flexseal EPDM Plumbing adaptor coupling 38/43-50/56mm,Flexseal,6.39,"Flexseal EPDM Plumbing adaptor coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing adaptor coupling 38/43-50/56mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/93/NW-F91591_F91593_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
39,PF91580,Flexseal EPDM Plumbing plumbing coupling 30-35mm,Flexseal,4.95,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 30-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
40,PF91584,Flexseal EPDM Plumbing plumbing coupling 70-76mm,Flexseal,7.47,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 70-76mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
41,PF91583,Flexseal EPDM Plumbing plumbing coupling 60-68mm,Flexseal,6.59,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 60-68mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
42,PP82454,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 50mtr Blue,Gps Pe Pipe Systems,145.63,"This GPS PE Pipe Systems Excel SDR11 50M light blue pipe coil with 32mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 50mtr Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,
43,PF81033,Marley HDPE tee 110/56mm,Marley,10.15,This Marley HDPE 88.5° Y branch tee in black with 110 x 56 x 110mm plain end connections is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE tee 110/56mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/33/NW-F81033_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
44,PF80880,Marley HDPE tempered pipe 110 x 4.2mm 5mtr,Marley,57.31,This Marley HDPE 110mm pipe in black with plain end connections is supplied in a 5M length and is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE tempered pipe 110 x 4.2mm 5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/80/NW-F80880_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
45,PF81073,Marley HDPE HDPE 90deg cleanout branch 110/110mm,Marley,32.17,This Marley HDPE 90° clean out branch tee in black with 110mm solvent weld connections is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE HDPE 90deg cleanout branch 110/110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/73/NW-F81073_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
46,PF92725,Flexseal AC adaptor coupling 100-115/75-90mm,Flexseal,16.33,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 100-115/75-90mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/25/NW-F92725_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
47,PF91585,Flexseal EPDM Plumbing plumbing coupling 78-85mm,Flexseal,6.94,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 78-85mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
