,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Hazardous,End Connection A size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Diameter,Feature 1,Feature 2,Feature 3,Approvals,Feature 4,Feature 5,Weight,Equal / Unequal,End Connection B size,End Connection C size
38,PL80445,Geldbach weld neck flange PN16 65mm,Geldbach,19.13,This Geldbach BS4504/11 65mm weld neck flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach weld neck flange PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/NW-L80445_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06516/200,Weld Neck Flange,N,,,,,,,,,,,,
39,PL82045,Marla Tube BS4504/01 PN16 slip on plate flange 350mm,Marla Tube,271.45,"This Marla Tube 350mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 350mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,350 mm,Carbon Steel,350mm,Flange,D35016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
40,PL82039,Marla Tube BS4504/01 PN16 slip on plate flange 100mm,Marla Tube,20.26,"This Marla Tube 100mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
41,PL80330,Marla Tube PN6 black blank flange 80mm,Marla Tube,32.85,"This Marla Tube 80mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN6 black blank flange 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/30/NW-L80330_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
42,PL71636,Marla Tube blank drilled flange 80mm Black,Marla Tube,40.37,"This Marla Tube 80mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube blank drilled flange 80mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/36/NW-L71636_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
43,PL81535,Geldbach screwed flange PN16 40mm Galvanised,Geldbach,29.22,This Geldbach BS4504/13 40mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 40mm Galvanised",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/35/NW-L81535_wm.jpg,Flange,N,40 mm,Carbon Steel,40 mm,Flange,D040164G00,Screwed Flange,N,,,,,,,,,,,,
44,PL82044,Marla Tube BS4504/01 PN16 slip on plate flange 300mm,Marla Tube,90.78,"This Marla Tube 300mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 300mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,300 mm,Carbon Steel,300 mm,Flange,D30016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
45,PL71128,"Marla Tube T-E screwed and drilled flange 2"" Black",Marla Tube,103.03,"This Marla Tube T-E 2"" screwed and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E screwed and drilled flange 2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/28/NW-L71128_wm.jpg,Flange,N,2,Carbon Steel,2,Flange,C020E0SC00,Flange,N,,2,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
46,PL80455,Geldbach weld neck flange PN16 100mm,Geldbach,49.31,This Geldbach BS4504/11 100mm weld neck flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach weld neck flange PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/55/NW-L80455_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10016/200,Weld Neck Flange,N,,,,,,,,,,,,
47,PL75128,"Geldbach raised face slip on flange 2""",Geldbach,12.36,"This Geldbach ASA 150 2"" raised face slip-on flange is made of carbon steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach raised face slip on flange 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/28/NW-L75128_wm.jpg,Flange,N,2,Carbon Steel,2,Flange,E020SO1000,Raised Face Slip-On Flange,N,,,,,,,,,,,,
48,PL71132,"Marla Tube T-E screwed and drilled flange 2.1/2"" Black",Marla Tube,153.27,"This Marla Tube T-E 2 1/2"" screwed and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E screwed and drilled flange 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/32/NW-L71132_wm.jpg,Flange,N,2-1/2,Carbon Steel,21/2,Flange,C025E0SC00,Flange,N,,2.1/2,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
49,PL80635,Geldbach slip on weld flange PN16 40mm,Geldbach,20.64,This Geldbach BS4504/12 40mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/35/NW-L80635_wm.jpg,Flange,N,40 mm,Carbon Steel,40 mm,Flange,D04016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
50,PL82041,Marla Tube BS4504/01 PN16 slip on plate flange 168.3mm,Marla Tube,32.61,"This Marla Tube 6"" slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 168.3mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,6,Carbon Steel,6,Flange,D15016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
51,PL80660,Geldbach slip on weld flange PN16 125mm,Geldbach,46.92,This Geldbach BS4504/12 125mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/60/NW-L80660_wm.jpg,Flange,N,125mm,Carbon Steel,125mm,Flange,D12516/500,Slip-On Weld Flange,N,,,,,,,,,,,,
52,PL80860,Marla Tube PN16 black blank flange 125mm,Marla Tube,44.89,"This Marla Tube 125mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-L80860_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
53,PL71136,"Marla Tube T-E screwed and drilled flange 3"" Black",Marla Tube,479.49,"This Marla Tube T-E 3"" screwed and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E screwed and drilled flange 3"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/36/NW-L71136_wm.jpg,Flange,N,3,Carbon Steel,3,Flange,C030E0SC00,Flange,N,,3,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
54,PP08660,"Marla Tube GMS backing ring NP16 3""",Marla Tube,36.46,"This Marla Tube GMS 3"" backing ring is made of carbon steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube GMS backing ring NP16 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/60/NW-P08660_wm.jpg,butt weld,N,3,Carbon Steel,3,N/A,P08660*,Backing Ring,N,,,NP16 backing ring,Made of carbon steel,Butt weld connections,,,,,Equal,N/A,N/A
55,PL80645,Geldbach slip on weld flange PN16 65mm,Geldbach,22.5,This Geldbach BS4504/12 65mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/45/NW-L80645_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06516/500,Slip-On Weld Flange,N,,,,,,,,,,,,
56,PL80875,Marla Tube PN16 black blank flange 250mm,Marla Tube,132.5,"This Marla Tube 250mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 250mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/75/NW-L80875_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
57,PL71360,"Marla Tube T-E welding and drilled flange 6"" Black",Marla Tube,615.0,"This Marla Tube T-E 6"" welded and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E welding and drilled flange 6"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/NW-L71360_wm.jpg,Flange,N,6,Carbon Steel,6,Flange,C060E0SO00,Flange,N,,6,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
58,PL82038,Marla Tube BS4504/01 PN16 slip on plate flange 80mm,Marla Tube,15.89,"This Marla Tube 80mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
59,PL80675,Geldbach slip on weld flange PN16 250mm,Geldbach,99.61,This Geldbach BS4504/12 250mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 250mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/75/NW-L80675_wm.jpg,Flange,N,250 mm,Carbon Steel,250mm,Flange,D25016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
60,PL81655,Geldbach self coloured sow (BS4504/12) PN16 100mm,Geldbach,136.34,A Geldback 100mm flange.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach self coloured sow (BS4504/12) PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/60/L81650_55_60_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,,D10016/5SC,Flange,N,,,,,,,,,,,,
61,PL82037,Marla Tube BS4504/01 PN16 slip on plate flange 65mm,Marla Tube,14.75,"This Marla Tube 65mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06516/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
62,PL80870,Marla Tube PN16 black blank flange 200mm,Marla Tube,82.04,"This Marla Tube 200mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/70/NW-L80870_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
63,PL80545,Geldbach screwed flange PN16 65mm,Geldbach,26.84,This Geldbach BS4504/13 65mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/45/NW-L80545_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06516/400,Screwed Flange,N,,,,,,,,,,,,
64,PL80550,Geldbach screwed flange PN16 80mm,Geldbach,34.97,This Geldbach BS4504/13 80mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/50/NW-L80550_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08016/400,Screwed Flange,N,,,,,,,,,,,,
65,PL81550,Geldbach galvanised screwed flange PN16 80mm,Geldbach,31.77,This Geldbach BS4504/13 80mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach galvanised screwed flange PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/50/NW-L81550_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D080164G00,Screwed Flange,N,,,,,,,,,,,,
66,PL81540,Geldbach galvanised screwed flange PN16 50mm,Geldbach,19.87,This Geldbach BS4504/13 50mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach galvanised screwed flange PN16 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/40/NW-L81540_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D050164G00,Screwed Flange,N,,,,,,,,,,,,
67,PL81640,Geldbach self coloured sow (BS4504/12) PN16 50mm,Geldbach,47.27,A Geldback 50mm flange.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach self coloured sow (BS4504/12) PN16 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/45/L81640_L81645_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,,D05016/5SC,Flange,N,,,,,,,,,,,,
68,PL80140,Geldbach screwed flange PN6 50mm,Geldbach,15.76,This Geldbach BS4504/13 50mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/40/NW-L80140_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05006/400,Screwed Flange,N,,,,,,,,,,,,
69,PL81667,Generic self coloured sow (BS4504/12) PN16 200mm,Generic,180.7,This 200mm Generic sow is made of carbon steel and supplied with flange connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Generic self coloured sow (BS4504/12) PN16 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/67/L81667_wm.jpg,Flange,N,200mm,Carbon Steel,200mm,Flange,20SOSC16200,Flange,N,,,Self-coloured,PN16 pressure rating,Meets BS 4504/12 standards,,,,,,,
70,PL80530,Geldbach screwed flange PN16 32mm,Geldbach,18.97,This Geldbach BS4504/13 32mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/30/NW-L80530_wm.jpg,Flange,N,32 mm,Carbon Steel,32 mm,Flange,D03216/400,Screwed Flange,N,,,,,,,,,,,,
71,PL80560,Geldbach screwed flange PN16 125mm,Geldbach,95.32,This Geldbach BS4504/13 125mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/60/NW-L80560_wm.jpg,Flange,N,125mm,Carbon Steel,125mm,Flange,D12516/400,Screwed Flange,N,,,,,,,,,,,,
72,PL80886,Marla Tube BS4504/05 PN16 blank flange 400mm Black,Marla Tube,745.27,"This Marla Tube 400mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/05 PN16 blank flange 400mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/86/NW-L80886_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
73,PL80865,Marla Tube PN16 black blank flange 150mm,Marla Tube,53.17,"This Marla Tube 150mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/65/NW-L80865_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
74,PL80135,Geldbach screwed flange PN6 40mm,Geldbach,15.12,This Geldbach BS4504/13 40mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/35/NW-L80135_wm.jpg,Flange,N,40 mm,Carbon Steel,40 mm,Flange,D04006/400,Screwed Flange,N,,,,,,,,,,,,
