,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Feature 7,Feature 8,Feature 9,Pack Quantity,Depth (mm),Feature 10,Feature 11,Feature 12,Attachment 4,Finish,Weight
32,PB92114,Thomas Dudley Hydroflo tail side inlet valve Brass,Thomas Dudley,17.53,This Thomas Dudley Hydroflo side inlet valve with brass tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Hydroflo tail side inlet valve Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/14/NW-B92114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PB98088,Geberit 380AG fill valve,Geberit,23.64,"Easy and quick to install, this Geberit Type 380AG fill valve is compatible with Geberit concealed cisterns manufactured since 1999 meaning there's no need to completely replace a cistern just because of a broken fill valve.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit 380AG fill valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/88/B98088_wm.jpg,,,,N,244.595.00.1,Type 380AG Fill Valve,N,For Geberit concealed cisterns,suitable or Geberit Monolith sanitary modules,"Suitable for greywater (rainwater) with pH value 6.0 – 9.5, if filter system is used",For potable water use,Offers adjustable filling height,With threaded brass nipple,,,,,,,,,,,Water supply connection on left/right,Backflow prevention type AG (free outlet with overflow),Flow pressure 0.1 - 10 bar,,,Maximum storage temperature 40°C,Maximum operating temperature of 25°C,"Fulfils requirements in accordance with BS 1212-4:2016, WRAS Section 2075",,,
34,PB79702,"Thomas Dudley BBS Auto Syphons auto syphon for 3 gallon cisterns 1.1/4""",Thomas Dudley,16.86,"A Masefield automatic siphon for 1 1/4"" cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley BBS Auto Syphons auto syphon for 3 gallon cisterns 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/02/NW-B79702_wm.jpg,,,,N,PURAUT364953,Automatic Syphon,N,"For 3 gallon, 1 1/4"" cisterns",,,,,,BBS Auto Syphons,,,,,,,,,,,,,,190,,,,,,
35,PD01504,"Siamp Compact 99T 0.5"" telescopic brass bottom inlet",Siamp,22.95,"Quiet in operation, the Siamp Compact 99T bottom inlet valve with 1/2"" brass end connection includes a hydraulic closure and adjustable water level with anti-backflow. Easy to maintain, this valve is suitable for use as a replacement or new installation.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Compact 99T 0.5"" telescopic brass bottom inlet",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/04/NW-D01504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Compact_99T_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Compact_99T_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PC01022,Masefield Torbeck side inlet float valve,Masefield,16.85,"Easy to install, this Masefield Torbeck quiet filling side inlet telescopic part 4 float valve has a brass tail to prevent cross-threading.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Torbeck side inlet float valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/22/NW-C01022_wm.jpg,,,,N,367045,Float Valve,N,Equilibrium quiet filling,Reduces water hammer,"1/2"" brass tail",Anti back siphon design prevents contamination of fresh water supply,Fits most cisterns,Manufactured in the UK,Torbeck,,,,,,,,,,Approved to BS 1212 part 4,,,,,,,,,,
37,PB92117,"Thomas Dudley Turbo S44R syphon 7/9ltr 203mm 8""",Thomas Dudley,33.95,"Suitable for high and low level use, the Thomas Dudley Turbo S44R 8"" two part siphon can be used as a replacement in most lever operated ceramic or concealed cisterns. The two part design of this smart siphon makes maintenance easy, simply lifting out with no need to turn off water and take the cistern apart, meaning that servicing can be completed in five minutes.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo S44R syphon 7/9ltr 203mm 8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/17/NW-B92117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PB97708,"Wirquin Metro Rapid 3 part syphon 6/9litre 9""",Wirquin,16.49,This Wirquin Metro Rapid oblong siphon includes an easy to remove upper section for straightforward maintenance and replacement with no need to remove the toilet cistern.,"Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Wirquin Metro Rapid 3 part syphon 6/9litre 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/08/NW-B97708_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wirquin_Metro_Rapid_Siphon_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PB12982,"Siamp Dudley side entry compact float valve 3.8""",Siamp,26.57,"A Siamp 3.8"" compact side entry float valve.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Dudley side entry compact float valve 3.8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/82/B12982_wm.jpg,,,,N,367037,Float Valve,N,3/8” inlet,Brass Tail,WRAS Approved,BS1212 Part 4 Equilibrium Quiet Filling,Anti-siphon design prevents contamination of fresh water supply,Compact - float supplied,Dudley,,,,,,,,,,Easy to install,10 Year Guarantee,,,,,,,,,
40,PB12978,"Dudley Hydroflo compact float water saving pedestal inlet valve 8.5""",Dudley,23.75,"Suitable for plastic or ceramic exposed or concealed cisterns, this Dudley Hydroflo 216mm air gap compact float valve is a handy replacement part. A compact delay fill model, this float helps to save on water by only allowing for cistern refill after flushing completes. Uniquely designed, the incorporated float arm ensures the float won't detach under any circumstances.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Dudley Hydroflo compact float water saving pedestal inlet valve 8.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/78/NW-B12978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Dudley_Hydroflo_Inlet_Valves_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Dudley_Hydroflo_Inlet_Valves_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PD81444,"Ideal Standard Crescent finger push button, pneumatic dual flush",Ideal Standard,22.57,"Offering a smart modern design, this Ideal Standard Crescent pneumatic dual flush push button is intended to complement Conceala 2 cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard Crescent finger push button, pneumatic dual flush",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/44/D81444_wm.jpg,,,,N,S1084AA,push button,N,Suitable for Conceala 2 pneumatic cistern,Push-button actuation,Dual flush,,,,,,,,,,,,,,,,,,,,,,,,
42,PB12979,"Dudley Hydroflo compact float water saving pedestal inlet valve 9.5""",Dudley,20.5,"This Dudley Hydroflo float valve is a compact, water saving design for a 9.5"" pedestal inlet valve.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Dudley Hydroflo compact float water saving pedestal inlet valve 9.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/79/B12979_wm.jpg,,,,N,PSPBVH370911,Float Valve,N,Stylish chrome plated pushbutton sits neatly in the cistern lid and incorporates easily recognisable segments for full and reduced flushes,Bayonet fitting enables valve body to be simply removed from the cistern,Maintenance can then be carried out in minutes without disconnecting the water supply or dismantling the cistern,,,,Hydroflo,,,,,,,,,,,,,,,,,,,,
43,PJ57814,Twyford Total total install fixing kit,Twyford,36.32,"This Twyford Total installation kit comes complete with a basin bracket for 550, 600 and 650mm wash basins.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Twyford Total total install fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/14/NW-J57814_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_Total_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PJ89102,Ideal Standard side action lever Chrome Plated,Ideal Standard,14.43,"Made of robust plastic, this Ideal Standard cistern lever with chrome-plated finish is compatible with the Montana toilet cistern.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard side action lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/02/NW-J89102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PJ44499,Grohe Dal Adagio discharge valve,Grohe,20.65,This Grohe Dal Adagio servo discharge valve is designed for single flush toilet cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Grohe Dal Adagio discharge valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/99/NW-J44499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_42_137_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Dal_Adagio_42137000_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P171884,"Fluidmaster Airgap 6000 bottom entry non delayed plastic shanked fill valve 1/2""",Fluidmaster,17.55,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with plastic shank, bottom entry and non-delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 bottom entry non delayed plastic shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/84/NW-171884_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PC93120,"Ideal Standard close coupled flat plate 2""",Ideal Standard,11.79,"This Ideal Standard 2"" close coupling fixing kit with flat plate is for use on close-coupled cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard close coupled flat plate 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/20/NW-C93120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P171099,"Fluidmaster Pro Series bottom entry flow valve 1/2""",Fluidmaster,18.5,"A popular choice with professional plumbers, this Fluidmaster Pro Series fill valve with bottom entry and 1/2"" plastic shank fills a toilet tank with water from the water supply line after flushing. More efficient and easier to install than a ballcock, this valve maximises toilet performance and saves on water.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Pro Series bottom entry flow valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/99/NW-171099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171099_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pt/om/Fluidmaster_FillValve_Toilet_Symptom.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pt/om/FluidmasterClunk_Valve_ToiletSymptom.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Fluidmaster_UK_Catalogue_2019.pdf,,
49,PC93104,"Ideal Standard petcock (bsp) no finish 1/2""",Ideal Standard,19.24,"An Ideal Standard petcock with 1/2"" BSP connection.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard petcock (bsp) no finish 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/04/NW-C93104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PC93266,Ideal Standard Conceala 1.5 single flush pneumatic outlet valve 180 O/F no cage (1),Ideal Standard,30.35,This Ideal Standard 1.5L single flush pneumatic outlet valve is suitable for use in the brand's Conceala cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard Conceala 1.5 single flush pneumatic outlet valve 180 O/F no cage (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/66/C93266_wm.jpg,,,,N,EV98467,Flush Valve,N,Pneumatic operation,1.5L capacity,For Conceala cisterns,Without cage,,,Conceala,,,,,,,,,,,,,1,,,,,,,
51,P257446,Center adjustable syphon linkage arm Brass,Center,5.67,"Designed for connecting a cistern lever to a siphon's C link, this Center adjustable siphon linkage is manufactured in robust solid brass.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center adjustable syphon linkage arm Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/46/257446_wm.jpg,,,,N,PPSPLU374506,Syphon Linkage Arm,N,Solid brass construction,Adjustable length to 80mm,,,,,,,,,,,,,,,,,,,,,,,,,
52,PB92105,"Thomas Dudley Turbo 88 high two part syphon 6-9ltr 10""",Thomas Dudley,23.9,"This Thomas Dudley Turbo 88 high 10"" two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9ltr 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P257496,Thomas Dudley Victoria cable operated dual flush valve plus vmate,Thomas Dudley,17.29,"Cable-operated, the Thomas Dudley Victoria dual flush valve is supplied complete with Valve Mate, a retrofit flush valve adapter designed for ease of installation. This reliable and robust fitting is complemented by a smart chrome-plated flush button suitable for top or front-fitting.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Victoria cable operated dual flush valve plus vmate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/96/257496_wm.jpg,,,,N,325648,Outlet Valve,N,For close-coupled cisterns,Cable-operated,Offers 6/4L dual flush,Fitted with chrome push button,Button sits in lid of cistern,Button can be fitted to front lever hole,Victoria,,,,,,,,,,"With 42mm (1 1/2"") outlet tail","With adapter for 53mm (2"") outlet",Bayonet fixing allows easy access for maintenance,,,Design allows for easy adjustment,Supplied with Valve Mate retrofit flush valve adapter,WRAS approved,,,
54,PB97909,"Macdee Motion 1 piece syphon 8""",Macdee,8.03,"Providing ease of installation, the Macdee Motion 8"" one-piece toilet siphon is a reliable flushing system solution. Compatible with a variety of cisterns, this single-piece siphon can be used in new installations or as a replacement part.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Macdee Motion 1 piece syphon 8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/10/NW-B97909_B97910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_FlushingSystems_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PB92107,Thomas Dudley Royal single flush push button Chrome Plated,Thomas Dudley,35.18,A Thomas Dudley Royal pneumatic push button single flush for concealed cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Royal single flush push button Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/07/NW-B92107_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PB92108,Thomas Dudley Turbo S1-11 syphon for rubberwell/triwell cistern,Thomas Dudley,44.4,"An ideal replacement for high or low level well bottom or narrow cisterns, the Thomas Dudley Turbo 44 two part turbo lever flush siphon is convertible for convenience and fully removable for hassle-free servicing and maintenance. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo S1-11 syphon for rubberwell/triwell cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/08/NW-B92108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PU94791,Geberit Twico twico body,Geberit,20.52,This easy-maintenance Geberit Twico dual flush valve body has push rod dual flush operation.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit Twico twico body,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/91/NW-U94791_wm.jpg,,,,N,240.280.00.1,Flush Valve Body,N,Excludes all attachments,Easy to replace,Easy service,Dual flush operation with push rods,,,Twico,,,,,,,,,,,,,,240,,,,,Matt,
58,PD32481,Ideal Standard E4447AA push button pack Chrome Plated,Ideal Standard,15.22,This Ideal Standard chrome dual flush cistern push button is suitable for use in both commercial and domestic settings.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard E4447AA push button pack Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/81/NW-D32481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_DFV_PB_Assy_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PB00308,Viva Sanitary mini slinky-fit WC pan connector,Viva Sanitary,15.09,"The ultra-flexible Viva Sanitary mini slinky-fit flexible toilet pan connector is wire reinforced for unbeatable strength and stability. With the incorporated Smart-Flo design extension tube sediment build-up is prevented, reducing the risk of blockages.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Viva Sanitary mini slinky-fit WC pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/08/B00308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viva_Sanitary_PP0002_C_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viva_Sanitary_PP0002_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PC93119,"Ideal Standard close coupled flat plate 1.1/2""",Ideal Standard,11.79,"This Ideal Standard 1 1/2"" close coupling fixing kit with flat plate is for use on close-coupled cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard close coupled flat plate 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/19/NW-C93119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Close_Coupled_WC_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PD00232,Siamp Storm/Skipper replacement seal,Siamp,6.88,A Siamp Storm/Skipper outlet seal for the Storm 33A and Skipper 45 flush valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Storm/Skipper replacement seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/32/NW-D00232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
