,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Drive,Connection Type,Handle Type,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Head Material,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Length (M),Warranty
32,P519383,Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,Wavin,0.4,"Made of polybutylene (PB), this Wavin Hep2O HX79 15mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Hand Tools.csv -> Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/83/NW-519383_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
33,PN10917,"Rothenberger bi-metal hacksaw blade 12"" x 18TPI",Rothenberger,2.61,"Supplied in a pack of ten, these Rothenberger 12"" 18tpi bi-metal hacksaw blades ensure ongoing reliability and precision cutting. Compatible with a wide selection of materials, these blades are suitable for use in an adjustable hacksaw.","Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger bi-metal hacksaw blade 12"" x 18TPI",,10 x hacksaw blades,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/12/71212_wm.jpg,,,N,,1500001565,Cutting Tools,N,Pack of 10,Bi-metal construction,Suitable for a variety of materials,,,Metal,12in x 18 tpi,Suitable for sawing a variety of different materials.,"Easy, quick blade changing",Readily available for ease of sourcing,,,,,,,,18.00000,,,,,,,,,,,,,,
34,P519384,Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,Wavin,0.39,"Made of polybutylene (PB), this Wavin Hep2O HX79 22mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Hand Tools.csv -> Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/84/NW-519384_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
35,P689835,Javac ratchet wrench,Javac,14.98,"A Javac ratchet wrench for 1/4"", 3/8"", 5/16"" and 3/16"".",Trade Essentials/Hand Tools/Hand Tools.csv -> Javac ratchet wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/35/NW-689835_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Ratchet-Wrench_Tech.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,
36,PT85735,Rothenberger bi-metal hacksaw blade 12inch 24tpi,Rothenberger,3.19,"Supplied in a pack of ten, these Rothenberger HSSE 12"" 24tpi bi-metal hacksaw blades ensure ongoing reliability and precision cutting. Compatible with a wide selection of materials, these blades are suitable for use in an adjustable hacksaw, offering high levels of flexibility and reduced breakage, even in challenging conditions.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger bi-metal hacksaw blade 12inch 24tpi,,10 x hacksaw blades,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/35/T85735_wm.jpg,,,N,,71213,Cutting Tools,N,Pack of 10,Suitable for a variety of materials,Reduced risk of breakage under extreme operational demands,,,Metal,12in x 24 tpi,Suitable for sawing a variety of different materials.,Individual tooth setting for precision cutting,Excellent flexibility,Teeth hardness of approximately 65 HRC,Around 4x longer service life,,,,,,0.015 kg,,,,,,,,,,,,,,
37,PN13836,Nerrad NT2028 copper tube cutter 28mm,Nerrad,25.99,"Designed for 28mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Hand Tools.csv -> Nerrad NT2028 copper tube cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P688935,Rothenberger Hand Tool 88876 diecast trimming knife,Rothenberger,3.57,"Designed for detail, precision and close up control, this Rothenberger diecast trimming knife with retractable blade is suitable for use in model making, general hobby and craft applications, electronics and light engineering, restoration and jewellery making, as well as for small DIY and household repair tasks.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Hand Tool 88876 diecast trimming knife,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/35/688935_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P430779,Viessmann Flow & Return Isolation Valve (Single),Viessmann,67.8,"A Viessmann brand replacement single flow and return isolation valve.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Trade Essentials/Hand Tools/Hand Tools.csv -> Viessmann Flow & Return Isolation Valve (Single),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/79/NW-430779_wm.jpg,,,N,,7838087,Flow & Return Isolation Valve (Single),N,Single valve for flow and return,Genuine Viessmann spare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT02785,Rothenberger claw hammer with fibreglass handle 20oz,Rothenberger,8.67,"With its curved design and tough drop-forged, heat-treated steel construction, this Rothenberger 20oz claw hammer is capable of tackling the toughest driving and prying jobs. Made in two pieces, the hammer features a comfortable ergonomic soft-grip handle and a fibreglass neck that resists breakage and reduces vibration.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger claw hammer with fibreglass handle 20oz,,1x Hammer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/85/T02785_wm.jpg,,,N,,1500004924,Claw Hammer,N,Drop forged and heat treated for durability,Ergonomic anti-slip grip for safety and comfort,High strength fibreglass core for vibration resistance,,Black / Red,,325 mm,ideal for the toughest jobs and fast nail driving,Curved claw head removes nails and pins,Claw head offers increased prying leverage,With shock absorbing handle,Lightweight and balanced design,Black and red colour,Steel construction,,,,0.879 kg,,,,,,,,Steel,,,,,,
41,PH79851,Monument master plunger,Monument,17.11,"Used to remove blockages in pipes by building pressure, this Monument MON1459 master plunger has patented bellows for more displacement than traditional force cups.",Trade Essentials/Hand Tools/Hand Tools.csv -> Monument master plunger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/51/NW-H79851_wm.jpg,,,N,,MON1459,Master Plunger,N,Easy to clean,Removable handle,Durable plastic,,Blue,Plastic,125 mm (Dia),,,,,,,,,,,0.13643,,,,,,,,,,,,,,
42,PM90771,Geberit Mapress 91088 pipe cutter 12-54mm,Geberit,121.99,"Made of steel, this Geberit Mapress pipe cutter cuts pipes with 12 - 54mm diameters. A spare cutting wheel is contained in the handle for convenience.",Trade Essentials/Hand Tools/Hand Tools.csv -> Geberit Mapress 91088 pipe cutter 12-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/71/NW-M90771_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT52414,"Virax Stillson 012560 stillson pipe wrench 24""",Virax,59.05,"Made of heat-treated steel, this tough Virax Stillson 26mm, 600mm length pipe wrench is equipped with springs, which are housed within the casing, for instant pipe grip, good self-tightening and an efficient ratchet-style action.","Trade Essentials/Hand Tools/Hand Tools.csv -> Virax Stillson 012560 stillson pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/14/NW-T52412_T52414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Virax_Stillson_012520-90_Wrench_Tech.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Virax_Catalogue.pdf,,,,,,,,
44,PP95591,Geberit Mapress set of cutting wheels 12-54mm,Geberit,29.14,"Made of steel, this Geberit Mapress cutting wheel set is suitable for use in industrial applications and in critical installations in a range of settings such as hospitals or hotels. With an extensive range of piping materials and fitting types, the Mapress system is suitable for transporting service water, compressed air, gases and chemicals and for safe and reliable drinking water installations too.",Trade Essentials/Hand Tools/Hand Tools.csv -> Geberit Mapress set of cutting wheels 12-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/91/NW-P95591_wm.jpg,,Mapress,N,,91092,Cutting Wheel Set,N,Made of steel,Suitable for Geberit products,,,,Steel,12 x 54 mm,,,,,,,,,,,,,,,,,,12 x 54 mm,,,,,,,
45,PN13837,Nerrad cutting wheel copper nt2015/2022/2028,Nerrad,2.99,"This Nerrad replacement cutting wheel is suitable for Nerrad NT2015 15mm, NT2022 22mm and NT2028 28mm copper tube cutters.",Trade Essentials/Hand Tools/Hand Tools.csv -> Nerrad cutting wheel copper nt2015/2022/2028,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/37/NW-N13837_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT86378,Rothenberger brass radiator air key,Rothenberger,2.49,These Rothenberger clock-type air bleed keys allow users to bleed radiators via a bleed valve.,Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger brass radiator air key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/78/NW-T86378_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P231558,Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',Rothenberger,25.0,"Suitable for use in small, confined spaces, this Rothenberger 254mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,,231558 PK,,,Opens to 50mm,Narrow jaw profile,Precise thumbturn adjustment,,,,,,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,,,,,,,,,,,,,,,,,
48,P430780,Viessmann Spares 7858492 Pressure Gauge,Viessmann,47.58,"A Viessmann brand replacement pressure gauge.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Trade Essentials/Hand Tools/Hand Tools.csv -> Viessmann Spares 7858492 Pressure Gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/80/NW-430780_wm.jpg,,Spares,N,,7858492,Pressure Gauge,N,For Vitodens boilers,Genuine Viessmann spare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT85773,"Rothenberger spare multibender guide 15mm (1/2"")",Rothenberger,14.14,"This precision-made Rothenberger 80175 multibender guide is made of strong aluminium and offers clean, strong bends.","Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger spare multibender guide 15mm (1/2"")",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/73/NW-T85773_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PN10913,Rothenberger Adjustable adjustable hacksaw 12mm,Rothenberger,22.14,"This Rothenberger 12"" adjustable hacksaw with blade is suitable for the cutting of a variety of different materials.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Adjustable adjustable hacksaw 12mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/13/N10913_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P418051,Rothenberger manhole lifting key (D handle),Rothenberger,6.11,"With a 520mm length, this Rothenberger manhole lifting key has an ultra-strong lifting capacity of 30kg combined with comfortable manoeuvrability. Traditionally designed, this key is suitable for lifting a range of different sized covers, including water meter covers and heavy manhole covers.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger manhole lifting key (D handle),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/51/NW-418051_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P418048,Rothenberger Soldering & welding 130000 mini strips (Pack of 10),Rothenberger,9.41,"Used to roughen and deburr plastic and copper tubing, these Rothenberger soldering and welding mini strips are supplied in a pack of 10. Also suitable for removing paint and oxides from pipes and fittings ahead of soldering jobs, these handy strips are sometimes referred to as 'flexible files'.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Soldering & welding 130000 mini strips (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/130000_wm.jpg,pack of 10,Soldering & welding,N,45(L)x10(W)x300(H) mm,130000,Mini strips,N,Longer lasting than steel wool,Will not clog,Waterproof,,,,,,Double-sided use,,,,,,,,,,,,,,,,,,,,,,,
53,PN39661,Rothenberger Rocut plastic pipe cutter 0-42mm,Rothenberger,53.32,"Made of aluminium with a rubber handle, this Rothenberger Rocut pipe shear cuts pipes up to 42mm in diameter.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Rocut plastic pipe cutter 0-42mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/61/NW-N39661_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT87001,Rothenberger Tap Fitting Set,Rothenberger,20.0,"The Rothenberger tap fitting set comprises a range of tools suitable for the installation and removal of kitchen and bathroom taps. Included is a telescopic basin wrench, a monobloc tap spanner set and a backnut spanner set. While the monobloc spanner is supplied with 8mm, 9mm, 10mm, 11mm, 12mm and 13mm heads, the backnut set includes 1/2"" and 3/4"" backnuts.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Tap Fitting Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/T87001_wm.jpg,,,N,325mm x 82mm x 130mm,1000004670,Hand Tools,N,Wrench has spring-loaded self-locating hook,With 4x length adjustments,Monobloc spanner includes 6x head options,,,,,,Fit together to extend length,Backnut spanner with 2x backnuts,Both spanners include tommy bars,,,,,,,,,,,,,,,,,,,,,
55,PT86445,Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',Rothenberger,19.79,"Suitable for use in small, confined spaces, this Rothenberger 152.4mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,Wide Jaw Wrench,N,,70459,Adjustable Wrench,N,Opens to 34mm,Narrow jaw profile,Precise thumbturn adjustment,,Black/Red/Silver,Steel,12 (W) x 170 (H) mm,Ideal when working in confined spaces,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,6 x 34mm,Anti-Slip,,,,,,,,,,,,,,,
56,PT85929,Rothenberger box type immersion heater spanner,Rothenberger,8.33,"Made of steel, this Rothenberger box immersion heater spanner has a strong single-piece construction. It is supplied with a tommy bar, ideal for providing extra purchase when turning.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger box type immersion heater spanner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/29/NW-T85929_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PB00087,Cramer Fugi CRA 40407 EN fugi kit VII,Cramer,22.24,"Making processing any sealant simple, this Cramer Fugi CRA 40407 EN Profiling Kit VII is designed with guides to assist in bridging intersections, meaning no risk of subsidence. Ideal for complex jointing works, this kit uses a unique grouting technique with no separating agents meaning there's less likelihood that mould will form under joints. In addition to sealant processing, the Cramer Fugi Profiling Kit VII can be used to rework blemishes without removing joints.",Trade Essentials/Hand Tools/Hand Tools.csv -> Cramer Fugi CRA 40407 EN fugi kit VII,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/NW-B00087_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B00087_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PN39441,Rothenberger MINICUT II PRO minicut 2 professional tube cutter 3-22mm,Rothenberger,19.08,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 6 - 22mm diameters.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger MINICUT II PRO minicut 2 professional tube cutter 3-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/41/NW-N39441_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P529091,Pegler VSH Tectite DT/305 disconnecting tool 22mm,Pegler,2.86,"This Pegler Yorkshire DT/305 22mm push-fit disconnecting tool is suitable for use on Tectite Classic, Tectite Pro and Tectite 316 fittings.",Trade Essentials/Hand Tools/Hand Tools.csv -> Pegler VSH Tectite DT/305 disconnecting tool 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/91/NW-529091_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PYorkshire_DTool_Technical.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_Tectite_Brochure.pdf,,,,,,,,
60,P688918,Rothenberger insulated screw driver set 7 piece,Rothenberger,41.38,"Made of chrome vanadium molybdenum steel, this Rothenberger seven-piece insulated screwdriver set is fully insulated to 1000V. This set includes slotted head and Phillips head screwdrivers along with a live wire tester.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger insulated screw driver set 7 piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/18/688918_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P512998,Pegler Yorkshire 131 traditional flux tub 500g,Pegler,44.23,This Yorkshire 131 Traditional Craftsman's flux is a grease-based flux designed for use with Yorkshire range solder fittings.,Trade Essentials/Hand Tools/Hand Tools.csv -> Pegler Yorkshire 131 traditional flux tub 500g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/98/NW-512998_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Solder_Ring_Fittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Yorkshire_Craft_Flux_2016_WRAS_Certi.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_TradFlux_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/y_/ds/Pegler_SDS3_Safety_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_Yorkshire_Installation.pdf,,
62,P515521,Hep2O Hepworth HD74 pipe cutter,Hep2O,17.65,"These stainless steel Hep2O Hepworth HD74 standard scissor-type pipe cutter are easy to use and the recommended method for cutting Hep2O pipes. Hep2O fittings are suitable for use in hot and cold water and heating systems and perform best used in conjunction with other Hep2O products, though they can be used with traditional copper pipes.",Trade Essentials/Hand Tools/Hand Tools.csv -> Hep2O Hepworth HD74 pipe cutter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/21/NW-515521_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2O_Users_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT86911,"Rothenberger Rogrip 1000002698 M Plier 7""",Rothenberger,24.29,"Ideal for working with water or oil, these Rothenberger Rogrip 7"" water pump M pliers are designed with safe non-slip handles. Made of steel, these pliers will clamp and rotate different pipe types up to 50mm in diameter.","Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Rogrip 1000002698 M Plier 7""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/98/1000002698_wm.jpg,,Rogrip,N,,1000002698,Water Pump Pliers,N,"Double-hardened, wear-resistant teeth","3 touchpoint grip on pipe, handle and tooth design prevent slipping",30% higher gripping capacity,,Grey/Red,Steel,20 (W) x 310 (H) mm,Hold and turn pipes,Prevents unintentional opening,50% quicker adjustment,,,,,,7,,,,,,,,,,,,,,,,
