,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Connection Size,Connection Type,Material Type,Material,Size,Type,Diameter,Length (M),Operating Temperature,Warranty,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Connection Type 1,Weight,Attachment 1,Attachment 2,Attachment 3,Pack Quantity,Grade,Connection Type 2,Feature 4
38,P505419,"Navigator MSL brass hexagon bush 1/4"" x 1/8""",Navigator MSL,1.08,"Manufactured in robust brass, this Navigator MSL 1/4 x 1/8"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1/4"" x 1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-BA,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
39,PN14014,"JET Range GT brass hose tail (BSPT) 1/2 x 1/2""",JET Range,2.72,"A JET Range GT 1/2 x 1/2"" hose tail made of brass with BSP tapered x hose union connections.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range GT brass hose tail (BSPT) 1/2 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/14/NW-N14014_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,,,,,,
40,P505417,"Navigator MSL brass hexagon bush 1"" x 1/2""",Navigator MSL,3.99,"Manufactured in robust brass, this Navigator MSL 1 x 1/2"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1"" x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-FD,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
41,P505431,"Navigator MSL brass hexagon bush 1 1/4"" x 3/4""",Navigator MSL,7.35,"Manufactured in robust brass, this Navigator MSL 1 1/4 x 3/4"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1 1/4"" x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-GE,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
42,P505424,"Navigator MSL brass hexagon bush 2"" x 1""",Navigator MSL,16.46,"Manufactured in robust brass, this Navigator MSL 2 x 1"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 2"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-IF,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
43,P505413,"Navigator MSL brass flanged backnut 1 1/2""",Navigator MSL,7.09,"This Navigator MSL 1/2"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass flanged backnut 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/13/505413_wm.jpg,N,CMBRBACKNUT-H,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
44,P505436,Navigator MSL brass threaded socket 3/4,Navigator MSL,5.86,"Manufactured in robust brass, this Navigator MSL 3/4"" threaded female equal socket is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded socket 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/505428_wm.jpg,N,CMBRS-E,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
45,P505452,"Navigator MSL brass threaded flanged plug 3/4""",Navigator MSL,2.25,"Manufactured in robust brass, this Navigator MSL 3/4"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded flanged plug 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-E,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
46,P505416,"Navigator MSL square headed brass plug 1/2""",Navigator MSL,4.56,"Manufactured in robust brass, this Navigator MSL 1/2"" threaded square head plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL square headed brass plug 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/16/505416_wm.jpg,N,CMBRSHP-D,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
47,P505442,"Navigator MSL brass hexagon nipple 1""",Navigator MSL,5.05,"Manufactured in robust brass, this Navigator MSL 1"" threaded hexagonal nipple is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon nipple 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/58/505458_wm.jpg,N,CMBRHN-F,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,
48,PN14024,"JET Range N14024 brass hose tail (BSPT) 2 x 2""",JET Range,32.86,"Allowing for the connection of a hose to a female thread, this JET Range 2 x 2"" brass hose tail is suitable for water, gas, air, hydraulic and oil applications. It is supplied with a BSP tapered x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range N14024 brass hose tail (BSPT) 2 x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/N14024_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Wolseley_Exclusive_Range_Guide_2018.pdf,,,,,
49,P505415,"Navigator MSL brass flanged backnut 1""",Navigator MSL,2.71,"This Navigator MSL 1"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass flanged backnut 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/15/505415_wm.jpg,N,CMBRBACKNUT-F,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
50,P505423,"Navigator MSL brass hexagon bush 2"" x 1 1/4""",Navigator MSL,13.63,"Manufactured in robust brass, this Navigator MSL 2 x 1 1/4"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 2"" x 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-IG,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
51,P505443,Navigator MSL chrome plated bush 3/4'' x 1/2'',Navigator MSL,2.22,"Made of hardwearing brass, this Navigator MSL 3/4 x 1/2"" threaded hexagonal bush with chrome plating is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL chrome plated bush 3/4'' x 1/2''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/43/505443_wm.jpg,N,CMBRBUSHCP-ED,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,Chrome finish
52,P292013,"Midland Brass blanking cap 1"" Brass",Midland Brass,4.97,"This Midland Brass 1"" blanking cap is made of brass with a smart metallic finish. It includes a threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass blanking cap 1"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/13/NW-292013_wm.jpg,N,MBRBC-F,N,Leading supplier,Hardwearing materials,Value for money,1 inch,Threaded,Brass,Brass,1 in,Cap,,,,,,,,,,,,,,,,,,Reliable
53,P505414,"Navigator MSL brass hexagon bush 1 1/4"" x 1/2""",Navigator MSL,7.35,"Manufactured in robust brass, this Navigator MSL 1 1/4 x 1/2"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1 1/4"" x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-GD,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
54,P505439,"Navigator MSL msl brass threaded flanged plug 1 1/2""",Navigator MSL,9.04,"Manufactured in robust brass, this Navigator MSL 1 1/2"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL msl brass threaded flanged plug 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-H,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
55,P505444,Navigator MSL msl brass flanged backnut 3/4'',Navigator MSL,1.51,"This Navigator MSL 3/4"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL msl brass flanged backnut 3/4''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/44/505444_wm.jpg,N,CMBRBACKNUT-E,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
56,P505435,Navigator MSL 1/2 mxf shower check valve chrome plated,Navigator MSL,4.75,"Offering quick and easy fitting, this Navigator MSL 1/2"" male x female replacement shower check valve, or non-return valve, prevents the backflow of water.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL 1/2 mxf shower check valve chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/35/505435_wm.jpg,N,CMBFSHCV-D,N,Chrome construction,Working pressure of 10 bar,Maximum working temperature of 85°C,,,,,,,,,,,,,,,,,,,,,,,,
57,P517150,Polypipe Polyplumb 15mm Brass Draincock,Polypipe,19.77,This Polypipe 15mm spigot drain cock is made of brass and used for draining water from a plumbing system.,"Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Polypipe Polyplumb 15mm Brass Draincock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/50/NW-517150_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Polyplumb-Polyfit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing_Heating_Brochure.pdf,,,,,
58,P505427,"Navigator MSL brass threaded flanged plug 2""",Navigator MSL,15.66,"Manufactured in robust brass, this Navigator MSL 2"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded flanged plug 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-I,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
59,P505458,"Navigator MSL brass hexagon nipple 3/8""",Navigator MSL,1.67,"Manufactured in robust brass, this Navigator MSL 3/8"" threaded hexagonal nipple is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon nipple 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/58/505458_wm.jpg,N,CMBRHN-C,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,
60,P505453,"Navigator MSL brass barrel nipple 1 1/2""",Navigator MSL,11.96,"This Navigator MSL 1 1/2"" barrel nipple is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass barrel nipple 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/53/505453_wm.jpg,N,CMBRBN-H,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
61,P505456,"Navigator MSL brass barrel nipple 1/2""",Navigator MSL,1.97,"This Navigator MSL 1/2"" threaded barrel nipple is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass barrel nipple 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/56/505456_wm.jpg,N,CMBRBN-D,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
62,P505437,"Navigator MSL brass threaded socket 1""",Navigator MSL,7.48,"Manufactured in robust brass, this Navigator MSL 1"" threaded female equal socket is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded socket 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/505428_wm.jpg,N,CMBRS-F,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,
63,P505425,"Navigator MSL brass hexagon bush 1 1/2"" x 1""",Navigator MSL,9.17,"Manufactured in robust brass, this Navigator MSL 1 1/2 x 1"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1 1/2"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-HF,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
