,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Dimensions mm (H x W x D),Display Type,Installation Type,Number of Channels,Application,Feature 5,Feature 6,Pack Quantity,Voltage (V),Setting Range,Operating Temperature Range (C),Feature 7,Feature 8,Feature 9,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Diameter,Operating Temperature,Weight,Range For Use With
23,P339035,Danfoss TPOne mains powered electronic room thermostat 240v,Danfoss,74.62,"The user-friendly Danfoss TPOne-M programmable room thermostat incorporates a flexible, backlit dot matrix display with easy-read icons and text info designed for ease of use and installation. Defaulting to chrono-proportional, load compensation control, TPOne offers high levels of user comfort alongside cost and energy savings. Where chrono-proportional mode is set, the thermostat follows a fixed cycle rate on the system, automatically determining the load required to deliver the temperature requested.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Danfoss TPOne mains powered electronic room thermostat 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/36/NW-339035_339036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/Danfoss_TPOne_Thermostat_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_TPOne_B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_TPOne_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P169120,Drayton 3-way tap thermostat with so sensor 15mm,Drayton,248.98,This Drayton 15mm three way pumped tap stat cylinder control is a self-acting control for domestic hot water temperatures on gravity or pumped primary systems. Using this stat prevents both scalding and fuel waste.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton 3-way tap thermostat with so sensor 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/20/NW-169120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_Tapstat_Controller_install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Drayton_Tapstat_CylinderControl_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P451048,Secure C-Stat 17-M 7day programmable thermostat,Secure,76.05,"With a large display and simple interface, the mains-powered Secure C-Stat 17-M programmable room thermostat is easy to set-up and effortless to use. Suitable as a replacement for most existing units, C-Stat 17-M makes controlling your heating system simple. Boiler Plus compliant, this thermostat offers up to six temperature settings per day, seven days a week for a completely personalised heating system.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Secure C-Stat 17-M 7day programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/NW-451048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ns/tr/Secure_C-Stat_17B_17M_User_Instr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Secure_C-Stat_11M_17M_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Secure_C-Stat_17-M_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P353135,Eph Controls RFCP RFCP cylinder stat RF & receiver,Eph Controls,130.52,"Controlling a single hot water zone, the non-programmable EPH Controls RFCP cylinder thermostat and receiver is supplied ready-paired and complete with AAA batteries for easy plug-and-play installation.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls RFCP RFCP cylinder stat RF & receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/35/353135_wm.jpg,,,,,N,,,RFCP,DVC Thermostats,N,For domestic use,Controls a single heating zone,Uses a NTC10K sensor to measure temperature,230V receiver can control a boiler directly,,,,,SPDT,,,,,,,,Thermostat 86 x 86 x 25receiver 84 x 86 x 31,,,,Domestic,Also suitable for control of a motorised valve or actuator in a multi-zone system,Non-programmable,50,230Vac,10 - 90°C,0-45,Clear display indicating temperature,With on/off switch,,,,,,,,,
27,P302056,Drayton RTS4 thermostat (SPDT),Drayton,25.9,"Volt-free for combi boilers, the Drayton RTS4 room thermostat with SPDT contacts employs electronic sensing for highly accurate temperature control.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton RTS4 thermostat (SPDT),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/56/NW-302056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_RTS_Thermostat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_RTS_Quick_Start_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RTS_Thermostat_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P305208,Siemens 5/2 or 7 day digital programmer,Siemens,85.87,"This Siemens RWB5/2 two channel electronic programmer with 5/2 day or 7 day programming, has up to three on/off periods each day and may also be enabled for service interval operation. The service interval function is enabled and programmed by the installer, maintenance engineer or landlord and is designed to display a message when a boiler service is due and emit an audible alarm every hour between 9am and 9pm until the service is carried out.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Siemens 5/2 or 7 day digital programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/08/NW-305208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/305208_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/305208_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Heating_Controls_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Quick_Reference_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P305246,Siemens easy electronic room thermostat RF plus receiver with TPI,Siemens,77.28,"Designed for heating systems, this Siemens wireless room thermostat incorporates the RDH100RF transmitter and RCR100/433 receiver and is suitable for use in homes, schools or offices. Suitable for use with thermal valves or zone valves, combi boilers, gas or oil burners and pumps, this thermostat offers both two position and PID intelligent learning temperature control, configurable via parameter P01. The two position control algorithm controls on/off based on a chosen setpoint.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Siemens easy electronic room thermostat RF plus receiver with TPI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/46/NW-305246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_RDJ100RF_SET_Rebinding_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Heating_Controls_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RDH100RF_SET_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Siemens_RDH100RF_SET_Oprtng_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PC28033,Drayton RF901 Digistat single-channel RF with OpenTherm,Drayton,90.69,"Providing wireless connection to a boiler, this Drayton Digistat thermostat offers 3A relay or OpenTherm outputs. With universal operation and the option of smartphone control, this thermostat offers great flexibility.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton RF901 Digistat single-channel RF with OpenTherm,,Thermostat;Receiver,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/33/C28033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_Digistat_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RF901_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Digistat_Thermostat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P305248,Siemens easy daily programmable room thermostat plus receiver with TPI,Siemens,90.64,"This Siemens room thermostat radio frequency set with 24 hour time switch (transmitter/receiver) includes room thermostat RDJ100RF (with integrated radio transmitter) and receiver unit RCR100/433. Mains independent, this battery powered electronic room thermostat with PID out control and large LCD screen controls room temperature only in homes, schools or offices. This device is suitable for use with thermal valves or zone valves, combi boilers, gas or oil burners or pump equipment.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Siemens easy daily programmable room thermostat plus receiver with TPI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/48/NW-305248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Siemens_RDJ100RF_SET_Instrctn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_RDJ100RF_SET_Rebinding_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Heating_Controls_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_RDJ100RF_SET_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P310506,Honeywell Home hw home t6360b 1069 roomstat c/w tampcv,Honeywell Home,39.98,"Providing automatic temperature control of wet central heating systems, the T6360 mains voltage room thermostat can be used to directly switch a circulating pump or boiler or to operate spring-return and motor open/motor close zone valves. Switching electrical heating loads up to 10A, T6360 can also be used for cooling applications. This model includes a tamperproof cover and setting dial.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home hw home t6360b 1069 roomstat c/w tampcv,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/06/310506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P336015,Drayton Lifestyle LPSi LPsi Reset Unit Service reset unit,Drayton,137.35,"With simple point-and-click operation, the Drayton Lifestyle LPSi reset unit is easy to use, can't be cloned and there's no need to remove the programmer or time switch from the wall before use.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton Lifestyle LPSi LPsi Reset Unit Service reset unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/15/NW-336015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Lifestyle_LP_LPSI_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P339442,Danfoss dual thermostat itd-100,Danfoss,79.09,"Incorporating a separate limit and control function, this Danfoss ITD dual immersion thermostat offers full control of your hot water. While the control function set point can be varied between 0 and 90°C, the limit function, requiring manual resetting after activation, is factory pre-set to 100°C. This thermostat is supplied with a 1/2"" BSP/100mm pocket.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Danfoss dual thermostat itd-100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/42/NW-339442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_ClampOn_I_Thermostat_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_ITC_ITL_ITD_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Product_Selection_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P353138,Eph Controls R17 timeswitch,Eph Controls,63.03,"Suitable for domestic use, the EPH Controls R17 timeswitch controls a single channel heating system. Fitted with an LCD display, this timeswitch offers a number of handy modes, including an auto and an all day mode.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls R17 timeswitch,,"R17 Timeswitch, Backplate, Fixing Screws, Installation and Operating Guide",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/38/353138_wm.jpg,,,,,N,,,R17,1.C,N,With boost feature,Includes auto and all day mode,With holiday mode,6-pin backplate included,,5 Year,50,No,SPDT,Yes,1,3(1)A,10 mins - 24 Hours,3,Yes,120x172x50,,LCD,,1,Domestic,Volt-free contacts,LCD display,,,,,5 year warranty,,,,,,,,,,
36,P302068,Drayton twin channel programmer,Drayton,76.1,The Drayton SM2 single channel 24 hour electro-mechanical time switch is suitable for use with most domestic pumped and gravity-fed heating systems.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton twin channel programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/68/NW-302068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_SM1_SM2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_SM1_SM2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PC28034,Drayton Digistat RF902 Digistat dual-channel RF,Drayton,101.94,"The dual-channel Drayton Digistat thermostat can be used for heating and hot water control or for two separate heating zones with no need for a separate hot water programmer. With universal operation and the option of smartphone control, this thermostat offers great flexibility.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton Digistat RF902 Digistat dual-channel RF,,Thermostat;Receiver,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/34/C28034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_Digistat_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RF902_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Digistat_Thermostat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P353116,Eph Controls A27-HW 2 zone programmer,Eph Controls,50.3,"Offering three operating modes, the EPH Controls two-zone programmer makes controlling two different zones within a central heating system simple. Providing reliable comfort, this easy to use programmer is operated via an LCD screen and offers three individual on/off periods each day as well as a boost feature for that extra bit of heat when needed.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls A27-HW 2 zone programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/16/353116_wm.jpg,,,,,N,,,A27-HW,Heating Programmers / Timeswitches,N,For domestic use,Controls 2x central heating zones,With 3x on/off periods per day,For heating and hot water,,2 years,36.4,No,SPDT,Y,,3(1)A 230Vac,7 Day / 5+2 Day / 24H,Three,Yes,135 x 90 x 36.4,,LCD,,Two,Domestic,Industry standard 6-pin backplate,Backlit LCD screen for ease of use,50,,,,With 2x LED indicators,Boost features for simplified operation,2 year warranty,,,,,,,,
39,P353115,Eph Controls A17 timeswitch,Eph Controls,38.84,"Offering three operating modes, the EPH Controls timeswitch makes controlling a single zone within a central heating system simple. Providing reliable comfort, this easy to use programmer is operated via an LCD screen and offers three individual on/off periods each day as well as a boost feature for that extra bit of heat when needed.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls A17 timeswitch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/15/353115_wm.jpg,,,,,N,,,A17,Heating Programmers / Timeswitches,N,For domestic use,With 3x on/off periods per day,For heating and hot water,Industry standard 6-pin backplate,,2 years,36.4,No,SPDT,Y,,3(1)A 230Vac,7 Day / 5+2 Day / 24H,Three,Yes,135 x 90 x 36.4,,LCD,,One,Domestic,Backlit LCD screen for ease of use,With 2x LED indicators,50,,,,Boost features for simplified operation,Volt-free output can be switched to 230V using supplied link,2 year warranty,,,,,,,,
40,P302067,Drayton single channel programmer,Drayton,64.05,The Drayton SM1 single channel 24 hour electro-mechanical time switch is suitable for use with most domestic combi boilers.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton single channel programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/67/NW-302067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_SM1_SM2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_SM1_SM2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P440972,Danfoss RET2001 RET2001M V2  RET2001M V2 digital room thermostat 230V (1),Danfoss,51.82,"Designed with an easy to read backlit LCD display, the Danfoss RET2001M V2 digital room thermostat offers simple and intuitive electronic programming of a domestic heating system. Offering optional 5/2 day or 24 hour scheduling, this clever thermostat provides homeowners with two heating periods, helping to reduce waste and heating costs by keeping the heat off or low while a house is asleep or unoccupied.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Danfoss RET2001 RET2001M V2  RET2001M V2 digital room thermostat 230V (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/_a/440972_74_A_wm.jpg,,,,,N,,,087N6476,Room Thermostat,N,LCD display with push buttons,On/off load compensation,Holiday function,Service Interval Timer,RET2001,,,,SPDT,,,,,,,,86 x 86 x 30,,,,Domestic,,,1,230v,5 to 30 °C,5 to 30,,,,,,,,,,,
42,P300661,Drayton LP LP20 Dual Channel Programmer LP20 Dual Channel Programmer,Drayton,49.67,"Simply clipping into a boiler, the Drayton LP20 dual channel programmer offers full control of central heating and the hot water pre-heat with no need for complex installation and set-up.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton LP LP20 Dual Channel Programmer LP20 Dual Channel Programmer,,Programmer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/61/NW-300661_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_LP_Clip_In_Control_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/300661_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P605256,Heat Miser thermostat V2 230V White,Heatmiser,101.01,"Suitable for use as a programmable thermostat or as a timer, the Heatmiser neoStat v2 is a 230v programmable thermostat gives you a wide range of options for home comfort, including control of a full heating system, specific radiators and towel rails or even lighting. Easy to operate thanks to user selectable operating modes, illuminated touch keys and a proximity sensor, the neoStat can be paired to the neoHub for control on the move. Wired to a heating appliance or zone valve, the neoStat communicates with neoHub via wireless mesh technology for a more reliable network range compared to traditional RF tech.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Heat Miser thermostat V2 230V White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/56/NW-605256_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/HM_NeoStat_V2_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/HM_NeoStat_V2_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P451056,Secure E7+ Smart Immersion Heater Control,Secure,103.67,"Controlling up to two immersion heaters at once, the Secure E7+ smart immersion heater control makes good use of off-peak electricity tariffs to supply a full tank of hot water ready for bathing, showering and washing up. Wi-Fi and Bluetooth enabled, this clever control unit can be operated using the Secure smartphone app, letting you keep on top of your hot water supply wherever you are.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Secure E7+ Smart Immersion Heater Control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/56/NW-451056_wm.jpg,,,,,N,,,SCE100-000,Domestic heating control,N,For domestic use,Smart-capable,Controls up to 2x 3kW immersions,Controllable using Secure app,,7 Years,55,Yes,,Yes,1,3kW,7 Days,3,Yes,165 x 103 x 55,,LCD,,1,Domestic,With optional plug-in Wi-Fi adapter,With LCD screen for ease of control,,,,,7 year warranty,,,,,,,,,,
