,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 5,Weight,Colour,Physical State / Form,Application,Testing Capability,Battery Life,Power Supply,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Connection Size,Diameter,Length (M),Size
24,PE68122,"Geocel Cox Easiflow skeleton silicone applicator gun 10""",Geocel,5.25,"Designed for professional or DIY use, this Geocel Easiflow silicone applicator gun makes in applying silicone sealant easy.","Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Geocel Cox Easiflow skeleton silicone applicator gun 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/22/NW-E68122_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geocel_3282368_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PN37666,Center CB Decorator filler 13789 decorators caulk filler 400ml White,Center CB,1.5,"Easy to apply and fast drying, this single component Center CB decorators' caulk filler is a plasto-elastic joint sealant based on acrylic dispersions.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center CB Decorator filler 13789 decorators caulk filler 400ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/66/NW-N37666_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Center-CB_Decorators-Caulk_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center-CB_Decorators-Caulk_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P689166,Advanced Engineering DrainKleen one shot condensate drain cleaner,Advanced Engineering,7.76,"Formulated to clear organic blockages in air conditioning and refrigeration units, Advanced Engineering DrainKleen one shot condensate drain cleaner is a powerful and effective liquid drain cleaner delivered in a perfect size for treating a single condensate drain. DrainKleen's swan neck spout makes application easy, even in hard to reach drains.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering DrainKleen one shot condensate drain cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/66/NW-689166_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_DrainKleen_&_One_Shot_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_DrainKleen_One_Shot_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_DrainKleen_One_Shot_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
27,P689102,Advanced Engineering QwikCheck acid test kit,Advanced Engineering,18.61,"A fast system offering reliable results, the Advanced Engineering QwikCheck acid test kit checks for acid in air conditioning and refrigeration circuits, a problem that can cause your system to burn-out. Providing a clear yellow-to-red colour change indication in just five seconds, QwikCheck isn't just quick and easy to use, it's also clean and safe for use in most refrigeration systems.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering QwikCheck acid test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/02/NW-689102_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_QwikCheck_Shot_Injector_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P555324,Center Cleaning 1102 3 plyable perforated wipes pack (multi-buy x 6),Center,16.56,"Supplied in an easy-tear roll, these Center CB perforated wipes are made of a good quality three-ply tissue, ideal to keep in the van or workshop for quick wiping down and mopping up spillages.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center Cleaning 1102 3 plyable perforated wipes pack (multi-buy x 6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/581046_wm.jpg,Cleaning,N,1,Roll,470 x 377 x 512,555324 PK,Perforated Wipes,N,Blue colour,Strong 3-ply,Multi-purpose use,Excellent cleaning ability,Offer value for money,,,,,,,,,,,multi-buy x 6,,,,,,,,,,,,,,,,,
29,P689026,Advanced Engineering RTU CC (ready mixed) condenser cleaner 1ltr,Advanced Engineering,22.42,"Ideal for use as part of your routine maintenance, Advanced Engineering RTU CC condenser cleaner effectively removes all common types of dirt and debris. This cleaner has a safe, biodegradable formula that is quick and easy to use.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering RTU CC (ready mixed) condenser cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/26/NW-689026_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_CC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_EasyFoam_GreaseGobbler_RTUCC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_RTU_CC_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,
30,P689165,Advanced Engineering StayClean mini tablets,Advanced Engineering,6.97,"Safe, soluble and non-corrosive, Advanced Engineering StayClean mini tablets controls odours and prevents sludge build-up and blockages in condensate trays and drains. Easy to use and leaving no residue, StayClean uses a single tablet to treat a 2 - 3kW system for up to eight weeks, meaning that this packet of 20 tablets will provide you with several months of clean, efficient operation.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering StayClean mini tablets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/65/NW-689165_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_StayClean_Tablets_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_Aspen_Pumps_StayClean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_StayClean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_StayClean_Technical.pdf,,,,,,,,,,,,,,,,
31,PN68201,Encasement Boiler Casing - 200x400x200 x 495 FSC,Encasement,50.58,An Encasement 200 x 400 x 200 x 495mm (F) boiler casing.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Encasement Boiler Casing - 200x400x200 x 495 FSC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/01/N68201_wm.jpg,,N,,,,BC200400200495,Boiler Casing,N,Casing is made from 8mm Plywood,White laminate finish.,,,,,,,,,,,,,,,,300.00000,,,,,,,,,,,,,,,
32,PV74118,Decosol ready mix screenwash 5ltr,Decosol,4.28,"This Decosol ready mixed screenwash solution removes traffic film and road dirt, leaving a gleaming smear-free finish.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Decosol ready mix screenwash 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/18/NW-V74118_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Decosol_AD25XLS_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PC02070,Center multi purpose wipes 300 pack,Center,10.83,"Center multipurpose wipes degrease and clean effectively, removing everything from solvents to paints, silicones, foams and general grime with a quick swipe. A heavy duty 20GSM design manufactured from 100% SMS polypropylene, these wipes are designed with tradespeople in mind, going tough on dirt while protecting the skin with an alcohol-free formulation imbued with lavender and peppermint oils. These strong, all-purpose wipes are suitable for use on hard surfaces, hands, tools and more, making them a tool bag and workshop must-have.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center multi purpose wipes 300 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/70/C02070_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/pk/C02070_CENTER_WIPES_DS_300PK.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ip/es/CB_SDS MULTI PURPOSE WIPES.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P852926,Numatic Charles vacuum cleaner Blue,Numatic,236.37,"Powerful and efficient, this Numatic Charles CVC370 wet and dry vacuum cleaner tackles day-to-day dry vacuuming jobs and, with a simple filter change, can extract liquids and suck up spills too. Supplied with a wide range of accessories, this vacuum cleaner is ideal for use on carpets, solid floors and upholstery, can unblock sinks and mop up spills.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Numatic Charles vacuum cleaner Blue,,Vacuum cleaner;Nozzles;Extension tubes;Tube bend with volume control;Crevice tool;Hoses;Tool adaptor;Brush,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/26/NW-852926_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Numatic_Charles_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Numatic_Charles_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Numatic_Homecare_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
35,P469595,Testo irda printer for flue gas analysers,Testo,236.65,"Helping to make working with a flue gas analyser or similar tool simpler, this Testo IRDA universal printer with infrared interface has a two second data transfer, storing print data before carrying out a requested print job quickly and without keeping your analyser out of action. Saved black on white, readings are stored with a date and time, making it easier to find just what you looking for.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Testo irda printer for flue gas analysers,,4x type AA batteries,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/95/NW-469595_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_0554_0549_Printer_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Testo_0554-0549_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PN66965,Procell intense AA pack of 10,Procell,5.04,A ten-pack of Procell Intense AA batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Procell intense AA pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/65/N66965_wm.jpg,,N,,,74 x 54 x 30 mm,MN1500INTPX/10,AA,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PN42771,Pendock Boiler Casing Boiler casing self assembly,Pendock,39.61,"Environmentally-friendly and sustainably sourced, these Pendock 500 x 400mm, 8mm thick boiler pipe casings hide the hot, unsightly pipes of wall-mounted boilers. This ensures a neater finish and keeps both engineers and residents safe from scalding.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Pendock Boiler Casing Boiler casing self assembly,,2 No MX 200 x 200 x 500mm & 1 No H joint 500mm,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/71/N42771_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pendock_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P689171,Advanced Engineering HookTite universal cleaning cover 1000 x 1000mm,Advanced Engineering,105.65,"Designed to assist in cleaning ceiling-mounted evaporators, the Advanced Engineering HookTite cleaning cover helps to minimise the splashing of cleaning products during maintenance, keeping furnishings and wall coverings clear and providing better protection for the user.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering HookTite universal cleaning cover 1000 x 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/71/NW-689171_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_HookTite_TieTite_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT86973,Rothenberger ROH200 compact head torch,Rothenberger,13.51,"The Rothenberger ROH200 compact head torch is suitable for home or site use, offering useful hands-free illumination while you work. With a long running time and an inbuilt rechargeable battery, this tough, impact-resistant head torch is also ideal for outdoor pursuits.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Rothenberger ROH200 compact head torch,,1x Torch,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/73/T86973_wm.jpg,,N,,Blister/Paper Backing Card,,1500003811,Head Torch,N,Black colour,200 lumens brightness,55M range,Capable of running for up to 5 hours,1.5M impact resistance,,,,,With 5x light modes,Motion sensor operation,Li-ion rechargeable battery,No need for replacement batteries,,,,,,Black,N/A,Ideal for work or home applications.,,,,,,,,,,,,
40,P503897,FireAngel Battery FA3313-EUX10 10 year Carbon Monoxide (CO)  alarm replaceable battery,FireAngel,18.51,"Suitable for replacement battery use, the FireAngel FA3313-EUX10 carbon monoxide alarm uses up to the minute CO sensing electrochemical technology to sound an unmissable alarm should CO reach unhealthy levels. This alarm is recommended for use anywhere a fuel-burning appliance like a boiler, open fire or gas hob is installed.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> FireAngel Battery FA3313-EUX10 10 year Carbon Monoxide (CO)  alarm replaceable battery,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/97/503897_wm.jpg,Battery,N,,,,FA3313-EUX10,Carbon Monoxide (CO)  Alarm,N,Advanced electrochemical sensor,Sensor calibrated and tested in CO to provide early warning,10 year product life,1 year replaceable batteries,"Offers clear, loud alarm",,,,,Intelligent CO sensing algorithm provides increased sensing rate of detection of low level CO,BSI Kitemark approved,,,,,,,,,,"Any room with a fuel burning appliance e.g. boiler, open fires, gas hob or a flue",Carbon Monoxide,1 Year,3V DC,,,,,,,,,
41,PN45477,Virax pump action waste and toilet cleaner,Virax,47.76,"Supplied with a pair of tough, non-slip, soft touch handles, this Virax Professional pump-action pipe cleaner is suitable for wash hand basins, sinks, showers and toilets, employing pressure and suction to clear pipes effectively.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Virax pump action waste and toilet cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/77/NW-N45477_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Virax_Pipe_Cleaner_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PN66966,Procell intense AAA pack of 10,Procell,4.91,A ten-pack of Procell Intense AAA batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Procell intense AAA pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/66/N66966_wm.jpg,,N,,,106 x 48 x 14 mm,MN2400INTPX/10,AAA,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PN66969,Procell intense 9 V pack of 10,Procell,20.03,A ten-pack of Procell Intense 9V batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Procell intense 9 V pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/69/N66969_wm.jpg,,N,,,131 x 36 x 51 mm,MN1604INTPX/10,9V,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P415180,Kitchenmaster 404 limescale remover 4 x 5ltr,Kitchenmaster,131.82,This Kitchenmaster 404 powerful phosphoric acid-based descaler is suitable for use on stainless steel surfaces and equipment including shower heads.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Kitchenmaster 404 limescale remover 4 x 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/80/NW-415180_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/415180_Kitchenmaster_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P689226,Advanced Engineering EasyCare aerosol 600ml,Advanced Engineering,16.72,"Ensuring good indoor air quality, Advanced Engineering EasyCare evaporator cleaner and disinfectant offers a highly effective cleaning action to improve air conditioning efficiency while disinfectant ensures total hygiene and safety.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering EasyCare aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/26/NW-689226_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_EasyCare_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_CondenCide_EasyCareEasyFresh_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/es/AE_CondenCide_Certificates.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_EasyCare_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,
46,PH74230,Stadium builders bucket 3 gallon Black,Stadium,1.34,This Stadium BB4 10L capacity pour and scoop bucket offers easy scooping and accurate pouring.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Stadium builders bucket 3 gallon Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/30/NW-H74230_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flambeau_Stadium_Product_Guide_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P655855,Rothenberger Rospi 6 drain cleaner comes with 4.5m cable,Rothenberger,78.43,"Minimising the effort needed to remove blockages, the Rothenberger Rospi 6 H + E Plus drain cleaner effectively clears the connecting cables of sink, showers and bathtubs through electric or manual use. This drain cleaner connects to a drill easily using its hexagonal drive.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Rothenberger Rospi 6 drain cleaner comes with 4.5m cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/55/NW-655855_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Rospi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P500745,Uniwipe Ultragrime Pro Pro Multuse Xxl+C/Wipes 100Pk,Uniwipe,10.51,"Clean and convenient, Uniwipe UltraGrime Pro Multiuse wipes help to effectively clean hands and surfaces, no matter the situation. Specially formulated to clean up even the most challenging substances, including oil, grease, ink, paint, silicones and uncured PU foam, these environmentally-friendly XXL+ size wipes are reliably strong, so they won't tear or deteriorate while you scrub, and stay wet for longer, even when the tub's left open. Designed for reliable cleaning in any environment, Multiuse wipes are a must-have for the store room or work van.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Uniwipe Ultragrime Pro Pro Multuse Xxl+C/Wipes 100Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/45/500745_wm.jpg,Ultragrime Pro,N,100 Wipes,,,5900,Cleaning Wipes,N,Pack of 100,Large 380 x 250mm size,Strong and soft cloth-like fabric,Stays wet for over an hour,"Won't dry out, even when lid is left open for several days",,,,,"3-in-1 action, lifts, cleans and protects",High levels of absorbancy,"Removes grease, paint, silicone, uncured PU foam and adhesive","Strong, flexible and recyclable packaging",More than 77% less plastic than regular tubs,Dispenses 1x wipe at a time,,,,,,,,,,Safe for use on all surfaces,Dermatologically tested for skin safety,Alcohol-free formula,With vitamin E and aloe extract,,,,,
49,PF16210,Center CB PVC tin cleaning fluid 250ml,Center CB,8.99,"Supplied in a 250ml tin, this Center CB PVC cleaner pres joints by cleaning grease and dirt from rigid PVC, PVC-C and ABS.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center CB PVC tin cleaning fluid 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/10/NW-F16210_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_PVC_Cleaner_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CENTER_BRAND_F16210_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Center_TinCleaningFluid_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
50,P800815,Regin Back to Black coal paint 200ml,Regin,12.12,"Regin Back To Black coal paint is used to return fireplaces to their original deep black colour. Supplied in an easy to use aerosol, Back To Black OEM pigment is suitable for use in gas fires up to 1100°C.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Regin Back to Black coal paint 200ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-800815_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Regin_REGZ65_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
