,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Part Gas Council number,Attachment 1,By Model Number,Body Material,Attachment 2,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Pack Quantity,Range,Attachment 3,Range For Use With,Weight,Warranty,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,For Use With
149,P127851,Vaillant programmable room control,Vaillant,134.64,"Helping a boiler to operate at maximum efficiency, the intelligent Vaillant VRT350 programmable room thermostat gives the homeowner control over heating and hot water timings and temperatures. With simple, easy to understand controls, this thermostat has a selection of operation and temperature modes built-in for intuitive use.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant programmable room control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/51/127851_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Control_Brochure.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/78/51/127851.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,P501204,Vaillant 193586 harness,Vaillant,36.0,"A Vaillant wiring harness for boilers in the ecoTEC VU (condensing) and ecoTEC VUW (condensing) ranges.  These groups of wires give the PCB complete control over the boiler's processes and safety protocols.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 193586 harness,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/04/501204_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_Plus_VU_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P501378,Vaillant 180945 gas pipe,Vaillant,66.2,"This Vaillant gas pipe is compatible with ecoTEC VU (condensing) and ecoTEC VUW (condensing) boilers.  Gas pipework includes external pipework, which is connected to a wall jig and enables the influx of gas, and internal pipework, which transports gas to, from and between the various internal parts that require it.   We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 180945 gas pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/78/501378_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,P417846,Vaillant 0020246709 electrode ignition,Vaillant,27.15,"This Vaillant ignition electrode is for use in the gas assembly of domestic boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020246709 electrode ignition,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/46/417846_wm.jpg,N,,"Burner, Heat exchanger",Domestic,0020246709,,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,P501125,Vaillant adaptor 60/100mm,Vaillant,14.77,"This adaptor is a genuine Vaillant part for use in the flue section of ecoFIT VU (condensing), ecoFIT VUW (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), Home (condensing), Guernsey/Jersey only (condensing) and ecoTEC VUI (condensing) boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant adaptor 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/25/501125_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_exclusive_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,P475496,VAIL 064714 HEAT EXCHANGER 24KW,Vaillant,355.19,"A Vaillant complete heat exchanger suitable for TURBOmax VUW (fan-assisted) and THERMOcompact VU (fan-assisted) boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> VAIL 064714 HEAT EXCHANGER 24KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/96/475496_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_Turboblock_Turbotop_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,P417899,Vaillant 0010032754 cable,Vaillant,16.28,"A genuine brand spare, this Vaillant cable is compatible with boilers in the ecoMAX range.  Wires and cables connect the printed circuit board (PCB) to thermostats, switches and sensors, giving it complete control over the boiler's processes and safety protocols.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0010032754 cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/99/NW-417899_wm.jpg,N,,Connection Parts,ecoMAX,0010032754,,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,P409130,Vaillant hydroblock,Vaillant,25.3,"This Vaillant connection is a diverter valve part designed for use in the ecoTEC VU (condensing) range and Guernsey/Jersey only appliances (condensing).  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant hydroblock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/30/409130_wm.jpg,N,"ecoTEC plus 615 VU 156/5-5 R6, ecoTEC plus 618 VU 186/5-5 R2 LPG, ecoTEC plus 618 VU 186/5-5 R4 LPG, ecoTEC plus 624 VU 246/5-5 R4, ecoTEC plus 630 VU 306/5-5 R6 LPG, ecoTEC plus 637 VU 376/5-5 R4, ecoTEC pro 22 VU 226/5-3 R4, ecoTEC plus 612 VU 126/5-5",Diverter Valve,"ecoTEC VU (condensing), Appliances ONLY for Guernsey/Jersey (condensing)",0020148396,Connection,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,P498912,VAIL 160949 PUMP,Vaillant,183.12,"A genuine Vaillant replacement pump for use in ecoMAX VU (condensing) and ecoMAX VUW (condensing) appliances.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> VAIL 160949 PUMP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/12/498912_wm.jpg,N,"ecoMAX 618/2 E VU 186/2-C, ecoMAX 622/2E VU 226/2-C, ecoMAX 613/2 E VU 126/2-C, ecoMAX 828/2 E VUW 286/2-C, ecoMAX 824/2 E VUW 246/2-C",Pump,"ecoMAX VU (condensing), ecoMAX VUW (condensing)",160949,Pump,N,,,"ecoMAX 828/2 E VUW 286/2-C,ecoMAX 622/2E VU 226/2-C,ecoMAX 613/2 E VU 126/2-C,ecoMAX 824/2 E VUW 246/2-C,ecoMAX 618/2 E VU 186/2-C",,,,,,,,,,,,,,,,,,,,,,,,,2240.00000,,,,,,,
158,P468696,Vaillant 630-146-0001 expansion vessel,Vaillant,163.9,"This boiler heating expansion vessel is supplied with washer for hassle-free fixing. It is suitable for Vaillant's ecoTEC, PLUS and pro Vaillant VU VUI and VUW boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 630-146-0001 expansion vessel,,Expansion vessel;3x O-rings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/96/468696_wm.jpg,N,,Expansion Vessel,N/A,100-146-0102,Expansion Vessel,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,P498995,Vaillant aqua sensor impeller,Vaillant,127.27,"A Vaillant brand sensor impeller for the flow switch of ecoMAX VUW (condensing) boilers.  The flow switch, or flow meter, has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant aqua sensor impeller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/95/498995_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoMAX_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,P409137,Vaillant 0020135118 flange,Vaillant,209.24,"This Vaillant flange is designed for use in the gas assembly of EcoTec Plus, EcoTec Pro and EcoTec Exclusive boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020135118 flange,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/37/409137_wm.jpg,N,,Gas Assembly,EcoTec Plus;EcoTec Pro;EcoTec Exclusive,0020135118,Flange,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,P501634,Vaillant throttle jet and gas coding plug Yellow,Vaillant,59.48,"A Vaillant jet and plug suitable for the gas assembly of ecoTEC VU (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) appliances.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant throttle jet and gas coding plug Yellow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/34/501634_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC5_R6_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,P412302,Vaillant fan,Vaillant,226.39,"A genuine Vaillant spare part, this fan is compatible with the brand's ecoTEC Sustain and Pro ranges.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/02/412302_wm.jpg,N,,Gas Section,ecoTEC sustainecoTEC pro,0020216847,Domestic Boiler Parts,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,P500348,Vaillant 0020040154 display panel,Vaillant,106.98,"A genuine Vaillant printed circuit board for ecoTEC VUW (condensing) boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020040154 display panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/48/500348_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_pro_24-28_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,P498936,Vaillant sealing ring,Vaillant,10.71,"This Vaillant sealing ring is suitable for the heat exchanger of Guernsey/Jersey only (condensing), ecoMAX VU (condensing), ecoMAX VUW (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) units.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant sealing ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/36/498936_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,P475491,Vaillant ignition and mono electrode,Vaillant,37.12,"A genuine Vaillant spare, this ignition spark electrode is designed for TURBOmax VUW (fan-assisted) and THERMOcompact VU (fan-assisted) appliances.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant ignition and mono electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/91/475491_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_TURBOmax_Pro_28_2E_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,P500185,Vaillant flexible tube,Vaillant,27.88,"A Vaillant flexible hose for use in the pipework of Guernsey/Jersey only (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) boilers.  In a boiler pipework either allows water into a heating unit, including the mains water supply and the pipework on a wall jig, or is found within an appliance and carries water between the various mechanisms that require it, including the diverter valve and heat exchanger.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant flexible tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/85/500185_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,P501638,Vaillant 0020135162 wiring harness,Vaillant,33.94,"A Vaillant wiring harness suitable for use in ecoTEC VUW (condensing) boilers.  These groups of wires are designed to give the PCB complete control over the boiler's processes and safety protocols.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020135162 wiring harness,,Wiring Harness,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/38/501638_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_pro_plus_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,P475949,Vaillant filling valve without non-return valve,Vaillant,34.97,"This Vaillant filling valve is a spare diverter valve part for TURBOmax VUW (fan-assisted) and aquaPLUS VUI (fan-assisted) appliances.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant filling valve without non-return valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/49/475949_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aquaPLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,P409037,Vaillant 0020082192 insulation set,Vaillant,44.92,"A Vaillant insulation set designed for the heat exchanger section of aquaPLUS VUI (fan-assisted), TURBOmax VUW (fan-assisted) and THERMOcompact VU (fan-assisted) boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020082192 insulation set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/37/409037_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_atmoTEC_Pro_Plus_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,P417847,Vaillant 0020213902 control box back panel,Vaillant,26.82,"This Vaillant control box back panel is a suitable part for the control panel of VC 146/7-2 and VCW 206/7-2 units.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020213902 control box back panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/47/417847_wm.jpg,N,,Control Panel,,0020213902,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,P476270,Vaillant 981149 O rings (10),Vaillant,9.88,"This Vaillant pack of 10x sealing rings is suitable for the heat exchanger of Guernsey/Jersey only (condensing), ecoFIT VU (condensing), ecoFIT VUW (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), MAG (conventional flue), THERMOcompact VU (fan-assisted), TURBOmax VUW (fan-assisted), ecoMAX VU (condensing), Home (condensing), aquaPLUS VUI (fan-assisted), ecoMAX VUW (condensing), ecoTEC VUI (condensing), MAG (balanced flue), VC-VCW (balanced flue), VC-VCW (conventional flue) and VEK (boiling water heaters) units.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 981149 O rings (10),,10x sealing rings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/70/476270_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,P498940,Vaillant printed circuit with display (grey),Vaillant,55.87,"A genuine Vaillant printed circuit board for ecoMAX VUW (condensing), ecoMAX VU (condensing) and aquaPLUS VUI (fan-assisted) boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant printed circuit with display (grey),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/40/498940_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_atmoVIT_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
