,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Hazardous,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Model For Use With,By Model Number,Attachment 6,Attachment 7,Weight,Depth (mm),Dimensions (L x W x D),Range For Use With,Flue Type,Flue Diameter,Flue Length,Warranty,Flue Size
27,P127989,Vaillant flue support clips 125mm (Pack of 5),Vaillant,48.15,"Supplied in a pack of five, these Vaillant 125mm grey support clips with satin finish are suitable for Vaillant's horizontal flue duct 80/125 SS.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant flue support clips 125mm (Pack of 5),,5x support clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/89/NW-127989_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P417417,"Center CB Terminal Guard square 7.5 x 3.5 x 4.5"" Stainless Steel",Center CB,15.04,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard square 7.5 x 3.5 x 4.5"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/17/417417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417417_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417417_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P118807,Baxi Multifit rear telescopic flue 220-345mm,Baxi,136.16,This Baxi 220 - 345mm rear telescopic flue in white is designed for flexibility when fitting 600 and 800 range boilers.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit rear telescopic flue 220-345mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/07/118807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P795817,Baxi grommet PRV,Baxi,19.79,"A Baxi spare, this grommet is suitable for Duo-tec 2, EcoBlue, EcoBlue ErP, Promax Ultra ErP, Platinum 2 and Megaflo 2 boilers. The grommet is designed to create seals between pipework and parts. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi grommet PRV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/17/795817_wm.jpg,,,,,,,N,Gas Assembly,"Duo-tec 2, EcoBlue, EcoBlue ErP, Promax Ultra ErP, Platinum 2, Megaflo 2",H90545,720783001,Grommet,N,,,,,,,,,,"Duo-tec 2 Combi 24 GA, EcoBlue Advance Combi 24, EcoBlue Advance Combi 28, EcoBlue Advance Combi ErP 28, Promax Ultra Combi ErP 33, Duo-tec 2 Combi 28, Duo-tec 2 Combi 33 GA, Duo-tec 2 Combi 40, Promax Ultra Combi ErP 24, Promax Ultra Combi ErP 28, 28 GA","Combi 28 GA,Combi 40 GA,Combi 24 GA,Combi 33 GA",,,,,,,,,,,
31,P211196,Baxi Multifit flue extension and support bracket 0.5mtr 60/100mm,Baxi,45.84,"Supplying an additional 500mm on a flue run, this Baxi 60/100mm white flue extension is provided with a support bracket and fixing screws for ease of installation. It offers compatibility with Platinum, Duo-Tec, Megaflow, EcoBlue, EcoBlue+, EcoBlue Advance Combi, System and Regular boilers.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit flue extension and support bracket 0.5mtr 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/96/NW-211196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P127145,Vaillant ecoTEC spacing frame,Vaillant,66.89,"Designed for use with ecoTEC Plus and ecoTEC Pro boilers, this Vaillant spacing frame allows for pipes to be run behind a unit for a neater, more compact installation.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant ecoTEC spacing frame,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/45/127145_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_ecoTEC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Recoflue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_Plus_Pro_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P118226,Baxi Multifit flat roof flashing,Baxi,67.44,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit flat roof flashing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/26/118226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Gold_Combi_HE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P127140,Vaillant ecoTEC 303933 standard horizontal flue duct,Vaillant,116.74,A Vaillant ecoTEC standard horizontal flue duct. A boiler's flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant ecoTEC 303933 standard horizontal flue duct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/40/127140_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoTECCombi_Sys_Boiler_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P123340,Ideal Spares Pack-B high efficiency standard flue,Ideal,107.51,"An Ideal 100 x 400mm horizontal flue kit, Pack B, for the Mexico HE and Classic HE. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Ideal Spares Pack-B high efficiency standard flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/40/NW-123340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_HE-Heat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PF87903,Deks Industries Dektite DFE103B pipe flashing 5-127mm Black (1),Deks Industries,17.5,"A handy all-in-one product, this Deks Industry 5 - 127mm pipe flashing is made of EPDM with a black finish.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Deks Industries Dektite DFE103B pipe flashing 5-127mm Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/05/F87903_F87905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Dektite_Rubber_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P793182,Worcester Bosch grommet,Worcester Bosch,1.15,"A Worcester Bosch spare, this grommet is suitable for use in the hydraulics of Greenstar and Greenstar ErP boilers.  The grommet is designed to create seals between pipework and parts.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester Bosch grommet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/82/793182_wm.jpg,,,,,,,N,Hydraulics,"Greenstar, Greenstar ErP",H32143,87161065660,Grommet,N,,,,,,,,,,"29 CDi, 30 CDi LPG, 30 CDi System, 34 CDi Classic, 35 CDi LPG, 42 CDi, 30 CDi, 42 CDi Classic, 25 CDi, 30 CDi Classic System LPG, 34 CDi, 34 CDi LPG, 38 CDi Classic LPG, 532/i, Heatslave II 12/18 External, Heatslave II 18/25 External, 29 CDi Classic LPG,",,,,,,,,,,,,
38,P417414,Center Center universal terminal guard fixing kit,Center,2.63,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications. Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish. This Fixing Kit is designed for use with Center Terminal Guards range – products 417415-417422.  This Kit includes 4 x Stainless Steel Screws.  The Screws include an Integral Washer, which is sized specifically to the wall fixing positions on the range of Terminal Guards.  No additional Washers are required in support of the Guard installation.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center Center universal terminal guard fixing kit,,Four screws ;Four PE wallplugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/14/417414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417415_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417418_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417422_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417421_Technical.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417419_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417417_Technical.pdf,,,,,,,,,
39,P235303,Drugasar ART8/10 standard flue kit 440mm,Drugasar,185.37,"A balanced flue heater, this Drugasar ART8/10 440mm standard telescopic wall flue kit has piezo spark ignition.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Drugasar ART8/10 standard flue kit 440mm,,"Terminal, duct, tie rods",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/03/235303_wm.jpg,,,,,,,N,,,,24360,Flue Kit,N,"For use with 1824G LPG, 2424G NG, 1824G NG and 2424G LPG",Integral thermostat,Flame failure protection,,,,,,,,"2424G LPG,1824G LPG,2424G NG,1824G NG",,,3.41400,75,33 x 34 x 75 mm,,,,,,
40,P443784,Glow-worm hinge,Glow-worm,8.53,"A Glow-worm hinge for use in the control panel of Ultimate, Flexicom and British Gas boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Glow-worm hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/84/443784_wm.jpg,,,,,,,N,Control Panel,"Ultimate, Flexicom, British Gas",H42779,0020020774,Hinge,N,,,,,,,,,,"24H, 18SX, 30HX, 12HX, 24CX, 18HX, 30CX, 35CX, BG330+, 15HX, 24HX, 30SX, 35HX",,,,,,,,,,,,
41,P117240,Grant high level balanced flue adjustable flue kit (for 26 70KW boilers) 1.2mtr,Grant,421.41,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Grant high level balanced flue adjustable flue kit (for 26 70KW boilers) 1.2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/40/117240_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P117221,Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),Grant,482.43,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/21/117221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P501548,Vaillant gas pipe bracket,Vaillant,8.27,"A Vaillant gas pipe bracket suitable for ecoMAX VU (condensing) and ecoTEC VU (condensing) boilers.  Gas pipework includes external pipework, which is connected to a wall jig and enables the influx of gas, and internal pipework, which transports gas to, from and between the various internal parts that require it.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant gas pipe bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/501548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTECplus_415-438_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P114517,Warmflow vertical balanced flue,Warmflow,341.81,Vertical balanced flue,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Warmflow vertical balanced flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/17/114517_wm.jpg,,,,,,,N,Flue,He Combi/Utility,,VBFUK,Flue,N,Suitable for use with the HE Combi/Utility range only,,,,,,,,,,,,,,,,HE Combi/Utility,,,,,
45,P476262,Vaillant 098912 support,Vaillant,10.28,"A Vaillant spare, this support is used in the control panel of ecoMAX VU (condensing) and ecoMAX VUW (condensing) boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant 098912 support,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/62/476262_wm.jpg,,,,,,,N,Control Panel,"ecoMAX VU (condensing), ecoMAX VUW (condensing)",,098912,Support,N,,,,,,,,,,"ecoMAX 635 VU 356/2-C, ecoMAX 835 E VUW 356-C, ecoMAX 635E VU 356-C, ecoMAX 646 VU 466-7, ecoMAX 665 VU 656-7",,,,,,,,,,,,
46,P182250,Deks Industries SolarDek compliant solar pipe flashing (2 per box ),Deks Industries,74.2,"Suitable for 8 - 35mm flue diameters, the Deks Industries SolarDek pipe flashing provides safe, efficient flashing of solar thermal pipes and cables on tile and slate roofs. Incorporating a stain and corrosion-free Nu-Lead base and a long-life Dektite EPDM or grey silicone cone, this flashing is specifically designed for solar thermal pipe sizes.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Deks Industries SolarDek compliant solar pipe flashing (2 per box ),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/50/NW-182250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Deks_Industries_Flashing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Deks_SolarDek_Flashing_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P196073,Alpha concentric flue extension 750mm,Alpha,53.4,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Alpha concentric flue extension 750mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/74/196073_196074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD_Easy_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P117363,Grant 45deg eblow extension (for 46 70KW boilers) 125mm White,Grant,52.44,"Used to offset a flue, this Grant 45° 125mm offset elbow is suitable for 46 - 70kW domestic or commercial boilers.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Grant 45deg eblow extension (for 46 70KW boilers) 125mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/63/NW-117363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ_Fit_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Condensing_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P118758,Baxi Multifit flue terminal deflector,Baxi,86.95,Multifit flue group A,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit flue terminal deflector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/58/118758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P417419,"Center CB Terminal Guard square 16 x 7 x 16"" Stainless Steel",Center CB,38.27,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard square 16 x 7 x 16"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/19/417419_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417419_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417419_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P246257,Danfoss thermostatic return temperature controller 1/2”,Danfoss,411.93,"Offering automatic control of return water temperature from hot water tanks, the Danfoss FJV15 1/2"" thermostatic return temperature controller is designed for installation in direct connected district heating systems. Also providing automatic control of the return water temperature in district heating systems with a mixing loop, this controller is fitted using 1/2"" connections.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Danfoss thermostatic return temperature controller 1/2”,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/57/246257_wm.jpg,,,,,,,N,,,,003N2250,Temperature controller,N,The FJV ensures that return water is cooled to required temperature before it flows back to the district heating plant,,,,,,,,,,,,,,,,,,,,,
52,P292017,Tower Flue Tower air seperator 22mm,Tower Flue,26.24,This Tower Flue 22mm air seperator is suitable for use in open vented heating systems.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Tower Flue Tower air seperator 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/17/292017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/TowerFlue_AirSeparator_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/TowerFlue_AirSeparator_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/TowerFlue_AirSeparator_Dimension.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
