,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Colour,Diameter,Material,Size,Connection Type,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Connection Type 1,Depth (mm),Material Type,Warranty,Finish,Weight,Dimensions mm (H x W x D),Design Type,Shape,Fittings Included
68,P257448,Center large and small metal syphon c link kit (2),Center,2.76,"Designed for connecting a cistern lever to a siphon's C link, Center's adjustable siphon linkages are manufactured in robust stainless steel. This handy C link kit includes a small 50mm/2"" C link and a large 102mm/4"" C link.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center large and small metal syphon c link kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/48/257448_wm.jpg,,,N,PPSSYS374514,Syphon Linkage Arm,N,High quality stainless steel construction,Large and small sizes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PB79701,"Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",Thomas Dudley,15.79,"Easy to install and robust, this Masefield BBS 1"" automatic siphon is fully tested for reliable use and contains no moving parts, reducing the need for ongoing maintenance.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/01/NW-B79701_wm.jpg,,BBS Auto Syphons,N,PURAUT364932,Automatic Syphon,N,Inexpensive and simple to install,No moving parts for minimal maintenance,Requires no electricity or energy supply,Caters to flushing requirements of large and small urinals and toilets,,,,"1"" BSPT",With 2x rubber washers and nut,Each siphon is fully factory tested,Flushing volumes based on average sized cistern and may vary,Compatible with BS1876 cisterns,WRAS approved,,,,,,,,,,,,,,,,,,160,,,,,,,,
70,PC58913,Thomas Dudley Dudley ball valve repair kit box,Thomas Dudley,13.36,Plumbers O-ring repair kit box.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Dudley ball valve repair kit box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/13/C58913_wm.jpg,,Dudley,N,PPSPLB367508,Repair Kit Box,N,Plumbers O-ring repair kit box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PJ44468,Grohe EAU2 pneumatic push button,Grohe,39.36,"With front or top actuation, this Grohe EAU2 pneumatic push button includes extended hose length for flexibility when positioning. The minimal styling of the button allows for fitting anywhere in 360° orientation.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Grohe EAU2 pneumatic push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/68/NW-J44468_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_EAU2_38771000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_38_771_38_906_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PJ23803,Armitage Shanks Contour 21 back outlet waste assembly (1),Armitage Shanks,126.33,This Armitage Shanks Contour 21 back outlet waste assembly is for use with the Contour 21 back outlet basin.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Armitage Shanks Contour 21 back outlet waste assembly (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/J23803_wm.jpg,1,Contour 21,N,SR02167,Outlet adapter,N,for use with Contour 21 back outlet basins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,
73,PD77180,Bristan Trinity copper tap tails M12 x 265mm (Pair),Bristan,13.91,A Bristan Trinity pair of copper tap tails for bidet mixers with pop-up waste taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Bristan Trinity copper tap tails M12 x 265mm (Pair),,2x copper tap tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/80/NW-D77180_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PU94952,Geberit fill valve type 380AG,Geberit,26.07,"Made of plastic, this Geberit type 380AG fill valve is supplied with a rubber inlet diaphragm washer and thread washer.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Geberit fill valve type 380AG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/52/NW-U94952_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_AquaCleanMeraClassic_WC_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PA05101,Center H0512 tap reviver cross head 1/2 (1 pair),Center,13.3,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with crossheads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center H0512 tap reviver cross head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/01/A05101_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05101 - Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PC92713,Ideal Standard Avon self closing cartridge for 8012,Ideal Standard,136.93,"Made of brass, this Ideal Standard Avon self-closing cartridge is suitable for use with B8263AA, B8861AA and S7316AA Avon basin mixer taps.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard Avon self closing cartridge for 8012,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/13/NW-C92713_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/IStandard_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,P171016,"CME Sanitary Systems ball valve bottom entry 1/2""",CME Sanitary Systems,24.57,"Designed for toilet cisterns, this bottom entry CME Sanitary Systems Hushflow 8 1/2"" pedestal height three-part ball valve is supplied with a 1/2"" connection, 8 1/4"" ball valve arm and fixings.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> CME Sanitary Systems ball valve bottom entry 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/16/NW-171016_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PD77154,"Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",Bristan,18.97,"A pair of Bristan replacement quarter turn, 1/2"" hot and cold tap valves.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",,2x valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/54/NW-D77154_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PD00225,Siamp Inlet Valve Spares diaphragm washer,Siamp,4.34,This Siamp diaphragm washer is suitable for side and bottom supplied inlet valves.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Siamp Inlet Valve Spares diaphragm washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/25/NW-D00225_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PD00231,Siamp Optima replacement seal (49 and 50),Siamp,6.88,This Siamp Optima replacement outlet seal is suitable for inlet valves.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Siamp Optima replacement seal (49 and 50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/31/NW-D00231_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PC59107,"Masefield Torbeck bottom inlet float valve, telescopic 1/2"" Brass Tail",Masefield,27.03,"Easy to install, this Masefield Torbeck quiet filling bottom inlet telescopic part 4 float valve has a brass tail to prevent cross-threading.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Masefield Torbeck bottom inlet float valve, telescopic 1/2"" Brass Tail",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/07/NW-C59107_wm.jpg,,Torbeck,N,367051,Float Valve,N,Equilibrium quiet filling,Reduces water hammer,"1/2"" brass tail",Anti back siphon design prevents contamination of fresh water supply,,,,Fits most cisterns,Manufactured in the UK,Approved to BS 1212 part 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PD00228,Siamp Optima 49 push button,Siamp,12.35,The Siamp Optima 49 push button is for use with a flush valve and is supplied with a chrome spacer shroud to allow flexible installation into cistern lids with 20 - 50mm holes.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Siamp Optima 49 push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/28/NW-D00228_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PD78003,Aqualisa Aquastream loom assembly,Aqualisa,43.33,This Aqualisa microswitch and loom assembly with bridge rectifier is suitable for Aquastream power shower models.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Aqualisa Aquastream loom assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/03/NW-D78003_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Aqualisa_Brochure_2013.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PC58960,"Masefield X-Type front lever 3/8"" with 1/2"" bush",Masefield,12.04,A universal use Masefield X-Type front cistern lever assembly pack includes two bush sizes to guarantee fitting.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Masefield X-Type front lever 3/8"" with 1/2"" bush",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/60/NW-C58960_wm.jpg,,X-Type,N,PTOLEV367093,Front Lever,N,Lever shape for easy flush at the touch of a finger,Standard 110mm spindle,High quality strong metal construction,"Smooth, chrome-plated finish",,,,Compatible with most lever flush toilet cisterns,Supplied with bush nut and plastic adjustable lift arm,"Supplied with 3/8"" and 1/2"" bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PC58931,Dudley Syvac BS9900 syphonic aspirator,Dudley,34.96,This Dudley Syvac BS9900 aspirator is an air extractor for double trap symphonic pans that use a Thomas Dudley Turbo 88 siphon or Thomas Dudley S7 cascade siphon.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Dudley Syvac BS9900 syphonic aspirator,,Aspirator;Rubber washer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/31/NW-C58931_wm.jpg,,Syvac,N,PSPSYP313313,Aspirator,N,For use with double trap symphonic pans,Internal siphon hole should be 42mm or larger,Minimum siphon size 74mm,With rubber washer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PB81901,Center CB universal toilet seat hinge White,Center CB,12.37,A Center CB white universal toilet seat hinge.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center CB universal toilet seat hinge White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/01/NW-B81901_wm.jpg,,,N,20120563,Hinge,N,Compatible with any toilet seat,White colour,,,,,,,,,,,,,,,,,,,,,Plastic,,,,,,,,,Plastic,,,,,,,
87,PB00320,Viva Sanitary Skylo 4 in 1 Fill Valve universal 4 in 1 float valve Brass,Viva Sanitary,27.44,"Providing easy switching between bottom and side entry valves, the Viva Sanitary Skylo revolutionary dual entry toilet float valve is capable of 180° rotation for installation in smaller spaces. A delayed fill provides eco-friendly water savings.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Viva Sanitary Skylo 4 in 1 Fill Valve universal 4 in 1 float valve Brass,,Fill valve;1/2 inch ;3/8 inch threads,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/20/B00320_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Viva_Sanitary_UNIB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viva_Sanitary_UNIB_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,P171207,"Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack (Pair)",Fluidmaster,44.2,"The professional-grade Fluidmaster Pro Series fill valve twin pack with bottom entry and 1/2"" heavy-duty brass shank is designed to meet high standards of performance and quality for minimal maintenance requirements.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack (Pair)",,2x bottom entry fill valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/NW-171207_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PC59122,Thomas Dudley Dudley Basin Mate Waste 372393 basin waste spring plug with mate seal slotted tail Mushroom,Thomas Dudley,18.11,"Manufactured in high quality materials, the Thomas Dudley Basin Mate waste is made up of a threaded brass body with chrome finish with a mushroom spring plug. A traditional finishing touch for a basin, the complete kit includes a sealing ring, washer and seating for fast and simple installation with no need for paint, putty or mastic.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Dudley Basin Mate Waste 372393 basin waste spring plug with mate seal slotted tail Mushroom,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/22/NW-C59122_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PD77174,"Bristan Spares quarter turn hot and cold tap valves 3/4"" (Pair)",Bristan,48.07,"A pair of Bristan 3/4"" hot and cold 8/24 valves for CAD 3/4 C taps.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Bristan Spares quarter turn hot and cold tap valves 3/4"" (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/74/NW-D77174_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PC44692,"Bristan Tap Revive metal heads 1/2""",Bristan,25.39,Bring old or faulty taps up to date with Bristan Tap Revive with metal handles. Designed for basins this tap reviver offers a quick and easy fix with no need to disturb existing plumbing connections.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Bristan Tap Revive metal heads 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/93/NW-C44692_C44693_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Tap_Reviver_R1-2MT_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_Tap_Reviver_R1-2MT_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PD32482,Ideal Standard Studio E8263AA cistern lever Chrome Plated,Ideal Standard,39.65,"This Ideal Standard Studio 3/8"" chrome-plated cistern lever is for use with the Studio toilet cistern.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard Studio E8263AA cistern lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/82/NW-D32482_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PD32551,Ideal Standard Twico push button replacement,Ideal Standard,8.53,An Ideal Standard Twico chrome dual flush push button for 290 flush valves.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard Twico push button replacement,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/51/NW-D32551_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PD00778,Siamp Compact 99B bottom entry inlet valve 1/2inch,Siamp,20.72,"Quiet in operation, the Siamp Compact 99B bottom entry inlet valve with 1/2"" plastic end fitting includes a hydraulic closure and adjustable water level with anti-backflow. Easy to maintain with no need to disassemble, this valve is suitable for use as a replacement or new installation.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Siamp Compact 99B bottom entry inlet valve 1/2inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/78/NW-D00778_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Compact_99B_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Monaco_InletValve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PB98874,Thomas Dudley Niagara dualflush pneumatic outlet valve- no cage,Thomas Dudley,35.34,"This Thomas Dudley Niagara pneumatic dual flush valve is a suitable replacement part for most concealed cisterns with push button plates or sensors. Effortless to maintain, this valve does away with the need to disconnect water and dismantle the cistern.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Niagara dualflush pneumatic outlet valve- no cage,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/74/NW-B98874_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PB92114,Thomas Dudley Hydroflo tail side inlet valve Brass,Thomas Dudley,17.53,This Thomas Dudley Hydroflo side inlet valve with brass tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Hydroflo tail side inlet valve Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/14/NW-B92114_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PD00665,Roca D2D dual flush drop valve,Roca,33.97,A Roca D2D dual flush valve for toilet cisterns.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Roca D2D dual flush drop valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/65/NW-D00665_wm.jpg,,D2D,N,AH0004800R,Flush Valve,N,Compact body,Dual flush,Suitable for Roca toilet cisterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PC92769,Ideal Standard flushvalve diaphragm pneumatic,Ideal Standard,1.3,An Ideal Standard pneumatic flush valve diaphragm bellows washer for use in cisterns.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard flushvalve diaphragm pneumatic,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/69/NW-C92769_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PC68031,"Deva ceramic disc valve 3/4"" 1/4""",Deva,35.87,"A pair of Deva brass valves with 8/20 spline, one hot and one cold.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Deva ceramic disc valve 3/4"" 1/4""",,2x valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/31/NW-C68031_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_CDV200_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PD52831,Ideal Standard Conceala cable valve and button,Ideal Standard,18.23,"This Ideal Standard Conceala wire operated flush valve includes a 1.5"" push button.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard Conceala cable valve and button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/31/NW-D52831_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Conceala_2_Cistern_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
