,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Length (M),Pack Quantity,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Weight,Range
26,PP57921,"Georg Fischer TP ABS pipe (class E) 6mtr x 3/4""",Georg Fischer,29.1,"Made of ABS, this Georg Fischer TP 3/4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/21/NW-P57921_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
27,PP10022,Durapipe SuperFLO ABS pipe 10 bar 32mm x 5mtr (Per Metre),Durapipe,10.24,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 32mm pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 1.9mm thick ABS pipe, supplied in 5M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFLO ABS pipe 10 bar 32mm x 5mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/22/NW-P10022_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,,
28,PP56426,"Durapipe abs pipe - class e - 1/2"" x 6m (Per Metre)",Durapipe,5.48,"Ideal for use in pressurised irrigation systems, this Durapipe 1/2"" ABS Class E pipe is also suitable for drinking water, water treatment and chemical installations. It is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe abs pipe - class e - 1/2"" x 6m (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS pipe image_wm.jpg,Silver Grey,1/2,,Per Metre,N,WRAS,male,ABS (Acrylonitrile Butadiene Styrene),12,3.5,Solvent Weld,Solvent Weld,SPAE020A,N,Ductile at low temperatures,No need for hot works permit,Lightweight design,RAL 7001 finish,WRAS approved,50 year design life,,,,,,,,,,1.39842,
29,PP10025,Durapipe SuperFLO ABS pipe 10 bar 63mm x 5mtr,Durapipe,31.96,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 63mm pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 3.8mm thick ABS pipe, supplied in 5M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFLO ABS pipe 10 bar 63mm x 5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/25/NW-P10025_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,,
30,PP10020,Durapipe SuperFlo ABS pipe 10 bar 20mm (5 metre),Durapipe,4.35,This 5M length of Durapipe SuperFlo 20mm grey pipe is made of 1.5mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 20mm (5 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/21/NW-P10020_P10021_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,
31,PP09961,M OF ABS PIPE 10 BAR 6M               75,Durapipe,50.93,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 75mm pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 4.5mm thick ABS pipe, supplied in 6M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF ABS PIPE 10 BAR 6M               75",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/63/NW-P09959_P09963_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,,
32,PP57934,"Georg Fischer TP abs pipe - class c - 6mtr x 3""",Georg Fischer,147.11,"Made of ABS, this Georg Fischer TP 3"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/35/NW-P57931_P57935_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
33,PP10023,Durapipe SuperFlo ABS pipe 10 bar 40mm x 5m,Durapipe,15.9,This 5M length of Durapipe SuperFlo 40mm grey pipe is made of 2.4mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 40mm x 5m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/NW-P10023_P10024_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,
34,PP31004,M OF GF ABS CL C PIPE 169018034 6M 1.1/4,Georg Fischer,24.36,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL C PIPE 169018034 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1.1/4,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/4 in,2.5,Spigot,Spigot,169018034,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
35,PP31014,M OF GF ABS CL D PIPE 169018067 6M     6,Georg Fischer,348.75,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class D 6"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL D PIPE 169018067 6M     6",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,6,6,Per Metre,N,"WRAS, DWI",male,ABS,6 in,12.8,Spigot,Spigot,169018067,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
