,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,For Use With,Attachment 2,Attachment 3,Attachment 4,Range
50,P411473,Glow-worm pump motor,Glow-worm,236.27,"A Glow-worm replacement pump motor for Betacom 3, Energy 7, Essential, Home, Sustain and Ultimate 3 boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm pump motor,,Pumpscrews,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/73/411473_wm.jpg,,N,Betacom 3 30C24CEnergy 7 12S15S18S25C25S30 C30SEssential 24C24C P28CHome 12S30CSustain 12S18RUltimate 3 30C,Pump,Betacom 3Energy 7EssentialHomeSustainUltimate 3,n/a,,0020186159,Pump Motor,N,,,,,,,,
51,P443804,Glow-worm central heating tap,Glow-worm,83.34,"This Glow-worm central heating tap is suitable for use in Ultracom and Flexicom boilers.  It also allows the user to stop the flow in case of a leak or emergency.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm central heating tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/04/443804_wm.jpg,,N,"30CX, 30CXi, 24CXi, 38CXi, 35CX, 24CX, 24CX, 30CX",Hydraulics,UltracomFlexicom,H43167,"24CX,35CX,30CXI,30CX,38CXI,24CXI",0020026411,Central Heating Tap,N,,,,,,,,
52,P109261,Glow-worm Climapro radio frequency thermostat with receiver,Glow-worm,170.17,"The innovative Glow-worm Climapro2 RF wireless programmable room thermostat is compatible with the brand's full range of boilers, providing intelligent, user-friendly control for central heating and hot water. Simple to set up, the portable Climapro2 allows the user to adapt their settings from anywhere in the home.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm Climapro radio frequency thermostat with receiver,,Climapro2 with receiver unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/61/109261_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/109261_Installation.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/92/61/109261.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_HFBoilers-Accssrs_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/109261_User_Guide.pdf,
53,P443719,Glow-worm 0020026413 water valve,Glow-worm,87.31,"This Glow-worm diverter valve is an official spare for Ultracom and Flexicom boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020026413 water valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/19/443719_wm.jpg,,N,"30CX, 30CX, 24CXi, 24CX, 35CX, 24CX, 38CXi, 30CXi",Diverter Valve,UltracomFlexicom,H43169,"24CX,35CX,30CXI,30CX,38CXI,24CXI",0020026413,Diverter Valve,N,,,,,,,,
54,P443806,Glow-worm 0020026414 filling loop,Glow-worm,131.54,"A genuine Glow-worm spare, this filling loop is compatible with Ultracom and Flexicom boilers.  For use in central heating boilers and systems, allowing the user to manually top-up the amount of water in the system if the pressure drops. External loops are usually removable in keeping with regulations, while internal filling loops normally feature a key that can be removed to interrupt the connection after use.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020026414 filling loop,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/06/443806_wm.jpg,,N,"30CXi, 24CXi, 38CXi, 24CX, 24CX, 30CX, 35CX, 30CX",Control Panel,UltracomFlexicom,H43170,"24CX,35CX,30CXI,30CX,38CXI,24CXI",0020026414,Filling Loop,N,,,,,,,,
55,P411472,Glow-worm 0020186153 heat exchanger,Glow-worm,105.24,"This Glow-worm heat exchanger is a replacement part suitable for Betacom 3, Betacom 4, Energy, Easicom 2, Energy 7, Sustain, Ultimate 2 and Ultimate 3 boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020186153 heat exchanger,,heat exchangerscrewsgaskets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/72/411472_wm.jpg,,N,Betacom 3 30CBetacom 4 30CEnergy 30CEasicom 2 28Energy 7 30 CSustain 30CUltimate 2 30CUltimate 3 30C,Heat Exchanger,Betacom 3Betacom 4EnergyEasicom 2Energy 7SustainUltimate 2Ultimate 3,n/a,,0020186153,Heat Exchanger,N,,,,,,,,
56,P441790,Glow-worm S227033 fan assembly,Glow-worm,310.05,"This replacement Glow-worm fan assembly is compatible with Micron units.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm S227033 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/90/441790_wm.jpg,,N,"40FF, 40FF, 30FF, 30FF",Fan Combustion Chamber,Micron,E24884,"40FF,30FF",S227033,Fan Assembly,N,,,,,,,,
57,P440447,Glow-worm pilot burner,Glow-worm,47.62,"A replacement Glow-worm pilot burner for Ultimate, Xeon, Ikon and Protherm appliances.  A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm pilot burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/47/440447_wm.jpg,,N,"30FF, 50FF, 50FF, 40-50 CI From Ser No.0204001, 30FF, 30FF LPG, 50FF LPG, 30 FF, 60 FF, 60FF, 40-50 CI, 40FF LPG, 60FF HONEYWELL, 40FF, 40FF, 60FF LPG, 60FF S.I.T, 40 FF, 50 FF, 40-50 CI From Ser No.0204001, 50FF, 60FF, 30FF, 40FF, 40-50 CI",Gas Assembly,"Ultimate, Xeon, Ikon, Protherm",379204,"60FF HONEYWELL,50FF,60FF,30FF LPG,40FF,60FF S.I.T,40-50 CI From Ser No.0204001,50FF LPG,40-50 CI,40FF LPG,30FF,60FF LPG",S203431,Pilot Burner,N,,,,,,,,
58,P441659,Glow-worm 2000800432 fan assembly,Glow-worm,318.37,"This replacement Glow-worm fan assembly is compatible with Ultimate and Xeon units.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 2000800432 fan assembly,,Fan and mounting plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/59/441659_wm.jpg,,N,"50 FF, 50FF, 50FF, 50FF LPG, 50FF",Fan Combustion Chamber,"Xeon, Ultimate",278000,"50FF,50FF LPG",2000800432,Fan Assembly,N,,,,,,,,
59,P479508,Glow-worm flow sensor and cable,Glow-worm,69.55,"This Glow-worm flow sensor is compatible with Betacom and Easicom boilers. It is supplied with a cable.  The flow switch, or flow meter, has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm flow sensor and cable,,Sensor cable,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/08/479508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Ultimate_C_Installation.pdf,,,,,,,,,,,,,,,,,
60,P443771,Glow-worm flow link tube,Glow-worm,32.05,"A Glow-worm flow link tube for use in the hydraulics of Flexicom boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm flow link tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/71/443771_wm.jpg,,N,"30SX, 24CX, 35CX, 18SX, 30CX",Hydraulics,Flexicom,H42730,"24CX,35CX,30SX,30CX,18SX",0020020749,Flow Link Tube,N,,,,,,,,
61,P410724,Glow-worm hydraulic block,Glow-worm,149.38,"This hydraulic block is a genuine Glow-worm replacement part for Ultimate, Betacom and Easicom boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm hydraulic block,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/410724_wm.jpg,,N,"35C, Betacom 24A, Easicom 28, Betacom 2 24, Betacom 28A, Easicom 24, 30C, Betacom 2 28",Hydraulics,"Ultimate, Betacom, Easicom",727551,"35C,Betacom 2 24,30C,Betacom 24A,Easicom 28,Betacom 28A,Betacom 2 28,Easicom 24",0020118194,Hydraulic Block,N,,,,,,,,
62,P108948,Glow-worm condensate pump,Glow-worm,129.15,"A genuine Glow-worm replacement boiler pump.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm condensate pump,,"Condensate Pump, hose & fixings",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/48/108948_wm.jpg,,N,,Pump,Domestic Boilers,n/a,,A2044800,Pump,N,,,,,,,,
63,P485889,Glow-worm thermistor sensor,Glow-worm,28.45,"A genuine Glow-worm part, this thermistor is designed for use in Eden, HXI, CXI, British Gas, C-CI and SXI boilers.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm thermistor sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/89/485889_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_British_Gas_Installation.pdf,,,,,,,,,,,,,,,,,
64,P410689,Glow-worm 0020097316 water valve,Glow-worm,93.56,"A Glow-worm water valve for use in the diverter valve of Ultracom2 boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020097316 water valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/89/410689_wm.jpg,,N,"24 CXi, 30 CXi, 35 CXi",Diverter Valve,Ultracom 2,H82931,"30CXI,35 CXi,24CXI",0020097316,Water Valve,N,,,,,,,,
65,P442425,Glow-worm fan elbow collar assembly,Glow-worm,108.7,"A Glow-worm spare part, this fan elbow collar is compatible with Micron boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm fan elbow collar assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/25/442425_wm.jpg,,N,"30FF, 60FF, 80FF, 40FF, 70FF, 30FF, 80FF, 70FF, 50FF, 60FF, 40FF, 50FF",Fan Combustion Chamber,Micron,E24893,"70FF,80 FF,50FF,60FF,40FF,30FF",S458076,Fan Elbow Collar,N,,,,,,,,
66,P410648,Glow-worm 0020061611 hydroblock,Glow-worm,104.87,"This Vaillant hydroblock is a diverter valve part for Betacom appliances.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020061611 hydroblock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/48/410648_wm.jpg,,N,"Betacom 30C, Betacom 24C",Diverter Valve,Betacom,723689,"Betacom 30C,Betacom 24C",0020061611,Hydroblock,N,,,,,,,,
67,P442289,Glow-worm chassis front seal,Glow-worm,45.49,"A Glow-worm brand seal for the casing of HXI, Ultracom, British Gas and Eden boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm chassis front seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/89/442289_wm.jpg,,N,"18HXI, 18HXi, 24HXi, BG330, Vb, 12HXI, 15HXI, 38HXI, 12HXi, 38HXi, 15HXi, 30HXi, 24HXI, 30HXI",Casing,"HXI, Ultracom, British Gas, Eden",H28565,,801736,Seal,N,,,,,,,,
68,P427105,Glow-worm 0020038061 display printed circuit board,Glow-worm,239.66,"This Glow-worm printed circuit board is a genuine spare part for Ultracom and Ultrapower boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020038061 display printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/05/427105_wm.jpg,,N,"15HXi, 18SXi, 30HXi, SXI 170, 38HXi, 18HXi, 24HXi, 12HXi, 24CXi, 30CXi, 38CXi, 30SXi, SXI 100",Control Panel,"Ultracom, Ultrapower",H52596,"30SXI,38CXI,24CXI,SXI 170,24HXI,18SXI,30CXI,12HXI,SXI 100,30HXI,38HXI,15HXI,18HXI",0020038061,Printed Circuit Board,N,,,,,,,,
69,P411521,Glow-worm 0020207142 pump housing,Glow-worm,127.52,"This Glow-worm replacement pump housing is suitable for use in Betacom 3, Energy, Easicom 2, Easicom 3, Ultimate 2, Betacom 4, Sustain, Ultimate 3, Home, Energy 7 and Essential boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020207142 pump housing,,pump housingscrewsgaskets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/21/411521_wm.jpg,,N,,Heat Exchanger,Betacom 3EnergyEasicom 2Easicom 3Ultimate 2Betacom 4SustainUltimate 3HomeEnergy 7Essential,n/a,,0020207142,Pump Housing,N,,,,,,,,
70,P442286,Glow-worm 0020152564 electrode kit,Glow-worm,53.12,"An ignition electrode kit suitable for Glow-worm's CXI, HXI, Xeon, Eden, SXI, Xtramax and British Gas boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020152564 electrode kit,,"Ignition electrode, cable, gasket, screws",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/86/442286_wm.jpg,,N,"24CXI, 12HXI, Condens 18, Condens 30, Sb, Vb, 18HXI, 30SXI, Xtramax HE, BG330, 15HXI, 24HXI, 30CXI, Cb, 38HXI, 30HXI, 38CXI, 18SXI",Gas Assembly,"CXI, HXI, Xeon, Eden, SXI, Xtramax, British Gas",726677,"30SXI,Condens 30,38CXI,BG330,24CXI,Vb,Condens 18,24HXI,Sb,18SXI,30CXI,12HXI,Xtramax HE,30HXI,38HXI,15HXI,18HXI,Cb",0020152564,Electrode Kit,N,,,,,,,,
71,P797302,Glow-worm syphon adaptor,Glow-worm,27.22,"A Glow-worm siphon adaptor for use in HXI, Ultracom, British Gas, CXI, Eden and SXI boilers.  A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems. A discharge pipe connected to the condensate trap sends this held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm syphon adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/02/797302_wm.jpg,,N,"15HXI, 24HXI, 38HXI, 15HXi, 24HXi, BG330, 24CXI, Sb, 12HXI, 30SXI, 30CX, 38HXi, 18HXI, Vb, 12HXi, 24CXi, 30CXi, 38CXI, 18SXI, 18SXi, 30HXi, 30SXi, 30CXI, 30HXI, 38CXi, 24CX, Cb, 18HXi, 18SXI, 24CXI, 30CXI, 12HXI, Cb, BG330, 38HXI, Sb, Vb, 18HXI, 38CXI, 3",Hydraulics,"HXI, Ultracom, British Gas, CXI, Eden, SXI",E85004,"24CX,30SXI,30CX,38CXI,BG330,24CXI,Vb,24HXI,Sb,18SXI,30CXI,12HXI,30HXI,38HXI,15HXI,18HXI,Cb",0020057359,Syphon Adaptor,N,,,,,,,,
72,P410655,Glow-worm heat exchanger DHW,Glow-worm,102.45,"This Glow-worm heat exchanger is a genuine replacement part for Easicom and Betacom appliances.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm heat exchanger DHW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/55/410655_wm.jpg,,N,"Easicom 24, Betacom 24A, Betacom 28A, Betacom 2 24",Heat Exchanger,"Easicom, Betacom",727552,"Betacom 2 24,Betacom 24A,Betacom 28A,Easicom 24",0020136540,Heat Exchanger,N,,,,,,,,
