,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Material Type,Material,By Model Number,Attachment 2,Weight
27,P478065,Vokera ignition printed circuit board,Vokera,137.36,"This Vokera ignition printed circuit board is suitable for Linea, Sabre, Syntesi, Mynute and Synergy boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera ignition printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/65/478065_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Linea_28_Mark_3_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
28,P478971,Vokera unboxed conveyor 20008306,Vokera,49.46,"This Vokera unboxed conveyor is designed for use in a boiler's fan combustion chamber.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera unboxed conveyor 20008306,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/71/NW_478971_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vokera_Vision_Plus_Combi_Technical.pdf,,,,,,,,,,,,,,,,,,,
29,P479090,Vokera heating deviation valve,Vokera,35.59,"This Vokera heating deviation valve is suitable for use in Linea 24 and 28 boilers.  Similar to an isolation tap, the deviation valve is used to turn water flow on and off.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera heating deviation valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/90/479090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Linea_28_Mark_1_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
30,P478038,Vokera air vent float,Vokera,15.38,"A replacement part, this Vokera automatic air vent is for use in the pump section of Vokera Linea, Mynute, Synergy, Syntesi, Rain and Sabre boilers.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera air vent float,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/38/478038_wm.jpg,,N,"726, 16 E, 29, 25 E, 20E, 35, Plus AG, 12 E, 35E, 24, 29, 29 E, 24, 29 E, 24, 735, 24bi, 28, 730, 28E, 28, 28bi, 28, 25 E, 25",Pump,"Linea, Mynute, Synergy, Syntesi, Rain, Sabre",794094,0439,Air Vent,N,,,,,,56 mm,Cast Iron,Cast Iron,"24,35,35E,25,28,20E,29,Plus AG,12 E,730,735,28bi,29 E,726,16 E,24bi,28E,25 E",,
31,P479365,Vokera valve body,Vokera,15.13,"This Vokera valve body assembly is a genuine replacement part suitable for Linea, Maxim, Mynute, Procombi, Sabre, Unica, Evolve, Mynute EHE, Vibe, Vision, Easi-Heat Plus, Excel, Compact and Mynute HE boilers. It is supplied with an O-ring and clip for ease of installation.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera valve body,,Valve bodyO-ringClip,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/65/479365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Linea_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
32,P479143,Vokera expansion vessel,Vokera,134.77,"This Vokera replacement part expansion vessel is suitable for use in Linea, Mynute HE, Sabre, Compact, Hydra, Unica, Procombi, Synergy, Pinnacle, Syntesi, Mynute and Mynute EHE appliances.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/43/479143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Linea_Plus_AG_Installation.pdf,,,,,,,,,,,,,,,,,,,
33,P478978,Vokera service kit,Vokera,48.08,"This Vokera service kit is specifically for use on Excell 80SP boilers.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/78/478978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Maxin_24E_28E_Installation.pdf,,,,,,,,,,,,,,,,,,,
34,P479828,Vokera connection,Vokera,14.94,"This Vokera domestic heat exchanger connection is a spare part for Excel, Unica I, Compact A, Vision, Evolve, Easi-Heat Plus, Easi-Heat, Unica Max, Linea HE and Unica HE boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera connection,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/28/479828_wm.jpg,,N,,Hydraulic Components,ExcelUnica ICompact AVisionEvolveEasi-Heat PlusEasi-HeatUnica MaxLinea HEUnica HE,,10024640,,N,,,,,,,,,,,
35,P479903,Vokera 10028426 washer,Vokera,11.87,"A genuine branded spare, this Vokera washer is suitable for use in the hydraulics of Easi-Heat Plus, Evolve, Mynute HE, Mynute VHE, Procombi, Unica, Vision, Excel, Linea, Maxim, Mynute, Mynute i, Vibe, Compact, Verve and Sabre boilers.  Washers, along with O-rings and gaskets, are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10028426 washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/479903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Unica_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
36,P800031,Vokera overhaul kit,Vokera,13.84,"This Vokera three-port valve overhaul kit is suitable for the maintenance of the diverter valve in Linea, Eclipse, Syntesi, Unica and Hydra boilers. The kit includes O-rings and a seal, seating plate, spindle and bobbin.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera overhaul kit,,2x O-ringsSealSeating PlateSpindleBobbin,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/31/800031_wm.jpg,,N,"726, 226 ESC, ESC, 29, 35, 25 E, 32 BHE, 730, 25, 29 E, Hydra, 24, 735, 28, Plus AG",Diverter Valve,"Linea, Eclipse, Syntesi, Unica, Hydra",,01005127,Overhaul Kit,N,,,,,,,,,"35,24,25,28,29,32 BHE,Hydra,Plus AG,730,ESC,735,226 ESC,726,29 E,25 E",,
37,P479834,Vokera 10024988 O ring,Vokera,1.07,"This Vokera O-ring is a spare part for use in the hydraulics of Compact, Evolve, Linea, Maxim, Procombi, Sabre, Unica, Vision, Easi-Heat Plus and Excel boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10024988 O ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/34/479834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi_85_100_120_HE_Parts.pdf,,,,,,,,,,,,,,,,,,,
38,P479756,Vokera 10023570 flexible pipe,Vokera,33.85,"This Vokera flexible pipe is suitable for use in Linea, Syntesi, Hydra, Unica and Vision boilers.  This pipe is designed to extend the length of pipes in a pressure vessel pump.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10023570 flexible pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/56/479756_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Syntesi_Installation.pdf,,,,,,,,,,,,,,,,,,,
39,P479845,Vokera fixing fork wrench,Vokera,19.16,"A Vokera fixing fork wrench for the fixing and connection of parts in Compact, Linea, Sabre, Vibe, Vision, Unica, Easi-Heat Plus, Mynute, Procombi, Mynute EHE, Mynute HE and Excel boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera fixing fork wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/45/479845_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
40,P478102,Vokera automatic bypass,Vokera,8.59,"This Vokera automatic bypass is a replacement pump part suitable for Mynute, Sabre, Synergy, Syntesi, Unica, Linea, Mynute HE, Compact, Option, Procombi, Mynute EHE and Hydra boiler ranges.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera automatic bypass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/02/478102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
41,P478770,Vokera cold water inlet valve,Vokera,20.4,"This Vokera cold water inlet cock can be used in AquaNova, Compact, Excell, Eclipse, Vision, Unica and Option boilers.  The inlet cock allows the flow of water to be turned on or off using a simple tap.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera cold water inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/70/478770_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
42,P479077,Vokera Excel flue clamp and gasket,Vokera,8.74,"This Vokera clamp and gasket is suitable for use in the flue of Eclipse boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera Excel flue clamp and gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/77/479077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Eclipse_ESC_Installation.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Combi-System_Boilers_Parts.pdf,
43,P478578,Vokera fibre washer,Vokera,0.41,"A genuine brand spare, this Vokera fibre washer is for use in the hydraulics of Eclipse, Elidra, MCF-DMCF, Mynute, Turbo, Excell and Linea boilers.  Washers, along with O-rings and gaskets, are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera fibre washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/78/478578_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Maxin_24E_28E_Installation.pdf,,,,,,,,,,,,,,,,,,,
44,P411895,Vokera clips and rivets,Vokera,3.21,"This Vokera clip and rivet set with two rivets is a spare part for use in Mynute, Easi-Heat Plus and Unica boilers.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera clips and rivets,,Clips2x rivet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/95/411895_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi-A28-A36-Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,
45,P479164,Vokera locking pin,Vokera,2.74,"This Vokera replacement locking pin is suitable for use in Mynute, Mynute i, Rain, Option, Sabre, Syntesi, Compact, Evolve, Synergy, Mynute HE and Linea boilers.  This shaped pin is used as a locking mechanism in the gas assembly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera locking pin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/64/479164_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
46,P478738,Vokera flow diaphragm,Vokera,3.51,"This Vokera flow diaphragm is suitable for use in the hydraulics of Linea, Eclipse and Excell appliances.  The diaphragm is a small rubber disc designed to move a shaft up and down during boiler operation.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera flow diaphragm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/38/478738_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Eclipse_ESS_Installation.pdf,,,,,,,,,,,,,,,,,,,
47,P479057,Vokera seating plate,Vokera,6.66,"This Vokera seating plate is for use in the diverter valve of Eclipse, Linea and Excell boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera seating plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/57/479057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Linea_24-28_Installation.pdf,,,,,,,,,,,,,,,,,,,
48,P478161,Vokera venturi,Vokera,6.74,"This Vokera pressure switch, or venturi, is suitable for use in Linea, AquaNova, Excell and Mynute boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera venturi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/61/478161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Linea_Plus_AG_Installation.pdf,,,,,,,,,,,,,,,,,,,
49,P801046,Vokera slave board,Vokera,751.13,"This Vokera slave board is suitable for use in the brand's own Condexa Pro boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera slave board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/801046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_CondexaPRO_Installation.pdf,,,,,,,,,,,,,,,,,,,
50,P479112,Vokera locking pin,Vokera,2.94,"This Vokera replacement locking pin is for use in the fan assembly of Sabre, Synergy, Mynute, Compact and Option boilers.  This shaped pin is used as a locking mechanism in the gas assembly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera locking pin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/12/479112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
51,P478946,Vokera safety thermostat,Vokera,12.4,"This Vokera safety thermostat is suitable for use in Mynute, Procombi, Synergy, Unica, Verve, Compact, Linea, Mynute HE, Syntesi, Mynute EHE, Option and Sabre boilers.  This thermostat uses in built-in sensors to monitor a boiler's temperature, ceasing operation if the maximum selected temperature is reached.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera safety thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/46/478946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
52,P479384,Vokera 10027535 pressure switch,Vokera,35.97,"This Vokera pressure switch is designed for use in the fan combustion chamber of Sabre, Mynute EHE, Compact and Procombi boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10027535 pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/84/479384_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Compact_25HE_29HE_35HE_Parts.pdf,,,,,,,,,,,,,,,,,,,
