,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Type,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Handle Type,Material Type,Pack Quantity,Nut Types,Washer Type,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Bolt Type,Total Pack Quantity
0,PF16200,Center CB Weld Cement 102400 tin solvent cement 250ml (1),Center CB,6.25,"Suitable for a wide range of applications, this Center CB solvent cement forms a welded joint in plastic pipes.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB Weld Cement 102400 tin solvent cement 250ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-F16200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/F16200_Safety Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CENTER_BRAND_F16200_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P655800,Rothenberger Quick Fire brazing torch,Rothenberger,77.03,"Highly reliable, this Rothenberger Quick Fire torch has piezo ignition with a constant flame mode. Suitable for soft soldering with Rothenberger propane or with MAP/Pro if a hotter flame is required, the QuickFire is an ideal choice for plumbers and heating engineers.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Quick Fire brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/00/NW-655800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_SuperFire2_Torch_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rothenberger_QuickFireSuperFireGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Refrgrtn_AC_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT16507,Henkel Loctite pipe thread sealant 250ml,Henkel,119.9,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Henkel Loctite pipe thread sealant 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16507_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P688852,Rothenberger Rolot S2 S2 Brazing Rod brazing rod 1kg,Rothenberger,34.86,"The Rothenberger Rolot S2 silver/phosphorus safety hard solder/brazing rod is suitable for higher-stressed copper pipe systems. It is ideal for capillary soldering in sanitary, heating and gas installations.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Rolot S2 S2 Brazing Rod brazing rod 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/52/NW-688852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Rolot_S2_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT83567,JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag),JET Range,0.29,This JET Range M10 size cold form hexagon nut is made of steel with a bright zinc finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range zinc plated cold form hex nut (grade 8) (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,,,,,,N,Steel,M10,.10MNXFOZ,Hex Nut,N,,Reliable,Easy to replace,Grade 8 steel material,Bright zinc-coated,200 per bag,,,BZP Steel,200 per bag,Hexagon,,,,,,,,
28,PT52414,"Virax Stillson 012560 stillson pipe wrench 24""",Virax,59.05,"Made of heat-treated steel, this tough Virax Stillson 26mm, 600mm length pipe wrench is equipped with springs, which are housed within the casing, for instant pipe grip, good self-tightening and an efficient ratchet-style action.","School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Virax Stillson 012560 stillson pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/14/NW-T52412_T52414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Virax_Stillson_012520-90_Wrench_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Virax_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P655831,Rothenberger swirl flame burner and jet,Rothenberger,17.85,"This Rothenberger swirl flame burner tip, or cool tip, and orifice kit offers a fine flame for intricate soldering and brazing jobs.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger swirl flame burner and jet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/31/NW-655831_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PM97925,JET Range Stud Bolt stud bolt BZP M10 40mm (500),JET Range,0.31,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 40mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range Stud Bolt stud bolt BZP M10 40mm (500),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PN37658,Center CB universal silicone 300ml White,Center CB,6.2,"This Center CB white universal silicone sealant is ideal for sealing around worktops, weather sealing around windows, top sealing around windows and door frames or glazing.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB universal silicone 300ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/58/NW-N37658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT86445,Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',Rothenberger,19.79,"Suitable for use in small, confined spaces, this Rothenberger 152.4mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,Black/Red/Silver,6 x 34mm,Wide Jaw Wrench,N,Steel,12 (W) x 170 (H) mm,70459,Adjustable Wrench,N,Ideal when working in confined spaces,Opens to 34mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,Anti-Slip,,,,,,,,,,,
33,P688815,Rothenberger 3.1043 heat reflector for superfire,Rothenberger,30.48,This Rothenberger 175mm heat deflector guard protects walls and skirting boards from scorching during welding jobs.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger 3.1043 heat reflector for superfire,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/15/NW-688815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PN37675,Center CB gun grade foam 750ml,Center CB,12.71,"A single component, self-expanding polyurethane foam, this Center CB gun-grade fixing foam B3 with CFC-free propellant is supplied ready to use and contains completely harmless propellants. It is suitable for use in the installation of window and door frames, for filling cavities, sealing all openings in roof constructions and creation of soundproof screens. It is additionally ideal for the mounting and sealing of window and door frames, connecting insulation materials, roof constructions, applying soundproofing layers on motors, improving the thermal insulation in a cooling systems and installation of air conditioners.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB gun grade foam 750ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/75/NW-N37675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Center_SOUDAFOAMGUN_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/m_/b3/Trade Gun Grade Fixing Foam B3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P655810,Rothenberger Primus 2000 brass torch adaptor,Rothenberger,15.17,"This Rothenberger Primus 2000 adaptor is used to fit Calor 340 gas cylinders. It is suitable for use with the Jet Torch, Rapid Fire, Quick Fire, Super Fire 2 and Microfire Rothenberger torches.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Primus 2000 brass torch adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/10/NW-655810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT83609,JET Range zinc plated penny washer 30mm (m8) (250),JET Range,0.2,Jet penny washer is made of steel material with bright zinc plate coating.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range zinc plated penny washer 30mm (m8) (250),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/09/NW-T83608_T83609_wm.jpg,,,,,,,N,Steel,30mm,.8M30WMGOZ,Penny,N,,Reliable,Easy to replace,,,,,,BZP Steel,250,,Penny Washer,,,,,,,
37,P688848,Rothenberger 3.574 roxy kit welding set 120ltr,Rothenberger,176.21,This Rothenberger compact portable brazing and welding kit is suitable for lead burning and offers many of the features found in oxy-acetylene equipment.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger 3.574 roxy kit welding set 120ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/48/NW-688848_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Maxigas_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT83566,JET Range zinc plated cold form hex nut (grade 8) (m8) (200 per bag),JET Range,0.16,This JET Range M8 size cold form hexagon nut is made of steel with a bright zinc finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range zinc plated cold form hex nut (grade 8) (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/NW-T83565_T83570_wm.jpg,,,,,,,N,Steel,M8,.8MNXOFOZ,Hex Nut,N,,Reliable,Easy to replace,Grade 8 steel material,Bright zinc-coated,,,,BZP Steel,200 per bag,Hexagon,,,,,,,,
39,PM97929,JET Range Stud Bolt stud bolt BZP M10 80mm (300),JET Range,0.59,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 80mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range Stud Bolt stud bolt BZP M10 80mm (300),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT86861,Rothenberger Hand Tools  compression nut spanner,Rothenberger,3.4,"Designed for use in awkward places, this Rothenberger 15 x 22mm compression spanner tightens and loosens fittings in spots that other spanners and wrenches can't reach. This useful tool is especially suitable for the fitting and removal of certain shower valves.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Hand Tools  compression nut spanner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/61/NW-T86861_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PM97926,JET Range Stud Bolt stud bolt BZP M10 50mm (500),JET Range,0.47,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 50mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range Stud Bolt stud bolt BZP M10 50mm (500),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P688865,"Rothenberger SPK water pump plier 10"" Black",Rothenberger,19.17,"Made of steel, these Rothenberger SPK 250mm water pump pliers have jaws opening up to a maximum of 43mm.","School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger SPK water pump plier 10"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/65/NW-688865_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P651271,Center CB spray contact adhesive 400ml,Center CB,4.94,"A solvent-based, pressure-sensitive spray, this Center CB contact adhesive offers both an excellent initial bond and a strong cured bond. Fast drying to a clear finish, this adhesive won't expand, ensuring a perfect, neat finish every time. Center CB spray contact adhesive is suitable for bonding porous and smooth surfaces, including cardboard, felt, fabric, paper, leather, rubber, foam, foil, most plastics, metal, stainless steel, glass, cork and wood.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB spray contact adhesive 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/71/NW-651271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_651271_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT80175,JET Range anti corrosion tape 75mm x 10m roll,JET Range,15.22,This JET Range 75mm anti-corrosion tape is designed to protect steelwork pipe and metal fittings. It is made of a non-rotting synthetic fibre fabric which has been impregnated and coated with a compound based on petrolatum and inert fillers.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range anti corrosion tape 75mm x 10m roll,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/75/NW_T80175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v2/Anti Corrossion Tape V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PM97930,JET Range Stud Bolt stud bolt BZP M10 100mm,JET Range,0.77,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 100mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range Stud Bolt stud bolt BZP M10 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT83755,JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),JET Range,2.88,This JET Range set M16 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT87133,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m12) (100 per bag),JET Range,2.22,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,,,,,XOX,N,Steel,M12 x 45mm,HTBMET01200045Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,BZP Steel,100 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,45,M12,Hexagon,,
48,PT87175,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag),JET Range,10.08,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,,,,,XOX,N,Steel,M20 x 70mm,HTBMET02000070Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,,25 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,70,M20,Hexagon,,
49,PT87152,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag),JET Range,4.96,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,,,,,XOX,N,Steel,M16 x 50 mm,HTBMET01600050Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,BZP Steel,50 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,50,M16,Hexagon,,
50,PT87179,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag),JET Range,12.84,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,,,,,XOX,N,Steel,M20 x 100mm,HTBMET02000100Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,,25 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,100,M20,Hexagon,,
51,PT87137,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m12) (100 per bag),JET Range,3.19,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,,,,,XOX,N,Steel,M12 x 65mm,HTBMET01200065Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,BZP Steel,100 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,65,M12,Hexagon,,
52,PT87153,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag),JET Range,5.04,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,,,,,XOX,N,Steel,M16 x 55mm,HTBMET01600055Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,BZP Steel,50 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,55,M16,Hexagon,,
53,PT83759,JET Range bright zinc plated bolt (grade 8.8) 60mm (m16) (50 per bag),JET Range,4.32,"Made of grade 8.8 carbon steel, this JET Range M16 hexagonal head stud, 60mm in length, offers a bright zinc plate coating for resistance.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range bright zinc plated bolt (grade 8.8) 60mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/59/NW-T83759_wm.jpg,,,,,,,N,,M16,.16M60HTBOZ,Bolts,N,,Highly tensile,Metric thread,Hexagonal screwing system,Manufactured to DIN 931,,,,,50 per bag,,,,,,,,Stud Bolt,50 per bag
54,PT87140,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m12) (50 per bag),JET Range,3.59,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m12) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/40/NW-T87140_wm.jpg,,,,,,XOX,N,Steel,M12 x 80mm,HTBMET01200080Z,Assortment Sets,N,,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,,,,BZP Steel,50 per bag,Hex Nut,,Hex Head Bolt,Nut and Bolt,80,M12,Hexagon,,
