,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Range For Use With,Boiler Section,Boiler Range,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Pack Quantity,Pack Type,Weight,Connection Size,Connection Type
28,P608958,Fernox TF1 filter with valve connections 28mm,Fernox,270.87,"Specifically designed for small or restricted access spaces, the Fernox TF1 Omega 28mm filter with valve connections is an easy to install sealed, in-line system filter. Manufactured from robust nickel-plated brass, this award-winning filter uses hydronic particle separation (HPS) technology along with magnetic filtration to remove both magnetic and-non magnetic debris from the central heating system. Offering simple cleaning, there's no need to dismantle the unit or replace O-rings during servicing.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 filter with valve connections 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/58/NW-608958_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TF1_Omega_Filter_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62252_Omegafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P606686,Sentinel best practice protection pack,Sentinel,75.0,"The Sentinel Best Practice protection pack is a simple, one-pack solution for the effective protection of central heating systems.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Sentinel best practice protection pack,,Eliminator Vortex300 filter with 22mm direct fit GRP T-piece;X800 fast acting cleaner 1l;X100 inhibitor 1l,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/86/NW-606686_wm.jpg,,,,,N,606686 PK,Best Practice Protection Pack,N,Unique Vortex Core with powerful neodymium magnet assembly,Retains more magnetite than other filters,Suitable for Central Heating Systems,Ensures filter cannot block,Compact filter design,In-line installation and 360° rotating T-piece for reduced space,Unique anti-corrosion formulation with multiple heavy duty inhibitors,Intelligent formulation with pH stabilisers,Reduces circulation time to just 1 hour,,,,,,,,,,,,,,,
30,PG40387,Liff Limebeater electrolytic filter compression fitting 22mm (1),Liff,45.71,"The Liff Limebeater 2 Compact from LIFF uses electrolytic principles, designed for easy installation into existing, or new installations. Due to its compact size, and high quality finish, the Limebeater is ideal for use in restricted spaces, and where the finished installation is visible for the user to see. This electrolytic inhibitor requires no chemicals, or power supply, and is both environmentally friendly, and maintenance free. The scale reducer works by changing the structure of the hardness salts, inducing coagulation, and providing benefits to a range of appliances and as a result, provides protection for the whole house against scale, providing a more efficient central heating system. A more efficient system allows for a warmer, longer life boiler system, allowing for lower fuel bills and less maintenance costs. As well as your heating system, the LimeBeater will help protect household, kitchen and bathroom appliances from limescale build up, such as kettles and showers.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Liff Limebeater electrolytic filter compression fitting 22mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/87/NW-G40386_G40387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Liff_Water_Treatment_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P608957,Fernox TF1 62249 Tf1 Filt 22mm Vlve Connect 62249,Fernox,106.92,"Specifically designed for small or restricted access spaces, the Fernox TF1 Omega 22mm filter with valve connections is an easy to install sealed, in-line system filter. Manufactured from robust nickel-plated brass, this award-winning filter uses hydronic particle separation (HPS) technology along with magnetic filtration to remove both magnetic and-non magnetic debris from the central heating system. Offering simple cleaning, there's no need to dismantle the unit or replace O-rings during servicing.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 62249 Tf1 Filt 22mm Vlve Connect 62249,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/57/608957_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TF1_Omega_Filter_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62249_Omegafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P892366,Spirotech SpiroVent RV2 universal 22mm,Spirotech,110.31,"Made of robust brass, the Spirotech SpiroVent 22mm de-aerator incorporates a swivel connection for ultra-easy installation. SpiroVent RV2 is suitable for use in horizontal, vertical or diagonal pipes.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Spirotech SpiroVent RV2 universal 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/66/NW-892366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Spirotech_A4_SpiroVent_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/892366_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Spirotech_SpiroVent_Technical.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Spirotech_Spirovent_Deaerator_Instal.pdf,,,,,,,,
33,P503903,Fernox TF1 sigma UB filter 22 mm,Fernox,90.96,"Slimline for ease of installation where space is restricted or pipework is concealed, the Fernox TF1 Sigma UB 22mm under-boiler system filter has a robust composite design and includes a brass manifold. Suitable for direct under-boiler fitting, this versatile filter supplies reliably effective protection from system debris, removing contaminants that could negatively affect the running and efficiency of your heating or cooling system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 sigma UB filter 22 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/03/503903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Fernox_TF1_Sigma_UB_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/(d/s)/503903_TF1 UB Filter Annotation (DS).pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r-/en/503903_62631-_TF1_Sigma_UB_Filter-EN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P892364,Spirotech SpiroTrap MB3 SV3-022-CUM3 dirt separator MB3 22mm,Spirotech,110.31,"Effectively protecting your water system for a longer working life, the Spirotech SpiroTrap MB3 dirt separator, with 22mm connections, removes magnetic and non-magnetic dirt particles using unique magnetic field booster technology. Ensuring removal of even the smallest magnetite particles, the SpiroTrap maximises system performance for a longer, more efficient life with less risk of costly damage to important components, such as your system's pump.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Spirotech SpiroTrap MB3 SV3-022-CUM3 dirt separator MB3 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/65/892364_892365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Spirotech_A4_SpiroTrap_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Spirotech_892364_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Spirotech_SpiroTrap_DirtSep-22_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Spirotech_Heating_Cooling_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Spirotech_SpiroTrap_MB3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Spirotech_Mspirotrap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Spirotech_SpiroTrap_MB3_Leaflet.pdf,,,,,
35,P292105,Salamander Condensafe condensafe,Salamander,173.7,"Designed for commercial condensing boilers and heaters, the Salamander C4000 condensate neutraliser eliminates the environmental impact of acidic water discharges as they reach the waste water handling system of utility companies. C4000 makes sure that small commercial premises discharging condensate don't contravene water authority guidelines.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Salamander Condensafe condensafe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-292105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_Condensafe_C4000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_Condensafe_C4000_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P609529,Adey MagnaClean Professional isolating valve pack 22mm,Adey,39.81,"This Adey MagnaClean Professional 22mm isolating valve pack is compatible with MagnaClean Professional, MagnaClean Micro and MagnaClean TwinTech filters.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional isolating valve pack 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/29/NW-609529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MCProfessional_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_MagnaCleanProf_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P608154,Fernox TF1 Tf1 Sigma 22mm With Valves (4),Fernox,84.91,"A precision-engineered, sealed in-line system filter made from a composite polymer. This market-leading, high-performance filter is available with quality valves and slip socket connections, which is an industry first. The TF1 Sigma Filter offers the ultimate in installer choice.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 Tf1 Sigma 22mm With Valves (4),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/55/NW-608154_608155_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/608154_608158_Fernox_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/608154_Fernox_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62415_Sigmafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P503901,Fernox TF1 TF1 Sigma HP Filter 22mm (1),Fernox,125.04,"Providing reliable protection for air and ground source heat pumps, the Fernox TF1 Sigma HP Filter with 22mm connections uses unique patent pending technology to remove all types of debris from renewable heating systems. This smart filter won't block flow, even at higher flow rates, maintaining a system's COP in order to reduce energy consumption and minimise fuel waste. Supplied with full bore valves, the TF1 is easy and quick to install and improves system efficiency for best ever performance.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 TF1 Sigma HP Filter 22mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/01/503901_wm.jpg,,,,TF1,N,62614,Central Heating Filter,N,"Efficient, high-performance filter, specifically designed for Air and Ground Source Heat Pump systems",The TF1 Sigma HP Filter utilises a unique filtration technology which is extremely effective at high flow rates and across a range of debris types to ensure the system remains free of contaminants,"The TF1 Sigma HP Filter has been specifically designed for use with Air and Ground Source Heat Pump heating systems. The filter can be easily fitted onto either horizontal or vertical pipework, in accordance with the flow direction indicated by the arrow","A durable and robust construction, the TF1 Sigma HP Filter is made from a high-quality glass reinforced engineering polymer with brass full bore valves as standard","Convenient to clean and quick to service via the drain valve, the TF1 Sigma HP Filter does not require system shutdown or for the filter to be disassembled, resulting in less time spent on site as part of the annual maintenance","Easy to install, this sealed filter allows for horizontal and vertical installation orientations","Market- leading pressure differential values, ensuring the Heat Pump works at maximum COP",,,,,,,,,,,,,1,Box,,,
39,P191229,Alpha protection pack (1),Alpha,167.08,"An all-in-one solution for improved boiler efficiency, this Alpha protection pack includes a MagnaClean atom filter and MagnaScale scale reducer along with both inhibitor fluid and a universal cleaner. Improving the reliability of a complete heating system, this protection pack can help to reduce the risk of breakdowns while also minimising gas use and carbon emissions.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Alpha protection pack (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/29/191229_wm.jpg,,,,,N,6.5500055,Accessory,N,With 500ml universal inhibitor and 500ml universal cleaner,Suitable for domestic use,Domestic,Adds 1 year warranty to a boiler,Cleans and treats complete system,Complies with building regulations,,,,,,,,,,,,,,1,,,,
40,P608956,Fernox TF1 filter with slip socket connections 28mm,Fernox,244.99,"Specifically designed for small or restricted access spaces, the Fernox TF1 Omega 28mm filter with slip socket connections is an easy to install sealed, in-line system filter. Manufactured from robust nickel-plated brass, this award-winning filter uses hydronic particle separation (HPS) technology along with magnetic filtration to remove both magnetic and-non magnetic debris from the central heating system. Offering simple cleaning, there's no need to dismantle the unit or replace O-rings during servicing.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 filter with slip socket connections 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/56/NW-608956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TF1_Omega_Filter_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62251_Omegafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P608008,Adey MagnaClean TwinTech filter and bleed valve 22mm,Adey,168.06,"Taking care of a variety of heating system debris issues, the Adey MagnaClean TwinTech 22mm filter contains a high-performance magnet for removing magnetite and a fine wire gauze designed to trap the non-magnetic and biological films that can build up in lower temperature systems. This filter is ideal for systems with underfloor heating as well as renewable systems using heat pumps.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean TwinTech filter and bleed valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/08/NW-608008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaClean_TwinTec_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P100304,Worcester Bosch Greenstar Greenstar System Filter 28mm,Worcester Bosch,198.39,"Protecting against the damage that can be caused by system debris and pollutants, the Worcester Bosch Greenstar 28mm system filter helps homeowners to avoid costly maintenance. Extensively tested in systems, this filter is proven effective in removing iron oxide, magnetite and non-magnetic metal flakes as well as other system pollutants.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Worcester Bosch Greenstar Greenstar System Filter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/04/NW-100303_100304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Systemfilter_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P122258,Vaillant filter boiler protection kit 28mm,Vaillant,205.35,"Incorporating unique magnetic field booster technology, this Vaillant 28mm filter kit offers fast, optimised dirt separation. Removing the very smallest magnetite particles, this filter restores system efficiency while protecting against potentially expensive damage to components. The smart design of this filter allows collected dirt to be removed quickly and without difficulty.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Vaillant filter boiler protection kit 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/58/NW-122257_122258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boiler_Protec_kit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P606165,Fernox TF1 filter with valves pack 22mm,Fernox,78.97,"A precision-engineered in-line system filter, the Fernox TF1 Sigma 28mm filter incorporates a sealed, lidless design for best ever reliability and strength. Suitable for positioning in multiple orientations up to 45° and for fitting on either horizontal or vertical pipework, this filter is ideal for use in restricted spaces. Easy to install, this composite plastic filter with valve connections uses hydronic particle separation (HPS) action to herd contaminants towards a powerful magnet assembly for safe and complete removal.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 filter with valves pack 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/65/NW-606165_wm.jpg,,,,TF1,N,606165 PK,Sigma Filter,N,Pressure-tested sealed unit designed for reliability,"Fast, easy cleaning using drain valve",Suitable for Central Heating Systems,With valves,Unique action captures magnetic and non-magnetic debris using HPS technology,Durable glass-reinforced engineering polymer construction,Easy to install,For use on horizontal or vertical pipework,Operates at an angle of 45°,,,,,,,,,,,,,,,
45,P609276,Fernox F3 cleaner F3 265ml,Fernox,12.81,"Universal Fernox F3 is a highly effective, fast acting, pH neutral cleaner for use in central heating systems. Removing debris, sludge and scale from existing systems, it helps to restore efficiency and do away with boiler noise. It can equally be used for pre-commission cleaning of new installations, removing flux residues and other debris, helping to ensure a longer lifetime for your system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox F3 cleaner F3 265ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/76/609276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_Cleaner_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/609276_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PG79801,Liff NSK13 cartridge for G79800,Liff,33.77,"Removing unpleasant tastes and odours from water, along with scale and scum, this Liff cartridge is designed for use in the NRSK water filter system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Liff NSK13 cartridge for G79800,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/01/NW-G79801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Liff_WaterSoftner_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Liff_Product_Guide_2020_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P608157,Fernox TF1 Tf1 Sigma 22mm Slip Socket (1),Fernox,99.99,"The TF1 Sigma Filter is a precision-engineered, sealed in-line system filter made from a composite polymer. This market-leading, high-performance filter is available with quality valves and slip socket connections, which is an industry first. The TF1 Sigma Filter offers the ultimate in installer choice.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 Tf1 Sigma 22mm Slip Socket (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/57/608157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62414_Sigmafilter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/608154_608158_Fernox_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/608157_Fernox_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P606173,Fernox TF1 compact filter pack 22mm,Fernox,83.32,"A high performance, magnetic in-line filter, the Fernox TF1 22mm compact filter is designed for use in restricted spaces. Easy to install, this composite plastic filter can be installed on either vertical or horizontal pipework and in multiple orientations, ensuring flexibility in even the most awkward location. Capturing both magnetic and non-magnetic debris, the TF1 combines a hydrocyclonic action with specially engineered magnet assemblies to ensure debris is safely and completely collected and removed from the central heating system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 compact filter pack 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/73/NW-606173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_TF1 Comp Filter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_TF1 CF_Installation.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/TF1 Range Installer Leaflet.pdf,,,,,,,,
49,P608263,Fernox TF1 total filter 22 mm,Fernox,226.49,"The dual-action Fernox TF1 Total 22mm filter combines hydrocyclonic action with powerful neodymium magnetic assemblies. This allows it to remove both magnetic and non-magnetic contaminants from central heating system water, containing them safely inside the filter. Made using precision-engineered composite plastic, this filter can be installed on vertical or horizontal pipework and can operate up to a 45° angle for convenient fitting in any location. Quick to clean, the TF1 Total filter will not restrict flow.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 total filter 22 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/63/NW-608263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_59256_TotalFilter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_TF1_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PM12588,JET Range Mag reusable filter bag 30 micron,JET Range,123.72,This reusable JET Range Mag 30 micron filter bag is for use with a side stream system hub filter.,Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> JET Range Mag reusable filter bag 30 micron,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/89/NW-M12584_M12589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M12578_M12590_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M12578_M12590_JetRange_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/M12578_M12590_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JET_M12578-M12579-M12580_Technical.pdf,,,,,,,,
