,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection Size,Operator Type,Type,Colour,Connection Type,Material Type,Warranty,Material,Size,Range,Body Material,Grade,Diameter,Operating Temperature,Feature 7,Feature 8,Finish,Length (M),Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Connection Type 1,Connection Type 2,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Seat Material,Weight,Thickness,Single / Double,Thread Size,Standards,Number of Ports,Seal Material,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15
68,P505449,Center CB Brass Hex Head Flanged Plug 1/2,Center CB,1.58,"Manufactured in robust brass, this Navigator MSL 1/2"" threaded flanged plug is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Hex Head Flanged Plug 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,,,N,CMBRFP-D,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P505422,"Navigator MSL brass threaded flanged plug 1 1/4""",Navigator MSL,7.14,"Manufactured in robust brass, this Navigator MSL 1 1/4"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Navigator MSL brass threaded flanged plug 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,,,N,CMBRFP-G,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,P173008,"Masefield float - max 37c 10 x 9/16"" Copper (10)",Masefield,71.1,"Made of copper, this Masefield 10"" soldered ball float is designed for cold water use only. It is supplied with a BSW stud connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Masefield float - max 37c 10 x 9/16"" Copper (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/09/NW-173007_173009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Masefield_Ball_Valve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Masefield_Beta_Valve_Brochure_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P414128,"Center CB pump ball valve 22mm x 1.1/2"" Brass",Center CB,7.04,"This Center CB 22mm x 1 1/2"" ball valve offers threaded connections and screwdriver operation.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB pump ball valve 22mm x 1.1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/28/NW-414128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414128_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414128_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,P236592,"Center 3/4"" brass olive 5pk",Center,1.65,"These Center 3/4"" brass compression olives are suitable for use in drinking water supplies.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center 3/4"" brass olive 5pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/92/236592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/79/236579.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/89/236588-89.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/71/236571.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236592.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/77/236577.pdf,,,,,,,,,,,,,,,,,,,,,,,
73,P598012,Surestop Surestop Stopcock  SS/15/RPL pushfit remote stopcock 15mm,Surestop,66.25,"Suitable for use with copper or plastic pipes, the push-fit Surestop 15mm stopcock is ideal for the isolation of a water supply for maintenance or in an emergency. Supplied with a remote switch for fitting onto a wall or in a cupboard for convenient ease of access, this stopcock is the ideal choice for properties where pipework is difficult to get to or where the water supply needs to be isolated regularly.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Surestop Surestop Stopcock  SS/15/RPL pushfit remote stopcock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/13/NW-598012_598013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ep/17/Surestop_Brochure_Sep17.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/598012_598013.Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
74,P236589,Center 15mm brass olive 10pk,Center,2.55,These Center 15mm brass compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center 15mm brass olive 10pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/89/236589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236571 236577 236579 236588-89 236592.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,P505433,Center CB Brass Socket 1/2,Center CB,1.81,"Manufactured in robust brass, this Navigator MSL 1/2"" threaded female equal socket is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Socket 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/505428_wm.jpg,,,N,CMBRS-D,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,P236586,"Center York Fibre Washer 1/2"" Pack of 10",Center,1.64,"These Center 1/2"" fibre washers in red are suitable for use in hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center York Fibre Washer 1/2"" Pack of 10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/86/236586_wm.jpg,,,N,PPWSY-D/10W,N,Pack of 10,Fibre construction,Red colour,For end feed tap connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,P236585,Center Washing Machine Hose Washer Pack of 5,Center,1.47,These Center hose washers are designed for use on washing machine hoses.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Washing Machine Hose Washer Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/85/236585_wm.jpg,,,N,PPWSWM-E/05W,N,Pack of 5,EPDM construction,Maximum temperature 85°C,For washing machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,P414077,Midland Brass lockshield gate valve WRAS 22mm,Midland Brass,10.88,"This Midland Brass 22mm gate valve is designed for spanner operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass lockshield gate valve WRAS 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/77/NW-414077_wm.jpg,,,N,MBFGVLSNB-22,N,Brass construction,12 month warranty,,,,,22 mm,Lockshield,Gate Valve,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,
79,P505509,"Midland Brass brass blanking cap and washer 1/2""",Midland Brass,2.74,"A Midland Brass 1/2"" blanking cap and washer for plumbing use.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass brass blanking cap and washer 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/09/505509_wm.jpg,,,N,MBRBCWS-D,N,Brass construction,Supplied with washer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00000,,,,,,,,,,,,,
80,P414071,Center CB copper x copper compression wheel head gate valve 22mm Brass (1),Center CB,7.0,"This Center CB 22mm gate valve offers compression connections and wheelhead operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB copper x copper compression wheel head gate valve 22mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/72/NW-414070_414072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414070_414071_414072_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,P250473,Midland Brass full bore isolating valve 22mm,Midland Brass,11.59,This Midland Brass full bore isolating valve is made of brass with a 22mm threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass full bore isolating valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/73/NW-250473_wm.jpg,,,N,MBFIVHP-22,N,Brass construction,1 year warranty,,,,,22 mm,Slotted,Full Bore Isolating Valve,Metal/s,Threaded,Brass,1 year,Brass,22 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,P171028,"Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",Masefield,372.96,"This lever-operated Masefield Beta 1 1/4"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,P414076,Midland Brass lockshield gate valve WRAS 15mm,Midland Brass,7.35,"This Midland Brass 15mm gate valve is designed for spanner operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass lockshield gate valve WRAS 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/76/NW-414076_wm.jpg,,,N,MBFGVLSNB-15,N,Brass construction,12 month warranty,,,,,15mm,Lockshield,Gate Valve,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,
84,P236584,"Center Fibre Flexible Tap Connector Washer 1/2"" Pack of 5",Center,1.34,"These Center 1/2"" fibre washers in green and black are for use with flexible tap connectors.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Fibre Flexible Tap Connector Washer 1/2"" Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/84/236584_wm.jpg,,,N,PPWSFTC-D/05W,N,Pack of 5,Fibre construction,Green and black colour,For flexible tap connectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PC50814,Midland Brass cooker restraining chain quick release (10),Midland Brass,3.32,This quick-release Midland Brass Salvus cooker restraining chain is made of tough brass.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass cooker restraining chain quick release (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/14/NW-C50814_wm.jpg,,,N,BFGHSC,N,Cooker restraining chain quick release,Manufactured in Italy,Robust design,Allows the drainage of washing machines and dish washers,Extendible up to 21 meters,,,,Restraining Chain,,Shackle Clip & Eye Hook,,,Brass,Chain 13 long,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PF82912,Midland Brass MDPE x copper stop cock 25 x 15mm,Midland Brass,7.49,This Midland Brass brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is fitted with a 25 x 15mm threaded x compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass MDPE x copper stop cock 25 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/12/NW-F82910_F82912_wm.jpg,,,N,MBFST-2515W,N,CW617N brass material,Meets EN 1213 standard,WRAS approved,12 month warranty,,,25 x 15 mm,,Stopcock,,Threaded x Compression,,,,,,,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,P250278,"Tradefix high pressure float valve (part2) 1/2"" (50)",Tradefix,9.02,"Made of brass, this Tradefix float valve has a 8 3/4"" arm, 1/2"" threaded connection, 3 1/2"" drop and a 1 1/4"" tail/","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Tradefix high pressure float valve (part2) 1/2"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/78/NW-250278_wm.jpg,,,N,PBRINL366861,N,Brass construction,12 month warranty,,,,,1/2 inch,Float,Float Valve,Metal/s,Threaded,,,,12,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
88,P292004,Midland Brass brass copper x copper stop cock 28mm,Midland Brass,31.21,This Midland Brass brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is fitted with a 28mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass brass copper x copper stop cock 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/04/NW-292004_wm.jpg,,,N,MBFST-28W,N,Meets EN 1213 standard,12 month warranty,,,,,28 mm,,Stopcock,,Compression,,,,,,,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,P505447,Center CB Brass Hex Head Flanged Plug 1,Center CB,2.27,"Manufactured in robust brass, this Navigator MSL 1"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Hex Head Flanged Plug 1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,,,N,CMBRFP-F,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,P171027,"Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",Masefield,255.34,"This lever-operated Masefield Beta 1"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,P505457,Center CB Brass Hexagon Nipple 3/4,Center CB,1.9,"Manufactured in robust brass, this Navigator MSL 3/4"" threaded hexagonal nipple is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Hexagon Nipple 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/58/505458_wm.jpg,,,N,CMBRHN-E,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,P236583,"Center 3/4"" fibre washer 5pk",Center,1.25,"These Center 3/4"" fibre washers in red are suitable for use in hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center 3/4"" fibre washer 5pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/83/236583_wm.jpg,,,N,PPWSTC-E/05W,N,Pack of 5,Fibre construction,Red colour,For end feed tap connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,P505450,Center CB Brass Flanged Backnut 1/2,Center CB,0.51,"This Navigator MSL 1/2"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Flanged Backnut 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/505450_wm.jpg,,,N,CMBRBACKNUT-D,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PK74203,Rubinetterie 24 spring check valve (BSP) 15mm Brass,Rubinetterie,7.82,"Designed to make sure that liquid or gas flows in just one direction, this 24 spring single check valve with 15mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 40 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Rubinetterie 24 spring check valve (BSP) 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PK74477,JET Range 38 swing check valve (BSP) PN20 20mm Bronze,JET Range,97.09,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 20mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> JET Range 38 swing check valve (BSP) PN20 20mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,P250457,Midbrass HP angle service valve 15mm x 1/2in Nickel Plated,Midbrass,2.84,"Suitable for use in hot or cold water, this Midland Brass angled service valve offers 15mm x 1/2"" connections and a nickel finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midbrass HP angle service valve 15mm x 1/2in Nickel Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/57/NW-250457_wm.jpg,,,N,MBFSVB-15W,N,CW617N brass material,Maximum working temperature 85°C,Manufactured to BS 6675,WRAS approved,1 year warranty,,15 mm x 1/2 inch,Slotted,Angle Service Valve,,,,,,,HP,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,P598013,Surestop Surestop Stopcock  SS/22/RPL pushfit remote stopcock 22mm,Surestop,76.91,"Suitable for use with copper or plastic pipes, the push-fit Surestop 22mm stopcock is ideal for the isolation of a water supply for maintenance or in an emergency. Supplied with a remote switch for fitting onto a wall or in a cupboard for convenient ease of access, this stopcock is the ideal choice for properties where pipework is difficult to get to or where the water supply needs to be isolated regularly.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Surestop Surestop Stopcock  SS/22/RPL pushfit remote stopcock 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/13/NW-598012_598013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ep/17/Surestop_Brochure_Sep17.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/598012_598013.Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
98,PK74235,JET Range DZR DZR copper x copper double check valve 28mm,JET Range,35.27,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 28mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> JET Range DZR DZR copper x copper double check valve 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,P505429,"Navigator MSL brass hexagon bush 1 1/4"" x 1""",Navigator MSL,4.67,"Manufactured in robust brass, this Navigator MSL 1 1/4 x 1"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Navigator MSL brass hexagon bush 1 1/4"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,,,N,CMBRBUSH-GF,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
