,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Range,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Feature 6,Feature 7,Feature 8,Feature 9,Pack Quantity
41,P455693,Pactrol dual control box,Pactrol,260.82,This Pactrol P16 DI control box offers fully automatic programming control. Models approved by BG PLC to EN298 and some ANSI standards are available for forced draught and atmospheric burners up to and beyond 60KW RoHS compliance.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Pactrol dual control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/93/NW-455693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pactrol_P16_Control_Box_Technical.pdf,,,,,,,,,,,,,,,,,,,
42,P421257,"Anglo Nordic oil filter wash filter 1/2""",Anglo Nordic,42.0,"Suitable for a small bore oil line with aluminium bowl, this Anglo Nordic 100 micron bowl filter is supplied with a 1/2"" BSP connection. Made in Italy by specialists FAG, this bowl filter is suitable for 2 bar pressure.","Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Anglo Nordic oil filter wash filter 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/57/421257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,
43,P419603,Nu-Way control box MMI810 MOD 43  230V,Nu-Way,312.23,This Nuway Satronic MM810 control box is manufactured to monitor blown gas and combined burners with any nominal thermal load which are tested and certified according to EN 298.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way control box MMI810 MOD 43  230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/03/NW-419603_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MMI_810_1_811_1_Technical.pdf,,,,,,,,,,,,,,,,,,,
44,P157926,Nu-Way MGN GS475024455 Mgn Ignition Electrode,Nu-Way,38.25,A Nuway ignition or spark electrode.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way MGN GS475024455 Mgn Ignition Electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/26/NW-157926_wm.jpg,,N,x  x,,GS475024455,IGNITION ELECTRODE,N,,Reliable design,MGN,For use with MGN420 and 530,,,,,,,,,
45,P446983,"Anglo Nordic oil line 400mm 1/8"" male x 1/8"" female",Anglo Nordic,20.7,"Suitable for biofuel blends up to B35, this Anglo Nordic oil line has 1/8"" male (90° elbow) x 1/8"" male connections and is made of tough thermoplastic for a long life. Lightweight, this anti-kink line offers an excellent bend radius and good flexibility.","Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Anglo Nordic oil line 400mm 1/8"" male x 1/8"" female",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/83/NW-446983_wm.jpg,,N,x  x,,2407201,Oil Line,N,,High pressure rating,,Wipe clean cover protects against sunlight and ozone,Wire-reinforced hose,Fire-resistant hoses available in certain configurations,,,,,,,
46,P419396,Satronic control box,Satronic,242.74,"The Satronic MMI 810.1 control box controls and monitors blown gas and combined burners of any nominal thermal load, tested and certified according to EN 298. The automatic safety controls on models 13, 33 and 35 can also be used for burners on fixed hot air heaters per DIN 4794.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/96/NW-419396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MMI810-1_811-1_Technical.pdf,,,,,,,,,,,,,,,,,,,
47,P419416,Satronic oil 1 stage control box,Satronic,69.9,"The Satronic DKO 970 oil burner safety control box controls oil burners with throughputs of up to 30kg/h. A microprocessor-based programming sequence provides stable timings independent of voltage variations, ambient temperature and switch-on cycles. The built-in information system provides continuous monitoring of the box and provides information as to the cause of a lock-out, saving those details for easy retrieval after power loss.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic oil 1 stage control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/16/NW-419416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_DKO970-72_Technical.pdf,,,,,,,,,,,,,,,,,,,
48,P436132,Danfoss 052L transformer 220v,Danfoss,168.16,A Danfoss 052L transformer with 220V voltage supply.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Danfoss 052L transformer 220v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/32/NW-436132_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Danfoss_Brnr_Component_ServiceManual.pdf,,,,,,,,,,,,,,,,,,,
49,P455552,Eogb tigerloop,Eogb,80.98,"This Eogb Afriso 3K 1 oil loop filters out gases from oil, eliminating the oil pump or nozzle problems which commonly occur where air is found in oil. This loop also allows a single pipe feed to be converted to a two pipe feed.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Eogb tigerloop,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/52/NW-455552_wm.jpg,,N,x  x,,B03-00-119-00701,Oil Loop,N,CommercialDomestic,Oil loop,,,,,,,,,,,
50,P457436,RIELLO 3470810 RL50 TC OIL BURNER,Riello,2824.6,This Riello two-stage temperature control gas burner offers a firing rate of 296 to 593kW.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> RIELLO 3470810 RL50 TC OIL BURNER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/36/457436_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_RL_Technical.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_457436_Installation.pdf,,,,,
51,P416848,Nu-Way probe,Nu-Way,37.44,A Nuway probe for the Bentone BG400.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/48/NW-416848_wm.jpg,,N,x  x,"MGN 320 S1L,MGN 190 T1L,MGN 190 S1L,MGN 320 T1L",BN11905102,Probe,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",,,,,,,,,,,
52,P456701,Riello Riello Spares electrode,Riello,30.63,"Measuring 209 x 25mm, this Riello replacement spark electrode is suitable for use in R40 G10I, R40 G10 and R40 G10D models. An ignition (spark) electrode causes the spark that begins combustion within a burner.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/01/NW-456701_wm.jpg,,N,x  x,,87161108430,Electrode Assembly,N,,209 (L) x 25 (Dia) mm,Riello Spares,,,,,,,,,,
53,P421701,Atkinson push button sight gauge 6ft,Atkinson,41.64,"Made of UPVC, this Atkinson 1830mm x 1/2"" sight gauge offers a clear reading of the level of contents in a tank via unbreakable sight tubes.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson push button sight gauge 6ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/01/NW-421700_421701_wm.jpg,,N,x  x,,SG1552,Sight Gauge,N,,Produced to BS799,,Features a push-to-read button which isolates flow into the tube when released,Made in England,,,,,,,,
54,P457058,Riello R40 3748251 temperature control oil burner,Riello,808.37,"Safe and highly efficient, the Riello R40 G20S one stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello R40 3748251 temperature control oil burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/58/NW-457057_457058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G20S_Installation.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40G_Oil_Burner_Technical.pdf,,,,,
55,P481946,Atkinson Tankmaster hand wheel,Atkinson,8.06,"Supplied complete with a centre threaded piece, this Atkinson Tankmaster on/off hand wheel is suitable for both the Tankmaster Mark I and Mark II.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster hand wheel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/46/NW-481946_wm.jpg,,N,x  x,,TM4310,Handwheel,N,,Atkinson spare parts,Tankmaster,,,,,,,,,,
56,P497078,Riello Riello Spares high voltage leads (Pack of 6),Riello,14.41,"These Riello high voltage leads are compatible with a variety of units, including Firebird, Greenstar and Warmflow models.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares high voltage leads (Pack of 6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/78/NW-497078_wm.jpg,,N,x  x,,87161113650,Ignition Leads,N,,Spare for Riello boilers,Riello Spares,Suitable for a variety of ranges,,,,,,,,,pack of 6
57,PU82578,Riello Riello Spares control box,Riello,190.22,This Riello control box is suitable for use in the burner section of the brand's Gulliver units.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/78/NW-U82578_wm.jpg,,N,x  x,,87161113510,Control Box,N,,Spare for Riello boilers,Riello Spares,Suitable for a variety of ranges,,,,,,,,,
58,P456018,Nu-Way oil filter element,Nu-Way,12.01,"This Nuway oil filter element is suitable for use with AP2658 Crosland 414, Oil Boxer A, Oil Boxer B, Oil Boxer C, Oil NOL 1, Oil NOL 13, Oil NOL 16, Oil NOL 2, Oil NOL 3, Oil NOL 5, Oil NOL 6, Oil NOL 8 and Oil NOL 9.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way oil filter element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/18/NW-456018_wm.jpg,,N,x  x,,E03-024N,Oil Filter Element,N,,"Suitable for use with AP2658 Croslanf 414,Oil Boxer and Oil NOL appliances",,Oil filter element,,,,,,,,,
59,P456050,Nu-Way heat leads,Nu-Way,79.56,These Nuway 600mm heat leads are compatible with C4-5-6-7 units.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way heat leads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-456050_wm.jpg,,N,600mm,,U90401V,Leads,N,,600mm in length,,Suitable for use with C4-5-6-7 units,Leads only,,,,,,,,
