,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Warranty,Hazardous,Depth (mm),Overheat Protection,Pre-Wired,Boiler Section,Boiler Range,Material,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Fuel Type,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
26,P181070,"Tesla TIH 505 copper immersion heater and resettable thermostat 11""",Tesla,16.75,"Designed for use in soft water areas, this 11"", 3kW copper Tesla TIH505 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 505 copper immersion heater and resettable thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/181070_181076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P181351,Tesla ERS FAZE Eco solar immersion diverter,Tesla,317.99,"Manufactured in the UK, the Tesla Faze Eco solar hot water diverter has a simple design for reliability and ease of use. It features a power output display and manual boost button and offers full battery compatibility. Making use of an existing immersion element, Faze Eco redirects surplus solar energy to water heating, helping to reduce waste.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla ERS FAZE Eco solar immersion diverter,,Diverter. Current Clamp. Power Output Plug Cable. Power Input Plug Cable. Wall Fixings. Push Fit Connector. Installation Guide.,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/51/181351_wm.jpg,,,2 yr extendable to 5 with registration,N,160,N/A,No,,,Aluminium,,,ERSFAZEECO,,N,Aluminium construction,With battery model,Manual boost,Minimm load of 200kW,,,,Operates at 10dBA,Offers convective cooling,8mA (night) self consumption,IPD20 rated,"CE, RoHS, BS EN, EMC and LVD compliant"
28,P181081,"Tesla TIH 645 all incoloy immersion heater and radiator thermostat 14""",Tesla,23.88,"Designed for use in medium-to-hard water areas, this 14"", 3kW Incoloy Tesla TIH645 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 645 all incoloy immersion heater and radiator thermostat 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/83/181081_181083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P181091,"Tesla TIH 570 titanium immersion heater and radiator thermostat 14""",Tesla,41.47,"Designed to stand up to corrosion in hard-to-aggressive water areas, this 14"", 3kW titanium Tesla TIH570 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 570 titanium immersion heater and radiator thermostat 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/92/181090_181092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P181090,"Tesla TIH 565 titanium immersion heater and radiator thermostat 11""",Tesla,38.8,"Designed to stand up to corrosion in hard-to-aggressive water areas, this 11"", 3kW titanium Tesla TIH565 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 565 titanium immersion heater and radiator thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/92/181090_181092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P439379,Range Tribune HE TS9 immersion heater,Range,45.92,The Range Tribune HE TS9 3kW immersion heater is designed to fit any stainless vented or unvented direct cylinder.,Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Range Tribune HE TS9 immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/79/439379_wm.jpg,,Tribune HE,1 year,N,,No,No,,,Incoloy,,,TS9,Element,N,Compatible with all stainless unvented and vented direct cylinders,,,,,,,,,,,
32,P181071,"Tesla TIH 510 copper immersion heater and radiator thermostat 14""",Tesla,21.77,"Designed for use in soft water areas, this 14"", 3kW copper Tesla TIH510 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 510 copper immersion heater and radiator thermostat 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/181070_181076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P181112,"Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 27"" 240v 3Kw",Heatrae Sadia,39.84,"This 27"", 3kW Heatrae Sadia Gold Dot copper sheathed immersion heater is fitted with an RDT combined thermostat and manual reset safety cut-out. Suitable for use in normal water conditions, the Gold Dot can be used alongside an indirect heating coil for a hot water boost when faster heat-up or recovery is needed.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 27"" 240v 3Kw",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/14/181110_181114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
34,P181063,"Heatrae Sadia RDT RDT 18"" vertical resettable immersion heater thermostat 18""",Heatrae Sadia,19.92,"This 18"" vertical Heatrae Sadia RDT domestic immersion heater includes a RDT combined thermostat and resettable safety cut-out. The RDT resettable thermostat provides useful protection against boiling steam with no need to drain down the hot water cylinder. The thermostat's manual reset incorporates patented MFS technology for single pole safety operation.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia RDT RDT 18"" vertical resettable immersion heater thermostat 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/181060_181063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
35,PS10177,Heatrae Sadia 3 phase immersion heater 24kW,Heatrae Sadia,1662.21,This Heatrae Sadia three-phase 24kW immersion heater is designed for compatibility with commercial grade Flexistor water storage cylinders.,Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia 3 phase immersion heater 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/D74053_wm.jpg,,,2 years,N,396,Yes,No,,,incolloy,,,95970146,,N,Incoloy construction,Suitable for use in Flexistor cylinders,"Suitable for combination of immersion heaters up to 90kW, depending on cylinder capacity",2 year warranty,,,,,,,,
36,P448014,Cotherm Unvented Cylinder Spares ELE14IN800FAB IMM element 3Kw,Cotherm,114.52,"Measuring 355.6mm, this Cotherm IMM 3kW immersion heater element is manufactured in a robust Incoloy. It is suitable for use in Fabdec unvented cylinders.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Cotherm Unvented Cylinder Spares ELE14IN800FAB IMM element 3Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/14/448014_wm.jpg,,Unvented Cylinder Spares,12 Months,N,,Yes,No,,,Incoloy,,,ELE14IN800FAB,,N,Incoloy construction,With white cover,"1 3/4"" connections",12 month warranty,,,,,,,,
37,P181111,"Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 14"" 240v 3Kw",Heatrae Sadia,39.84,"This 14"", 3kW Heatrae Sadia Gold Dot copper sheathed immersion heater is fitted with an RDT combined thermostat and manual reset safety cut-out. Suitable for use in normal water conditions, the Gold Dot can be used alongside an indirect heating coil for a hot water boost when faster heat-up or recovery is needed.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 14"" 240v 3Kw",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/14/181110_181114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
38,P181348,"Tesla T-Smart TIHTS572 titanium immersion heater with thermostat 14""",Tesla,160.48,"Giving you complete control of your hot water supply wherever you are, the Tesla T-Smart 3kW immersion heater is app connected for improved efficiency. Offering the option to turn off remotely when the immersion isn't needed, this smart system minimises waste, putting the water heater into frost protection mode for safety as well as cost savings. And when it comes to personal safety, the titanium built T-Smart has you covered too with a reliable Anti-Legionella function that protects from bacterial growth for complete peace of mind.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla T-Smart TIHTS572 titanium immersion heater with thermostat 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/NW-181347_181348_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tesla_T-Smart_Technical.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Tesla_T-Smart_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Tesla_T-Smart_Brochure.pdf,,,,,
39,P181347,"Tesla T-Smart TIHTS476 incoloy immersion heater with thermostat 14""",Tesla,145.74,"Giving you complete control of your hot water supply wherever you are, the Tesla T-Smart 3kW immersion heater is app connected for improved efficiency. Offering the option to turn off remotely when the immersion isn't needed, this smart system minimises waste, putting the water heater into frost protection mode for safety as well as cost savings. And when it comes to personal safety, the Incoloy built T-Smart has you covered too with a reliable Anti-Legionella function that protects from bacterial growth for complete peace of mind.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla T-Smart TIHTS476 incoloy immersion heater with thermostat 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/NW-181347_181348_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tesla_T-Smart_Technical.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Tesla_T-Smart_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Tesla_T-Smart_Brochure.pdf,,,,,
40,P181085,"Tesla TIH 655 all incoloy immersion heater and radiator stat 30""",Tesla,28.38,"Designed for use in medium-to-hard water areas, this 30"", 3kW Incoloy Tesla TIH655 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 655 all incoloy immersion heater and radiator stat 30""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/86/181085_181086_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PS10178,Heatrae Sadia 3 phase immersion heater 30kW,Heatrae Sadia,1537.77,This Heatrae Sadia three-phase 30kW immersion heater is designed for compatibility with commercial grade Flexistor water storage cylinders.,Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia 3 phase immersion heater 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/D74053_wm.jpg,,,2 years,N,676,Yes,No,,,incolloy,,,95970147,,N,Incoloy construction,Suitable for use in Flexistor cylinders,"Suitable for combination of immersion heaters up to 90kW, depending on cylinder capacity",2 year warranty,,,,,,,,
42,P419880,Advanced Water 320 -255-0002 immersion heater 3KW 1 3/4,Advanced Water,73.97,"Measuring 279.4mm, the Advanced Water Albino IMHTRSS 3kW immersion heater is designed for compatibility with Kingspan Flomaster and Copperform Flomaster unvented cylinders.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water 320 -255-0002 immersion heater 3KW 1 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/80/NW-419880_wm.jpg,,320,1 year,N,90,Yes,No,,,Incoloy,,,320-255-0002,,N,Incoloy construction,1 year warranty,,,,,,,,,,
43,P181110,"Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 11"" 240v 3Kw",Heatrae Sadia,37.35,"This 11"", 3kW Heatrae Sadia Gold Dot copper sheathed immersion heater is fitted with an RDT combined thermostat and manual reset safety cut-out. Suitable for use in normal water conditions, the Gold Dot can be used alongside an indirect heating coil for a hot water boost when faster heat-up or recovery is needed.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 11"" 240v 3Kw",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/14/181110_181114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
44,P109454,"Tesla T-Smart TIHTS650 incoloy immersion heater with thermostat 27""",Tesla,168.67,"Connecting to existing wiring for straightforward retrofit, the Tesla T-Smart 27"" immersion heater with thermostat makes installation easy thanks to a simple set-up process with no requirement for additional equipment. Smartphone app connected, the T-Smart supplies complete on-the-go control for the user, allowing you to turn off the heater as needed, putting it into frost protection mode for cost and energy savings. Running an antibacterial cycle at least every fifteen days, this smart immersion protects from the bacteria growth linked to Legionella, keeping you and your family safe with no need to run extra manual processes.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla T-Smart TIHTS650 incoloy immersion heater with thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/54/109454_wm.jpg,,T-Smart,2 years,N,95,Yes,Yes,,,Incoloy,,,TIHTS650,,N,Suitable for remote app control,"Function, time programme and activation/deactivation of travel mode can be operated via app","Smart, eco and holiday modes for improved efficiency",Features on/off at set times and 7 day programmer,,,,Easy view weekly/daily display,Unlimited time and temperature settings for flexibility,Anti-Legionella function carries out pasteurisation at least once every 15 days,Frost protection keeps stored water from falling below 10ºc,2 year warranty
45,P208479,Acv XB 80300 immersion heater 3kW,Acv,52.66,"This Acv immersion heater raises the water temperature in a cylinder for use in radiators and domestic hot water. The heater will also maintain a set temperature to ensure fast delivery of pre-heated water as required.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Acv XB 80300 immersion heater 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/79/208479_wm.jpg,,XB,n/a,N,N/A,No,No,Heat Exchanger,,N/A,,,XB080300,,N,This Acv immersion heater raises the water temperature in a cylinder for use in radiators and domestic hot water. The heater will also maintain a set temperature to ensure fast delivery of pre-heated water as required.,,,,,,,,,,,
46,P181061,"Heatrae Sadia RDT RDT 11"" (Horizontal) resettable immersion heater thermostat 11""",Heatrae Sadia,20.02,"This 11"" horizontal Heatrae Sadia RDT domestic immersion heater includes a RDT combined thermostat and resettable safety cut-out. The RDT resettable thermostat provides useful protection against boiling steam with no need to drain down the hot water cylinder. The thermostat's manual reset incorporates patented MFS technology for single pole safety operation.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia RDT RDT 11"" (Horizontal) resettable immersion heater thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/181060_181063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
47,P181114,"Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 36"" 240v 3Kw",Heatrae Sadia,44.8,"This 36"", 3kW Heatrae Sadia Gold Dot copper sheathed immersion heater is fitted with an RDT combined thermostat and manual reset safety cut-out. Suitable for use in normal water conditions, the Gold Dot can be used alongside an indirect heating coil for a hot water boost when faster heat-up or recovery is needed.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Gold Dot immersion heater with resettable thermostat plus RDT 36"" 240v 3Kw",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/14/181110_181114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
48,PD68205,Santon MY MY616 industrial immersion water heater 6kw,Santon,499.52,"The robust, hardworking 6kW Santon MY industrial electrical immersion heater is designed to provide hot water for a wide range of industrial and commercial applications, from municipal swimming pools to car wash machines or in industrial calorifiers. Made of reliable Superloy with an IP65 cover, this immersion is fitted with a stem-type thermostat.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Santon MY MY616 industrial immersion water heater 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/D68205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Santon_Water_Heating_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P181115,"Heatrae Sadia Superloy 11"" sheathed immersion heater with resettale thermostat 11""",Heatrae Sadia,42.32,"Built to withstand aggressive water conditions, the 11"", 3kW Heatrae Sadia Superloy nickel alloy sheathed immersion heater is highly resistant to corrosion for an efficient, cost-effective long life. The Superloy is built for safety, incorporating a no-heat zone to prevent overheating as well as a RDT combined thermostat and resettable safety cut-out.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Superloy 11"" sheathed immersion heater with resettale thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/17/181115_181117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
50,PD70088,Ariston Next Evo X 3319648 standard horizontal flue,Ariston,117.77,"Made of stainless steel and finished in white, this Ariston Next Evo X standard horizontal flue is suitable for use with Next EVO X 16L gas fired water heaters.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Ariston Next Evo X 3319648 standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/88/NW-D70088_wm.jpg,,Next Evo X,,N,800,,,,,,,,3319648,Horizontal Flue Kit,N,800mm length,100mm diameter,1 year warranty,,,,,,,,,
51,P468713,Advanced Water 218-255-0003 Immersion Element,Advanced Water,163.01,"This Heatrae Sadia immersion heater is suitable for Premier Plus, Megaflo HE, Electromax, Electromax ErP, Electromax Solar and Megalife appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water 218-255-0003 Immersion Element,,"Complete with Immersion Heater Key, Thermostat & Wiring",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/13/468713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P468837,Advanced Water Albion SU007 immersion heater 3kw,Advanced Water,77.14,This 3kW Kingspan Albion copper immersion heater is designed for use with stainless steel unvented cylinders.,Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water Albion SU007 immersion heater 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/37/468837_wm.jpg,,Albion,1 year,N,,No,No,,,Metal,,,012-255-0002,Immersion Heater,N,White finish,Copper construction,1 3/4 inch thread boss,25 year warranty,,,,,,,,
