,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Connection Type,Length (M),Warranty
32,P418048,Rothenberger Soldering & welding 130000 mini strips (Pack of 10),Rothenberger,9.41,"Used to roughen and deburr plastic and copper tubing, these Rothenberger soldering and welding mini strips are supplied in a pack of 10. Also suitable for removing paint and oxides from pipes and fittings ahead of soldering jobs, these handy strips are sometimes referred to as 'flexible files'.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Soldering & welding 130000 mini strips (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/130000_wm.jpg,pack of 10,Soldering & welding,N,45(L)x10(W)x300(H) mm,130000,Mini strips,N,Longer lasting than steel wool,Will not clog,Waterproof,,,,,,Double-sided use,,,,,,,,,,,,,,,,
33,PN39661,Rothenberger Rocut plastic pipe cutter 0-42mm,Rothenberger,53.32,"Made of aluminium with a rubber handle, this Rothenberger Rocut pipe shear cuts pipes up to 42mm in diameter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rocut plastic pipe cutter 0-42mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/61/NW-N39661_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
34,PT87001,Rothenberger Tap Fitting Set,Rothenberger,20.0,"The Rothenberger tap fitting set comprises a range of tools suitable for the installation and removal of kitchen and bathroom taps. Included is a telescopic basin wrench, a monobloc tap spanner set and a backnut spanner set. While the monobloc spanner is supplied with 8mm, 9mm, 10mm, 11mm, 12mm and 13mm heads, the backnut set includes 1/2"" and 3/4"" backnuts.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Tap Fitting Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/T87001_wm.jpg,,,N,325mm x 82mm x 130mm,1000004670,Hand Tools,N,Wrench has spring-loaded self-locating hook,With 4x length adjustments,Monobloc spanner includes 6x head options,,,,,,Fit together to extend length,Backnut spanner with 2x backnuts,Both spanners include tommy bars,,,,,,,,,,,,,,
35,PB00087,Cramer Fugi CRA 40407 EN fugi kit VII,Cramer,22.24,"Making processing any sealant simple, this Cramer Fugi CRA 40407 EN Profiling Kit VII is designed with guides to assist in bridging intersections, meaning no risk of subsidence. Ideal for complex jointing works, this kit uses a unique grouting technique with no separating agents meaning there's less likelihood that mould will form under joints. In addition to sealant processing, the Cramer Fugi Profiling Kit VII can be used to rework blemishes without removing joints.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Cramer Fugi CRA 40407 EN fugi kit VII,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/NW-B00087_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B00087_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
36,PN39441,Rothenberger MINICUT II PRO minicut 2 professional tube cutter 3-22mm,Rothenberger,19.08,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 6 - 22mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger MINICUT II PRO minicut 2 professional tube cutter 3-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/41/NW-N39441_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
37,P515521,Hep2O Hepworth HD74 pipe cutter,Hep2O,17.65,"These stainless steel Hep2O Hepworth HD74 standard scissor-type pipe cutter are easy to use and the recommended method for cutting Hep2O pipes. Hep2O fittings are suitable for use in hot and cold water and heating systems and perform best used in conjunction with other Hep2O products, though they can be used with traditional copper pipes.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Hep2O Hepworth HD74 pipe cutter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/21/NW-515521_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2O_Users_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
38,PT86911,"Rothenberger Rogrip 1000002698 M Plier 7""",Rothenberger,24.29,"Ideal for working with water or oil, these Rothenberger Rogrip 7"" water pump M pliers are designed with safe non-slip handles. Made of steel, these pliers will clamp and rotate different pipe types up to 50mm in diameter.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rogrip 1000002698 M Plier 7""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/98/1000002698_wm.jpg,,Rogrip,N,,1000002698,Water Pump Pliers,N,"Double-hardened, wear-resistant teeth","3 touchpoint grip on pipe, handle and tooth design prevent slipping",30% higher gripping capacity,,Grey/Red,Steel,20 (W) x 310 (H) mm,Hold and turn pipes,Prevents unintentional opening,50% quicker adjustment,,,,,,,,,,,,,7,,
39,PT86912,"Rothenberger Rogrip 1000002700 M Plier 10""",Rothenberger,27.52,"Ideal for working with water or oil, these Rothenberger Rogrip 10"" water pump M pliers are designed with safe non-slip handles. Made of steel, these pliers will clamp and rotate different pipe types up to 50mm in diameter.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rogrip 1000002700 M Plier 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/12/NW-T86912_wm.jpg,,Rogrip,N,,1000002700,Water Pump Pliers,N,"Double-hardened, wear-resistant teeth","3 touchpoint grip on pipe, handle and tooth design prevent slipping",30% higher gripping capacity,,Grey/Red,Steel,20 (W) x 312 (H) mm,Hold and turn pipes,Prevents unintentional opening,50% quicker adjustment,,,,,,,,,,,,,10,,
40,PN13746,Nerrad Versa funnel,Nerrad,24.45,"Formable into almost any shape, this Nerrad Versa funnel helps to contain nuisance drips when working on radiators or draining cylinders and is particularly useful for catching or diverting water away from PCBs. Manufactured from flexible aluminium, this funnel is covered with a high grade nitrile rubber.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad Versa funnel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/46/NW-N13746_wm.jpg,,,N,370 x 170 mm,NTVSF1,Funnel,N,Versa funnell is approx 37 x 17cms,,,,,,,,,,,,,,,,,,,,,,,470mm,
41,PN39706,Rothenberger Pipeslice Tube Cutters pipe slice twin pack,Rothenberger,26.55,"Suitable for cutting copper tube with one hand, this Rothenberger pipe slice uses an automatic self-clamping action for accurate results and a smooth finish with no deformation. Ideal for use in confined spaces, the cutter has a compact design, rotating within its own radius.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Pipeslice Tube Cutters pipe slice twin pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/06/NW-N39706_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
42,PN13747,"Nerrad mini adjustable wrench 4""",Nerrad,10.99,"Ideal for working in tight, awkward spaces, this Nerrad 18mm adjustable mini wrench has the largest jaw width in its class. Made of CRV steel, this compact yet powerful wrench is suitable for use on drain valves and internal boiler fittings.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad mini adjustable wrench 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/47/NW-N13747_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0_/21/Nerrad_Product_Catalogue_2020_21.pdf,,,,,,,,,,,,,,,,,,,,,
43,P231593,Center CB medium grade steel wool 1lb roll,Center CB,4.0,This Center CB medium grade steel wool is supplied in a large 1lb bundle. It is a multipurpose product commonly used in cleaning and deburring applications.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Center CB medium grade steel wool 1lb roll,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/75/512575_wm.jpg,,,N,,231593 PK,Wool Roll,N,1lb roll,Medium grade,For cleaning and deburring pipes,,Red,Steel,100 mm,Cleaning and deburring pipes,For prepping pipework ahead of soldering,Suitable for applying flux,Steel construction,,,,,,,,,,,,,,
44,PT85571,"Rothenberger spare multibender guide 22mm (7/8"")",Rothenberger,24.85,"This precision-made Rothenberger 80178 multibender guide is made of strong aluminium and offers clean, strong bends.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger spare multibender guide 22mm (7/8"")",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/71/NW-T85571_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
45,P688865,"Rothenberger SPK water pump plier 10"" Black",Rothenberger,19.17,"Made of steel, these Rothenberger SPK 250mm water pump pliers have jaws opening up to a maximum of 43mm.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger SPK water pump plier 10"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/65/NW-688865_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
46,PN39443,"Rothenberger SPK water pump plier 12"" Black",Rothenberger,23.33,"Made of steel, these Rothenberger SPK 300mm water pump pliers have jaws opening up to a maximum of 48mm.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger SPK water pump plier 12"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/43/NW-N39442_N39443_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
47,P519476,Wavin Wavin Hep2O HX78/22W hepkey 22mm,Wavin,0.35,"Made of polybutylene (PB), this Wavin Hep2O HX78 22mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX78/22W hepkey 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/76/NW-519476_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
48,PP96059,Geberit Mapress pressing collar set 2 extra large in case d108mm,Geberit,2035.27,"Supplied in a handy case, this Geberit Mapress 108mm [2XL] pressing collar is suitable for ACO 203XL pressing tools and press fittings. It includes a ZB 222 [2XL] adapter jaw for final pressing.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Geberit Mapress pressing collar set 2 extra large in case d108mm,,"Pressing collar, diameter 108mm;Adaptor jaw ZB 222 [2XL] for final pressing;BRUNOX Turbo-Spray",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/59/NW-P96059_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P96059_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
49,PT86308,Rothenberger Rotrac 28 tube cutter 3-28mm,Rothenberger,60.85,"This robust Rothenberger Rotrac tube cutter cuts copper, brass, aluminium and thin-walled steel pipes in 3 - 28mm sizes. Fitted with an internal deburrer, this tool provides a smooth, ready to use finish.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rotrac 28 tube cutter 3-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/08/NW-T86308_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
50,PS11476,Rems Aquila 3B 120270 aquila 3b,Rems,503.84,"Made of steel and mounted on a reliably tough tripod, the REMS Aquila 3B chain vice is suitable for use with a wide range of pipe sizes from 1/8"" right up to 6"".",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rems Aquila 3B 120270 aquila 3b,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/76/NW-S11476_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Rems_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,
51,P690495,"Rothenberger tube expander set 3/8-1.1/8""",Rothenberger,488.46,"The Rothenberger tube expander set is a precision capillary socket forming tool designed to produce end feed soldering joints in copper tube. Lightweight, hardwearing and resistant to wear, it creates quality pipe connections in accordance with DVGW standards.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger tube expander set 3/8-1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/95/NW-690495_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
52,PM15632,Geberit Mapress manual deburrer 15-54mm,Geberit,50.63,This Geberit Mapress pipe deburrer for 12 - 54mm is suitable for deburring the inside and outside of Geberit Mapress system pipes and standard copper pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Geberit Mapress manual deburrer 15-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/32/NW-M15632_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/M15632_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
53,P512549,Center CB steel wool pads (Pack of 8),Center CB,2.95,Center CB wool pad is made of steel material. Wool pads is used for cleaning and deburring pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Center CB steel wool pads (Pack of 8),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/49/NW-512549_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ArcticProducts_Brochure.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/49/512549.pdf,,,,
54,P519477,Hep2O Wavin Hep2O HX78 hepkey 28mm,Hep2O,0.4,"This Wavin Hep2O HX78 28mm Hepkey is used for the secure demounting of Hep2O fittings. It simply clips onto a fitting and holds the grab ring in its release position while you remove the connection. A unique system for reliable push-fit jointing, Hep2O offers joint recognition, secure demounting and a leak-free guarantee.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Hep2O Wavin Hep2O HX78 hepkey 28mm,,10 tools,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/77/519477_wm.jpg,,Wavin Hep2O,N,,HX78/28W,Demounting tool,N,For secure demounting of Wavin Hep2O push-fit system,"Clips onto Hep2O fitting, holding grab-ring in its release position",Hep2O is suitable for hot and cold systems,,Orange,PB,28 mm,Use to demount Wavin Hep2O fittings,System has In4Sure joint recognition for secure joints,System guarantees leak-free security,Colour-coded packaging for easy identification,"Green 10mm, blue 15mm, purple 22mm and orange 28mm",BS EN 7291 parts 1 and 2,WRAS approved,,,,,,,,,,,
55,P418055,"Rothenberger 4-in-1 universal stopcock key 42""",Rothenberger,20.85,"This Rothenberger stopcock key is designed to fit most 1/2"" and 3/4"" stop taps as well as 1/2"" and 3/4"" square stop taps. Strong and sturdy, this key is suitable for turning stiff stop taps while a longer length tommy bar on the handle is ideal for lifting access covers.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger 4-in-1 universal stopcock key 42""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/55/NW-418055_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
56,P581260,JET Range hank of hemp 250g,JET Range,11.45,Jet hemp is used by plumbers and pipefitters as a filler in conjunction with a thread paste to produce a tight seal on threaded pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> JET Range hank of hemp 250g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/60/581260_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/581260_Data.pdf,,,,
57,P418060,Rothenberger Rocut plastic pipe shear 0-42mm,Rothenberger,25.16,"This ratchet-type Rothenberger 0 - 42mm pipe shear is suitable for cutting all plastic pipes, including MDPE, PP, PE, HEP20 and PE-X.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rocut plastic pipe shear 0-42mm,,"1x Rocut cutter,1x Blade",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/91/55091_wm.jpg,,Rocut,N,,055091E,Pipe Shears,N,Ratchet action,"For fast, clean square cuts",Suitable for all plastic pipe types,,Red / Silver,Plastic,0 - 42 mm,Plastic pipes,,,,,,,0.43000,,,,,,,,,,
58,PN20138,"Rothenberger universal 5 in 1 stop cock key 34""",Rothenberger,24.1,"This Rothenberger stopcock key is designed to fit most 1/2"" and 3/4"" crutch head valves as well as 1/2"", 3/4"" and 5/8"" square stop taps. Strong and sturdy, this key is suitable for turning stiff stop taps while a longer length tommy bar on the handle is ideal for lifting access covers.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger universal 5 in 1 stop cock key 34""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/38/NW-N20138_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
59,P581261,JET Range hemp dispenser 80g,JET Range,8.41,Jet traditional hemp can be used in conjunction with virgin white product for the perfect seal every time. Available in handy dispensers.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> JET Range hemp dispenser 80g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/61/581261_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,
60,P581262,JET Range hemp spool/refill 80g,JET Range,18.07,Jet hemp is used by plumbers and pipefitters as a filler in conjunction with a thread paste to produce a tight seal on threaded pipes.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> JET Range hemp spool/refill 80g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/62/581262_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/581260 - 581262 Datasheet.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/581262_Data.pdf,,,,
61,PT85928,Rothenberger Ropump force pump,Rothenberger,29.53,"Offering excellent pumping power, the Rothenberger Ropump force pump cleaner uses simple water pressure to help remove blockages in domestic pipework. It is suitable for the clearing of blocked sinks, baths or shower trays.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Ropump force pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/28/NW-T85928_wm.jpg,,Ropump,N,,71991,Force Pump,N,Compact yet effective,Removes blockages in pipework using water pressure,For domestic use,,Black / White / Red,Plastic and Polymer,95 mm (L) x 95 mm (W) x 400mm (H),"Remove Blockages In Domestic Pipework, Including Sinks, Baths and Shower Trays",,,,,,,,,,,,,,,,,
62,PN39439,Rothenberger Rocut plastic pipe shear 0-26mm,Rothenberger,29.16,"These Rothenberger Rocut pipe shears for 0 - 26mm pipes has a stainless steel blade for quick, accurate cutting.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rocut plastic pipe shear 0-26mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/39/NW-N39439_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
63,PN13843,Nerrad NT4067 adj ratchet action copper/inox tube cutter 35-67mm,Nerrad,155.39,"Supplied complete with a copper cutting wheel, the Nerrad adjustable ratchet action 35 - 67mm tube cutter can also cut through INOX or multilayer pipe using alternative wheel types. With an internally rotating cutting mechanism that rotates independently from the cutter's body, this tool is ideal for working in awkward confined spaces. Meanwhile, an ergonomically designed handle requires minimal effort to operate, even when working single-handedly.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad NT4067 adj ratchet action copper/inox tube cutter 35-67mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/43/N13843_wm.jpg,,,N,,NT4067,Pipe Cutter,N,Ratchet action,For Copper/INOX tube,Suitable for 35 - 67mm pipework,,,,35 - 67mm,Inox/Copper Tube Cutting,Suitable for multilayer tubes up to 10mm thickness using specially designed wheel,,,,,,0.62200,,,,,,,,,,
