,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Drive,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Dimensions mm (H x W x D),Range,Pack Type,Feature 2,Feature 3,Feature 4,Diameter,Head Type,Feature 5,Attachment 2,Warranty
36,PT83775,JET Range bright zinc plated set screw (grade 8.8) 70mm (m20) (25 per bag),JET Range,8.71,This JET Range set M20 x 70mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 70mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
37,PT83729,JET Range bright zinc plated set screw (grade 8.8) 50mm (m10) (25 per bag),JET Range,1.44,This JET Range set M10 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 50mm (m10) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/29/NW-T83729_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
38,PT83922,JET Range half turn screw set grade 8.8 M16 x 65mm Zinc Plated (25 per bag),JET Range,3.97,This JET Range set M16 x 65mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 65mm Zinc Plated (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
39,PT83923,JET Range zinc plated high tensile screw set (grade 8.8) 70mm (m16) (25 per bag),JET Range,4.78,This JET Range set M16 x 70mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 70mm (m16) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
40,PT83756,JET Range bright zinc plated screw set (grade 8.8) 40mm (m16) (50 per bag),JET Range,2.99,This JET Range set M16 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 40mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
41,PT83925,JET Range zinc plated high tensile screw set (grade 8.8) 80mm (m16) (25 per bag),JET Range,5.43,This JET Range set M16 x 80mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 80mm (m16) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/25/NW-T83925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
42,PT83713,JET Range bright zinc plated screw (grade 8.8) 30mm (m8) (200 per bag),JET Range,0.59,This JET Range set M8 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw (grade 8.8) 30mm (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/13/NW-T83712_T83713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
43,PT83771,JET Range bright zinc plated screw set (grade 8.8) 40mm (m20) (25 per bag),JET Range,6.7,This JET Range set M20 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 40mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
44,PT83727,JET Range bright zinc plated set screw (grade 8.8) 40mm (m10) (100 per bag),JET Range,1.17,This JET Range set M10 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 40mm (m10) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
45,PIS5493,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1.1/4"" (Pack of 200)",Unifix,10.05,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/4 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1.1/4"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
46,PIS5490,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 3"" (Pack of 100)",Unifix,8.49,"Suitable for use in softwood applications, these Unifix TwinQwik 3 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 3"" (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/90/NW-IS5489_IS5490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
47,P257461,"Center Screws mirror screw 1"" (4)",Center,6.2,"Designed specifically for the wall mounting of a mirror, this pack of 1"" mirror screws contains four screws with silver colour dome heads.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Center Screws mirror screw 1"" (4)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/61/257461_wm.jpg,,4,N,Flat Blade,Steel,PHASCR374541,Screw,N,Pack of 4,,Screws,,Zinc-plated finish,Flat blade type,Slotted head,38 mm,Slot head,,,
48,PT83930,JET Range half turn screw set grade 8.8 M20 x 75mm Zinc Plated (25 per bag),JET Range,9.29,This JET Range set M10 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range half turn screw set grade 8.8 M20 x 75mm Zinc Plated (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/31/NW-T83930_T83931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
49,PW53984,"Alutec round head zinc screw 1.1/2"" x NO.10 (1)",Alutec,0.29,This Alutec Evolve No.10 x 30mm fascia bracket screw with mill finish is suitable for use in all gutter systems and offers compatibility with all 63 and 76mm diameter downpipes.,"Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Alutec round head zinc screw 1.1/2"" x NO.10 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/84/NW-W53984_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Marley_Alutec_Product Guide_Sept2019.pdf,,,,,,,,,,,,,,,,,,,
50,PW51107,"Alumasc round head woodscrew washer 2"" (each)",Alumasc,0.6,"This Alumasc No.12 x 2"" roundhead woodscrew with washer is suitable for fixing pipe sockets with ears or pipe clips.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Alumasc round head woodscrew washer 2"" (each)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/08/NW-W51107_W51108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Technical_Brochure.pdf,
51,PIS5487,"Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 2"" (Pack of 200)",Owlett Jaton,10.93,"Made of hardened steel, these Owlett-Jaton Twinquick 8mm x 2"" countersunk recessed woodscrews have a bright zinc-plated finish. Ideal for use in softwood, the screws have twin threads for faster installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 2"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/87/NW-IS5487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
52,PM92044,M Greenaway And Son hex head screw set 20mm (M10) (1000),M Greenaway And Son,1.94,"Supplied in a pack of 1000, these M Greenaway Fixings M10 x 20mm hex head set screws are made of a high tensile grade 8.8 BZP.",Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> M Greenaway And Son hex head screw set 20mm (M10) (1000),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/44/NW-M92044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/M92044_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/M_Greenaway_Fixings_Catalogue.pdf,
53,PG23525,Domus Ancillaries SD-SCREW domus self drilling screws,Domus,79.98,This Domus brand self-drilling screw is a spare part for the fitting and fixture of Domus ventilation products.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Domus Ancillaries SD-SCREW domus self drilling screws,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/25/G23525_wm.jpg,,,N,,,SD-SCREW,,N,For use with Domus ventilation products,,Ancillaries,,Self-drilling design,,,,,,,n/a
