,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Weight,Material Type,Operating Temperature,Range,Warranty,Material,Size,Feature 5,Colour,Seal Material,Diameter
26,PK21409,JET Range strainer (BSP) PN20 25mm Bronze,JET Range,124.87,"This JET Range 98 Y-strainer is made of bronze with 25mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 25mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
27,PK74223,Rubinetterie foot valve strainer only 15mm,Rubinetterie,24.3,This 24F foot valve strainer incorporates a stainless steel body and 15mm threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Rubinetterie foot valve strainer only 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/31/NW-K74222_K74231_wm.jpg,15mm,Threaded,N,11010004,Strainer,N,From -10 to 150°C temperature,Stainless steel body,Threaded connections,,,,,,,,,Brass,-10 to 150,,,Stainless Steel,15 mm,,,,
28,PK10132,Crane y-strainer (PN32) 32mm (BSP) Bronze,Crane,445.83,"This Crane D297 Y-strainer is made of bronze with 1 1/4"" female taper threaded end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer (PN32) 32mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/34/NW-K10129_K10134_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D297_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN32_D297_Strainer_Technical.pdf,,,,,,,,,,,,,
29,PK74228,* JET 24F FOOT VALVE STRAINER ONLY    50,Rubinetterie,55.74,This 24F foot valve strainer incorporates a stainless steel body and 50mm threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> * JET 24F FOOT VALVE STRAINER ONLY    50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/31/NW-K74222_K74231_wm.jpg,50mm,Threaded,N,11010010,Strainer,N,From -10 to 150°C temperature,Stainless steel body,Threaded connections,,,,,,,,,,-10 to 150,,,Stainless Steel,,,Metallic,,
30,PK30527,Pegler Yorkshire strainer 40mm (BSP) Bronze,Pegler,171.04,"This Pegler Yorkshire Series B V913 Y-strainer is made of gunmetal with 1 1/2"" BSP taper female threaded connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer 40mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/27/NW-K30525_K30527_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_V913_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_V913_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,
31,PK21411,JET Range strainer (BSP) PN20 40mm Bronze,JET Range,240.03,"This JET Range 98 Y-strainer is made of bronze with 40mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 40mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
32,PK10129,Crane y-strainer (PN32) 15mm (BSP) Bronze,Crane,156.79,"This Crane D297 Y-strainer is made of bronze with 1/2"" female taper threaded end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer (PN32) 15mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/34/NW-K10129_K10134_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D297_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN32_D297_Strainer_Technical.pdf,,,,,,,,,,,,,
33,PK30526,Pegler Yorkshire strainer 32mm (BSP) Bronze,Pegler,129.26,"This Pegler Yorkshire Series B V913 Y-strainer is made of gunmetal with 1 1/4"" BSP taper female threaded connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer 32mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/27/NW-K30525_K30527_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_V913_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_V913_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,
34,PK16554,Crane y-strainer PN16 20mm (BSP) Bronze,Crane,136.19,"This Crane D298 Y-strainer is made of bronze and incorporates 3/4"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 20mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,,,,,,,,,,,,,
35,PK10130,Crane y-strainer (PN32) 20mm (BSP) Bronze,Crane,256.18,"This Crane D297 Y-strainer is made of bronze with 3/4"" female taper threaded end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer (PN32) 20mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/34/NW-K10129_K10134_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D297_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN32_D297_Strainer_Technical.pdf,,,,,,,,,,,,,
36,PK21400,JET Range 18 mesh 1000 micron strainer screen 15mm,JET Range,3.97,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 15mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 18 mesh 1000 micron strainer screen 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
37,PK21402,JET Range 18 mesh 1000 micron strainer screen 25mm,JET Range,5.71,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 25mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 18 mesh 1000 micron strainer screen 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
38,PK21428,JET Range strainer (PN20) 20mm (BSP) Brass,JET Range,59.2,"This JET Range 96 Y-strainer is made of brass with 20mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 20mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
39,PK30509,Pegler Yorkshire strainer PN16 65mm Cast Iron,Pegler,296.35,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 65mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer PN16 65mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/10/NW-K30509_K30510_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
40,PK21430,JET Range strainer (PN20) 32mm (BSP) Brass,JET Range,127.21,"This JET Range 96 Y-strainer is made of brass with 32mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 32mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
41,PK21413,JET Range strainer (BSP) PN20 65mm Bronze,JET Range,669.18,"This JET Range 98 Y-strainer is made of bronze with 65mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 65mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
42,PK21415,JET Range 50 mesh 400 micron strainer screen 15mm,JET Range,4.69,"Designed with a 304 stainless steel body, this JET Range 50 mesh 400 micron strainer screen is fitted with 15mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 50 mesh 400 micron strainer screen 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/26/NW-K21415_K21426_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
43,PK22911,Hattersley Y-strainer (BSP) PN32 50mm Bronze,Hattersley,809.75,"This Hattersley Fig. 807 Y-strainer is made of bronze and incorporates 2"" BSP female threaded end connections. It is fitted with a high quality stainless steel perforated screen with 0.75mm diameter holes. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Hattersley Y-strainer (BSP) PN32 50mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/11/NW-K22906_K22911_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_Fig_807_907_Bronze_Y_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_Fig_807_Bronze_Y_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_807_907_817_Y_817_Install.pdf,,,,,,,,,,,,,,
44,PK30512,Pegler Yorkshire strainer PN16 125mm Cast Iron,Pegler,952.21,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 125mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer PN16 125mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/14/NW-K30512_K30514_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
45,PK16536,Crane y-strainer PN16 150mm Cast Iron,Crane,2451.74,"Suitable for use with wholesome (potable) water, this Crane FM276 Y-strainer is made of ductile iron with an internal epoxy powder coating and includes 150mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 150mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-K16531_K16538_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_276W_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_FM276_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CI_MI_Bronze_Strainer_Install.pdf,,,,,,,,,,,,,
46,PK30525,Pegler Yorkshire strainer 25mm (BSP) Bronze,Pegler,80.96,"This Pegler Yorkshire Series B V913 Y-strainer is made of gunmetal with 1"" BSP taper female threaded connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer 25mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/27/NW-K30525_K30527_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_V913_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_V913_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,
47,PK16534,Crane y-strainer PN16 100mm Cast Iron,Crane,1046.46,"Suitable for use with wholesome (potable) water, this Crane FM276 Y-strainer is made of ductile iron with an internal epoxy powder coating and includes 100mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 100mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-K16531_K16538_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_276W_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_FM276_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CI_MI_Bronze_Strainer_Install.pdf,,,,,,,,,,,,,
48,PK30510,Pegler Yorkshire strainer PN16 80mm Cast Iron,Pegler,358.44,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 80mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer PN16 80mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/10/NW-K30509_K30510_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
