,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Pack Quantity,For Use With
29,P497894,Broag control board,Broag,1687.84,"A Broag control board, or PCB, for Remeha Commercial (Baxi) boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag control board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/94/NW-497894_wm.jpg,1 year,N,x  x,"Gas 310 Eco - 8 Section,Gas 610 Eco - 5 Section,Gas 610 Eco - 9 Section,310 Ec,Gas 310 Eco - 7 Section,610 Eco,Gas 610 Eco - 7 Section,Gas 310 Eco - 6 Section,Gas 310 Eco - 5 Section,Gas 610 Eco - 6 Section,Gas 610 Eco - 8 Section,Gas 310 Eco - 9 Section",S58613,Control Board,N,Easy to Replace,High Quality,,,,,,,,
30,P477863,Remeha Avanta O rings 94 x 2mm (Pack of 10),Remeha,32.69,"This O-ring is a spare part for Remeha Avanta, Profile IE ErP, Profile Heat Only and Profile System boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta O rings 94 x 2mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/63/477863_wm.jpg,,N,,"Avanta Heat Only 15,24 KW Heat Only,Avanta Plus System 18,30 KW Heat Only,Avanta Plus Combi 24,Avanta Heat Only 30,30 KW System,Avanta Plus Combi 39,Avanta,Avanta Exclusive 28C,Avanta Plus System 24,18 KW System,Profile Heat ErP 24,Profile System ErP 24",S62718,O-Ring,N,,,,Avanta,"Avanta Exclusive 39C, Avanta Plus Combi 35, Avanta Plus System 30, Profile System ErP 18, Profile System ErP 30, Avanta Plus Combi 39c, Avanta Plus Heat Only 18v, Avanta Plus System 18s, Avanta Plus System 24, 24 KW Heat Only, Profile System ErP 24, 30 K",Heat Exchanger,"Avanta, Profile IE ErP, Profile Heat Only, Profile System",H39121,pack of 10,
31,P477791,Remeha Avanta cover plate gaskets (Pack of 10),Remeha,86.72,"This Remeha gasket is for use in Avanta, Profile Heat Only and Profile System boilers. Gaskets can be used in many different areas of the boiler to join parts to pipework to help prevent gas and water leaks. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta cover plate gaskets (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/91/477791_wm.jpg,,N,,"Avanta Plus Combi 35,Avanta Heat Only 24,30 KW System,Profile System ErP 30,Profile Heat ErP 30,Avanta,Avanta Exclusive 39C,Avanta Plus Combi 24c,Profile Heat ErP 18,Avanta Plus System 24,Profile System ErP 18,Profile System ErP 24,Avanta Plus Combi 39c",720538401,Gasket,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Heat Only 15, Avanta Heat Only 18, Avanta Heat Only 24, Avanta Heat Only 30, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Plus Syst",Heat Exchanger,"Avanta, Profile Heat Only, Profile System",H39119,pack of 10,
32,P477778,Remeha Avanta temperature sensor (Pack of 2),Remeha,69.42,"A Remeha thermistor sensor designed for Avanta, Profile IE ErP, Profile System, Profile Heat Only and eVita boilers.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta temperature sensor (Pack of 2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/78/477778_wm.jpg,,N,,"18 KW Heat Only,Avanta Plus System 18,Avanta Heat Only 18,Profile Sy,Avanta Plus Combi 35,Avanta Heat Only 24,Profile Heat ErP 30,Avanta Exclusive 39C,Avanta Exclusive 28C,Profile Heat ErP 18,Profile Heat ErP 24,Avanta Exclusive 35C,Avanta Plus System 30",720480501,Sensor,N,,,,Avanta,"Avanta Heat Only 24, Avanta Plus System 18, Profile Heat ErP 18, Avanta Plus Heat Only 12v, Avanta Heat Only 15, Avanta Heat Only 30, Avanta Plus Combi 28, 18 KW System, Avanta Exclusive 35C, Avanta Plus Combi 24c, Avanta Plus Combi 28c, Avanta Plus Comb",Control Panel,"Avanta, Profile IE ErP, Profile System, Profile Heat Only, eVita",H39118,Pack of 2,
33,P477855,Broag fan,Broag,3817.08,"A Broag replacement fan for Remeha commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/55/NW-477855_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas_320-620_Ace_Installation.pdf,,,,,,,
34,P498139,Broag cord collicone 7mm x 5m Red,Broag,56.76,This Broag 5M red cord is made of silicone rubber and has a 7mm diameter. It is suitable for use in Remeha Commercial (Baxi and Broag) boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag cord collicone 7mm x 5m Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/39/NW-498139_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas_320-620_Ace_Installation.pdf,,,,,,,
35,P497896,Broag service set (A),Broag,76.31,This Broag service set is suitable for servicing Remeha Commercial (Baxi) Quinta Pro units.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag service set (A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/96/NW-497896_wm.jpg,1 year,N,x  x,,S101673,Service Set,N,Easy to Replace,High Quality,,,,,,,,
36,P480884,Broag heat exchanger 90/115kw,Broag,4401.42,"This Broag 90/115kW heat exchanger is a genuine replacement part for Remeha (Broag and Baxi) commercial boilers. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag heat exchanger 90/115kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/84/NW-480884_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90",S101550,Heat Exchanger,N,Easy to Replace,High Quality,,,,,,,,
37,P418695,Remeha Broag front casing,Remeha,355.23,"This Remeha Broag replacement front casing is suitable for use on Remeha Broag commercial boilers. Casings vary from model to model, designed to suit different locations, offering differing levels of robustness and a variety of finishes.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag front casing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/95/NW-418695_wm.jpg,1 year,N,x  x,,S54783,Front Casing,N,,,,Broag,,,,,,Remeha Commercial (Broag) 115Remeha Commercial (Broag) 30Remeha Commercial (Broag) 45Remeha Commercial (Broag) 65Remeha Commercial (Broag) 85
38,P477804,Remeha Avanta automatic air bleed vent device,Remeha,65.36,"This bleed device is designed for use in the heat exchanger section of Remeha's Avanta and Profile System boilers. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system. A secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta automatic air bleed vent device,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/04/477804_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Avanta_Range_Installation.pdf,,,,,,,
39,P477813,Remeha expansion vessel,Remeha,123.0,"A genuine Remeha part, this expansion vessel is suitable for installation in Avanta and Profile System boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/13/477813_wm.jpg,,N,,"Avanta Plus System 18,Avanta Plus Combi 24,30 KW System,Avanta Plus System 24s,Avanta,Avanta Plus Combi 35c,Avanta Exclusive 28C,Avanta Plus System 24,18 KW System,Profile System ErP 18,Avanta Exclusive 35C,Avanta Plus Combi 28c,Avanta Plus Eco Combi 28c",S62753,Expansion Vessel,N,,,,,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Plus Combi 39, Avanta Plus",Pump,"Avanta, Profile System",H39138,,
40,P480918,Broag furigas burner (Q85/115),Broag,1107.71,A Broag furigas burner for Remeha (Baxi) commercial boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag furigas burner (Q85/115),,Furigas burner;Gasket,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/18/NW-480918_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Remeha_Quinta115Eco_Parts_List.pdf,,,,,,,
41,P480901,Broag syphon assembly Q115,Broag,187.28,A Broag siphon assembly for Remeha (Baxi and Broag) commercial boilers. A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag syphon assembly Q115,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/01/NW-480901_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Remeha_Quinta115Eco_Parts_List.pdf,,,,,,,
42,P480878,Broag syphon cup,Broag,46.25,A Broag siphon cup for Remeha (Baxi and Broag) commercial boilers. A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag syphon cup,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/78/NW-480878_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S101559,Syphon Cup,N,Easy to Replace,High Quality,,,,,,,,
43,P480917,Broag furigas burner (Q65),Broag,1053.07,A Broag furigas burner for Remeha (Baxi) commercial boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag furigas burner (Q65),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/17/NW-480917_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas110Eco_Installation.pdf,,,,,,,
44,P477859,Broag pressure gauge and grommet,Broag,44.16,This Broag pressure gauge with grommet is suitable for Remeha (Baxi) Quinta Eco commercial boilers. A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag pressure gauge and grommet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/59/NW-477859_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Remeha_Quinta115Eco_Parts_List.pdf,,,,,,,
45,P418684,Remeha Broag front heat exchanger plate,Remeha,380.45,"This Remeha Broag heat exchanger plate is compatible with Remeha (Broag and Baxi) commercial boilers. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag front heat exchanger plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/84/NW-418684_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Remeha_Service_Manual.pdf,,,,,,,
46,P481317,Broag eco gas service kit (210),Broag,119.82,This Broag S100198 gas service kit is suitable for Remeha (Baxi) commercial boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag eco gas service kit (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/17/NW-481317_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas-210_Installation.pdf,,,,,,,
47,P477810,Remeha Avanta front panel casing,Remeha,123.24,"A Remeha spare, this replacement front panel casing is suitable for the combustion chamber of Avanta boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta front panel casing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/10/477810_wm.jpg,,N,,"Avanta Plus System 18s,Avanta Plus System 24s,Avanta Plus System 30s,Avanta Plus Combi 35c,Avanta Plus Combi 24c,Avanta Plus Combi 39c,Avanta Plus Combi 28c,Avanta Plus Eco Combi 28c",S62748,Front Panel,N,,,,Avanta,"Avanta Plus Combi 24c, Avanta Plus Combi 28c, Avanta Plus Combi 35c, Avanta Plus Combi 39c, Avanta Plus Eco Combi 28c, Avanta Plus System 18s, Avanta Plus System 24s, Avanta Plus System 30s",Fan Combustion Chamber,Avanta,H39087,,
48,P477678,Remeha Avanta fan assembly 24v,Remeha,318.43,"This fan assembly is a Remeha replacement part for Avanta, Profile Heat Only and Profile System boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta fan assembly 24v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/78/477678_wm.jpg,,N,,"Avanta Heat Only 15,18 KW Heat Only,Avanta Plus System 18,30 KW Heat Only,Avanta Plus Combi 24,Profile System ErP 30,Avanta Exclusive 28,Avanta Plus Combi 39,24 KW System,Profile Heat ErP 30,Avanta Exclusive 39C,Avanta Exclusive 28C,Profile System ErP 18",720480001,Fan Assembly,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Heat Only 15, Avanta Heat Only 18, Avanta Heat Only 24, Avanta Heat Only 30, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Plus Syst",Fan Combustion Chamber,"Avanta, Profile Heat Only, Profile System",H49937,,
