,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Power Supply,Feature 3,Attachment 2,Attachment 3,Attachment 4,Warranty
41,P683668,Danfoss Maneurop 20  10  98 1 phase electrics control switch starting kit,Danfoss,128.35,"This Danfoss Maneurop 1Ph CSR starting kit is compatible with LTZ 022-5, 028-5, MT(Z) 018-5, 022-5, 028-5, NTZ 048-5 and 068-5 models.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss Maneurop 20  10  98 1 phase electrics control switch starting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/69/NW-683668_683669_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Spare_Parts_Catalogue.pdf,,,,,,,
42,P697792,"Alco adapter 1 1/4"" UNF",Alco,90.7,"An Alco OM0-CCE 1 1/2"" - 12 UNF adapter with steel rotolock connections.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Alco adapter 1 1/4"" UNF",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/92/NW-697792_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Alco_Oil_Management_System_Tech.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alco_OW4TB_Brochure.pdf,,,
43,P690436,Copeland start capacitor,Copeland,97.31,"This Copeland 240V, 270 to 324µF start capacitor offers compatibility with ZR61KCE PFZ, ZB30 to 38KCE PFJ, ZH38K4E PFZ, ZB42KCE PFJ and ZH30K4E PFJ.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland start capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/36/NW-690436_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Copeland_Comp_Start_Assist_Comp_Tech.pdf,,,,,,,
44,P676694,Copeland teflon gasket for 1.1/4” rotalock connection (1” diameter),Copeland,4.26,"This Copeland 1"" diameter Teflon gasket with 1 3/4"" rotolock connection is designed for the 2DL3-40X/400.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland teflon gasket for 1.1/4” rotalock connection (1” diameter),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/94/NW-676694_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Copeland_2DL3-40X_400_Parts_List.pdf,,,,,,,
45,P690483,Copeland ZF48K/ZR19M/ZB11M rotalock valve kit,Copeland,408.68,"A Copeland rotolock valve kit for ZF48K, ZR19M and ZB11M.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland ZF48K/ZR19M/ZB11M rotalock valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/83/NW-690483_wm.jpg,N,ZF48KZR19MZB11M,ZF48KZS11MZR19M3ZB11MCE,8511928,Rotalock Valve,N,Suitable for ZF48K/ZR19M/ZB11M,,,,,,,,,
46,P676425,Prestcold ZR18-40K3/KCE braze/rotalock adaptor kit,Prestcold,67.61,This Prestcold braze/rotolock adapter kit is compatible with models ZR18 to 40K3/KCE.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Prestcold ZR18-40K3/KCE braze/rotalock adaptor kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/25/NW-676425_wm.jpg,N,ZR18 to 40K3/KCE,,8030314,Adaptor Kit,N,Braze/rotalock,,,,,,,,,
47,P678868,Flexelec FCH crank case heater 230v 55w,Flexelec,21.4,"Designed to be fitted to a compressor, the Flexelec FCH-40 230V, 55W crankcase heater prevents coolant from being absorbed by oil at lower temperatures when absorption is faster and more complete, causing serious damage due to a lack of lubrication, particularly during start-up.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Flexelec FCH crank case heater 230v 55w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/NW-678867_678870_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_RoHS_Certification.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_FCH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_REACH_Certification.pdf,
48,P690387,Copeland ZR12/16M & ZB75/92K rotalock valve kit,Copeland,216.12,"Made of brass, this Copeland rotolock valve kit is compatible with models ZR12 to ZR16.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland ZR12/16M & ZB75/92K rotalock valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/87/NW-690387_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Copeland_Form_97-49R2_Manual.pdf,,,,,,,
49,P677420,"Tecumseh Lunite rotalock valve 3/8""",Tecumseh,65.28,"A Tecumseh Lunite 3/8"" rotolock valve for SILAJ4517Z-(3), SILAJ4519Z-(1), SILAJ4519Z-(3), SILFH2480Z-(1), SILFH2480Z-(3), SILFH4524Z-(1) and SILFH4524Z-(3).","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh Lunite rotalock valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/20/NW-677420_wm.jpg,N,SILAJ4517Z-(3)SILAJ4519Z-(1)SILAJ4519Z-(3)SILFH2480Z-(1)SILFH2480Z-(3)SILFH4524Z-(1)SILFH4524Z-(3),SILAJ4517Z-(3)SILAJ4519Z-(1)SILAJ4519Z-(3)SILFH2480Z-(1)SILFH2480Z-(3)SILFH4524Z-(1)SILFH4524Z-(3),8683053,Rotalock Valve,N,Size 3/8 inch,,,Lunite,,,,,,
50,P682783,"Copeland liquid injection summit valve 11/16""",Copeland,172.01,"A Copeland 120°C 11/16"" liquid injection DTC kit for ZF06-18K4E-TFD.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland liquid injection summit valve 11/16""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/83/NW-682783_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/ng/Copeland_Application_Engineering.pdf,,,,,,,
51,P688259,Whirlpool compressor EMYE70CLP R600A S.P,Whirlpool,132.52,A Whirlpool EMYE70CLP compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EMYE70CLP R600A S.P,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/59/688259_wm.jpg,N,,,484000008469,Compressor,N,For refrigeration use,Compatible with R600 SP,,,,,,,,
52,P611878,Copeland 1 phase crankcase heater 40w,Copeland,72.73,"This Copeland single phase, 40W crankcase heater is for use with CCHZR18K.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland 1 phase crankcase heater 40w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/78/NW-611878_wm.jpg,N,CCHZR18K,,8561161,Crankcase Heater,N,1 phase,40W,,,,,,,,
53,P690138,Copeland rotalock-stub discharge adaptor,Copeland,39.95,A Copeland steel rota-stub discharge adapter for ZB15 to ZB45 units.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland rotalock-stub discharge adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/38/NW-690138_wm.jpg,N,ZB15 to ZB45,,8031408,Adaptor,N,Steel,,,,,,,,,1 year
54,P690463,Copeland valve set comes with gasket,Copeland,118.82,"A Copeland valve set for ZP24KSE, ZP29KSE, ZP31KSE, ZP36KSE, ZP54KSE and ZR61KSE.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland valve set comes with gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/63/NW-690463_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Copeland_Replacement_Guide.pdf,,,,,,,
55,P679014,Danfoss programmable safety control run capacitator 70uf 220-240v,Danfoss,41.82,"This Danfoss programmable safety control run capacitor is suitable for Danfoss HHP026, HRH029-036, HRM032-042, HRP034-042 and MLZ/MLM019-5.021-5.026-5 compressors.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss programmable safety control run capacitator 70uf 220-240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/14/NW-679014_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Compressors_Brochure.pdf,,,,,,,
56,P690476,Copeland capillary tube assembly 0.042 x 20mm,Copeland,129.06,This Copeland 0.042 x 20mm copper capillary tube assembly is for use with ZF18K4.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland capillary tube assembly 0.042 x 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/76/NW-690476_wm.jpg,N,ZF18K4,ZF 18K4E TFD 551,8029683,Capillary Tube,N,0.042 x 20mm,Copper material,,,,,,,,
57,P684138,"Danfoss gasket set 1 x 1.1/4 x 1.3/4""",Danfoss,10.24,"This Danfoss gasket set contains 1"", 1 1/4"" and 1 3/4"" OSG gaskets in black and white for use in all 1-2-4 cylinder models, VTZ, LFZ166 and MFZ166.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss gasket set 1 x 1.1/4 x 1.3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/38/NW-684138_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Spare_Parts_Catalogue.pdf,,,,,,,
58,P683670,Danfoss PTC internal crankcase heater,Danfoss,29.5,This Danfoss PTC 27W heater is suitable for 1-2-4 cylinder model compressors.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss PTC internal crankcase heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/70/NW-683670_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Refrigeration_AC_Brochure.pdf,,,,,,,
59,P677423,"Tecumseh Lunite rotalock valve 5/8""",Tecumseh,60.09,"A Tecumseh Lunite 5/8"" rotolock valve for FH4518Y, FH4525Y, FH2480Z, FH2511Z, FH4524Z, TFH4518Y, TFH4525Y, TFH2480Z, TFH2511Z and TFH4524Z.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh Lunite rotalock valve 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/23/NW-677422_677423_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tecumseh_Reference_Guide.pdf,,,,,,,
60,P611874,Copeland heater 83/90W 230/240V,Copeland,95.26,"This Copeland 230/240V, 83/90W heater is compatible with ZR90 to ZR250, ZP90 to ZP235, ZF24-48 and ZB56-11",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland heater 83/90W 230/240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/74/NW-611874_wm.jpg,N,ZR90 to ZR250ZP90 to ZP235ZF24-48ZB56-11,,8062619,Heater,N,230/240V,83/90W,,,,,,,,
61,P690277,Copeland mounting parts,Copeland,30.73,"This Copeland black hard rubber mount set is for ZB15KCE to ZB48KCE, ZB57KCE, ZBD21KCE to ZBD57KCE, ZF06K4E to ZF18K4E, ZF25K5E, ZF13KVE, ZF18KVE, ZFD13KVE to ZFD25KVE, ZS21K4E to ZS45K4E, ZO34K3E to ZO104KCE, ZOD34K3E and ZOD104KCE.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland mounting parts,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/77/NW-690277_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Copeland_Scroll_Mounting_Parts.pdf,,,,,,,
62,P678870,Flexelec FCH crank case heater 230v 75w,Flexelec,28.15,"Designed to be fitted to a compressor, the Flexelec FCH-60 230V, 75W crankcase heater prevents coolant from being absorbed by oil at lower temperatures when absorption is faster and more complete, causing serious damage due to a lack of lubrication, particularly during start-up.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Flexelec FCH crank case heater 230v 75w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/NW-678867_678870_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_RoHS_Certification.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_FCH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_REACH_Certification.pdf,
63,P677421,"Tecumseh Lunite rotalock valve 1/2""",Tecumseh,69.15,"This Tecumseh 1/2"" rotolock valve is compatible with CAJ2428Z, CAJ2432Z, CAJ2446Z, CAJ9480Z, CAJ4452Y, CAJ4461Y, CAJ4476Y, CAJ4492Y, FH2480Z, FH2511Z, FH4531Z, FH4540Z, FH4518Y, FH4525Y, TFH2480Z, TFH2511Z, FH4524Z, TFH4524Z, TFH4518Y, TFH4525Y, TFH4531Z and TFH4540Z.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh Lunite rotalock valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/21/NW-677421_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tecumseh_Reference_Guide.pdf,,,,,,,
64,P678847,Danfoss start capacitor,Danfoss,46.13,"A Danfoss 220VAC 50/60Hz, 89µf start capacitor with 1/4"" connections for the SC21.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss start capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/47/NW-678847_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_Start_Capacitor_Tech.pdf,,,,,,,
65,P676693,"Copeland teflon gasket for 1"" rotalock connection (3/4"" diameter)",Copeland,3.09,"This Copeland 3/4"" diameter blue rubber gasket with 1"" rotolock connection is for use with 3DC5-100X/1000.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland teflon gasket for 1"" rotalock connection (3/4"" diameter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/93/NW-676693_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Copeland_3DC5-100x_1000_Parts_List.pdf,,,,,,,
66,P676781,Tecumseh Lunite THB4415YFZ 1 phase (Voltage Code-F) hermetic compressor (R134A),Tecumseh,180.69,"The Tecumseh Lunite THB4415YFZ 220 to 240V reciprocating compressor uses pistons driven by a crankshaft, allowing for the high pressure delivery of refrigerant from low side to high side of your refrigeration system. Energy efficient, this compressor is reliable and quiet during operation.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh Lunite THB4415YFZ 1 phase (Voltage Code-F) hermetic compressor (R134A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/81/NW-676781_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Tecumseh_H&S.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_THB4415YFZ_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Tecumseh_Brochure.pdf,,
